doi,EURO.x,journal_full_title,year,publisher,issn,issn_print,issn_electronic,license_ref,pmid,pmcid
10.3389/fnhum.2012.00270,1904,Frontiers in Human Neuroscience,2012,Frontiers Media SA,1662-5161,NA,1662-5161,NA,23060774,PMC3461575
10.3389/fnhum.2013.00143,1904,Frontiers in Human Neuroscience,2013,Frontiers Media SA,1662-5161,NA,1662-5161,NA,23630478,PMC3631704
10.3389/fnhum.2013.00341,684.25,Frontiers in Human Neuroscience,2013,Frontiers Media SA,1662-5161,NA,1662-5161,NA,23847510,PMC3698455
10.3389/fnhum.2013.00346,1904,Frontiers in Human Neuroscience,2013,Frontiers Media SA,1662-5161,NA,1662-5161,NA,23847514,PMC3703531
10.3389/fnhum.2013.00486,1904,Frontiers in Human Neuroscience,2013,Frontiers Media SA,1662-5161,NA,1662-5161,NA,23986679,PMC3750213
10.3389/fnhum.2014.00568,960,Frontiers in Human Neuroscience,2014,Frontiers Media SA,1662-5161,NA,1662-5161,NA,25136305,PMC4117995
10.3389/fnhum.2014.00636,1142.4,Frontiers in Human Neuroscience,2014,Frontiers Media SA,1662-5161,NA,1662-5161,NA,25202252,PMC4141549
10.3389/fnhum.2014.00912,1904,Frontiers in Human Neuroscience,2014,Frontiers Media SA,1662-5161,NA,1662-5161,NA,25426057,PMC4226146
10.3389/fnint.2012.00105,1155.4,Frontiers in Integrative Neuroscience,2012,Frontiers Media SA,1662-5145,NA,1662-5145,NA,23181012,PMC3501647
10.3389/fonc.2012.00204,1155.4,Frontiers in Oncology,2012,Frontiers Media SA,2234-943X,NA,2234-943X,NA,23293771,PMC3533183
10.3389/fphys.2012.00043,1155.4,Frontiers in Physiology,2012,Frontiers Media SA,1664042X,NA,1664042X,NA,22403551,PMC3291876
10.3389/fphys.2012.00083,929.3,Frontiers in Physiology,2012,Frontiers Media SA,1664-042X,NA,1664-042X,NA,22509167,PMC3321473
10.3389/fphys.2012.00146,1536.2,Frontiers in Physiology,2012,Frontiers Media SA,1664-042X,NA,1664-042X,NA,22661953,PMC3357553
10.3389/fphys.2015.00065,916.3,Frontiers in Physiology,2015,Frontiers Media SA,1664-042X,NA,1664-042X,NA,25814956,PMC4356066
10.3389/fphys.2015.00066,916.3,Frontiers in Physiology,2015,Frontiers Media SA,1664-042X,NA,1664-042X,NA,25788886,PMC4349055
10.3389/fpls.2013.00336,1142.4,Frontiers in Plant Science,2013,Frontiers Media SA,1664-462X,NA,1664-462X,NA,24009620,PMC3756233
10.3389/fpls.2014.00784,684.25,Frontiers in Plant Science,2015,Frontiers Media SA,1664-462X,NA,1664-462X,NA,25642235,PMC4294120
10.3389/fpsyg.2011.00124,1084,Frontiers in Psychology,2011,Frontiers Media SA,1664-1078,NA,1664-1078,NA,21734895,PMC3121007
10.3389/fpsyg.2011.00194,1200,Frontiers in Psychology,2011,Frontiers Media SA,16641078,NA,16641078,NA,21897826,PMC3158386
10.3389/fpsyg.2013.00097,1917,Frontiers in Psychology,2013,Frontiers Media SA,1664-1078,NA,1664-1078,NA,23459565,PMC3586719
10.3389/fpsyg.2014.00057,916.3,Frontiers in Psychology,2014,Frontiers Media SA,1664-1078,NA,1664-1078,NA,24523712,PMC3906500
10.3389/fpsyg.2014.00066,1142.4,Frontiers in Psychology,2014,Frontiers Media SA,1664-1078,NA,1664-1078,NA,24575060,PMC3918658
10.3389/fpsyg.2014.00146,1904,Frontiers in Psychology,2014,Frontiers Media SA,1664-1078,NA,1664-1078,NA,24659972,PMC3950415
10.3389/fpsyg.2014.00198,1904,Frontiers in Psychology,2014,Frontiers Media SA,1664-1078,NA,1664-1078,NA,24672495,PMC3957684
10.3389/fpsyg.2014.00570,1904,Frontiers in Psychology,2014,Frontiers Media SA,1664-1078,NA,1664-1078,NA,24959160,PMC4050437
10.3389/fpsyg.2014.01262,1904,Frontiers in Psychology,2014,Frontiers Media SA,1664-1078,NA,1664-1078,NA,25408679,PMC4219385
10.3389/fpsyt.2014.00004,1904,Frontiers in Psychiatry,2014,Frontiers Media SA,1664-0640,NA,1664-0640,NA,24478732,PMC3895918
10.3389/fpsyt.2014.00135,1142.4,Frontiers in Psychiatry,2014,Frontiers Media SA,1664-0640,NA,1664-0640,NA,25309464,PMC4174737
10.3390/genes4020171,246.1,Genes,2013,MDPI AG,2073-4425,NA,2073-4425,NA,24705159,PMC3899973
10.3390/ijms12085070,921.21,International Journal of Molecular Sciences,2011,MDPI AG,1422-0067,NA,1422-0067,NA,21954346,PMC3179153
10.3390/ijms13011173,1298.49,International Journal of Molecular Sciences,2012,MDPI AG,1422-0067,NA,1422-0067,NA,22312311,PMC3269745
10.3390/ijms14034854,1550.99,International Journal of Molecular Sciences,2013,MDPI AG,1422-0067,NA,1422-0067,NA,23455463,PMC3634400
10.3390/ijms140817122,1538.29,International Journal of Molecular Sciences,2013,MDPI AG,1422-0067,NA,1422-0067,NA,23965976,PMC3759955
10.3390/membranes4030356,264.14,Membranes,2014,MDPI AG,2077-0375,NA,2077-0375,NA,25019426,PMC4194039
10.3390/molecules18032571,1549.01,Molecules,2013,MDPI AG,1420-3049,NA,1420-3049,NA,23442933,NA
10.3390/nu6072973,1081.7,Nutrients,2014,MDPI AG,2072-6643,NA,2072-6643,NA,25057105,PMC4113773
10.3390/s140100212,1756.43,Sensors,2014,MDPI AG,1424-8220,NA,1424-8220,NA,24366178,PMC3926554
10.3390/w6103085,910.66,Water,2014,MDPI AG,2073-4441,NA,2073-4441,NA,NA,NA
10.3390/w6113270,911.52,Water,2014,MDPI AG,2073-4441,NA,2073-4441,NA,NA,NA
10.3391/ai.2013.8.1.06,357.5,Aquatic Invasions,2013,Regional Euro-Asian Biological Invasions Centre Oy (REABIC),18185487,NA,18185487,NA,NA,NA
10.3402/fnr.v58.23632,1517.25,Food & Nutrition Research,2014,Co-Action Publishing,1654-661X;1654-6628,1654-6628,1654-661X,NA,25317118,PMC4168313
10.4081/ejh.2015.2477,892.5,European Journal of Histochemistry,2015,PAGEPress Publications,2038-8306;1121-760X,1121-760X,2038-8306,NA,NA,NA
10.4137/NMI.S14003,1019.54,Nutrition and Metabolic Insights,2014,"SAGE Publications",1178-6388,NA,1178-6388,NA,24855375,PMC4024054
10.5194/bg-11-2069-2014,897.26,Biogeosciences,2014,Copernicus GmbH,1726-4189,NA,1726-4189,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5194/bg-12-1257-2015,1345.89,Biogeosciences,2015,Copernicus GmbH,1726-4189,NA,1726-4189,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5194/bg-9-4513-2012,1138.83,Biogeosciences,2012,Copernicus GmbH,1726-4189,NA,1726-4189,NA,NA,NA
10.5194/gmd-6-1043-2013,999.6,Geoscientific Model Development,2013,Copernicus GmbH,1991-9603,NA,1991-9603,NA,NA,NA
10.5194/gmd-6-117-2013,549.78,Geoscientific Model Development,2013,Copernicus GmbH,1991-9603,NA,1991-9603,NA,NA,NA
10.5194/gmdd-7-7525-2014,1587.46,Geoscientific Model Development Discussions,2014,Copernicus GmbH,1991-962X,NA,1991-962X,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5194/hess-18-1503-2014,1518.44,Hydrology and Earth System Sciences,2014,Copernicus GmbH,1607-7938,NA,1607-7938,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5194/hess-18-4113-2014,1311.38,Hydrology and Earth System Sciences,2014,Copernicus GmbH,1607-7938,NA,1607-7938,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5194/hess-19-1153-2015,1173.34,Hydrology and Earth System Sciences,2015,Copernicus GmbH,1607-7938,NA,1607-7938,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5194/hessd-12-1809-2015,1587.46,Hydrology and Earth System Sciences Discussions,2015,Copernicus GmbH,1812-2116,NA,1812-2116,http://creativecommons.org/licenses/by/3.0/,NA,NA
10.5539/ibr.v7n3p1,227.52,International Business Research,2014,Canadian Center of Science and Education,1913-9012;1913-9004,1913-9004,1913-9012,NA,NA,NA
10.5539/jas.v6n10p147,231.23,Journal of Agricultural Science,2014,Canadian Center of Science and Education,1916-9760;1916-9752,1916-9752,1916-9760,NA,NA,NA
10.5923/j.sports.20130306.08,224.48,International Journal of Sports Science,2013,Scientific & Academic Publishing,2169-8759;2169-8791,2169-8759,2169-8791,NA,NA,NA
10.5923/j.sports.20130306.10,227.51,International Journal of Sports Science,2012,Scientific & Academic Publishing,2169-8759;2169-8791,2169-8759,2169-8791,NA,NA,NA
