Institution;DOI;Name des Verlags;Publikationsform;CC-Lizenz;Euro netto; Euro brutto ;Kostensplitting;Gebührenart;agreement;Rechnungsjahr / Lizenzjahr;Publikationsjahr;is_hybrid;euro
Augsburg U;10.1016/j.sysconle.2025.106229;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.matpur.2025.103779;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/ddg.15980;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/ejn.70263;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/pbc.32062;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.cpc.2025.109868;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00216-025-06131-4;Springer;journal article;CC BY-NC;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.wavemoti.2025.103642;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/mde.70030;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/fire.70027;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/chem.202502439;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.ijhcs.2025.103632;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.fuel.2025.137076;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.na.2025.113971;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s11846-025-00946-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00526-025-03177-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s11615-025-00638-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s10602-025-09498-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.plefa.2025.102712;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s11626-025-01130-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.ejor.2025.10.029;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.jri.2025.104797;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.scs.2025.106927;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.avsg.2025.10.039;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.jpsychores.2025.112448;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.avsg.2025.11.005;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00420-025-02179-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00187-025-00402-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/zaac.202500168;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2026;TRUE;NA
Augsburg U;10.1017/elo.2025.10059;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;Cambridge University Press (German Academic Consortium, 106 participants, administered by Bayerische Staatsbibliothek) 2025-2027;2025;2026;TRUE;NA
Augsburg U;10.1002/wjs.70178;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s12054-025-00830-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.pragma.2025.11.005;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/anie.202521198;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s40629-025-00359-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00062-025-01598-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1177/14757257251407698;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2025;2025;TRUE;NA
Augsburg U;10.1007/s10797-025-09938-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00013-025-02211-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2026;TRUE;NA
Augsburg U;10.1016/j.envres.2025.122762;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/fut.70076;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.learninstruc.2025.102289;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00424-025-03145-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s42489-025-00202-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s11623-025-2167-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.jenvman.2025.127833;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s11031-025-10185-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1111/ddg.70067;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2026;TRUE;NA
Augsburg U;10.1007/s12662-025-01085-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1002/sd.70574;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s44174-025-00583-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00106-025-01696-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1016/j.ejor.2025.11.034;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1515/roja-2025-0004;De Gruyter;journal article;CC BY;0;0;;hybrid-oa;degruy2025gac;2025;2025;TRUE;NA
Augsburg U;10.1016/j.lindif.2025.102850;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00415-025-13562-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
Augsburg U;10.1007/s00526-025-03222-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2026;TRUE;NA
Augsburg U;10.1017/S1062798725100574;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;Cambridge University Press (German Academic Consortium, 106 participants, administered by Bayerische Staatsbibliothek) 2025-2027;2025;2026;TRUE;NA
Augsburg U;10.1007/s00291-024-00805-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer Nature (DEAL) 2024-2028;2025;2025;TRUE;NA
