Institution,Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
King's College London,16/10/2015,Alberto Smith,Cardiovascular Surgery,,26489729,10.1016/j.thromres.2015.10.006,Alberto Smith,Elsevier,Thrombsosis Research,,Journal article,Quantification of experimental venous thrombus resolution by longitudinal nanogold-enhanced micro-computed tomography,09/10/2015,COAF,,,British Heart Foundation,,,FS/10/51/28677,,,15/10/2015,2677.62,,,EUR,1963,,,,,,,CC BY,,,
King's College London,09/12/2015,Michael Marber,Cardiovascular,,26713894,10.1016/j.trsl.2015.11.008,,Elsevier,Translational Research,,Journal article,The Development and Application of a High Sensitivity Immunoassay for Cardiac,08/12/2015,RCUK,,,MRC,British Heart Foundation,,MRC UK (G1000737),British Heart Foundation (TG/15/1/31518),,11/12/2015,3213.15,,,EUR,2370,,,,,,2370,,,,
King's College London,12/03/2015,Susan Cox,Randall Division of Cell & Molecular Biophysics,PMC4405210,,10.1016/j.ydbio.2014.11.025,Susan Cox,Elsevier,Developmental Biology,,Journal article,Super-resolution imaging in live cells,01/01/2015,RCUK,,,AHRC,,,BB/K0153X/1,,,09/01/2015,1719.93,,,EUR,1266.13,,,,Pre-payment discount,,1266.13,CC BY,,,
King's College London,20/07/2015,Deepak Srivastava,Basic and Clinical Neuroscience,PMC4579404,,10.1016/j.yhbeh.2015.06.014,Deepak Srivastava,Elsevier,Hormones and Behavior,,Journal article,Utilizing induced pluripotent stem cells (iPSCs) to understand the actions of estrogens in human neurons.,02/07/2015,COAF,,,"King's Health Partners Research and Development Challenge Grant, Wellcome Trust ISSF",,,R130587 / 097819,,,01/07/2015,2339,,,EUR,1629,,,,Pre-payment discount,,,CC BY,,,
King's College London,08/06/2015,Thomas Kampourakis,Randall Division of Cell & Molecular Biophysics,PMC4535163,,10.1016/j.yjmcc.2015.06.002,Thomas Kampourakis,Elsevier,Journal of Molecular and Cellular Cardiology,,Journal article,Phosphorylation of Myosin Regulatory Light Chain Controls Myosin Head Conformation in Cardiac Muscle,07/06/2015,COAF,,,British Heart Foundation,,,PG/12/52/29713,,,10/06/2015,1913.54,,,EUR,1385.57,,,,,,,CC BY-NC-ND,,,
King's College London,23/07/2015,Thomas Eykyn,Imaging Chemistry & Biology,PMC4564289,,10.1016/j.yjmcc.2015.07.009,Thomas Eykyn,Elsevier,Journal of Molecular and Cellular Cardiology,,Journal article,Multiple quantum filtered 23Na NMR in the Langendorff perfused mouse heart: Ratio of Triple / Double quantum filtered signals correlate with [Na]i,18/07/2015,COAF,,,British Heart Foundation,British Heart Foundation,,RE/08/003,RG/12/4/29426,,27/08/2015,1936.7,,,EUR,1360.08,,,,,,,CC BY,,,
King's College London,28/08/2015,Yin-Biao Sun,Randall Division of Cell & Molecular Biophysics,PMC4640586,,10.1016/j.yjmcc.2015.08.017,Yin-Biao Sun,Elsevier,Journal of Molecular and Cellular Cardiology,,Journal article,"The structural and functional effects of the Familial Hypertrophic Cardiomyopathy-linked cardiac troponin C mutation, L29Q",01/09/2015,COAF,,,British Heart Foundation,,,FS/09/001/26329,,,01/09/2015,1936.7,,,EUR,1357.77,,,,,,,CC BY,,,
King's College London,20/04/2015,Stephen McMahon,Wolfson Centre for Age Related Diseases,PMC4511203,,10.1096/fj.14-264440,Stephen McMahon,Federation of American Societies for Experimental Biology,FASEB Journal,,Journal article,HDAC4 is required for inflammation-associated thermal hypersensitivy,22/04/2015,COAF,,,Wellcome Trust,,,PNWRAER,,,22/04/2015,3000,,,USD,1975.09,,,,Pre-payment discount,,,CC BY,,,
King's College London,11/08/2015,Julie Keeble,Pharmaceutical Sciences Institute,PMC4650996,,10.1096/fj.15-272526,Julie Keeble,Federation of American Societies for Experimental Biology,FASEB Journal,,Journal article,The sympathetic nervous system is controlled by transient receptor potential vanilloid 1 in the regulation of body temperature,01/07/2015,RCUK,,,MRC,,,G1000393,,,04/11/2015,3000,,,USD,1988.59,,,,Pre-payment discount,,1988.59,CC BY,,,
King's College London,10/08/2015,Franca Fraternali,Randall Division of Cell & Molecular Biophysics,PMC4532925,,10.3389/fmolb.2015.00047,Franca Fraternali,Frontiers,Frontiers in Molecular Biosciences,,Journal article,"Anatomy of protein disorder, flexibility and disease-related mutations",12/08/2015,RCUK,,,BBSRC,,,BB/H018409/1,,,29/07/2015,1050,,,USD,739.19,,,,Pre-payment discount,,739.19,CC BY,,,
King's College London,24/03/2015,Deepak Srivastava,Basic & Clinical Neurosciences,PMC4396386,,10.3389/fncel.2015.00137,Deepak Srivastava,Frontiers,Frontiers in Cellular Neuroscience,,Journal article,Rapid modulation of synaptogenesis and spinogenesis by 17ß-estradiol in primary cortical neurons,,RCUK,,,MRC,,,MR/L021064/1,,,23/03/2015,1920,,,EUR,1394.85,,,,Pre-payment discount,,1394.85,CC BY,,,
King's College London,30/09/2015,Mitul Mehta,Centre for Neuroimaging Sciences,PMC4603249,,10.3389/fnins.2015.00366,Mitul Mehta,Frontiers,Frontiers in Neuroscience,,Journal article,Estimating multivariate similarity between neuroimaging datasets with sparse canonical correlation analysis: an application to perfusion imaging,13/10/2015,COAF,,,Wellcome Trust,,,WT088641/Z/09/Z,,,23/09/2015,2280,,,USD,1503.45,,,,Pre-payment discount,,,CC BY,,,
King's College London,20/08/2015,Khuloud Al-Jamal,Pharmaceutical Sciences Institute,,,,Khuloud Al-Jamal,Future Medicine,Nanomedicine,,Journal article,Functionalized carbon nanotubes: revolution in brain delivery,,RCUK,,,BBSRC,,,BB/J008656/1,,,25/08/2015,2040,,,GBP,2040,,,,,,2040,,,,
King's College London,06/05/2015,Alberto Gomez,Cardiovascular Imaging,,25955584,10.1109/tmi.2015.2428932,Alberto Gomez,IEEE,IEEE Transactions on Medical Imaging,,Journal article,4D Blood Flow Reconstruction over the Entire Ventricle from Wall Motion and Blood Velocity Derived from Ultrasound Data,01/05/2015,RCUK,,,EPSRC,,,EP/H046410/1,,,12/05/2015,1200,,,USD,1338.11,,,,Pre-payment discount,,1338.11,CC BY,,,
King's College London,07/08/2015,Nishanth Sastry,Informatics,,,10.1109/tnet.2015.2456186,"Nishanth Sastry, Dmytro Karamshuk",IEEE,IEEE/ACM Transactions on Networking,,Journal article,SCORE: Exploiting Global Broadcasts to Create Offline Personal Channels for On-demand Access,19/08/2015,RCUK,,,EPSRC,,,EP/K024914/1,,,25/08/2015,1487.5,,,USD,1162,,,,Pre-payment discount,,1162,CC BY,,,
King's College London,22/05/2015,Pierre Gebhardt,Biomedical Engineering Department,,,10.1109/tns.2015.2396295,Pierre Gebhardt,IEEE,Physics in Medicine & Biology,,Journal article,ToF-PET Performance and MRI Compatibility Evaluation of a Digital PET/MRI Insert Equipped with Clinical Scintillators,09/03/2015,COAF,,,Wellcome Trust,European Commission,,"088641/Z/09/Z (EU FP7 24171, NR246 WEU Ziel 2-Programm 2007-2013",,,21/09/2015,2040,,,GBP,2040,,,,,,,CC BY,,,
King's College London,16/05/2015,Pierre Gebhardt,Biomedical Engineering Department,,,10.1109/tns.2015.2434851,Pierre Gebhardt,IEEE,IEEE Transactions on Nuclear Science,,Journal article,RESCUE - Reduction of MRI SNR degradation by using an MR-synchronous low-interference PET acquisition technique,03/06/2015,COAF,,,Wellcome Trust,,,088641/Z/09/Z,,,20/05/2015,2100,,,EUR,1361.91,,,,Pre-payment discount,,,CC BY,,,
King's College London,17/09/2015,Maria Panayiotou,Biomedical Engineering Department,,26425860,10.1088/0031-9155/60/20/8087,Maria Panayiotou et. al.,Institute of Physics Publishing,Physics in Medicine & Biology,,Journal article,Image-based view-angle independent cardiorespiratory motion gating and coronary sinus catheter tracking for x-ray-guided cardiac electrophysiology procedures,01/10/2015,RCUK,,,EPSRC,,,programme grant EP/H046410/1,,,21/10/2015,2040,,,GBP,2040,,,,,,2040,CC BY,,,
King's College London,27/01/2015,Pierre Gebhardt,Biomedical Engineering Department,,25684065,10.1088/0031-9155/60/6/2231,Pierre Gebhardt,Institute of Physics Publishing,Physics in Medicine & Biology,,Journal article,MR-compatibility assessment of the first preclinical PET-MRI insert equipped with digital silicon photomultipliers,16/02/2015,COAF,,,Wellcome Trust,,,"088641/Z/09/Z, NR246 WEU Ziel 2-Programm 2007-2013",,,25/03/2015,2040,,,GBP,2040,,,,,,,CC BY,,,
King's College London,03/11/2015,Riccardo Sapienza,Physics,,,10.1088/1367-2630/17/11/113052,Riccardo Sapienza,Institute of Physics Publishing,New Journal of Physics,,Journal article,Nanophotonic boost of intermolecular energy transfer,24/11/2015,RCUK,,,EPSRC,Leverhulme Trust,,EPSRC EP/K02146X/1,Leverhulme Trust RPG-2014-238,,30/11/2015,1170,,,GBP,1170,,,,,,1170,,,,
King's College London,20/04/2015,Frances Cleaver,Geography,,,,Frances Cleaver,International Association of the Commons,International Journal of the Commons,,Journal article,Unknown,,RCUK,,,Unknown,,,Unknown,,,14/04/2015,2400,,,USD,1608.75,,,,Pre-payment discount,,1608.75,,,,
King's College London,25/04/2015,Khuloud Al-Jamal,Pharmaceutical Sciences Institute,,,,Khuloud Al-Jamal,Ivyspring,Theranostics,,Journal article,Triple-Modal Imaging of Magnetically-Targeted Nanocapsules in Solid Tumours In Vivo,,RCUK,,,BBSRC,,,BB/J008656/1,,,25/04/2015,2160,,,AUD,1080,,,,,,1080,,,,
King's College London,08/05/2015,Sabrina Beck,English Language & Literature,PMC4077538,,10.1353/lm.2014.0002,Brian Hurwitz,Johns Hopkins University Press,Literature and Medicine,,Journal article,Urban observation and sentimental storytelling in James Parkinson's essay on the Shaking Palsy,Spring 2014,COAF,,,Wellcome Trust,,,Unknown,,,07/05/2014,3600,,,USD,2362,,,,,,,CC BY,,,
King's College London,10/03/2015,Ana A. Baburamani,Perinatal Imaging & Health,,25823427,10.1159/000375368,"Ana A. Baburamani, Yasuka Miyakuni, Regina Vontell, Veena G. Supramaniam, Mary Rutherford, Pierre Gressens, Claire Thornton, Henrik Hagberg",Karger,Developmental Neuroscience,,Journal article,Does Caspase-6 Have a Role in Perinatal Brain Injury?,24/03/2015,COAF,,,Wellcome Trust,Leducq Foundation,Swedish Medical Research Foundation,WT094823,,,17/03/2015,3000,,,CHF,2100,,,,Pre-payment discount,,,CC BY,,,
King's College London,15/09/2015,Claire Steves,Twin Research & Genetic Epidemiology,,26551663,10.1159/000441029,Claire Steves,Karger,Gerontology,,Journal article,Kicking back cognitive ageing: leg power predicts cognitive ageing after ten years in older female twins.,11/10/2015,COAF,,,Wellcome Trust,,,WT086904MF,,,21/10/2015,3600,,,CHF,2389.1,,,,Pre-payment discount,,,CC BY,,,
King's College London,20/05/2015,Nicholas Harrison,French,,,,Nicholas Harrison,Liverpool University Press,Modern Languages Open,,Journal article,Notes on Translation as Research,,BIS,,,Other,,,N/A,,,05/11/2015,300,,,GBP,300,,,,,,,,,,
King's College London,14/09/2015,Claire Thornton,Perinatal Imaging & Health,PMC4613321,,10.3390/ijms160922509,Claire Thornton,MDPI,International Journal of Molecular Sciences,,Journal article,Mitochondrial Optic Atrophy (OPA) 1 Processing Is Altered in Response to Neonatal Hypoxic-Ischemic Brain Injury,17/09/2015,COAF,,,Wellcome Trust,,,WT094823,,,11/09/2015,1920,,,CHF,1300,,,,Pre-payment discount,,,CC BY,,,
King's College London,23/01/2015,Malcolm Irving,Randall Division of Cell & Molecular Biophysics,PMC4284530,,10.1073/pnas.1413922112,Malcolm Irving,National Academy of Sciences,Proceedings of the National Academy of Sciences,,Journal article,Myosin Binding Protein-C Activates Thin Filaments and Inhibits Thick Filaments in Heart Muscle Cells,30/12/2014,COAF,,,British Heart Foundation,,,PG/12/52/29713,,,,1131,,,GBP,1131,,,,,,,,,,
King's College London,08/04/2015,Hilary Toulmin,Cardiovascular Imaging,PMC4443373,,10.1073/pnas.1422638112,Hilary Toulmin,National Academy of Sciences,Proceedings of the National Academy of Sciences,,Journal article,Specialization and integration of functional thalamocortical connectivity in the human infant,01/01/2015,RCUK,,,Wellcome Trust,NIHR,,Welcome trust - 096039/Z/11/Z,MRC grant code - MR/K006355/1,NIHR (ePRIME) - RP-PG-0707-10154,17/05/2015,1200,,,USD,765,,,,,,765,CC BY,,,
King's College London,29/06/2015,Winnie Wefelmeyer,MRC Centre - Developmental Neurobiology,PMC4534224,,10.1073/pnas.1502902112,Juan Burrone; Winnie Wefelmeyer,National Academy of Sciences,Proceedings of the National Academy of Sciences,,Journal article,An activity-dependent mismatch between axo-axonic synapses and the axon initial segment controls neuronal output,20/07/2015,COAF,,,Wellcome Trust,,,095589/Z/11/Z,,,31/07/2015,2500,,,USD,1619.3,,,,,,,,,,
King's College London,10/08/2015,Aisyah Mohd Noor,Cancer Studies Research Division,,26492224,10.1038/bjc.2015.341,"Aisyah Mohd Noor, Lars Holmberg, Cheryl Gillett, Anita Grigoriadis",Nature Publishing Group,British Journal of Cancer,,Journal article,Big Data: The Challenge for Small Research Groups in the Era of Cancer Genomics,22/10/2015,COAF,,,Breakthrough Breast Cancer,,,MORTBBR,,,30/09/2015,2400,,,GBP,2400,,,,Pre-payment discount,,,CC BY,,,
King's College London,26/01/2015,Derek Warren,Cardiovascular,PMC4532777,,10.1038/cdd.2015.12,Derek Warren,Nature Publishing Group,Cell Death & Differentiation,,Journal article,Nesprin-2 dependent ERK1/2 compartmentalisation regulates the DNA damage response in vascular smooth muscle cell ageing,06/03/2015,COAF,,,British Heart Foundation,,,FS/11/53/29020,,,30/01/2015,3240,,,GBP,3240,,,,Pre-payment discount,,,CC BY,,,
King's College London,05/03/2015,Martin Gulliford,Primary Care & Public Health Sciences,,25810065,10.1038/jhh.2015.23,Martin Gulliford,Nature Publishing Group,Journal of Human Hypertension,,Journal article,"Severity of obesity and management of hypertension, hypercholesterolaemia and smoking in primary care: Population-based cohort study",,RCUK,,,MRC,,,G0900845,,,04/03/2015,2880,,,GBP,2880,,,,,,2880,CC BY,,,
King's College London,10/08/2015,Simon Broad,Genetics & Molecular Medicine,,26121213,10.1038/jid.2015.242,Fiona Watt,Nature Publishing Group,Journal of Investigative Dermatology,,Journal article,The androgen receptor antagonises Wnt/ß-catenin signalling in epidermal stem cells,16/07/2015,RCUK,,,MRC,,,G1100073-E01/1,,,20/08/2015,2520,,,GBP,2520,,,,,,2520,CC BY-NC-SA,,,
King's College London,11/08/2015,Simon Broad,Genetics & Molecular Medicine,,26288357,10.1038/jid.2015.319,Fiona Watt,Nature Publishing Group,Journal of Investigative Dermatology,,Journal article,"Fate of Prominin-1 expressing dermal papilla cells during homeostasis, wound healing and Wnt activation",10/09/2015,COAF,,,Wellcome Trust,,,096540/Z/11/Z,,,05/08/2015,2520,,,GBP,2520,,,,,,,CC BY-NC-SA,,,
King's College London,27/04/2015,Valeria Mondelli,Psychological Medicine,,26033244,10.1038/mp.2015.67,Valeria Mondelli,Nature Publishing Group,Molecular Psychiatry,,Journal article,"Childhood trauma and adulthood inflammation: A meta-analysis of peripheral C-reactive protein, Interleukin-6 and Tumour Necrosis Factor-a",,RCUK,,,MRC,,,MR/J002739/1,,,13/05/2015,2880,,,GBP,2880,,,,,,2880,CC BY,,,
King's College London,17/04/2015,Stuart Bevan,Wolfson Centre for Age Related Diseases,PMC4455064,,10.1038/ncomms8150,Stuart Bevan,Nature Publishing Group,Nature Communications,,Journal article,TRPM8 is a neuronal osmosensor that regulates eye blinking in mice,22/05/2015,COAF,,,Wellcome Trust,,,092648/Z/10/Z,,,15/04/2015,3780,,,GBP,3780,,,,,,,CC BY,,,
King's College London,17/06/2015,Sergi Garcia-Manyes,Physics,PMC4532836,,10.1038/ncomms8894,Sergi Garcia-Manyes,Nature Publishing Group,Nature Communications,,Journal article,The mechanochemistry of copper reports on the directionality of unfolding in model cupredoxin proteins,01/08/2015,RCUK,,,EPSRC,,,EP/K00641X/1,,,26/06/2015,3780,,,GBP,3780,,,,,,3780,CC BY,,,
King's College London,03/06/2015,Marta Di Forti,Social Genetic & Developmental Psychiatry,PMC4535639,,10.1038/npjschz.2015.25,"Marco Colizzi, Conrad Iyegbe, John Powell, Robin M. Murray, and Marta Di Forti",Nature Publishing Group,Nature Schizophrenia,,Journal article,INTERACTION BETWEEN DRD2 AND AKT1 GENETIC VARIATION ON RISK OF PSYCHOSIS IN CANNABIS USERS: A CASE-CONTROL STUDY,01/07/2015,RCUK,,,MRC,,,PADBABR,,,16/06/2015,1740,,,GBP,1740,,,,,,1740,CC BY,,,
King's College London,04/08/2015,Conrad Iyegbe,Psychosis Studies,,,10.1038/npjschz.2015.36,Conrad Iyegbe,Nature Publishing Group,Nature Schizophrenia,,Journal article,Does environmental confounding mask pleiotropic effects of a Multiple Sclerosis susceptibility variant on vitamin D in psychosis?,28/10/2015,RCUK,,,NIHR,,,RP-PG-0606-1049,,,30/09/2015,1740,,,GBP,1740,,,,,,1740,CC BY,,,
King's College London,26/01/2015,Franca Fraternali,Randall Division of Cell & Molecular Biophysics,,25703051,10.1038/srep08540,Franca Fraternali,Nature Publishing Group,Scientific Reports,,Journal article,Bridging Topological and Functional Information in Protein Interaction Networks by Short Loops Profiling,23/02/2015,RCUK,,,BBSRC,,,KJADGMR,,,04/02/2015,1188,,,GBP,1188,,,,,,1188,CC BY,,,
King's College London,10/03/2015,Heather Bax,Research Oncology,PMC4402612,,10.1038/srep09538,"Heather Bax, Holly Bowen, Tihomir, Dodev, Brian Sutton, Hannah Gould",Nature Publishing Group,Scientific Reports,,Journal article,Mechanism of the Antigen-Independent Cytokinergic SPE-7 IgE Activation of Human Mast Cells in Vitro,01/01/2015,RCUK,,,MRC,,,G1100090,,,16/03/2015,1188,,,GBP,1188,,,,,,1188,CC BY,,,
King's College London,02/09/2015,Cynthia Lilian Andoniadou,Craniofacial Development & Stem Cell Biology,PMC4585991,,10.1038/srep14479,Cynthia Lilian Andoniadou,Nature Publishing Group,Scientific Reports,,Journal article,Activated WNT signaling in postnatal SOX2-positive dental stem cells can drive odontoma formation,28/09/2015,RCUK,,,MRC,,,MR/L016729/1,,,09/09/2015,1188,,,GBP,1188,,,,,,1188,CC BY,,,
King's College London,23/12/2015,Simon Broad,Genetics & Molecular Medicine,,26757610,10.1038/srep18948,,Nature Publishing Group,Scientific Reports,,Journal article,Scalable topographies to support proliferation and Oct4 expression by human induced pluripotent stem cells,13/01/2016,COAF,,,Wellcome Trust,,,098503/Z/12,,,11/12/2015,1188,,,GBP,1188,,,,,,,CC BY,,,
King's College London,20/02/2015,Karim Malki,"Social, Genetic & Development Psychiatry Centre",PMC4429169,,10.1038/tp.2015.15,Karim Malki,Nature Publishing Group,Translational Psychiatry,,Journal article,Identification of genes and gene pathways associated with Major Depressive Disorder by integrative brain analysis of rat and human Prefrontal Cortex transcriptomes,,RCUK,,,MRC,,,G9817803,,,19/02/2015,2880,,,GBP,2880,,,,,,2880,CC BY,,,
King's College London,07/05/2015,Steven Kiddle,Social Genetic & Developmental Psychiatry,PMC4490288,,10.1038/tp.2015.78,Steven Kiddle,Nature Publishing Group,Translational Psychiatry,,Journal article,Plasma protein biomarkers of Alzheimer's disease endophenotypes in asymptomatic older twins: early cognitive decline and regional brain volumes,16/06/2015,RCUK,,,MRC,Wellcome Trust,"NIHR, EU, Alzheimer's Research UK, The John and Lucille van Geest Foundation, Guy’s and St Thomas’ Charity and the Maudsley Charity, Kuopio University Hospital , UEFBRAIN",MR/L011859/1,,,19/05/2015,2880,,,GBP,2880,,,,,,2880,CC BY,,,
King's College London,08/04/2015,Jim O'doherty,PET Imaging Centre Facility,,,10.17229/jdit.2015-0428-016,Jim O'doherty,Open Medscience,Journal of Diagnostic Imaging in Therapy,,Journal article,"A review of 3D image-based dosimetry, technical considerations and emerging perspectives in 90Y microsphere therapy",28/04/2015,COAF,,,NIHR,,,WT 088641/Z/09/Z,,,29/04/2015,420,,,GBP,420,,,,Pre-payment discount,,,CC BY,,,
King's College London,30/09/2015,Riccardo Sapienza,Physics,,26561082,10.1364/oe.23.028108,Riccardo Sapienza,Optical Society,Optics Express,,Journal article,Scattering of a plasmonic nanoantenna embedded in a silicon waveguide,,RCUK,,,EPSRC,,,P7-PEOPLE-2011-CIG / EP/K02146X/1,,,07/10/2015,2260,,,GBP,1482,,,,,,1482,,,,
King's College London,06/03/2015,Helen Gilburt,Addiction,PMC4474003,,10.1093/alcalc/agv027,Helen Gilburt,Oxford University Press,Alcohol and Alcoholism,,Journal article,Navigating the alcohol treatment pathway: a qualitative study from the service users’ perspective,,RCUK,,,MRC,,,G0701818,,,06/03/2015,,,,GBP,2400,,,,,,2400,CC BY,,,
King's College London,02/12/2015,Lawrence Moon,Wolfson Centre for Age Related Diseases,,26614754,10.1093/brain/awv341,Lawrence Moon,Oxford University Press,Brain,,Journal article,Delayed intramuscular human neurotrophin-3 improves recovery in adult and elderly rats after stroke,27/11/2015,RCUK,,,BBSRC,,,Capacity Building Award in Integrative Mammalian Biology,,,11/12/2015,2400,,,GBP,2400,,,,Pre-payment discount,,2400,,,,
King's College London,11/03/2015,Jonathan O'Muircheartaigh,Neuroimaging,,25899706,10.1093/cercor/bhv063,Jonathan O'Muircheartaigh,Oxford University Press,Cerebral Cortex,,Journal article,White matter connectivity of the thalamus delineates the functional architecture of competing thalamocortical systems,21/04/2015,COAF,,,Wellcome Trust,,,96195,,,13/03/2015,2550,,,GBP,2550,,,,Pre-payment discount,,,CC BY,,,
King's College London,23/11/2015,Marco Catani,Neuroimaging,PMC4635921,,10.1093/cercor/bhv173,Marco Catani,Oxford University Press,Cerebral Cortex,,Journal article,From Phineas Gage and Monsieur Leborgne to H.M.: Revisiting Disconnection Syndromes.,12/08/2015,COAF,,,Wellcome Trust,,,103759/Z/14/Z,,,10/08/2015,2550,,,GBP,2550,,,,Pre-payment discount,,,CC BY,,,
King's College London,29/07/2015,Anthony David,Psychosis Studies,,26286920,10.1093/cercor/bhv181,-,Oxford University Press,Cerebral Cortex,,Journal article,"Psychotic Experiences, Working Memory and the Developing Brain: a Multimodal Neuroimaging Study",18/08/2015,RCUK,,,MRC,,,G0901885,,,30/07/2015,2550,,,GBP,2550,,,,Pre-payment discount,,2550,CC BY,,,
King's College London,16/11/2015,Slava Karolis,Psychosis Studies,,26742566,10.1093/cercor/bhv305,Slava Karolis,Oxford University Press,Cerebral Cortex,,Journal article,Reinforcement of the brain’s rich-club architecture following early neurodevelopmental disruption caused by very preterm birth,07/01/2016,RCUK,,,MRC,,,MR/K004867/1,,,18/11/2015,2250,,,GBP,2250,,,,Pre-payment discount,,2250,CC BY-NC,,,
King's College London,07/02/2015,Jeremy Ward,Respiratory Physiology,PMC4362402,,10.1093/cvr/cvv029,Jeremy Ward,Oxford University Press,Cardiovascular Research,,Journal article,Sphingosylphosphorylcholine potentiates vasoreactivity and voltage-gated Ca2+ entry via NOX1 and reactive oxygen species,06/02/2015,COAF,,,Wellcome Trust,,,87776,,,04/02/2015,2400,,,GBP,2400,,,,Pre-payment discount,,,CC BY,,,
King's College London,20/11/2015,Amedeo Chiribiri,Cardiovascular Imaging,,26705485,10.1093/ehjci/jev326,Amedeo Chiribiri,Oxford University Press,European Heart Journal - Cardiovascular Imaging,,Journal article,Perfusion Dyssynchrony Analysis,24/12/2015,COAF,RCUK,,Wellcome Trust,EPSRC,,WT 088641/Z/09/Z,,,29/11/2015,2400,,,GBP,2400,,,,Pre-payment discount,,1200,CC BY,,,"COAF (50%), RCUK (50%)"
King's College London,27/03/2015,Giorgio Di Gessa,"Social Science, Health & Medicine",,25783973,10.1093/geronb/gbv007,Giorgio Di Gessa,Oxford University Press,Journals of Gerontology: Series B,,Journal article,What Drives National Differences in Intensive Grandparental Childcare in Europe?,,RCUK,,,ESRC,,,ES/K003348/1,,,,2550,,,GBP,2550,,,,Pre-payment discount,,2550,CC BY,,,
King's College London,28/05/2015,Giorgio Di Gessa,"Social Science, Health & Medicine",,26315046,10.1093/geronb/gbv055,Giorgio Di Gessa,Oxford University Press,Journal of Gerontology: Social Sciences,,Journal article,The health impact of intensive and non-intensive grandchild care in Europe: New evidence from the SHARE,26/08/2015,RCUK,,,ESRC,,,ES/K003348/1,,,18/06/2015,2550,,,GBP,2550,,,,,,2550,CC BY,,,
King's College London,11/03/2015,Jordana Bell,Twin Research & Genetic Epidemiology,PMC4588864,,10.1093/ije/dyv041,Jordana Bell,Oxford University Press,International Journal of Epidemiology,,Journal article,Power and Sample Size Estimation for Epigenome-Wide Association Scans to Detect Differential DNA Methylation,13/05/2015,COAF,,,Wellcome Trust,,,082713/Z/07/Z,,,12/03/2015,2400,,,GBP,2400,,,,Pre-payment discount,,,CC BY,,,
King's College London,17/08/2015,Tomas Doyle,Infectious Disease,PMC4613743,,10.1093/jac/dkv243,Tomas Doyle,Oxford University Press,Journal Antimicrobial chemotherapy,,Journal article,Integrase inhibitor (INI) genotypic resistance in treatment-naive and raltegravir- experienced patients infected with diverse HIV-1 clades,26/08/2015,COAF,,,Wellcome Trust,,,,,,17/08/2015,2400,,,GBP,2400,,,,Pre-payment discount,,,CC BY,,,
King's College London,23/09/2015,Gaia Cantelli,Randall Division of Cell & Molecular Biophysics,,26464464,10.1093/jnci/djv289,Gaia Cantelli,Oxford University Press,Journal of the National Cancer Institute,,Journal article,A cytoskeletal sensor reactivates p53 to control the balance between DNA damage and tumour dissemination,13/10/2015,RCUK,COAF,,Cancer Research UK,MRC,,C33043/A12065,,,28/09/2015,2550,,,GBP,2550,,,,,,1912.5,CC BY,,,"COAF (25%), RCUK (75%)"
King's College London,22/09/2015,David Phillips,Analytical and Environmental Sciences Division,,26443852,10.1093/mutage/gev073,David Phillips,Oxford University Press,Mutagenesis,,Journal article,The genome as a record of environmental exposure,06/10/2015,COAF,,,Wellcome Trust,Wellcome Trust,,101126/Z/13/Z,101026/B/13/Z,,23/09/2015,2400,,,GBP,2400,,,,,,,CC BY,,,
King's College London,01/04/2015,Sara Hitchman,Addictions,,25896067,10.1093/ntr/ntv078,Sara Hitchman,Oxford University Press,Nicotine and Tobacco Research,,Journal article,"Associations between e-cigarette type, frequency of use, and quitting smoking: Findings from a longitudinal online panel survey in Great Britain",20/04/2015,RCUK,,,MRC,British Heart Foundation,CRC/ESRC/NIHR,MR/K023195/1,,,24/07/2015,2625.6,,,GBP,2625.6,,,,,,2625.6,CC BY,,,
King's College London,11/06/2015,Leonie Brose,Addictions,,26069036,10.1093/ntr/ntv127,Leonie Brose,Oxford University Press,Nicotine and Tobacco Research,,Journal article,A Systematic Review of Smoking Cessation Interventions for Adults in Substance Abuse Treatment or Recovery,01/07/2015,RCUK,,,MRC,British Heart Foundation,Cancer Research UK/ESRC/NIHR,MR/K023195/1,,,29/06/2015,2625.6,,,GBP,2625.6,,,,,,2625.6,CC BY,,,
King's College London,06/01/2015,Dr Charlotte Krahé,Psychology,,25556212,10.1093/scan/nsu156,"Dr Charlotte Krahé, Dr Yannis Paloyelis, Prof. Steve Williams",Oxford University Press,Social Cognitive and Affective Neuroscience,,Journal article,Attachment style moderates partner presence effects on pain: A laser-evoked potentials study,01/01/2015,RCUK,,,Volkswagen Foundation,ERC,ESRC,ES/K009400/1,,,21/04/2015,1800,,,GBP,1800,,,,,,1800,CC BY,,,
