"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC","DOI","Date of APC payment","Date of initial application by author","ISSN0","Institution","Journal","Licence","PubMed Central (PMC) ID","PubMed ID","Publisher","TCO year","Type of publication","Drop?","Year of publication","period","is_hybrid","euro"
"","","2240.82","","10.1007/s10909-014-1161-1","2014-04-01","2014-02-04","0022-2291","Lancaster University","Journal of Low Temperature Physics (Springer)","","","","Springer Open Choice","2014","","0","2014","2014","","2702.39"
"","","2171.97","","10.1007/s10909-014-1144-2","2014-04-09","","0022-2291","Lancaster University","Journal of Low Temperature Physics (Springer)","","","","Springer Open Choice","2014","","0","2014","2014","","2636.69"
"","","","","","","","","","","","","","","","","","","","",""
"","","830.79","","10.1371/journal.pone.0097663","2014-05-15","2013-05-09","1932-6203","Lancaster University","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","2014","2014","","1019.12"
"","","1004.37","","10.1103/physrevb.89.214503","2014-05-12","2014-01-13","1098-0121","Lancaster University","Physical Review B - American Physical Society","","","","APS Journals","2014","","0","2014","2014","","1232.13"
"","","3780","","10.1038/ncomms5118","2014-05-16","2014-04-09","2041-1723","Lancaster University","Nature Communications","","","","Springer Nature","2014","","0","2014","2014","","4639.18"
"","","1343.76","","10.1063/1.4879848","2014-05-21","2014-05-16","0003-6951","Lancaster University","Applied Physics Letters (American Institute of Physics)","","","","AIP Publishing","2014","","0","2014","2014","","1660.19"
"","","1006.65","","10.1103/physreve.89.062909","2014-05-23","2013-07-01","1539-3755","Lancaster University","Physical Review E","","","","American Physical Society (APS)","2014","","0","2014","2014","","1243.78"
"","","1213.25","","10.1152/ajpgi.00317.2013","2014-06-24","2014-06-02","0193-1857","Lancaster University","AJP - Gastrointestinal and Liver Physiology","","","","American Physiological Society","2014","","0","2014","2014","","1513.72"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2100","","10.1093/jeg/lbu038","2014-09-11","2013-10-28","1468-2702","Lancaster University","Journal of Economic Geography","","","","Oxford University Press (OUP)","2014","","0","2014","2014","","2638.85"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","852.32","","10.1063/1.4902177","2014-11-13","2014-10-29","2158-3226","Lancaster University","AIP Advances","","","","AIP Publishing","2014","","0","2014","2014","","1077.25"
"","","800","","10.1140/epjst/e2014-02286-7","2014-12-01","2014-09-11","1951-6401","Lancaster University","European Physical Journal - Special Topics","","","","EDP Sciences","2014","","0","2014","2014","","1009.21"
"","","850","","10.5194/acpd-14-27335-2014","2014-12-09","2014-08-05","1680-7316","Lancaster University","Atmospheric Chemistry and Physics","","","","European Geosciences Union","2014","","0","2014","2014","","1075.75"
"","","950","","10.3389/fnhum.2014.01011","2014-12-09","2014-05-08","1662-5161","Lancaster University","Frontiers in Human Neuroscience","","","","Frontiers Media SA","2014","","0","2014","2014","","1202.3"
"","","1296","","10.1098/rspb.2014.2029","2015-01-15","2014-12-09","1471-2954","Lancaster University","Proceedings of the Royal Society, Series B","","","","The Royal Society","2014","","0","2014","2015","","1689.26"
"","","210.42","","10.1109/jphot.2013.2292337","2014-04-30","2013-03-28","1943-0655","Lancaster University","IEEE Photonics Journal","","","","|EEE","2014","","0","2013","2014","","255.67"
"","","600","","10.1112/tlms/tlu001","2014-03-17","2013-06-13","2052-4986","Lancaster University","Transactions of the London Mathematical Society","","","","London Mathematical Society","2014","","0","2014","2014","","717.06"
"","","485.89","","10.4102/sajip.v40i1.1137","2014-05-16","2014-05-15","0258-5200","Lancaster University","South African Journal of Industrial Psychology","","","","AOSIS open journals","2014","","0","2014","2014","","596.33"
"","","1446","","10.1186/1756-3305-7-329","2014-07-04","2013-03-21","1756-3305","Lancaster University","Parasites and Vectors","","","","Springer Nature","2014","","0","2014","2014","","1824.38"
"","","480","","10.1177/0963947014526312","","2014-08-14","0963-9470","Lancaster University","Language and Literature (SAGE)","","","","SAGE Publications","2014","","0","2014","2014","","595.44"
"","","2280","","10.1287/opre.2014.1272","","2014-09-18","0030-364X","Lancaster University","Operations Research (INFORMS)","","","","INFORMS Open","2014","","0","2014","2014","","2828.36"
"","","3000","","10.1192/bjp.bp.113.141259","2014-10-28","2014-07-25","0007-1250","Lancaster University","British Journal of Psychiatry","","","","British Journal of Psychiatry","2014","","0","2014","2014","","3806.62"
"","","","","","","","","","","","","","","","","","","","",""
"","","1125","","10.1002/2014gl059553","2014-03-18","","0094-8276","Lancaster University","Geophysical Research Letters","","","","Wiley-Blackwell","2014","","0","2014","2014","","1342.0"
"","","1500","","10.1111/1467-954x.12198","2014-09-03","2013-12-02","0038-0261","Lancaster University","Sociological Review","","","","Wiley-Blackwell","2014","","0","2014","2014","","1878.4"
"","","1500","","10.1002/sim.6225","2014-05-28","2013-12-19","1097-0258","Lancaster University","Statistics in Medicine","","","","Wiley-Blackwell","2014","","0","2014","2014","","1846.15"
"","","1500","","10.1111/bcp.12402","2014-04-15","2014-02-11","1365-2125","Lancaster University","British Journal of Clinical Pharmacology","","","","Wiley-Blackwell","2014","","0","2014","2014","","1817.96"
"","","1500","","10.1002/sim.6316","2014-09-11","2014-04-29","1097-0258","Lancaster University","Statistics in Medicine","","","","Wiley-Blackwell","2014","","0","2014","2014","","1884.9"
"","","1500","","10.1111/gcb.12627","2014-05-12","2013-10-28","1365-2486","Lancaster University","Global Change Biology","","","","Wiley-Blackwell","2014","","0","2014","2014","","1840.15"
"","","1500","","10.1002/sim.6183","2014-05-12","2014-05-12","1097-0258","Lancaster University","Statistics in Medicine","","","","Wiley-Blackwell","2014","","0","2014","2014","","1840.15"
"","","1875","","10.1002/2014ja019779","2014-05-29","2014-01-13","2169-9402","Lancaster University","Journal of Geophysical Research: Space Physics","","","","Wiley-Blackwell","2014","","0","2014","2014","","2302.03"
"","","1125","","10.1002/2014gl060703","2014-08-01","2014-03-19","1944-8007","Lancaster University","Geophysical Research Letters","","","","Wiley-Blackwell","2014","","0","2014","2014","","1413.14"
"","","1875","","10.1002/2014ja020136","2014-07-15","2014-03-28","2169-9402","Lancaster University","Journal of Geophysical Research (JGR)","","","","Wiley-Blackwell","2014","","0","2014","2014","","2364.14"
"","","1875","","10.1002/2014ja020203","2014-08-01","2014-05-14","2169-9402","Lancaster University","Journal of Geophysical Research (JGR) Space Physics","","","","Wiley-Blackwell","2014","","0","2014","2014","","2355.23"
"","","1500","","10.1111/modl.12150","2014-09-12","2014-06-17","1540-4781","Lancaster University","Modern Language Journal","","","","Wiley-Blackwell","2014","","0","2014","2014","","1883.0"
"","","874","","10.1002/ece3.1293","2014-07-08","2014-07-03","2045-7758","Lancaster University","Ecology & Evolution","","","","Wiley-Blackwell","2014","","0","2014","2014","","1100.96"
"","","1500","","10.1002/tesq.129","2014-08-01","2014-07-25","1545-7249","Lancaster University","TESOL quarterly","","","","Wiley-Blackwell","2014","","0","2014","2014","","1884.19"
"","","1500","","10.1002/tesq.168","2014-09-11","2014-08-07","1545-7249","Lancaster University","TESOL quarterly","","","","Wiley-Blackwell","2014","","0","2014","2014","","1884.9"
"","","1125","","10.1002/2014gl062748","2015-01-13","2014-09-03","1944-8007","Lancaster University","Geophysical Research Letters (GRL), American Geophysical Union","","","","Wiley-Blackwell","2014","","0","2014","2015","","1448.44"
"","","777","","10.1002/ece3.1016","","2014-01-05","","University of Leicester","Ecology and Evolution","","","","WILEY-BLACKWELL","2014","","0","","2014","","963.88"
"","","997.88","","10.1371/journal.pone.0086930","","2014-01-07","","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE","2014","","0","","2014","","1237.88"
"","","","","","","","","","","","","","","","","","","","",""
"","","1596.06","","10.1016/j.jrurstud.2014.01.002","","2014-01-08","","University of Leicester","Journal of Rural Studies","","","","ELSEVIER","2014","","0","","2014","","1979.93"
"","","","","","","","","","","","","","","","","","","","",""
"","","701.09","","10.1073/pnas.1318624110","","2014-01-15","","University of Leicester","Proceedings of the National Academy of Sciences ","","","","NATIONAL ACADEMY OF SCIENCES","2014","","0","","2014","","869.71"
"","","1750","","10.1042/bj20150039","","2014-01-15","","University of Leicester","Biochemical Journal","","","","PORTLAND PRESS","2014","","0","","2014","","2170.89"
"","","1344.58","","10.1016/j.febslet.2013.12.030","","2014-01-17","","University of Leicester","FEBS Letters","","","","ELSEVIER","2014","","0","","2014","","1667.97"
"","","1344.57","","10.1016/j.febslet.2013.12.030","","2014-01-17","","University of Leicester","FEBS Letters","","","","ELSEVIER","2014","","0","","2014","","1667.95"
"","","2100","","10.1093/hmg/ddu022","","2014-01-21","","University of Leicester","Human Molecular Genetics","","","","OXFORD UNIVERSITY PRESS","2014","","0","","2014","","2605.07"
"","","1125","","10.1002/2014gl060186","","2014-01-22","","University of Leicester","Geophysical Research Letters","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","1395.57"
"","","1680","","10.1098/rspb.2013.2502","","2014-01-23","","University of Leicester","Proceedings of the Royal Society B","","","","ROYAL SOCIETY","2014","","0","","2014","","2084.06"
"","","693","","10.1186/s40668-014-0001-7","","2014-01-23","","University of Leicester","Computational Astrophysics and Cosmology","","","","SPRINGER","2014","","0","","2014","","859.67"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2914.07","","10.1021/jo402592z","","2014-02-06","","University of Leicester","Journal of Organic Chemistry","","","","AMERICAN CHEMICAL SOCIETY","2014","","0","","2014","","3614.93"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","596.7","","10.1186/1742-7622-11-10","","2014-02-25","","University of Leicester","Emerging Themes in Epidemiology","","","","BIOMED CENTRAL","2014","","0","","2014","","740.21"
"","","596.7","","10.1186/1742-7622-11-10","","2014-02-25","","University of Leicester","Emerging Themes in Epidemiology","","","","BIOMED CENTRAL","2014","","0","","2014","","740.21"
"","","970.8","","10.1371/journal.pone.0089831","","2014-03-04","","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE","2014","","0","","2014","","1204.29"
"","","1196","","10.1128/aac.02774-13","","2014-03-06","","University of Leicester","Antimicrobial Agents and Chemotherapy","","","","AMERICAN SOCIETY FOR MICROBIOLOGY","2014","","0","","2014","","1483.65"
"","","2597.56","","10.1002/humu.22542","","2014-03-10","","University of Leicester","Human Mutation","","","","WILEY-BLACKWELL","2014","","0","","2014","","3222.3"
"","","2121.74","","10.1007/s00126-014-0515-6","","2014-03-11","","University of Leicester","Mineralium Deposita","","","","SPRINGER","2014","","0","","2014","","2632.04"
"","","1656.04","","10.1371/journal.pgen.1004314","","2014-03-12","","University of Leicester","PLOS Genetics","","","","PUBLIC LIBRARY OF SCIENCE","2014","","0","","2014","","2054.33"
"","","3013","","10.1016/j.molcel.2013.05.020","","2014-03-14","","University of Leicester","Molecular Cell","","","","CELL PRESS","2014","","0","","2014","","3737.66"
"","","2100","","10.1093/hmg/ddu122","","2014-03-20","","University of Leicester","Human Molecular Genetics","","","","OXFORD UNIVERSITY PRESS","2014","","0","","2014","","2605.07"
"","","1875","","10.1002/2014ja020011","","2014-03-25","","University of Leicester","Journal of geophysical research","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","2325.96"
"","","","","","","","","","","","","","","","","","","","",""
"","","1200","","10.1242/jcs.142331","","2014-03-31","","University of Leicester","Journal of Cell Science","","","","COMPANY OF BIOLOGISTS","2014","","0","","2014","","1488.61"
"","","1200","","10.1242/jcs.142331","","2014-03-31","","University of Leicester","Journal of Cell Science","","","","COMPANY OF BIOLOGISTS","2014","","0","","2014","","1488.61"
"","","3558.78","","10.1016/j.cub.2014.08.023","","2014-03-31","","University of Leicester","Current Biology","","","","ELSEVIER","2014","","0","","2014","","4414.7"
"","","963.5","","10.3389/fmicb.2014.00184","","2014-04-04","","University of Leicester","Frontiers in Virology","","","","FRONTIERS","2014","","0","","2014","","1195.23"
"","","1500","","10.1111/jth.12566","","2014-04-10","","University of Leicester","Journal of Thrombosis and Haemostasis","","","","WILEY-BLACKWELL","2014","","0","","2014","","1860.77"
"","","2034","","10.1017/mdh.2014.28","","2014-04-11","","University of Leicester","Medical History","","","","CAMBRIDGE JOURNALS","2014","","0","","2014","","2523.2"
"","","1920","","10.1177/0141076814532392","","2014-04-14","","University of Leicester","Journal of the Royal Society of Medicine","","","","SAGE Publications","2014","","0","","2014","","2381.78"
"","","1155.6","","10.1523/jneurosci.2200-13.2014","","2014-04-24","","University of Leicester","Journal of Neuroscience","","","","SOCIETY FOR NEUROSCIENCE","2014","","0","","2014","","1433.53"
"","","963","","10.1523/jneurosci.2200-13.2014","","2014-04-24","","University of Leicester","Journal of Neuroscience","","","","SOCIETY FOR NEUROSCIENCE","2014","","0","","2014","","1194.61"
"","","1442.89","","10.1021/nl500946u","","2014-04-25","","University of Leicester","Nano Letters","","","","AMERICAN CHEMICAL SOCIETY","2014","","0","","2014","","1789.92"
"","","1875","","10.1002/2014ja019884","","2014-04-25","","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","2325.96"
"","","1875","","10.1002/2014ja020138","","2014-04-28","","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","2325.96"
"","","3780","","10.1038/ncomms5329","","2014-04-29","","University of Leicester","Nature Communications ","","","","NATURE PUBLISHING GROUP","2014","","0","","2014","","4689.13"
"","","3556.8","","10.1016/j.cub.2013.10.016","","2014-05-09","","University of Leicester","Current Biology","","","","ELSEVIER","2014","","0","","2014","","4412.25"
"","","552.37","","10.1105/tpc.114.124743","","2014-05-14","","University of Leicester","Plant Cell","","","","AMERICAN SOCIETY OF PLANT BIOLOGISTS","2014","","0","","2014","","685.22"
"","","1296","","10.1098/rspb.2014.2062","","2014-05-14","","University of Leicester","Proceedings of the National Academy of Sciences ","","","","NATIONAL ACADEMY OF SCIENCES","2014","","0","","2014","","1607.7"
"","","1500","","10.1111/resp.12318","","2014-05-15","","University of Leicester","Respirology","","","","WILEY-BLACKWELL","2014","","0","","2014","","1860.77"
"","","2850","","10.1037/a0037411","","2014-05-20","","University of Leicester","Journal of Experimental Psychology","","","","AMERICAN PSYCHOLOGICAL ASSOCIATION","2014","","0","","2014","","3535.45"
"","","1500","","10.1111/all.12444","","2014-05-27","","University of Leicester","Allergy","","","","WILEY-BLACKWELL","2014","","0","","2014","","1860.77"
"","","715.2","","10.1073/pnas.1321330111","","2014-06-05","","University of Leicester","Proceedings of the National Academy of Sciences ","","","","NATIONAL ACADEMY OF SCIENCES","2014","","0","","2014","","887.21"
"","","1285.2","","10.1016/j.geoforum.2015.02.014","","2014-06-09","","University of Leicester","Geoforum","","","","ELSEVIER","2014","","0","","2014","","1594.3"
"","","1500","","10.1002/humu.22599","","2014-06-12","","University of Leicester","Human Mutation","","","","WILEY-BLACKWELL","2014","","0","","2014","","1860.77"
"","","","","","","","","","","","","","","","","","","","",""
"","","1538.4","","10.1016/j.meegid.2014.06.016","","2014-06-24","","University of Leicester","Infection, Genetics and Evolution","","","","ELSEVIER","2014","","0","","2014","","1908.4"
"","","","","","","","","","","","","","","","","","","","",""
"","","1411.5","","10.1186/1745-6215-15-371","","2014-06-26","","University of Leicester","Trials","","","","BIOMED CENTRAL","2014","","0","","2014","","1750.98"
"","","1875","","10.1002/2014ja020367","","2014-07-04","","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","2325.96"
"","","1283.99","","10.3791/52155","","2014-07-08","","University of Leicester","Journal of Visualized Experiments","","","","JOVE","2014","","0","","2014","","1592.8"
"","","972.53","","10.1371/journal.pone.0102987","","2014-07-09","","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE","2014","","0","","2014","","1206.43"
"","","1500","","10.1002/jcp.24716","","2014-07-09","","University of Leicester","Journal of Cellular Physiology","","","","WILEY-BLACKWELL","2014","","0","","2014","","1860.77"
"","","1171","","10.1074/jbc.m114.577338","","2014-07-14","","University of Leicester","Journal of Biological Chemistry","","","","AMERICAN SOCIETY FOR BIOCHEMISTRY AND MOLECULAR BIOLOGY","2014","","0","","2014","","1452.64"
"","","1747","","10.1016/j.jaci.2014.06.035","","2014-07-14","","University of Leicester","Journal of Allergy and Clinical Immunology","","","","ELSEVIER","2014","","0","","2014","","2167.17"
"","","1194","","10.1108/jhom-02-2013-0035","","2014-07-15","","University of Leicester","Journal of Health Organization and Management","","","","EMERALD","2014","","0","","2014","","1481.17"
"","","1578","","10.1371/journal.pgen.1004603","","2014-07-18","","University of Leicester","PLOS Genetics","","","","PUBLIC LIBRARY OF SCIENCE","2014","","0","","2014","","1957.52"
"","","2653.12","","10.1378/chest.14-0764","","2014-07-22","","University of Leicester","Chest","","","","AMERICAN COLLEGE OF CHEST PHYSICIANS","2014","","0","","2014","","3291.22"
"","","","","","","","","","","","","","","","","","","","",""
"","","960","","10.1177/1468794114557991","","2014-07-25","","University of Leicester","Qualitative Research","","","","SAGE Publications","2014","","0","","2014","","1190.89"
"","","","","","","","","","","","","","","","","","","","",""
"","","3780","","10.1038/ncomms6055","","2014-08-05","","University of Leicester","Nature Communications","","","","NATURE PUBLISHING GROUP","2014","","0","","2014","","4689.13"
"","","","","","","","","","","","","","","","","","","","",""
"","","1875","","10.1002/2014ja020500","","2014-08-11","","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","2325.96"
"","","1875","","10.1002/2014ja020506","","2014-08-13","","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION","2014","","0","","2014","","2325.96"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","1354.16","","10.1371/journal.pgen.1004605","","2014-08-19","","University of Leicester","PLOS Genetics","","","","PUBLIC LIBRARY OF SCIENCE","2014","","0","","2014","","1679.85"
"","","904","","10.4161/nucl.36232","","2014-08-26","","University of Leicester","Nucleus","","","","LANDES BIOSCIENCE","2014","","0","","2014","","1121.42"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","1875","","10.1002/2014ja020601","","2014-09-08","","University of Leicester","Journal of Geophysical Research","","","","WILEY-BLACKWELL","2014","","0","","2014","","2325.96"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2100","","10.1099/jmm.0.076323-0","","2014-09-18","","University of Leicester","Journal of Medical Microbiology","","","","SOCIETY FOR GENERAL MICROBIOLOGY","2014","","0","","2014","","2605.07"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","1632","","10.1039/c4ob01832j","","2014-11-21","","University of Leicester","Organic and Biomolecular Chemistry","","","","ROYAL SOCIETY OF CHEMISTRY","2014","","0","","2014","","2024.51"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2034","","10.1017/s0031182014000171","","2014-01-30","","University of Liverpool","Parasitology","","","","Cambridge University Press (CUP)","2014","","0","","2014","","2523.2"
"3000","2172.34","2172.34","USD","10.1186/1758-2652-13-s4-p181","2014-03-18","2014-02-28","","University of Liverpool","Antimicrobial agents and chemotherapy","","","","American Society for Microbiology","2014","","0","","2014","","2157.96"
"","","2145.6","","10.1080/15265161.2014.903642","","2014-03-14","","University of Liverpool","The American Journal of Bioethics ","","","","Informa UK Limited","2014","","0","","2014","","2661.64"
"","","450","","10.1080/21650020.2013.866876","","2014-01-03","","University of Liverpool","Urban, Planning and Transport Research: An Open Access Journal","CC BY","","","Informa UK Limited","2014","","0","","2014","","558.23"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2100","","10.1093/logcom/ext074","","2014-02-04","","University of Liverpool","Journal of Logic and Computation","CC BY","","","Oxford University Press (OUP)","2014","","0","","2014","","2605.07"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"2950","1790.0293554","","USD","10.1080/10888705.2014.895904","","2014-02-28","","University of Liverpool","Journal of Applied Animal Welfare Science ","","","","Informa UK Limited","2014","","0","","2014","","2220.55"
"","","","","","","","","","","","","","","","","","","","",""
"","","210","GBP","10.1098/rspb.2013.3259","","2014-03-10","","University of Liverpool","Proceedings B","","","","The Royal Society","2014","","0","","2014","","260.51"
"","","","","","","","","","","","","","","","","","","","",""
"540","327.66639048","","USD","10.1017/s095927091400001x","","2014-03-27","","University of Liverpool","Bird Conservation International","","","","Cambridge University Press (CUP)","2014","","0","","2014","","406.47"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"2941.18","2370.9440216","","EUR","10.1002/ange.201307656","","2014-02-25","","University of Liverpool","Angewandte Chemie","","","","Wiley-Blackwell","2014","","0","","2014","","2941.18"
"","","2000","","10.1111/1365-2745.12240","","2014-03-04","","University of Liverpool","Journal of Ecology","","","","Wiley-Blackwell","2014","","0","","2014","","2481.02"
"","","3000","","10.1002/ange.201400080","","2014-03-04","","University of Liverpool","Angewandte Chemie","CC BY","","","Wiley-Blackwell","2014","","0","","2014","","3721.53"
"","","","","","","","","","","","","","","","","","","","",""
"","","3000","GBP","10.1007/s00227-014-2422-x","","2014-04-02","","University of Liverpool","Marine Biology","","","","Springer Nature","2014","","0","","2014","","3721.53"
"","","2469.6","GBP","10.1021/nn500962q","","2014-04-04","","University of Liverpool","Nano Focus","","","","American Chemical Society (ACS)","2014","","0","","2014","","3063.56"
"","","1253.4","GBP","10.1021/cm4038439","","2014-04-07","","University of Liverpool","Chemistry of Materials","","","","American Chemical Society (ACS)","2014","","0","","2014","","1554.86"
"","","2550","GBP","10.1136/bmjopen-2014-004869","","2014-04-11","","University of Liverpool","BMJ Open","","","","BMJ","2014","","0","","2014","","3163.3"
"","","1500","GBP","10.1186/1745-6215-15-168","","2014-04-22","","University of Liverpool","Trials","","","","Springer Nature","2014","","0","","2014","","1860.77"
"","","1200","GBP","10.1016/j.toxlet.2014.06.241","","2014-04-29","","University of Liverpool","Toxicological Sciences","","","","Oxford University Press (OUP)","2014","","0","","2014","","1488.61"
"","","","","","","","","","","","","","","","","","","","",""
"2900","1759.6898748","","USD","10.1074/jbc.m113.532069","","2014-04-29","","University of Liverpool","Journal of Biological Chemistry","","","","American Society for Biochemistry & Molecular Biology (ASBMB)","2014","","0","","2014","","2182.91"
"3600","2184.4426032","","USD","10.3366/para.2014.0119","","2014-04-30","","University of Liverpool","Paragraph","","","","Edinburgh University Press","2014","","0","","2014","","2709.82"
"1599.42","1289.3244504","","EUR","10.1371/journal.pone.0097634","","2014-04-30","","University of Liverpool","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","2014","","1599.42"
"2500","1516.97403","","USD","10.1016/j.ijms.2014.04.015","","2014-05-01","","University of Liverpool","International Journal of Spectrometry","","","","Elsevier BV","2014","","0","","2014","","1881.82"
"2900","1759.6898748","","USD","10.1002/pip.2507","","2014-05-13","","University of Liverpool","PROGRESS IN PHOTOVOLTAICS: RESEARCH AND APPLICATIONS","","","","Wiley-Blackwell","2014","","0","","2014","","2182.91"
"960","773.8752","","EUR","10.1016/j.apgeog.2014.04.008","","2014-05-14","","University of Liverpool","Applied Geography","","","","Elsevier BV","2014","","0","","2014","","960"
"2310.26","1401.84176901912","","USD","10.1130/g35718.1","","2014-05-16","","University of Liverpool","Geology","","","","Geological Society of America","2014","","0","","2014","","1739.0"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"1350","819.1659762","","USD","10.1111/jbi.12368","","2014-05-28","","University of Liverpool","Journal of Biogeography","","","","Wiley-Blackwell","2014","","0","","2014","","1016.18"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","2000","GBP","10.1107/s2052252514012585","","2014-05-30","","University of Liverpool"," International Union of Crystallography Journal (IUCrJ)","","","","International Union of Crystallography (IUCr)","2014","","0","","2014","","2481.02"
"","","2000","GBP","10.1016/j.nima.2014.03.050","","2014-05-30","","University of Liverpool","Nuclear Inst. and Methods in Physics Research, A","","","","Elsevier BV","2014","","0","","2014","","2481.02"
"1599.42","1289.3244504","","EUR","10.1136/bmjopen-2014-004943","","2014-06-02","","University of Liverpool","BMJ Open","","","","BMJ","2014","","0","","2014","","1599.42"
"2190","1328.86925028","","USD","10.1371/journal.pone.0100572","","2014-06-03","","University of Liverpool","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","2014","","1648.48"
"","","2000","GBP","10.1371/journal.pone.0097886","","2014-06-04","","University of Liverpool","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","2014","","2481.02"
"","","2000","GBP","10.1111/jeb.12443","","2014-06-04","","University of Liverpool","Journal of Evolutionary Biology","","","","Wiley-Blackwell","2014","","0","","2014","","2481.02"
"2665.69","2148.8660228","","EUR","10.1371/journal.pone.0100259","","2014-06-05","","University of Liverpool","PLOS One","","","","Public Library of Science (PLoS)","2014","","0","","2014","","2665.69"
"960","773.8752","","EUR","10.1111/area.12116","","2014-06-05","","University of Liverpool","Area","","","","Wiley-Blackwell","2014","","0","","2014","","960"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","1253.4","GBP","10.1093/hmg/ddu316","","2014-06-23","","University of Liverpool","Human Mol Genetics Online","","","","Oxford University Press (OUP)","2014","","0","","2014","","1554.86"
"","","","","","","","","","","","","","","","","","","","",""
"1925.22","1551.9583464","","EUR","10.1038/ncomms5395","","2014-06-27","","University of Liverpool","Nature Communications","","","","Springer Nature","2014","","0","","2014","","1925.22"
"1350","819.1659762","","USD","10.1186/1745-6215-15-279","","2014-06-30","","University of Liverpool","Trials","","","","Springer Nature","2014","","0","","2014","","1016.18"
