"","Title","Title.Alternative","Identifier","Publisher","Language","ISSN","EISSN","Keyword","Start.Year","End.Year","Added.on.date","Subjects","Country","Publication.fee","Further.Information","CC.License","Content.in.DOAJ"
"326","Jurnal Tanah Tropika","JTS : Journal of Tropical Soils","http://journal.unila.ac.id/index.php/tropicalsoil/","University of Lampung","English,Indonesian","0852-257X","2086-6682","soil science,environmental sciences,tropical soil,biodiversity",2008,NA,"2010-10-12T11:38:16Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Indonesia","Y","http://journal.unila.ac.id/index.php/tropicalsoil/about/submissions#authorGuidelines","","Yes"
"327","Hepatitis Research and Treatment","","http://www.hindawi.com/journals/heprt/","Hindawi Publishing Corporation","English","2090-1364","2090-1372","hepatitis,liver diseases,treatment",2010,NA,"2010-10-13T14:25:28Z","Diseases of the digestive system. Gastroenterology,Specialties of internal medicine,Internal medicine,Medicine,Gastroenterology,Medicine (General),Health Sciences","Egypt","Y","http://www.hindawi.com/journals/heprt/apc/","by","Yes"
"328","Forma","Forma. Revista d'estudis Comparatius. Art, Literatura, Pensament","http://www.upf.edu/forma","Universitat Pompeu Fabra","Catalan,Spanish,English","2013-7761","","art,literature,philosophy,history of ideas,humanities,interdisciplinary",2009,NA,"2010-10-18T13:08:19Z","General Works,Multidisciplinary,General Works","Spain","N","http://www.upf.edu/forma/normas.html","","Yes"
"329","Veterinary Research Forum","VRF","http://www.urmia.ac.ir/vrf","Urmia University","English","2008-8140","","veterinary science,veterinary medicine,animal science",2010,NA,"2010-10-18T16:33:02Z","Animal culture,Agriculture,Animal Sciences,Agriculture and Food Sciences","Iran","CON","http://www.urmia.ac.ir/vrf/Lists/Announcements/DispForm.aspx?ID=22&Source=http%3A%2F%2Fwww%2Eurmia%2Eac%2Eir%2Fvrf%2Fdefault%2Easpx","","Yes"
"330","Journal of Curriculum Theorizing","JCT Online","http://journal.jctonline.org/index.php/jct/index","Foundation for Curriculum Theory","English","1942-2563","","curriculum theory,curriculum planning,curriculum studies,classroom practice,education,interdisciplinary",2008,NA,"2010-10-19T09:57:25Z","Theory and practice of education,Education,Education,Social Sciences","United States","N","http://journal.jctonline.org/index.php/jct/about/submissions#authorGuidelines","","Yes"
"331","Researchers World : Journal of Arts Science & Commerce","Researchers World : Journal of Arts Science and Commerce","http://www.researchersworld.com","Educational Research Multimedia & Publication","English","2229-4686","","multidisciplinary,arts,commerce,finance,business,social sciences",2010,NA,"2010-10-19T15:49:05Z","General Works,Multidisciplinary,General Works","India","N","http://www.researchersworld.com/submission_guidelines.html","","Yes"
"332","Avances en Ciencias e Ingeniería","ACI","http://www.exeedu.com/publishing.cl/av_cienc_ing/","Executive Business School","Spanish","0718-8706","","science,engineering,technology,science education,higher education,teaching",2010,NA,"2010-10-20T10:00:11Z","Engineering (General). Civil engineering (General),Technology,General and Civil Engineering,Technology and Engineering,Science (General),Science,Science (General),Science General","Chile","Y","http://www.exeedu.com/publishing.cl/av_cienc_ing/","","Yes"
"333","National Journal of Community Medicine","","http://www.njcmindia.org","National Journal of Community Medicine","English","0976-3325","2229-6816","epidemiology,disease prevention",2010,NA,"2010-10-20T14:22:11Z","Public aspects of medicine,Medicine,Public Health,Health Sciences","India","Y","http://www.njcmindia.org/home/guideline","by-sa","Yes"
"334","Revista Engenharia na Agricultura","","http://www.seer.ufv.br","Divisão Gráfica Universitária","Portuguese,English,Spanish","1414-3984","2175-6813","agricultural engineering,agricultural machinery,environmental resources,storage,rural buildings",2008,NA,"2010-04-22T16:07:15Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Brazil","Y","http://www.seer.ufv.br/seer/index.php/reveng/about/submissions#authorGuidelines","by-nc","Yes"
"335","E&G : Quaternary Science Journal","","http://www.quaternary-science.net","Geozon Science Media","English,German","0424-7116","","quaternary geology,palaeoecology,soil science,palaeoclimatology,geomorphology",1951,NA,"2010-10-20T16:52:40Z","Geology,Science,Earth Sciences,Earth and Environmental Sciences","Germany","N","http://quaternary-science.publiss.net/pages/9?locale=en","by","Yes"
"336","Letters in Applied NanoBioScience","","http://www.nanobioletters.com","Comporter SRL","English","2284-6808","","nanomaterials,biomaterials,nanobiospectroscopy,nanobiomicroscopy",2012,NA,"2013-01-15T21:30:09Z","Technology (General),Technology,Technology (General),Technology and Engineering","Romania","N","http://nanobioletters.com/author-guidelines/","","Yes"
"337","Current Research Journal of Economic Theory","","http://www.maxwellsci.com/jp/j2p.php?jid=CRJET","Maxwell Science Publication","English","2042-4841","2042-485X","macroeconomics,public economics,financial economics,developmental economics",2009,NA,"2010-04-23T17:02:05Z","Economic theory. Demography,Social Sciences,Economics,Business and Economics","United Kingdom","Y","http://www.maxwellsci.com/guaid.php","","Yes"
"338","Current Research in Jazz","","http://www.crj-online.org","Current Research in Jazz","English","1944-4877","","jazz music,music theory,jazz music research",2009,NA,"2010-01-21T15:44:32Z","Music,Music and books on Music,Music,Arts and Architecture","United States","N","http://www.crj-online.org/about/CRJ-InformationForAuthors.php","","Yes"
"339","ANZIAM Journal : Electronic Supplement","","http://journal.austms.org.au/ojs/index.php/ANZIAMJ","Australian Mathematical Society","English","1446-8735","","applied mathematics",1997,NA,"2010-04-29T11:25:16Z","Mathematics,Science,Mathematics,Mathematics and Statistics","Australia","N","http://journal.austms.org.au/ojs/index.php/ANZIAMJ/about/submissions#authorGuidelines","","Yes"
"340","South-Eastern Europe Journal of Economics (SEEJE)","","http://www.asecu.gr/Seeje/index.html","Association of Economic Universities of South and Eastern Europe and the Black Sea Region","English","1109-8597","1792-3115","economics,Black Sea region,South-East Europe,finance,banking,economic growth",2003,NA,"2010-05-11T09:36:07Z","Economic theory. Demography,Social Sciences,Economics,Business and Economics","Greece","N","http://www.asecu.gr/Seeje/files/guide1.pdf","","Yes"
"341","International Journal of Exercise Science","","http://www.intjexersci.com","Berkeley Electronic Press","English","1939-795X","","exercise science,physiological aspects,health science",2008,NA,"2010-05-11T13:38:50Z","Sports,Recreation. Leisure,Geography. Anthropology. Recreation,Sports Science,Social Sciences","United States","N","http://digitalcommons.wku.edu/ijes/policies.html","","Yes"
"342","Revista Internacional de Sociologia","","http://revintsociologia.revistas.csic.es","Consejo Superior de Investigaciones Científicas","Spanish,English","0034-9712","1988-429X","social politics,economics,social anthropology,political sciences,social philosophy",2006,NA,"2010-05-11T13:43:28Z","Sociology (General),Social Sciences,Sociology,Social Sciences","Spain","N","http://revintsociologia.revistas.csic.es/index.php/revintsociologia/about/submissions#authorGuidelines","by-nc","Yes"
"343","Espace Politique","L'Espace Politique","http://espacepolitique.revues.org/","Université de Reims Champagne-Ardennes","French,English","1958-5500","","geopolitics,political geography,space,spatial dynamics,power,epistemology",2007,NA,"2010-05-12T09:23:51Z","Political science (General),Political science,Political Science,Law and Political Science","France","N","http://espacepolitique.revues.org/index1302.html","","Yes"
"344","Memorias : Revista Digital de Historia y Arqueología desde el Caribe ","","http://www.redalyc.org/revista.oa?id=855","Universidad del Norte","Spanish","1794-8886","","history,the Caribbean region",2005,NA,"2010-05-12T11:05:32Z","Latin America. Spanish America,History America,History,History and Archaeology,Archaeology,Auxiliary sciences of history,Archaeology,History and Archaeology","Colombia","N","http://redalyc.org/redalyc/media/normas/normcol855.html","","Yes"
"345","Temporalités","","http://temporalites.revues.org/","Laboratoire Printemps","French","1777-9006","2102-5878","time,sociology of time,interdisciplinary",2004,NA,"2010-05-18T13:04:01Z","Sociology (General),Social Sciences,Sociology,Social Sciences","France","N","http://temporalites.revues.org/index684.html","","Yes"
"346","Hemijska Industrija","","http://www.doiserbia.nb.rs/journal.aspx?issn=0367-598X","Association of Chemical Engineers, Belgrade","English,Serbian","0367-598X","2217-7426","chemical industry,chemical engineering,chemical technologies",2002,NA,"2010-09-28T15:53:42Z","Chemistry,Science,Chemistry (General),Chemistry","Serbia","N","http://www.doiserbia.nb.rs/journal.aspx?issn=0367-598X","","Yes"
"347","Miranda","","http://www.miranda-ejournal.fr/sdx2/miranda/index.xsp","CAS EA 801","English,French","2108-6559","","English-speaking world,literature,cultural practices,social practices",2010,NA,"2010-05-25T16:27:19Z","General Works,Multidisciplinary,General Works","France","N","http://blogs.univ-tlse2.fr/miranda/submission-guidelines-for-authors/","","Yes"
"348","Comunicação & Sociedade","","http://www.metodista.br/comunicacao.sociedade","Universidade Metodista de São Paulo","Portuguese","0101-2657","2175-7755","communications,media,society,development",2007,NA,"2009-11-19T15:59:52Z","Communication. Mass media,Philology. Linguistics,Language and Literature,Media and communication,Social Sciences","Brazil","N","https://www.metodista.br/revistas/revistas-metodista/index.php/CSO/about/submissions#authorGuidelines","","Yes"
"349","PVRI Review","","http://www.pvrireview.org/","Medknow Publications","English","0974-6013","0975-1602","pulmonary circulation,pulmonary vascular diseases",2009,NA,"2009-11-25T12:33:38Z","Diseases of the circulatory (Cardiovascular) system,Specialties of internal medicine,Internal medicine,Medicine,Cardiovascular,Medicine (General),Health Sciences","India","N","http://www.pvrireview.org/contributors.asp","by-nc-sa","Yes"
"350","International Journal of Early Childhood Special Education","INT-JECSE","http://www.int-jecse.net/","International Journal of Early Childhood Special Education","English,Turkish","1308-5581","","early intervention,young children education",2009,NA,"2009-11-26T14:08:28Z","Special aspects of education,Education,Education,Social Sciences","Turkey","N","http://www.int-jecse.net/instructions.asp","","Yes"
"351","Philosophy for Business","","http://www.isfp.co.uk/businesspathways/index.html","International Society for Philosophers","English","2043-0736","","ethics,business ethics,philosophy of business",2003,NA,"2010-06-14T16:31:46Z","Philosophy (General),Philosophy. Psychology. Religion,Philosophy,Philosophy and Religion","United Kingdom","N","http://www.isfp.co.uk/businesspathways/index.html","","Yes"
"352","Revista Pediatría de Atención Primaria","Revista Pediatria de Atencion Primaria","http://www.pap.es","Asociación Española de Pediatría de Atención Primaria (AEPap)","Spanish","1139-7632","2174-4106","primary care,pediatrics,pediatric research",2000,NA,"2010-06-15T09:11:18Z","Pediatrics,Medicine,Pediatrics,Medicine (General),Health Sciences","Spain","N","http://www.pap.es/FrontOffice/PAP/front/La-Revista/Normas_de_Publicacion/_A3BECd6KHAJ2t58sPGJF8WU7pZPpul7i","","Yes"
"353","Open Breast Cancer Journal","","http://www.bentham.org/open/tobcanj/index.htm","Bentham open","English","1876-8172","","tumors",2009,NA,"2010-06-16T15:47:33Z","Neoplasms. Tumors. Oncology. Including cancer and carcinogens,Internal medicine,Medicine,Oncology,Medicine (General),Health Sciences","United States","Y","http://www.benthamscience.com/open/tobcanj/MSandI.htm","","Yes"
"354","Revista Brasileira de Saúde e Produção Animal","RBSPA","http://www.rbspa.ufba.br","Universidade Federal da Bahia","English,Portuguese","1519-9940","","animal science,animal health,livestock,veterinary science",2001,NA,"2010-06-24T09:47:25Z","Animal culture,Agriculture,Animal Sciences,Agriculture and Food Sciences","Brazil","Y","http://revistas.ufba.br/forms/Normas_RBSPA.pdf","","Yes"
"355","Heart Views","","http://www.heartviews.org","Medknow Publications","English","1995-705X","0976-5123","cardiology,cardiac surgery,electrophysiology,heart disease",2002,NA,"2010-06-28T15:26:41Z","Diseases of the circulatory (Cardiovascular) system,Specialties of internal medicine,Internal medicine,Medicine,Cardiovascular,Medicine (General),Health Sciences","Qatar","N","http://www.heartviews.org/contributors.asp","by-nc-sa","Yes"
"356","Numeracy","Electronic Journal of the National Numeracy Network","http://scholarcommons.usf.edu/numeracy/","University of South Florida Libraries","English","1936-4660","","quantitative literacy,mathematics education",2008,NA,"2010-06-28T16:20:25Z","Special aspects of education,Education,Education,Social Sciences,Mathematics,Science,Mathematics,Mathematics and Statistics","United States","N","http://scholarcommons.usf.edu/numeracy/policies.html","by-nc","Yes"
"357","Autoimmune Diseases","","http://www.hindawi.com/journals/ad/","Hindawi Publishing Corporation","English","2090-0422","2090-0430","autoimmune diseases",2010,NA,"2010-06-28T16:37:02Z","Internal medicine,Medicine,Internal medicine,Medicine (General),Health Sciences","United States","Y","http://www.hindawi.com/journals/ad/apc/","by","Yes"
"358","Turkish Journal of Sport and Exercise","","http://www.turksportexe.org/","Selcuk University","Turkish","2147-5652","","coaching,sport-health,physiology,anatomy,biochemistry,psychology,biomechanics,kinanthropometry",2012,NA,"2013-09-20T14:30:56Z","Sports,Recreation. Leisure,Geography. Anthropology. Recreation,Sports Science,Social Sciences","Turkey","N","http://www.turksportexe.org/index.php?cat=icerik&id=6","","Yes"
"359","Pharmacognosy Research","","http://www.phcogres.com/","Medknow Publications","English","0976-4836","0974-8490","natural products,alternative medicine,pharmacognosy",2009,NA,"2010-06-29T13:45:08Z","Pharmacy and materia medica,Medicine,Pharmacy and materia medica,Medicine (General),Health Sciences","India","N","http://www.phcogres.com/contributors.asp","by-nc-sa","Yes"
"360","Konuralp Tip Dergisi","Konuralp Medical Journal","http://www.konuralptipdergi.duzce.edu.tr","Düzce University","Turkish","1309-3878","","clinical medicine,family medicine,primary health care",2009,NA,"2010-06-30T10:19:55Z","Medicine (General),Medicine,Medicine (General),Health Sciences","Turkey","N","http://www.konuralptipdergi.duzce.edu.tr/1230-sayfa-yazarlara-bilgilendirme","","Yes"
"361","UTMS Journal of Economics","","http://www.utms.cc/e-student/index.php?option=com_content&view=article&id=29&Itemid=418","University of Tourism and Management","English","1857-6974","","economics,tourism,management",2010,NA,"2010-06-30T13:44:16Z","Management. Industrial management,Industries. Land use. Labor,Social Sciences,Business and Management,Business and Economics","Macedonia","N","http://www.utms.cc/e-student/index.php?option=com_content&view=article&id=34&Itemid=426","","Yes"
"362","Journal of Current Pharmaceutical Research","JCPR","http://jcpronline.com/","MediPOEIA Publication","English","0976-3171","","pharmacology,pharmaceutical sciences,natural product research",2010,NA,"2010-07-02T09:16:15Z","Therapeutics. Pharmacology,Medicine,Therapeutics,Medicine (General),Health Sciences","India","Y","http://jcpronline.com/Authors%20Guideline.pdf","","Yes"
"363","Studies in Literature and Language","","http://www.cscanada.net/index.php/sll/index","Canadian Academy of Oriental and Occidental Culture","English","1923-1555","1923-1563","literature,language,linguistics,culture,language teaching",2010,NA,"2010-07-06T15:07:20Z","Language and Literature,Languages and Literatures","Canada","CON","http://www.cscanada.net/index.php/sll/about/submissions#authorGuidelines","by-nc","Yes"
"364","Journal of Animal and Plant Sciences","JAPS","http://www.thejaps.org.pk","Pakistan Agricultural Scientists Forum","English","1018-7081","","animal science,plant science,agricultural economics,rural sociology",2006,NA,"2010-07-08T08:29:59Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Pakistan","Y","http://www.thejaps.org.pk/intro_auth/","","Yes"
"365","Economy Informatics","","http://www.economyinformatics.ase.ro","INFOREC Association","English","1582-7941","2247-8523","economy,informatics,computer science,education",2001,NA,"2010-07-09T09:54:59Z","Electronic computers. Computer science,Instruments and machines,Mathematics,Science,Computer Science,Technology and Engineering,Economic theory. Demography,Social Sciences,Economics,Business and Economics","Romania","N","http://www.economyinformatics.ase.ro/guide_for_authors.html","","Yes"
"366","Revista Brasileira de Crescimento e Desenvolvimento Humano","Brazilian Journal of Human Growth and Development","http://www.journals.usp.br/jhgd","Universidade de São Paulo","Portuguese","0104-1282","2175-3598","human growth,child development,adolescence",1991,NA,"2010-07-19T09:42:10Z","Pediatrics,Medicine,Pediatrics,Medicine (General),Health Sciences,The family. Marriage. Woman,Social Sciences,Gender Studies,Social Sciences","Brazil","N","http://www.revistas.usp.br/wp/?page_id=9","","Yes"
"367","Critical Race and Whiteness Studies","ACRAWSA","http://www.acrawsa.org.au/ejournal/","Australian Critical Race and Whiteness Studies Association (ACRAWSA)","English","1838-8310","","whiteness studies,ethnic studies,post colonial studies",2011,NA,"2011-05-02T09:09:11Z","Sociology (General),Social Sciences,Sociology,Social Sciences","Australia","N","http://www.acrawsa.org.au/ejournal/submissionguidlines.php","","Yes"
"368","AGRIS on-line Papers in Economics and Informatics","","http://online.agris.cz/","Czech University of Life Sciences","English","1804-1930","","agricultural economics,management,agribusiness,agrarian policy,rural sociology",2009,NA,"2010-07-20T13:48:34Z","Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Czech Republic","N","http://online.agris.cz/index.php?idScript=5","","Yes"
"369","International Journal of Biochemistry and Molecular Biology","","http://www.ijbmb.org","e-Century Publishing Corporation","English","2152-4114","","biochemical research,biomolecules",2010,NA,"2010-07-23T15:54:51Z","Biochemistry,Organic chemistry,Chemistry,Science,Biochemistry,Life Sciences,Biology and Life Sciences","United States","Y","http://www.ijbmb.org/For_Authors.html","by-nc","Yes"
"370","Vértices","","http://essentiaeditora.iff.edu.br/index.php/vertices","Instituto Federal de Educação, Ciência e Tecnologia Fluminense (IFF)","Portuguese,Spanish","1415-2843","1809-2667","social science,education,engineering,system analysis,environment,agriculture,earth science",1997,NA,"2010-07-26T09:14:32Z","General Works,Multidisciplinary,General Works","Brazil","N","http://essentiaeditora.iff.edu.br/index.php/vertices/about/submissions#authorGuidelines","","Yes"
"371","Social Geography Discussions","","http://www.soc-geogr-discuss.net/volumes_and_issues.html","Copernicus Publications","German,English","1816-1499","1816-1502","communication,media,ecology,nature and environment,consumption,planning,social conflicts",2005,NA,"2010-01-22T14:58:28Z","Social sciences (General),Social Sciences,Social Sciences","Germany","N","http://www.social-geography.net/home.html","by","Yes"
"372","Dancecult : Journal of Electronic Dance Music Culture","","http://dj.dancecult.net/index.php/journal","Griffith University","English","1947-5403","","dance,electronic music,DJs,music production,critical theory",2009,NA,"2010-02-23T14:18:20Z","Music,Music and books on Music,Music,Arts and Architecture","United States","N","http://dj.dancecult.net/index.php/journal/about/submissions#authorGuidelines","","Yes"
"373","Case Studies in Business, Industry and Government Statistics","CSBIGS","http://www.bentley.edu/csbigs","Bentley University","English","2152-372X","","business statistics,industrial statistics,government statistics,data mining,business analytics",2008,NA,"2010-01-26T10:29:35Z","Business,Commerce,Social Sciences,Business and Management,Business and Economics","United States","N","http://www.bentley.edu/centers/csbigs/instructions-authors","","Yes"
"374","Czech Journal of Food Sciences","","http://www.agriculturejournals.cz/web/cjfs.htm","Czech Academy of Agricultural Sciences","English","1212-1800","1805-9317","chemistry,biochemistry,microbiology,nutrition,food economy",2007,NA,"2010-01-26T11:44:09Z","Food processing and manufacture,Chemical technology,Technology,Chemical Technology,Technology and Engineering,Agriculture (General),Agriculture,Agriculture (General),Agriculture and Food Sciences","Czech Republic","N","http://www.agriculturejournals.cz/web/pdf/cjfs_author_instr.pdf","","Yes"
"375","Northwest Journal of Linguistics","","http://www.sfu.ca/nwjl/index.html","Simon Fraser University","English","1718-8563","","indigenous languages,anthropological linguistics,sociolinguistics,historical-comparative linguistics,linguistic typology",2007,NA,"2010-01-28T14:06:58Z","Philology. Linguistics,Language and Literature,Linguistics,Languages and Literatures","Canada","N","http://www.sfu.ca/nwjl/submissions.html","","Yes"
"376","Knowledge and Management of Aquatic Ecosystems","","http://www.kmae-journal.org/","EDP Sciences","English,French","1961-9502","","freshwater ecosystems,aquatic ecology,bioconservation,ecosystems management,economical analysis",1928,NA,"2010-01-29T11:56:27Z","Aquaculture. Fisheries. Angling,Agriculture,Aquaculture and Fisheries,Agriculture and Food Sciences","France","N","http://www.kmae-journal.org/index.php?option=com_content&view=article&id=136&Itemid=184&lang=en_GB.utf8%2C+en_GB.UT","by","Yes"
"377","Advances in Theoretical and Applied Mechanics","","http://www.m-hikari.com/atam/index.html","Hikari Ltd","English","1313-6550","1314-7625","mechanical models,mathematical models",2008,NA,"2010-01-29T16:13:36Z","Mechanics of engineering. Applied mechanics,Engineering (General). Civil engineering (General),Technology,Mechanical Engineering,Technology and Engineering","Bulgaria","Y","http://www.m-hikari.com/atam/guide.html","by","Yes"
"378","International Journal on Computer Science and Engineering","","http://www.enggjournals.com/ijcse/","Engg Journals Publications","English","0975-3397","","mobile communications,information assurance",2009,NA,"2010-02-03T10:57:06Z","Electronic computers. Computer science,Instruments and machines,Mathematics,Science,Computer Science,Technology and Engineering","India","Y","http://www.enggjournals.com/ijcse/notes-for-submission.html","by","Yes"
"379","Journal of the European Association for Health Information and Libraries","JEAHIL","http://www.eahil.net/journal/","European Association for Health Information and Libraries","English","1841-0715","","medical libraries",2005,NA,"2010-02-08T11:50:10Z","Bibliography. Library science. Information resources,Library and Information Science,Social Sciences,Medicine (General),Medicine,Medicine (General),Health Sciences","Netherlands","N","http://www.eahil.eu/journal/jeahil_instructions-authors.htm","","Yes"
"380","The International Arab Journal of Information Technology","IAJIT","http://www.iajit.org","Zarqa Private University","English","1683-3198","","information technology,software engineering,information security,algorithms,applications,networks,HCI",2003,NA,"2010-02-04T16:33:13Z","Electronic computers. Computer science,Instruments and machines,Mathematics,Science,Computer Science,Technology and Engineering","Jordan","N","http://www.ccis2k.org/iajit/index.php?option=com_content&task=view&id=69&Itemid=160","","Yes"
"381","Current Trends in Biotechnology and Pharmacy","","http://www.abap.co.in","Association of Biotechnology and Pharmacy","English","0973-8916","2230-7303","biology,pharmaceutical biotechnology",2007,NA,"2010-02-04T17:02:00Z","Biotechnology,Chemical technology,Technology,Biotechnology,Life Sciences,Biology and Life Sciences","India","N","http://www.abap.co.in/instructions","","Yes"
"382","Advances in Environmental Sciences","AES Bioflux","http://www.aes.bioflux.com.ro","Bioflux Society","English","2066-7620","2066-7647","environment,chemistry,physics,engineering",2009,NA,"2010-02-05T11:17:17Z","Biology (General),Science,Biology,Biology and Life Sciences","Romania","Y","http://www.aes.bioflux.com.ro/docs/instructions%20AES.doc","","Yes"
"383","Proenvironment Promediu","","http://journals.usamvcluj.ro/index.php/promediu","Bioflux Society","English","1844-6698","2066-1363","environment,environmental engineering,agriculture,soil,water,air",2009,NA,"2010-02-05T11:39:28Z","Biology (General),Science,Biology,Biology and Life Sciences","Romania","Y","http://journals.usamvcluj.ro/index.php/promediu/about/submissions#authorGuidelines","","Yes"
"384","Methodist Review","Methodist Review : A Journal of Wesleyan and Methodist Studies","http://www.methodistreview.org/index.php/mr","The Methodist Review, Inc.","English","1946-5254","","wesleyan studies,wesleyan research,methodist studies,methodist research",2009,NA,"2010-02-05T11:49:43Z","Christian Denominations,Philosophy. Psychology. Religion,Religion,Philosophy and Religion","United States","N","http://www.methodistreview.org/index.php/mr/about/submissions#authorGuidelines","","Yes"
"385","PrimaryCare : Journal Suisse de Médicine de Premier Recours","Primary Care","http://www.primary-care.ch/fr/page-daccueil/","Swiss Medical Publishers Ltd.","French,English,German","1662-6273","1662-6281","primary research,medical education",2001,NA,"2010-02-05T14:46:15Z","Public aspects of medicine,Medicine,Public Health,Health Sciences","Switzerland","N","http://www.primary-care.ch/fr/pour-les-auteurs/directives-a-lintention-des-auteurs/","by-nc-nd","Yes"
"386","Journal für Philosophie und Psychiatrie","Journal for Philosophy and Psychiatry","http://www.jfpp.org","Pabst Science Publishers, Lengerich","German,Italian,English","1869-8549","","humanities,psychology,psychiatry",2008,NA,"2010-02-08T17:32:20Z","Philosophy (General),Philosophy. Psychology. Religion,Philosophy,Philosophy and Religion","Germany","N","http://www.jfpp.org/manuskripte.html","","Yes"
"387","Linguamática","","http://www.linguamatica.com/index.php/linguamatica/index","Universidade do Minho & Universidade de Vigo","Portuguese,Galician,Spanish,Catalan,English","1647-0818","","computational linguistics,Iberian languages",2009,NA,"2010-02-09T13:19:33Z","Philology. Linguistics,Language and Literature,Linguistics,Languages and Literatures","Spain","N","http://www.linguamatica.com/index.php/linguamatica/about/submissions#onlineSubmissions","by","Yes"
"388","Biology of Sport","","http://biolsport.com/","Institute of Sport","English","0860-021X","2083-1862","physical activity,exercise,training,physiology,sports medicine,pharmacology,interdisciplinary",2003,NA,"2010-09-21T11:32:35Z","Sports,Recreation. Leisure,Geography. Anthropology. Recreation,Sports Science,Social Sciences","Poland","Y","http://biolsport.com/page.php?IDpage=1043&p=4","by-nc","Yes"
"389","Yugoslav Journal of Operations Research","","http://www.doiserbia.nb.rs/journal.aspx?issn=0354-0243","University of Belgrade","English","0354-0243","1820-743X","information science,electronics,telecommunication,computer science",2002,NA,"2010-09-21T15:39:53Z","Mathematics,Science,Mathematics,Mathematics and Statistics","Serbia","N","http://www.doiserbia.nb.rs/journal.aspx?issn=0354-0243","","Yes"
"390","Journal of the Society for Social Work and Research","","http://www.jsswr.org/","Society for Social Work and Research","English","1948-822X","","social research,social work practice,social research methodology",2010,NA,"2010-09-21T16:30:47Z","Social sciences (General),Social Sciences,Social Sciences","United States","N","http://www.jsswr.org/about/submissions#authorGuidelines","","Yes"
"391","Kino : the Western Undergraduate Journal of Film Studies","","http://ir.lib.uwo.ca/kino/","University of Western Ontario","English","1923-7561","","film studies",2010,NA,"2011-08-18T08:27:22Z","Motion pictures,Drama,Literature (General),Language and Literature,Performing Arts,Arts and Architecture","Canada","N","http://ir.lib.uwo.ca/kino/about.html","","Yes"
"392","Scientia Traductionis","","http://www.periodicos.ufsc.br/index.php/scientia/","Universidade Federal de Santa Catarina","Portuguese,Spanish,English,German,French","1980-4237","","translation studies,translation practice,translating and interpreting",2005,NA,"2011-08-18T09:12:21Z","Philology. Linguistics,Language and Literature,Linguistics,Languages and Literatures","Brazil","N","http://www.periodicos.ufsc.br/index.php/scientia/about/submissions#authorGuidelines","by-nc-nd","Yes"
"393","Cuadernos de Vivienda y Urbanismo","Journal of Housing and Urbanism : Cadernos de Moradia e Urbanismo","http://www.javeriana.edu.co/viviendayurbanismo","Pontificia Universidad Javeriana","Spanish","2027-2103","2145-0226","housing,urbanization,Latin America",2008,NA,"2011-08-19T11:36:14Z","Architecture,Fine Arts,Architecture,Arts and Architecture,Communities. Classes. Races,Social Sciences,Sociology,Social Sciences","Colombia","N","http://www.javeriana.edu.co/viviendayurbanismo/politicas.htm","by-nc-sa","Yes"
"394","Case Reports in Dentistry","","http://www.hindawi.com/crim/dentistry/","Hindawi Publishing Corporation","English","2090-6447","2090-6455","dentistry",2011,NA,"2011-08-22T08:53:30Z","Dentistry,Medicine,Dentistry,Health Sciences","Egypt","Y","http://www.hindawi.com/crim/dentistry/apc/","by","Yes"
"395","Journal of Low Power Electronics and Applications","JPLEA : Journal of Low Power Electronics & Applications","http://www.mdpi.com/journal/jlpea","MDPI AG","English","2079-9268","","low power electronics",2011,NA,"2011-08-22T11:30:54Z","Electrical engineering. Electronics. Nuclear engineering,Technology,Electrical and Nuclear Engineering,Technology and Engineering","Switzerland","Y","http://www.mdpi.com/journal/jlpea/instructions","by","Yes"
"396","Case Reports in Nephrology","","http://www.hindawi.com/crim/nephrology/","Hindawi Publishing Corporation","English","2090-6641","2090-665X","kidney diseases",2011,NA,"2011-08-23T13:03:11Z","Diseases of the genitourinary system. Urology,Specialties of internal medicine,Internal medicine,Medicine,Urology,Medicine (General),Health Sciences","Egypt","Y","http://www.hindawi.com/crim/nephrology/apc/","by","Yes"
"397","Science – Future of Lithuania","Mokslas – Lietuvos Ateitis","http://www.mla.vgtu.lt","Vilnius Gediminas Technical University","Lithuanian,Russian,English","2029-2341","2029-2252","science and technology,engineering",2009,NA,"2011-08-23T14:15:17Z","Science (General),Science,Science (General),Science General","Lithuania","N","http://www.mla.vgtu.lt/index.php/mla/pages/view/info","","Yes"
"398","International Journal of Oceanography","","http://www.hindawi.com/journals/ijog/","Hindawi Publishing Corporation","English","1687-9406","1687-9414","oceanography,marine science",2011,NA,"2011-08-24T15:10:56Z","Oceanography,Geography. Anthropology. Recreation,Oceanography,Earth and Environmental Sciences","Egypt","Y","http://www.hindawi.com/journals/ijog/apc/","by","Yes"
"399","International Journal of Population Research","","http://www.hindawi.com/journals/ijpr/","Hindawi Publishing Corporation","English","2090-4029","2090-4037","population research,demography",2011,NA,"2011-08-24T16:11:38Z","Economic theory. Demography,Social Sciences,Economics,Business and Economics","Egypt","Y","http://www.hindawi.com/journals/ijpr/apc/","by","Yes"
