"PubMed ID","Journal Title","Open Access?","Publication Date","Publisher","Licence","EPMC lic","Fulltext in EPMC?","AAM?","DOI","E-ISSN","Type of publication","Article title","Fund that APC is paid from (1)","Fund that APC is paid from (2)","AOP?","Funder of research (1)","Grant ID (1)","Funder of research (2)","Grant ID (2)","Funder of research (3)","Grant ID (3)","Date of APC payment","APC paid (actual currency) excluding VAT","Currency of APC","APC paid (£) including VAT if charged","Additional publication costs (£)","Discounts, memberships & pre-payment agreements","Amount of APC charged to COAF grant (including VAT if charged) in £","Amount of APC charged to RCUK OA fund (including VAT if charged) in £","Licence","Notes","AOP?"
29058646,"The Journal of general virology",0,10/1/2017,"Microbiology Society","cc-by","cc-by",1,0,"10.1099/jgv.0.000946",,"Article","Vaccinia virus protein A49 activates Wnt signalling by targetting the E3 ligase ?-TrCP.","COAF",,"Unknown","Wellcome Trust","Wellcome Trust (090315/Z/09/Z)",,,,,,,,1076,0,,1076,0,"CC BY",,"Unknown"
29299997,"eLife",1,1/1/2018,"eLife Sciences Publications, Ltd","cc-by","cc-by",1,0,"10.7554/eLife.30413",,"Article","Systemic and local cues drive neural stem cell niche remodelling during neurogenesis in Drosophila.","COAF",,"Unknown","Wellcome Trust",,"Cancer Research UK",,,,,,,2142.05,0,,2142.05,0,,,"Unknown"
30054384,"Journal of cell science",0,8/1/2018,"The Company of Biologists","cc-by","cc-by",1,0,"10.1242/jcs.217133",,,"Integrin signaling downregulates filopodia in muscle-tendon attachment","COAF",,"Unknown","Wellcome Trust","069943, 086451, WT095829, 092096, C6946/A14492, 105602/Z/14/Z","Cancer Research UK",,"ERC",,,,,3000,0,,3000,0,,,"Unknown"
29459792,"Nature communications",1,2/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-018-03111-4",,"Article","Calcium binding at the C-terminus of ?-synuclein modulates synaptic vesicle interaction","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"EPSRC",,,,,3780,0,,1890,1890,,,"Unknown"
30071200,"The Journal of allergy and clinical immunology",0,11/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jaci.2018.07.011",,"Article","In vivo imaging reveals increased eosinophil uptake in the lungs of obese asthmatic patients.","RCUK","COAF","Unknown","Wellcome Trust","098351/Z/12/Z, WT082265","MRC",,"NIHR",,,,,3351.63,0,,1674.82,1676.81,,,"Unknown"
29690859,"Journal of neurotrauma",0,9/1/2018,"Mary Ann Liebert Inc","cc-by","cc-by",1,0,"10.1089/neu.2017.5459",,"Article","A Comparison of Oxidative Lactate Metabolism in Traumatically Injured Brain and Control Brain.","RCUK","COAF","Unknown","Wellcome Trust","110159/Z/15/Z","MRC",,"NIHR",,,,,3639.41,0,,1395.14,2244.27,,,"Unknown"
30269511,"Journal of reproductive and infant psychology",0,2/1/2019,"Informa UK Limited","cc-by","cc-by",1,0,"10.1080/02646838.2018.1509303",,"Article","Adult Attachment and Birth Experience: Importance of a Secure Base and Safe Haven during Childbirth","COAF",,"Unknown","Wellcome Trust","WT103343MA",,,,,,,,536.41,0,,536.41,0,,,"Unknown"
29275996,"Psychiatry research",0,5/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.psychres.2017.12.004",,"Article","How to measure monetary losses in gambling disorder? An evidence-based refinement.","COAF",,"Unknown","Wellcome Trust","110049/Z/15/Z",,,,,,,,2965.48,0,,2965.48,0,,,"Unknown"
29976134,"BMC medical research methodology",1,7/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1186/s12874-018-0529-3",,"Article","Development and validation of a MEDLINE search filter/hedge for degenerative cervical myelopathy.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,,,,,,1457.4,0,,728.7,728.7,,,"Unknown"
29109427,"Scientific reports",1,11/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-017-14775-1",,"Article","The Dependence of CNT Aerogel Synthesis on Sulfur-driven Catalyst Nucleation Processes and a Critical Catalyst Particle Mass Concentration","COAF",,"Unknown","EPSRC",,,,,,,,,1332,0,,1332,0,,,"Unknown"
29543152,"eLife",1,3/1/2018,"eLife Sciences Publications, Ltd","cc-by","cc-by",1,0,"10.7554/elife.32467",,"Article","Codon choice directs constitutive mRNA levels in trypanosomes.","RCUK","COAF","Unknown","Wellcome Trust","085956/Z/08/Z","BBSRC",,"H2020",,,,,2179.92,0,,1089.96,1089.96,"CC BY",,"Unknown"
29198525,"Cell",0,12/1/2017,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.cell.2017.10.040",,"Article","A J-Protein Co-chaperone Recruits BiP to Monomerize IRE1 and Repress the Unfolded Protein Response.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,,,,,,4801.39,0,,2400.69,2400.7,"CC BY",,"Unknown"
29807534,"Journal of neuroinflammation",1,5/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1186/s12974-018-1206-5",,"Article","Abnormalities of age-related T cell senescence in Parkinson's disease.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,,,,,,1596.3,0,,798.15,798.15,,,"Unknown"
29683421,"The Journal of general virology",0,4/1/2018,"Microbiology Society","cc-by","Unknown",0,0,"10.1099/jgv.0.001065",,"Article","Targeting macrophage- and intestinal epithelial cell-specific microRNAs against norovirus restricts replication in vivo.","COAF",,0,"Wellcome Trust",,,,,,,,,2142,0,,2142,0,,,0
29898701,"BMC public health",1,6/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1186/s12889-018-5655-7",,"Article","The association between psychosocial factors and change in lifestyle behaviour following lifestyle advice and information about cardiovascular disease risk.","RCUK","COAF","Unknown","MRC","SP/09/002","British Heart Foundation",,"FP7",,,,,1704,0,,852,852,,,"Unknown"
29414436,"Medical image analysis",0,4/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.media.2018.01.001",,"Article","How does the femoral cortex depend on bone shape? A methodology for the joint analysis of surface texture and shape.","COAF",,"Unknown","Arthritis Research UK",20109,,,,,,,,2888.29,0,,2888.29,0,,,"Unknown"
28982679,"Disease Models & Mechanisms",0,12/1/2017,"The Company of Biologists","cc-by","cc-by",1,0,"10.1242/dmm.030981",,"Article","Evaluation of human dermal fibroblasts directly reprogrammed to adipocyte-like cells as a metabolic disease model.","RCUK","COAF","Unknown","Wellcome Trust","WT098498, 100574/Z/12/Z,","MRC",,"NIHR",,,,,3005,0,,1500,1505,"CC BY",,"Unknown"
30146176,"Molecular metabolism",1,11/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.molmet.2018.08.001",,"Article","Molecular reductions in glucokinase activity increase counter-regulatory responses to hypoglycemia in mice and humans with diabetes.","RCUK","COAF","Unknown","Wellcome Trust","WT098012, 093875/Z/10/Z","MRC",,"BBSRC",,,,,2265.55,0,,1132.78,1132.77,"CC BY",,"Unknown"
29804699,"International journal of cardiology",0,9/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.ijcard.2018.05.051",,"Article","Genetic predictors of testosterone and their associations with cardiovascular disease and risk factors: A Mendelian randomization investigation.","COAF",,"Unknown","Wellcome Trust","204623/Z/16/Z",,,,,,,,3256.38,0,,3256.38,0,"CC BY",,"Unknown"
30137064,"Chemical communications (Cambridge, England)",0,9/1/2018,"Royal Society of Chemistry (RSC)","cc-by","cc-by",1,0,"10.1039/c8cc04007a",,"Article","An active DNA-based nanoprobe for photoacoustic pH imaging.","RCUK","COAF","Unknown","Cancer Research UK",,"EPSRC",,"FP7",,,,,1020,0,,510,510,,,"Unknown"
30262398,"Seminars in oncology",0,6/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1053/j.seminoncol.2018.06.001",,"Article","Rapid disease progression in a patient with mismatch repair-deficient and cortisol secreting adrenocortical carcinoma treated with pembrolizumab","COAF",,"Unknown","Wellcome Trust","104647, C42738/A24868","Cancer Research UK",,,,,,,2818.38,0,,2818.38,0,,,"Unknown"
29075837,"Journal of neurology",0,12/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1007/s00415-017-8647-0","1432-1459","Article","An Open Label Study to Assess the Feasibility and Tolerability of Rilmenidine for the Treatment of Huntington's disease",,,"Unknown","Wellcome Trust",,"MRC",,"NIHR",,10/17/2017 18:07,2200,"EUR",1885,,"Springer Compact",,,"CC BY","Springer Compact","Unknown"
30354714,"Hypertension (Dallas, Tex. : 1979)",0,10/1/2018,"Ovid Technologies (Wolters Kluwer Health)","cc-by","cc-by",1,0,"10.1161/hypertensionaha.118.11363",,"Article","Maternal Allopurinol Prevents Cardiac Dysfunction in Adult Male Offspring Programmed by Chronic Hypoxia During Pregnancy.","COAF",,"Unknown","British Heart Foundation","PG/14/5/30547",,,,,,,,4309.62,0,,4309.62,0,"CC BY",,"Unknown"
30051892,"Soft matter",0,8/1/2018,"Royal Society of Chemistry (RSC)","cc-by","cc-by",1,0,"10.1039/c8sm00717a",,"Article","Equally probable positive and negative Poisson's ratios in disordered planar systems.","RCUK","COAF","Unknown","Wellcome Trust","203151/Z/16/Z","MRC",,"EPSRC",,,,,1632,0,,816,816,,,"Unknown"
29879455,"Journal of hepatology",0,10/1/2018,"Elsevier BV","Unknown","Unknown",0,0,"10.1016/j.jhep.2018.05.028",,"Article","hiPSC hepatocyte model demonstrates the role of unfolded protein response and inflammatory networks in ?1-antitrypsin deficiency","RCUK","COAF",0,"Wellcome Trust",,"MRC",,"EPSRC",,,,,2802,0,,1401,1401,,,0
29982151,"Environmental research",0,10/1/2018,"Elsevier BV","Unknown","Unknown",0,0,"10.1016/j.envres.2018.06.030",,"Article","The health benefits of the great outdoors: A systematic review and meta-analysis of greenspace exposure and health outcomes","RCUK","COAF",0,"Wellcome Trust",,"MRC",,"British Heart Foundation",,,,,3189.65,0,,1594.82,1594.83,,,0
29789675,"Scientific reports",1,5/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-018-26451-z",,"Article","Structural Implications of Mutations Conferring Rifampin Resistance in Mycobacterium leprae (vol 8\, 2018)","RCUK","COAF","Unknown","Wellcome Trust","200814/Z/16/Z","MRC",,,,,,,1398,0,,699,699,,,"Unknown"
29197507,"Brain, behavior, and immunity",0,3/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.bbi.2017.11.020",,"Article","Association between a functional interleukin 6 receptor genetic variant and risk of depression and psychosis in a population-based birth cohort.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"NIHR",,,,,2655.85,0,,1327.93,1327.92,,,"Unknown"
29868776,"Brain : a journal of neurology",0,7/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/brain/awy135",,"Article","Biallelic UFM1 and UFC1 mutations expand the essential role of ufmylation in brain development.","COAF",,"Unknown","Wellcome Trust",,"NIHR",,,,,,,3600,0,,3600,0,,,"Unknown"
29532008,"NPJ breast cancer",1,1/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41523-018-0056-8",,"Article","Associations between genomic stratification of breast cancer and centrally reviewed tumour pathology in the METABRIC cohort.","COAF",,"Unknown","Cancer Research UK",,"NIHR",,,,,,,2208,0,,2208,0,,,"Unknown"
29459365,"BMJ quality & safety",0,9/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/bmjqs-2017-007579",,"Article","Making soft intelligence hard: a multi-site qualitative study of challenges relating to voice about safety concerns.","COAF",,"Unknown","Wellcome Trust","WT097899","NIHR",,,,,,,2340,0,,2340,0,,,"Unknown"
30246156,"Brain and neuroscience advances",0,1/1/2018,"SAGE Publications","cc-by","cc-by",1,0,"10.1177/2398212818779646",,"Article","Anterior cingulate cortex connectivity is associated with suppression of behavior in a rat model of chronic pain.","COAF",,"Unknown","Wellcome Trust",,"Arthritis Research UK",,,,,,,720,0,,720,0,,,"Unknown"
30270108,"Molecular cell",0,10/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.molcel.2018.08.039",,"Article","Substrate Recognition and Autoinhibition in the Central Ribonuclease RNase E.","COAF",,"Unknown","Wellcome Trust","200873/Z/16/Z",,,,,,,,5001.29,0,,5001.29,0,,,"Unknown"
29778605,"Journal of molecular biology",0,7/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jmb.2018.05.019",,"Article","Proteomic and Biochemical Comparison of the Cellular Interaction Partners of Human VPS33A and VPS33B.","COAF",,"Unknown","Wellcome Trust","098406/Z/12/Z",,,,,,,,2186.43,0,,2186.43,0,,,"Unknown"
29343770,"Scientific reports",1,1/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-018-19355-5",,"Article","Reconstructing the gradient source position from steady-state fluxes to small receptors","RCUK","COAF","Unknown","Wellcome Trust",,"EPSRC",,,,,,,1332,0,,666,666,"CC BY",,"Unknown"
30248337,"The American journal of pathology",0,12/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.ajpath.2018.07.027",,"Article","Placental Adaptation to Early-Onset Hypoxic Pregnancy and Mitochondria-Targeted Antioxidant Therapy in Rat.","COAF",,"Unknown","Wellcome Trust","PG/14/5/30547, 110159/Z/15/Z","MRC",,"British Heart Foundation",,,,,2831.93,0,,2831.93,0,,,"Unknown"
28566443,"European journal of endocrinology",0,8/1/2017,"Bioscientifica","cc-by","cc-by",1,0,"10.1530/EJE-17-0132",,"Article","Hypoinsulinaemic\, hypoketotic hypoglycaemia due to mosaic genetic activation of PI3-kinase.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"NIHR",,,,,6444,0,,3222,3222,,,"Unknown"
29748629,"Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology",0,7/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41386-018-0056-2",,"Article","Abnormal reward prediction error signalling in antipsychotic naïve individuals with first episode psychosis or clinical risk for psychosis","RCUK","COAF","Unknown","Wellcome Trust","093875/Z/10/Z, 095692, 097814/Z/11","MRC",,"NIHR",,,,,3000,0,,1500,1500,"CC BY",,"Unknown"
29195270,"Journal of proteome research",0,1/1/2018,"American Chemical Society (ACS)","cc-by","cc-by",1,0,"10.1021/acs.jproteome.7b00699",,"Article","Compositional Proteomics: Effects of Spatial Constraints on Protein Quantification Utilizing Isobaric Tags.","COAF",,"Unknown","Wellcome Trust","108070/Z/15/Z",,,,,,,,1792.92,0,,1792.92,0,,,"Unknown"
30058000,"iScience",1,3/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.isci.2018.01.001",,"Article","Neural control of dynamic 3-dimensional skin papillae for cuttlefish camouflage.","RCUK","COAF","Unknown","Wellcome Trust","097814/Z/11/Z","BBSRC",,,,,,,2817.38,0,,1408.69,1408.69,,,"Unknown"
29671738,"eLife",1,4/1/2018,"eLife Sciences Publications, Ltd","cc-by","cc-by",1,0,"10.7554/eLife.34681",,"Article","HIF-2? is essential for carotid body development and function.","COAF",,"Unknown","Wellcome Trust","Wellcome Trust (grant WT092738MA)",,,,,,,,2179.92,0,,2179.92,0,,,"Unknown"
30355636,"The Journal of neuroscience : the official journal of the Society for Neuroscience",0,12/1/2018,"Society for Neuroscience","cc-by","cc-by",1,0,"10.1523/jneurosci.1239-18.2018",,,"Specifying a causal role for angular gyrus in autobiographical memory.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,,,,,,4471.24,0,,2713.75,1757.49,,,"Unknown"
29121057,"PloS one",1,1/1/2017,"Public Library of Science (PLoS)","cc-by","cc-by",1,0,,,"Article","Trafficking and processing of bacterial proteins by mammalian cells: Insights from chondroitinase ABC.","COAF",,"#N/A","Wellcome Trust","RG61825",,,,,,,,1367.63,0,,1367.63,0,,,"#N/A"
29983314,"Current biology : CB",0,7/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.cub.2018.05.044",,"Article","?-TuRC Heterogeneity Revealed by Analysis of Mozart1.","RCUK","COAF","Unknown","Wellcome Trust","105653/Z/14/Z","BBSRC",,,,,,,4838.06,0,,2419.04,2419.02,,,"Unknown"
30127402,"Nature communications",1,8/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-018-05790-5",,"Article","BCL11A interacts with SOX2 to control the expression of epigenetic regulators in lung squamous carcinoma.","RCUK","COAF","Unknown","Cancer Research UK","C47525/A17348","BBSRC",,,,,,,3960,0,,1980,1980,,,"Unknown"
29229903,"Nature communications",1,12/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-017-02245-1",,"Article","Loss of PBRM1 rescues VHL dependent replication stress to promote renal carcinogenesis","COAF",,"Unknown","Cancer Research UK",,,,,,,,,3780,0,,3780,0,"CC BY",,"Unknown"
30244217,"BMJ open",1,9/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/bmjopen-2018-025333",,"Article","Protocol for the insight study: a randomised controlled trial of single-dose tocilizumab in patients with depression and low-grade inflammation.","COAF",,"Unknown","Wellcome Trust","01486/Z/16/Z",,,,,,,,1624.7,0,,1624.7,0,,,"Unknown"
29730597,"Journal of medical genetics",0,8/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/jmedgenet-2018-105313",,"Article","Evaluation of polygenic risk scores for ovarian cancer risk prediction in a prospective cohort study.","RCUK","COAF","Unknown","MRC","C12292/A20861, C1005/A12677, C1005/A12677","Cancer Research UK",,"NIHR",,,,,2640,0,,1170,1470,,,"Unknown"
29556177,"Frontiers in cellular neuroscience",1,1/1/2018,"Frontiers Media SA","cc-by","cc-by",1,0,"10.3389/fncel.2018.00044",,"Article","An easy-to-implement protocol for preparing postnatal ventral mesencephalic cultures","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,,,,,,2110.04,0,,1051.38,1058.66,,,"Unknown"
30293577,"Molecular metabolism",1,10/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.molmet.2018.06.009",,,"Maternal exercise intervention in obese pregnancy improves the cardiovascular health of the adult male offspring.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"British Heart Foundation",,,,,2254.71,0,,1127.35,1127.36,,,"Unknown"
29846613,"International journal of epidemiology",0,8/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/ije/dyy080",,"Article","Modal-based estimation via heterogeneity-penalized weighting: model averaging for consistent and efficient estimation in Mendelian randomization when a plurality of candidate instruments are valid.","RCUK","COAF","Unknown","Wellcome Trust","204623/Z/16/Z","MRC",,,,,,,2709.6,0,,1354.8,1354.8,,,"Unknown"
29064368,"eLife",1,10/1/2017,"eLife Sciences Publications, Ltd","cc-by","cc-by",1,0,"10.7554/elife.29428",,"Article","AMPylation targets the rate-limiting step of BiP's ATPase cycle for its functional inactivation.","COAF",,"Unknown","Wellcome Trust",,"British Heart Foundation",,,,,,,2277.27,0,,2277.27,0,"CC BY",,"Unknown"
30027110,"eNeuro",1,"2018 May-Jun","Society for Neuroscience","cc-by","cc-by",1,0,"10.1523/ENEURO.0382-17.2018",,"Article","White-Matter Pathways for Statistical Learning of Temporal Structures.","RCUK","COAF","Unknown","Wellcome Trust","095183/Z/10/Z","EPSRC",,"BBSRC",,,,,1723.1,0,,854.75,868.35,,,"Unknown"
29743479,"Nature communications",1,5/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-018-04283-9",,"Article","NOTCH-mediated non-cell autonomous regulation of chromatin structure during senescence.","COAF",,"Unknown","MRC","C14303/A17197, C20/A20976, C52489/A19924","Cancer Research UK",,,,,,,3960,0,,3960,0,,,"Unknown"
30415704,"Current biology : CB",0,11/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.cub.2018.08.060",,"Article","Effective Glucose Uptake by Human Astrocytes Requires Its Sequestration in the Endoplasmic Reticulum by Glucose-6-Phosphatase-?.","COAF",,"Unknown","Wellcome Trust",101844,"H2020",,,,,,,4945.22,0,,4945.22,0,"CC BY",,"Unknown"
29359639,"Quarterly journal of experimental psychology (2006)",0,10/1/2018,"SAGE Publications","cc-by","cc-by",1,0,"10.1177/1747021817737727",,"Article","Free operant observing in humans: a translational approach to compulsive certainty seeking","COAF",,"Unknown","Wellcome Trust",,,,,,,,,480,0,,480,0,"CC BY",,"Unknown"
30368445,"BMJ open",1,10/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/bmjopen-2017-018539",,"Article","Generalised anxiety disorder and hospital admissions: findings from a large\, population cohort study.","RCUK","COAF","Unknown","MRC",,"Cancer Research UK",,,,,,,1625,0,,810,815,,,"Unknown"
29439735,"BMC veterinary research",1,2/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1186/s12917-018-1332-4",,"Article","Peripheral mononuclear blood cell apheresis in a preclinical ovine model.","COAF",,"Unknown","Arthritis Research UK",,,,,,,,,1457.4,0,,1457.4,0,"CC BY",,"Unknown"
,"Cancers",1,10/1/2017,"MDPI AG","cc-by","cc-by",1,0,"10.3390/cancers9100141",,"Article","An exploration into the origins and pathogenesis of anaplastic large cell lymphoma\, anaplastic lymphoma kinase (ALK)-positive","COAF",,"Unknown","Bloodwise",,,,,,,,,482.63,0,,482.63,0,"CC BY",,"Unknown"
29198208,"Epidemiology and infection",0,1/1/2018,"Cambridge University Press (CUP)","cc-by","cc-by",1,0,"10.1017/s0950268817002710",,"Article","Association between childhood infection\, serum inflammatory markers and intelligence: findings from a population-based prospective birth cohort study.","COAF",,"Unknown","Wellcome Trust",,"MRC",,"NIHR",,,,,2141,0,,2141,0,"CC BY",,"Unknown"
29136196,"Nucleic acids research",0,1/1/2018,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.1093/nar/gkx1083",,"Article","Analysis of the natively unstructured RNA/protein-recognition core in the Escherichia coli RNA degradosome and its interactions with regulatory RNA/Hfq complexes.","RCUK","COAF","Unknown","Wellcome Trust",,"BBSRC",,,,,,,426,0,,213,213,"CC BY",,"Unknown"
30028470,"Nanoscale",0,8/1/2018,"Royal Society of Chemistry (RSC)","cc-by","Unknown",0,0,"10.1039/c8nr04665d",,"Article","Split resonances for simultaneous detection and control measurements in a single bulk acoustic wave (BAW) sensor.","COAF",,0,"Cancer Research UK","A20976",,,,,,,,1020,0,,1020,0,,,0
29037253,"Biology direct",1,10/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1186/s13062-017-0195-0",,"Article","ASXL gain-of-function truncation mutants: defective and dysregulated forms of a natural ribosomal frameshifting product?","RCUK",,"Unknown","Wellcome Trust",,"H2020",,,,,,,1704,0,,1704,0,"CC BY",,"Unknown"
29958939,"Journal of hepatology",0,10/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.jhep.2018.06.009",,"Article","Mutational landscape of a chemically-induced mouse model of liver cancer.","COAF",,"Unknown","Wellcome Trust","20412, 22398, 106563/Z/14/A","Cancer Research UK",,"ERC",,,,,2818.38,0,,2818.38,0,,,"Unknown"
29692274,"Journal of developmental origins of health and disease",0,8/1/2018,"Cambridge University Press (CUP)","cc-by","Unknown",1,0,"10.1017/S2040174418000247",,"Article","Isolating the direct effects of adverse developmental conditions on in vivo cardiovascular function at adulthood: the avian model.","COAF",,"Unknown","British Heart Foundation",,,,,,,,,2244,0,,2244,0,,,"Unknown"
30093113,"Biochemical and biophysical research communications",0,9/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.bbrc.2018.08.031",,"Article","Rapid kinetics of changes in oxygen consumption rate in thrombin-stimulated platelets measured by high-resolution respirometry.","COAF",,"Unknown","British Heart Foundation","FS/15/62/32032",,,,,,,,2189.28,0,,2189.28,0,"CC BY",,"Unknown"
29453244,"Neurology",0,3/1/2018,"Ovid Technologies (Wolters Kluwer Health)","cc-by","cc-by",1,0,"10.1212/WNL.0000000000005175",,"Article","White matter change with apathy and impulsivity in frontotemporal lobar degeneration syndromes.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"NIHR",,,,,3466.95,0,,1729.22,1737.73,,,"Unknown"
29452638,"Molecular cell",0,2/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.molcel.2018.01.034",,"Article","NADH Shuttling Couples Cytosolic Reductive Carboxylation of Glutamine with Glycolysis in Cells with Mitochondrial Dysfunction.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"H2020",,,,,4840.19,2488.67,,2420.09,2420.1,,,"Unknown"
28824013,"Methods and applications in fluorescence",0,12/1/2017,"IOP Publishing","cc-by","cc-by",1,0,"10.1088/2050-6120/aa872e",,"Article","Total internal reflection fluorescence anisotropy imaging microscopy: setup\, calibration\, and data processing for protein polymerization measurements in living cells","RCUK","COAF","Unknown","Wellcome Trust","085314/Z/08/Z","EPSRC",,,,,,,2040,0,,1020,1020,"CC BY",,"Unknown"
30054475,"Nature communications",1,7/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41467-018-05388-x",,"Article","Contact inhibition controls cell survival and proliferation via YAP/TAZ-autophagy axis.","RCUK","COAF","Unknown","Wellcome Trust","095317/Z/11/Z, 100140/Z/12/Z","MRC",,"FP7",,,,,3960,0,,1980,1980,"CC BY",,"Unknown"
29109402,"Scientific reports",1,11/1/2017,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41598-017-14017-4",,"Article","Machine learning model for sequence-driven DNA G-quadruplex formation.","COAF",,"Unknown","Wellcome Trust",,"Cancer Research UK",,"ERC",,,,,1332,0,,1332,0,"CC BY",,"Unknown"
29167062,"Molecular metabolism",1,1/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.molmet.2017.11.005",,"Article","Mechanistic insights into the detection of free fatty and bile acids by ileal glucagon-like peptide-1 secreting cells.","RCUK","COAF","Unknown","Wellcome Trust","106262/Z/14/Z, 106263/Z/14/Z","MRC",,,,,,,2112.61,0,,1056.3,1056.31,,,"Unknown"
29518358,"Neuron",0,3/1/2018,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.neuron.2018.01.027",,"Article","Axon-Axon Interactions Regulate Topographic Optic Tract Sorting via CYFIP2-Dependent WAVE Complex Function","COAF",,"Unknown","Wellcome Trust",,"ERC",,,,,,,4037.38,0,,4037.38,0,,,"Unknown"
29108687,"Spatial and spatio-temporal epidemiology",0,11/1/2017,"Elsevier BV","cc-by","cc-by",1,0,"10.1016/j.sste.2017.07.001",,"Article","Spatial analysis of food insecurity and obesity by area-level deprivation in children in early years settings in England","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"Cancer Research UK",,,,,1033.8,0,,516.9,516.9,,,"Unknown"
29705267,"Experimental hematology",0,7/1/2018,"Elsevier BV","cc-by","cc-by",1,0,,,"Article","Branched-chain amino acid depletion conditions bone marrow for hematopoietic stem cell transplantation avoiding amino acid imbalance-associated toxicity","COAF",,"#N/A","Bloodwise",,,,,,,,,2470.54,0,,2470.54,0,,,"#N/A"
29070564,"The American journal of clinical nutrition",0,11/1/2017,"Oxford University Press (OUP)","cc-by","cc-by",1,0,"10.3945/ajcn.116.148395",,"Article","No metabolic effects of mustard allyl-isothiocyanate compared with placebo in men.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"British Heart Foundation",,,,,4823.06,0,,2406.54,2416.52,,,"Unknown"
29472200,"BMJ (Clinical research ed.)",0,2/1/2018,"BMJ","cc-by","cc-by",1,0,"10.1136/bmj.k186",,"Article","Degenerative cervical myelopathy.","RCUK","COAF","Unknown","Wellcome Trust",,"MRC",,"NIHR",,,,,3600,0,,1800,1800,,,"Unknown"
30305705,"Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology",0,12/1/2018,"Springer Nature","cc-by","cc-by",1,0,"10.1038/s41386-018-0229-z",,"Article","Dissociable effects of acute SSRI (escitalopram) on executive\, learning and emotional functions in healthy humans.","COAF",,"Unknown","Wellcome Trust",,"MRC",,,,,,,3000,0,,3000,0,,,"Unknown"
