"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£) (inc VAT when charged)";"Full text in Europe PMC?";"Accepted author manuscript?";"Licence";"Licence Source";"Journal Type";"Wellcome Trust compliant?"
"PMC4261642";25193157;"10.1186/1471-2393-14-308";"BioMed Central";"BMC Pregnancy and Childbirth";"1471-2393";"Induction of labour in pre-eclamptic women: a randomised trial comparing the Foley balloon catheter with oral misoprostol";£1,590.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4147181";25132124;"10.1186/1471-2393-14-281";"BioMed Central";"BMC Pregnancy and Childbirth";"1471-2393";"Barriers to and incentives for achieving partograph use in obstetric practice in low and middle income countries: a systematic review";£1,351.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3897987";24373126;"10.1186/1471-2393-13-245";"BioMed Central";"BMC Pregnancy and Childbirth";"1471-2393";"Maternal infection and risk of intrapartum death: A population based observational study in South Asia";£1,315.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3939637";24576187;"10.1186/1471-2393-14-89";"BioMed Central";"BMC Pregnancy and Childbirth";"1471-2393";"Exploring the first delay: a qualitative study of home deliveries in Makwanpur district Nepal";£1,315.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4016384";24606612;"10.1186/1471-2393-14-99";"BioMed Central";"BMC Pregnancy and Childbirth";"1471-2393";"Is essential newborn care provided by institutions and after home births? Analysis of prospective data from community trials in rural South Asia";£1,315.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4228283";24188251;"10.1186/1471-2393-13-200";"BioMed Central";"BMC Pregnancy and Childbirth";"1471-2393";"Understanding pregnancy planning in a low-income country setting: validation of the London Measure of Unplanned Pregnancy in Malawi";£1,315.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3851454";24103296;"10.1186/1471-244x-13-250";"BioMed Central";"BMC Psychiatry";"1471-244X";"Rumination, anxiety, depressive symptoms and subsequent depression in adolescents at risk for psychopathology: a longitudinal cohort study";£1,314.60;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4148962";25118074;"10.1186/1471-2458-14-839";"BioMed Central";"BMC Public Health";"1471-2458";"Suicide in Sri Lanka 1975-2012: Age, period and cohort analysis of Police and Hospital data";£1,650.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4041360";24767247;"10.1186/1471-2458-14-402";"BioMed Central";"BMC Public Health";"1471-2458";"Children's representations of school support for HIV-affected peers in rural Zimbabwe";£1,608.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4100058";25004868;"10.1186/1471-2458-14-700";"BioMed Central";"BMC Public Health";"1471-2458";"Barriers and facilitators to HPV vaccination of young women in high-income countries: a qualitative systematic review and evidence synthesis";£1,608.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4131023";25074692;"10.1186/1471-2458-14-765";"BioMed Central";"BMC Public Health";"1471-2458";"Severity of injuries in different modes of transport, expressed with disability-adjusted life years (DALYs) ";£1,411.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3750243";23914878;"10.1186/1471-2458-13-718";"BioMed Central";"BMC Public Health";"1471-2458";"What do adolescents want in order to become more active?";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3751669";23947576;"10.1186/1471-2458-13-761";"BioMed Central";"BMC Public Health";"1471-2458";"More of the same or a change of scenery? An observational study of variety and frequency of physical activity in British children";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3882289";24350889;"10.1186/1471-2458-13-1197";"BioMed Central";"BMC Public Health";"1471-2458";"How do couples influence each otherÃ¢Â€Â™s physical activity behaviours in retirement? An exploratory qualitative study";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4228357";24188462;"10.1186/1471-2458-13-1039";"BioMed Central";"BMC Public Health";"1471-2458";"Socioeconomic status financial hardship and measured obesity in older adults: a cross-sectional study of the EPI C-Norfolk cohort";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4222753";24274070;"10.1186/1471-2458-13-1092";"BioMed Central";"BMC Public Health";"1471-2458";"ChildrenÃ¢Â€Â™s sedentary behaviour: descriptive epidemiology and associations with objectively measured sedentary time";£1,375.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4180980";25248469;"10.1186/1471-2458-14-993";"BioMed Central";"BMC Public Health";"1471-2458";"Adherence to antiretroviral therapy during pregnancy and the first year postpartum among women in Ukraine";£1,351.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4118630";25027231;"10.1186/1756-0500-7-452";"BioMed Central";"BMC Research Notes";"1756-0500";"Challenges and opportunities of a paperless baseline survey in Sri Lanka";£918.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3975860";24598002;"10.1186/1756-0500-7-124";"BioMed Central";"BMC Research Notes";"1756-0500";"The nucleotide-binding oligomerization domain-containing protein 1 (NOD1) polymorphism S7N does not affect receptor function";£789.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4119183";25056485;"10.1186/1756-0500-7-471";"BioMed Central";"BMC Research Notes";"1756-0500";"Can the Risk of Obstetric Anal Sphincter Injuries (OASIs) be Predicted Using a Risk-Scoring System?";£765.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3927217";24410837;"10.1186/1472-6807-14-1";"BioMed Central";"BMC Structural Biology";"1472-6807";"Crystal structures of IspF from Plasmodium falciparum and Burkholderia cenocepacia: comparisons inform antimicrobial drug target assessment.";£1,608.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3733939";23705825;"10.1186/1471-2482-13-14";"BioMed Central";"BMC Surgery";"1471-2482";"Laparoscopic surgery for Crohn's disease: a meta-analysis of perioperative complications and long term outcomes compared with open surgery.";£1,254.60;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4195862";25286901;"10.1186/s12917-014-0239-y";"BioMed Central";"BMC Veterinary Research";"1746-6148";"Prevalence of porcine cysticercosis in the Lake Kyoga Basin, Uganda";£1,608.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4022360";24766709;"10.1186/1746-6148-10-95";"BioMed Central";"BMC Veterinary Research ";"1746-6148";"E. coli O157 on Scottish cattle farms: Evidence of local spread and persistence using repeat cross-sectional data";£1,470.60;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3672613";23190744;"10.1186/cc11883";"BioMed Central";"Critical Care";"1364-8535, 1466-609X";"Elevated Troponin I and its prognostic significance in acute liver failure";£1,536.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4068161";24963333;"10.1186/1742-7622-11-5";"BioMed Central";"Emerging Themes in Epidemiology";"1742-7622";"Risk factors for non-atopic asthma/wheeze in children and adolescents: a systematic review";£1,464.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4131774";25126104;"10.1186/1742-7622-11-10";"BioMed Central";"Emerging Themes in Epidemiology";"1742-7622";"Returning findings within longitudinal cohort studies: the 1958 Birth Cohort as an exemplar";£596.70;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4115480";25097667;"10.1186/1756-8935-7-14";"BioMed Central";"Epigenetics & Chromatin";"1756-8935";"Assessing cellular efficacy of bromodomain inhibitors using Florescence Recovery After Photobleaching";£1,824.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3905155";24456010;"10.1186/1471-2148-14-16";"BioMed Central";"Evolutionary Biology";"1471-2148";"Reassortment patterns of avian influenza virus internal segments among different subtypes";£1,375.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4189735";25201068;"10.1186/s13059-014-0451-x";"BioMed Central";"Genome Biology";"1465-6906, 1465-6914";"Cfp1 is required for gene expression dependent H3K4me3 and H3K9 acetylation in embryonic stem cells.";£2,094.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4054843";24565444;"10.1186/gb-2014-15-2-r27";"BioMed Central";"Genome Biology";"1465-6906, 1465-6914";"A single mutation in the GSTe2 gene allows tracking of metabolically-based insecticde resistance in a major malaria vector";£2,034.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4062055";24598577;"10.1186/gm536";"BioMed Central";"Genome Medicine";"1756-994X";"Human-specific epigenetic variation in the immunological Leukotriene B4 Receptor (LTB4R/BLT1) implicated in comm on inflammatory diseases";£1,728.90;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3887218";24235150;"10.1074/jbc.m113.515445";"BioMed Central";"International Journal of Behavioral Nutrition and Physical Activity";"0021-9258, 1083-351X";"Bedroom sedentary time and screen time in children: a longitudinal analysis";£1,559.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3720205";23806008;"10.1186/1479-5868-10-85";"BioMed Central";"International Journal of Behavioral Nutrition and Physical Activity";"1479-5868";"Characterising food environment exposure at home at work and along commuting journeys using data on adults in the UK";£1,426.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3896827";24405936;"10.1186/1479-5868-11-1";"BioMed Central";"International Journal of Behavioral Nutrition and Physical Activity";"1479-5868";"Objectively measured activity in four-year old British children: a cross-sectional analysis of activity patterns segmented across the day";£1,426.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3706268";23768212;"10.1186/1479-5868-10-76";"BioMed Central";"International Journal of Behavioral Nutrition and Physical Activity";"1479-5868";"Synthesising evidence for equity impacts of population based physical activity interventions: a pilot study";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4228490";24171709;"10.1186/1476-072X-12-49";"BioMed Central";"International Journal of Health Geographics";"1476-072X";"Potential corridors and barriers for plague spread in Central Asia";£1,204.98;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3723649";23816238;"10.1186/1476-072x-12-33";"BioMed Central";"International Journal of Health Geographics";"1476-072X";"Creating Ã¢Â€Â˜obesogenic realitiesÃ¢Â€Â™: do our methodological choices make a difference when measuring the food environment?";£1,197.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4081802";24999419;"10.1186/2050-2974-1-41";"BioMed Central";"Journal of Eating Disorders";"2050-2974";"Empirically-supported and non-empirically supported therapies for bulimia nervosa: retrospective patient ratings";£1,137.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4126817";25110526;"10.1186/1866-1955-6-21";"BioMed Central";"Journal of Neurodevelopmental Disorders";"1866-1947, 1866-1955";"Late, not early mismatch responses to changes in frequency are reduced or deviant in children with dyslexia: an event-related potential study";£1,422.90;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4021508";24731298;"10.1186/1475-2875-13-144";"BioMed Central";"Malaria Journal";"1475-2875";"Geographical variation in Plasmodium vivax relapse";£1,596.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4022538";24886586;"10.1186/1475-2875-13-171";"BioMed Central";"Malaria Journal";"1475-2875";"Air temperature suitability for Plasmodium falciparum malaria transmission in Africa 2000-2012: a high-resolution spatiotemporal prediction";£1,596.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3835423";24228846;"10.1186/1475-2875-12-418";"BioMed Central";"Malaria Journal";"1475-2875";"Spatial distribution of G6PD deficiency variants across malaris-endemic regions";£1,530.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3930350";24479555;"10.1186/1475-2875-13-39";"BioMed Central";"Malaria Journal";"1475-2875";"Declining malaria in Africa: improving the measurement of progress";£1,530.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3842805";24206629;"10.1186/1475-2875-12-404";"BioMed Central";"Malaria Journal";"1475-2875";"Acetylcholinesterase (Ace-1) target site mutation 119S is strongly diagnostic of carbamate and organophosphate resistance in Anopheles gambiae ss and Anopheles coluzzii across southern Ghana";£1,470.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4150949";25124718;"10.1186/1475-2875-13-315";"BioMed Central";"Malaria Journal";"1475-2875";"Proteomic analysis of the Plasmodium male gamete reveals the key role for glycolysis in flagellar motility";£1,280.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4132200";25091803;"10.1186/1475-2875-13-298";"BioMed Central";"Malaria Journal";"1475-2875";"Risk factors for UK Plasmodium falciparum cases";£1,249.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3986881";24670151;"10.1186/1475-2875-13-115";"BioMed Central";"Malaria Journal ";"1475-2875";"Information use and plasticity in the reproductive decisions of malaria parasites";£1,396.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3940728";24564958;"10.1186/2040-2392-5-18";"BioMed Central";"Molecular Autism";"2040-2392";"Variability in the common genetic architecture of social-communication spectrum phenotypes during childhood and adolescence";£1,830.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3928101";24517586;"10.1186/1476-4598-13-28";"BioMed Central";"Molecular Cancer";"1476-4598";"Integrated analysis of microRNA and mRNA expression and association with HIF binding reveals the complexity of microRNA expression regulation under hypoxia.";£1,608.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4080690";24947159;"10.1186/1744-8069-10-39";"BioMed Central";"Molecular Pain";"1744-8069";"Descending controls modulate inflammatory joint pain and regulate CXC chemokine and iNOS expression in the dorsal horn";£1,601.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4021616";24472155;"10.1186/1744-8069-10-7";"BioMed Central";"Molecular Pain";"1744-8069";"A comparison of RNA-seq and exon arrays for whole genome transcription profiling of the L5 spinal nerve transection model of neuropathic pain in the rat";£1,545.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4127074";25074684;"10.1186/1749-8104-9-18";"BioMed Central";"Neural Development";"1749-8104";"Optix defines a neuroepithelial compartment in the optic lobe of the Drosophila brain";£1,610.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3737057";23895693;"10.1186/1749-8104-8-14";"BioMed Central";"Neural Development";"1749-8104";"Dicer is required for neural stem cell mulitpotency and lineage progression during during cerebral cortex development";£1,320.90;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3936861";24559099;"10.1186/1756-3305-7-78";"BioMed Central";"Parasites and Vectors";"1756-3305";"Mating compatibility in the parasitic protist Trypanosoma brucei";£1,506.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4148136";25052008;"10.1186/1756-3305-7-338";"BioMed Central";"Parasites and Vectors";"1756-3305";"Global temperature constriants on Aedes aegypti and Ae. Albopictus persistence and competence for dengue virus transmission";£1,506.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3843567";24330615;"10.1186/1756-3305-6-311";"BioMed Central";"Parasites and Vectors";"1756-3305";"Temporal and micro-spatial heterogeneity in the distribution of Anopheles vectors of malaria along the Kenyan coast";£1,440.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3867219";24330720;"10.1186/1756-3305-6-351";"BioMed Central";"Parasites and Vectors";"1756-3305";"Modelling adult Aedes aegypti and Aedes albopictus survival at different temperatures in laboratory and field settings";£1,440.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3816585";24499569;"10.1186/1756-3305-6-304";"BioMed Central";"Parasites and Vectors";"1756-3305";"Molecular characterisation of cryptic and sympatric lymnaeid species from the Galba/Fossaria group in Medoza Province, patagonia, Argentina";£1,408.92;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3937429";24533773;"10.1186/1756-3305-7-71";"BioMed Central";"Parasites and Vectors";"1756-3305";"Contrasting Plasmodium infection rates and insecticide susceptibility profiles between the sympatric sibling species Anopheles parensis and Anopheles funestus s.s: a potential challenge for malaria vector control in Uganda";£1,380.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4037555";24886747;"10.1186/1756-3305-7-241";"BioMed Central";"Parasites and Vectors";"1756-3305";"Modelling the Impact of Ivermectin on River Blindness and its Burden of Morbidity and Mortality in African Savannah: EpiOncho Projections";£1,289.10;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4230191";24690282;"10.1186/1756-3305-7-153";"BioMed Central";"Parasites and Vectors";"1756-3305";"Schistosomiasis in pre-school-age children and their mothers in Chikhwawa district, Malawi with notes on characterization of schistosomes and snails";£1,156.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4079919";24916278;"10.1186/1756-3305-7-266";"BioMed Central";"Parasites and Vectors";"1756-3305";"Can chemotherapy alone eliminate the transmission of soil transmitted helminths?";£614.54;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4113599";25075205;"10.1186/1546-0096-12-31";"BioMed Central";"Pediatric Rheumatology";"1546-0096";"Developing a provisional, international Minimal Dataset for Juvenile Dermatomyositis: for use in clinical practice to inform research";£1,193.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4113200";25071420;"10.1186/1477-5956-12-25";"BioMed Central";"Proteome Science";"1477-5956";"Proteomic analysis of laser capture microscopy purified myotendinous junction regions from muscle sections";£1,338.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4247744";25146127;"10.1186/1745-6215-15-332";"BioMed Central";"Trials";"1745-6215";"Simvastatin to Modify Neutrophil function in Older Patients with septic pneumonia (SNOOPI): a randomised placebo controlled trial";£1,193.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3874643";24220146;"10.1186/1743-422X-10-335";"BioMed Central";"Virology Journal";"1743-422X";"Whole genome sequencing and de novo assembly identifies sydney-like variant noroviruses and recombinants assembly";£1,608.00;1;0;"cc-by";"epmc_xml";"oa";1
;24996765;"10.1186/1745-6215-15-267";"BioMed Central ";"Trials";"1745-6215";"Theory of change: a theory-driven approach to enhance the MRC framework for complex interventions";£1,193.40;0;"unknown";"cc-by";"publisher";"oa";0
"PMC4229740";24950788;"10.1186/2051-5960-2-70";"BioMed Central ";"Acta Neuropathologica Communications";"2051-5960";"Brain distribution of dipeptide repeat proteins in Frontotemporal Lobar Degeneration and Motor Neurone Disease associated with expansions in C9ORF72";£942.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3922737";24444369;"10.1186/1742-6405-11-3";"BioMed Central ";"AIDS Research and Therapy";"1742-6405";"Drug resistance in children at virological failure in a rural KwaZulu-Natal, South Africa, cohort";£1,240.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4107749";25057351;"10.1186/2047-2994-3-22";"BioMed Central ";"Antimicrobial Resistance and Infection Control";"2047-2994";"Carriage of Staphylococcus aureus in Thika Level 5 Hospital, Kenya: a cross-sectional study";£1,137.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3995621";24625075;"10.1186/1471-2407-14-180";"BioMed Central ";"BMC Cancer";"1471-2407";"T cells but not NK cells are associated with a favourable outcome for resected colorectal liver metastases";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4022179";24628794;"10.1186/1471-2164-15-193";"BioMed Central ";"BMC Genomics";"1471-2164";"Sex-dependent genetic effects on immune responses to a parasitic nematode.";£1,411.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4192331";25261072;"10.1186/1471-2164-15-817";"BioMed Central ";"BMC Genomics";"1471-2164";"The highly polymorphic CYP6M7 cytochrome P450 gene partners with the directionally selected CYP6P9a and CYP6P9b genes to expand the pyrethroid resistance front in the malaria vector Anopheles funestus in Africa";£1,351.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3842739";24245754;"10.1186/1472-6963-13-480";"BioMed Central ";"BMC Health Services Research";"1472-6963";"Cataract surgery in Southern Ethiopia: distribution, rates and determinants of service provision";£1,375.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4082497";24974166;"10.1186/1472-6963-14-282";"BioMed Central ";"BMC Health Services Research";"1472-6963";"Using health worker opinions to assess changes in structural components of quality in a Cluster Randomized Trial.";£1,359.09;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4110369";25035114;"10.1186/1472-6963-14-312";"BioMed Central ";"BMC Health Services Research";"1472-6963";"Assessment of paediatric inpatient care during a multifaceted quality improvement intervention in Kenyan district hospitals--use of prospectively collected case record data.";£1,351.83;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4161911";25179422;"10.1186/1472-6963-14-367";"BioMed Central ";"BMC Health Services Research";"1472-6963";"The use of discrete choice experiments to inform health workforce policy: a systematic review";£1,351.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3942276";24507629;"10.1186/1472-6963-14-59";"BioMed Central ";"BMC Health Services Research";"1472-6963";"Factors influencing performance of health workers in the management of seriously sick children at a Kenyan tertiary hospital - participatory action research";£1,295.25;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3975593";24613001;"10.1186/1472-6963-14-119.";"BioMed Central ";"BMC Health Services Research";"1472-6963";"Explaining the uptake of paediatric guidelines in a Kenyan tertiary hospital--mixed methods research";£1,291.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3973961";24606875;"10.1186/1472-6963-14-116";"BioMed Central ";"BMC Health Services Research";"1472-6963";"Implementing antiretroviral resistance testing in a primary health care HIV treatment programme in rural KwaZulu-Natal, South Africa: early experiences, achievements and challenges";£1,146.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4021307";24690157;"10.1186/1471-2334-14-178";"BioMed Central ";"BMC Infectious Diseases ";"1471-2334";"Examining strain diversity and phylogeography in relation to an unusual epidemic pattern of respiratory syncytial virus (RSV) in a long-term refugee camp in Kenya.";£1,367.27;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3986854";24674301;"10.1186/1471-2334-14-170";"BioMed Central ";"BMC Infectious Diseases ";"1471-2334";"Plasmodium falciparum antigenic variation: relationships between widespread endothelial activation, parasite PfEMP1 expression and severe malaria.";£1,337.05;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4016314";24125465;"10.1186/1472-6939-14-41";"BioMed Central ";"BMC Medical Ethics";"1472-6939";"Consulting communities on feedback of genetic findings in international health research: sharing sickle cell disease and carrier information in coastal Kenya.";£1,295.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4029430";24330745;"10.1186/1472-6939-14-54";"BioMed Central ";"BMC Medical Ethics ";"1472-6939";"Depression and decision-making capacity for treatment or research: a systematic review";£1,180.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4236593";25201310;"10.1186/s12881-014-0093-6";"BioMed Central ";"BMC Medical Genetics";"1471-2350";"Genetic determinants of glucose-6-phosphate dehydrogenase activity in Kenya.";£1,172.65;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3998050";24655568;"10.1186/1741-7015-12-51";"BioMed Central ";"BMC Medicine";"1741-7015";"Unintended effects of statins from observational studies in general population: systematic review and meta-analysis.";£1,545.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4118294";25022519;"10.1186/1471-2261-14-85";"BioMed Central ";"BMC Medicine";"1471-2261";"Statins and the risk of type 2 diabetes mellitus: cohort study using the UK Clinical Practice Research Datalink";£1,411.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4022330";24755265;"10.1186/1741-7015-12-65";"BioMed Central ";"BMC Medicine ";"1741-7015";"Verbal autopsy as a tool for identifying children dying of sickle cell disease: a validation study conducted in Kilifi district, Kenya.";£1,641.21;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3896753";24423150;"10.1186/1756-0500-7-37";"BioMed Central ";"BMC Research Notes";"1756-0500";"User and researcher collaboration in mental health in low and middle income countries: case study of the EMPOWER project.";£789.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4078362";24886522;"10.1186/1752-0509-8-59";"BioMed Central ";"BMC Systems Biology";"1752-0509";"Insight into model mechanisms through automatic parameter fitting: A new methodological framework for model development";£1,146.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4015829";24606843;"10.1186/2191-219X-4-14";"BioMed Central ";"EJNMMI Research";"2191-219X";"Optimising the radiolabelling properties of technetium tricarbonyl and His-tagged proteins";£974.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4062048";24597950;"10.1186/gm537";"BioMed Central ";"Genome Medicine";"1756-994X";"Killer-cell immunologlubulin-like receptor gene linkage and copy number variation analysis by droplet digital PCR.";£1,728.90;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4118270";25089154;"10.1186/1752-4458-8-30";"BioMed Central ";"International Journal of Mental Health Systems";"1752-4458";"The development of mental health services within primary care in India: learning from oral history";£1,193.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4015364";24602328;"10.1186/1475-2875-13-79";"BioMed Central ";"Malaria Journal";"1475-2875";"Imported falciparum malaria among adults requiring intensive care: analysis of the literature";£1,249.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3835139";24206615;"10.1186/1744-8069-9-57";"BioMed Central ";"Molecular Pain";"1744-8069";"Chemokine expression in peripheral tissues from the Monosodium Iodoacetate model of chronic joint pain";£1,454.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3929244";24405572;"10.1186/1749-8104-9-1";"BioMed Central ";"Neural Development";"1749-8104";"Developmental origins of diversity in cerebellar output nuclei";£1,504.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4168165";25192735;"10.1186/1475-2891-13-89";"BioMed Central ";"Nutrition Journal";"1475-2891";"Type of vegetarian diet obesity and diabetes in
adult Indian population";£1,453.50;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4055802";24899080;"10.1186/1475-2891-13-55";"BioMed Central ";"Nutrition Journal";"1475-2891";"Nutritional profile of Indian vegetarian diets the Indian Migration Study (IMS)";£1,417.80;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3905661";24447578;"10.1186/1756-3305-7-37";"BioMed Central ";"Parasites and Vectors";"1756-3305";"Global numbers of infection and disease burden of soil transmitted helminth infections in 2010";£1,173.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3816585";24499569;"10.1186/1756-3305-6-304";"BioMed Central ";"Parasites and Vectors";"1756-3305";"Molecular characterization of cryptic and sympatric lymnaeid species from the Glba/Fossaria group in Mendoza Province, Northern Patagonia, Argentina";£1,164.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3922342";24499536;"10.1186/1747-5341-9-4";"BioMed Central ";"Philosophy, Ethics, and Humanities in Medicine";"1747-5341";"Performance enhancement, elite athletes and anti doping governance: comparing human guinea pigs in pharmaceutical research and professional sports";£1,032.00;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4138365";25100338;"10.1186/1745-6215-15-310";"BioMed Central ";"Trials";"1745-6215";"Assessing the external validity of a randomised, controlled trial of anthelminthics in mothers and their children in Entebbe, Uganda, using two-stage cluster sample community survey.";£1,193.40;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4230277";24690184;"10.1186/1745-6215-15-101";"BioMed Central ";"Trials";"1745-6215";"The effectiveness and cost-effectiveness of lay counsellor-delivered psychological treatments for harmful and dependent drinking and moderate to severe depression in primary care in India: PREMIUM study protocol for randomized controlled trials";£1,137.30;1;0;"cc-by";"epmc_xml";"oa";1
"PMC4062282";24919485;"10.1186/1745-6215-15-220";"BioMed Central ";"Trials";"1745-6215";"Cluster randomized trials utilizing primary care electronic health records: methodological issues in design, conduct, and analysis (eCRT Study)";£1,123.20;1;0;"cc-by";"epmc_xml";"oa";1
"PMC3936910";24552199;"10.1186/1745-6215-15-64";"BioMed Central ";"Trials";"1745-6215";"Uthando Lwethu (Ã¢Â€Â˜our loveÃ¢Â€Â™): a protocol for a couples-based intervention to increase testing for HIV: a randomized controlled trial in rural KwaZulu-Natal, South Africa";£1,018.65;1;0;"cc-by";"epmc_xml";"oa";1
"PMC390468";2991898;"10.1186/1472-6963-14-32";"BioMed Central ";"BMC Health Services Research";"0027-8424, 1091-6490";"Patient satisfaction with HIV and TB treatment ina public programme in rural KwaZulu-Natal:
evidence from patient-exit interviews";£1,280.00;1;"unknown";"cc-by";"publisher";"oa";1
"PMC4104038";24872577;"10.1530/JOE-13-0563";"Bioscientifica Ltd";"Journal of Endocrinology";"0022-0795, 1479-6805";"Relative adrenal insufficiency in mice deficient in 5alpha-reductase 1";£2,040.00;1;0;"cc-by";"epmc_xml";"hybrid";1
