PMID,PMCID,DOI,Publisher,Journal title,ISSN,Fully Open Access Journal,Article title,Cost,"Discounts, memberships & pre-payment agreements",Fulltext in EPMC?,Licence in EPMC,Licence on publisher website,Accepted Author Manuscript?,Ahead of Print?,COAF Compliant?,Funder of research (1),Grant ID (1),Funder of research (2),Grant ID (2),Funder of research (3),Grant ID (3)
28835501,PMC5660504,10.1128/jvi.01137-17,American Society for Microbiology,Journal of Virology,"0022-538X, 1098-5514",0,"Inherited chromosomally integrated human herpesvirus 6 genomes are ancient, intact and potentially able to reactivate from telomeres.",2213.86,None,1,cc-by,not applicable,0,Unknown,1,MRC,"UK Medical Research Council G0901657 awarded to N.J.R.,",Wellcome Trust,Part of Wellcome Trust Institutional Strategic Support Fund (WT097828MF to N.J.R),,
27852850,PMC5215335,10.1128/jvi.02196-16,American Society for Microbiology,Journal of virology,"0022-538X, 1098-5514",0,Dual function of the pUL7-pUL51 tegument protein complex in HSV-1 infection,2179.72,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,098406/Z/12/Z,,,,
27881647,PMC5244346,10.1128/jvi.01656-16,American Society for Microbiology,Journal of virology,"0022-538X, 1098-5514",0,Activation of COX-2/PGE2 Promotes Sapovirus Replication via the 2 Inhibition of Nitric Oxide Production,2155.9,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,09799 7/Z/11/Z,,,,
28122973,PMC5355620,10.1128/jvi.02467-16,American Society for Microbiology,Journal of virology,"0022-538X, 1098-5514",0,The role of the PB2 627-domain in influenza A virus polymerase function,2154.83,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,102053/Z/13/Z,Wellcome Trust,098721/Z/12/Z,,
28069818,PMC5328493,10.1128/iai.00010-17,American Society for Microbiology,Infection and immunity,"0019-9567, 1098-5522",0,SseK1 and SseK3 T3SS effectors inhibit NF-kB signalling and necroptotic cell death in Salmonella-infected macrophages,2146.09,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,097816/Z/11/B,,,,
28100610,PMC5355598,10.1128/jvi.02255-16,American Society for Microbiology,Journal of virology,"0022-538X, 1098-5514",0,The measles virus receptor SLAMF1 can mediate particle endocytosis,2117,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,"RCHX17808, RCHX17113",,,,
27677790,PMC5040112,10.1128/mbio.01053-16,American Society for Microbiology,mBio,2150-7511,1,Recombination in Streptococcus pneumoniae lineages increase with carriage duration and size of the polysaccharide capsule,1704,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT (084679/Z/08/Z),,,,
28265004,PMC5440651,10.1128/mcb.00536-16,American Society for Microbiology,Molecular and cellular biology,"0270-7306, 1098-5549",0,"Gain-of-function mutation of tristetraprolin impairs negative feedback control of macrophages in vitro, yet has overwhelmingly anti-inflammatory consequences in vivo",2107.56,None,1,cc-by,not applicable,0,Unknown,1,Arthritis Research UK,19614,,,,
28396352,PMC5472812,10.1128/jb.00135-17,American Society for Microbiology,Journal of bacteriology,"0021-9193, 1098-5530",0,Association of the cold-shock DEAD-box RNA helicase RhlE to the RNA degradosome in Caulobacter crescentus,2092.16,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,RG84381,,,,
28159786,PMC5377504,10.1128/aem.03229-16,American Society for Microbiology,Applied and Environmental Microbiology,"0099-2240, 1098-5336",0,Bacteriophage ?M1 of Pectobacterium evolves to escape two bifunctional Type III toxin-antitoxin and abortive infection systems through mutations in a single viral gene,2092.15,None,1,cc-by,not applicable,0,Unknown,1,BBSRC,,Wellcome Trust,,,
28167670,PMC5364305,10.1128/iai.01021-16,American Society for Microbiology,Infection and Immunity,"0019-9567, 1098-5522",0,SalmonellaÂ Typhi Lipopolysaccharide O-antigen Modifications Impact on Serum Resistance and Antibody Recognition,1974.68,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT094333MA,,,,
27795299,PMC5192081,10.1128/mcb.00454-16,American Society for Microbiology,Molecular and cellular biology,"0270-7306, 1098-5549",0,Beta Interferon Production Is Regulated by p38 Mitogen-Activated Protein Kinase in Macrophages via both MSK1/2- and Tristetraprolin-Dependent Pathways,1826.18,None,1,cc-by,not applicable,0,Unknown,1,Arthritis Research UK,19518 ,,20409,,
28827366,PMC5649026,10.1128/iai.00541-17,American Society for Microbiology,Infection and immunity,"0019-9567, 1098-5522",0,Spontaneous virulence loss in natural populations of Listeria monocytogenes,1555.71,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT074020MA,,,,
27507828,PMC4981727,10.1128/mBio.01228-16,American Society for Microbiology,mBio,,1,The cell wall polymer lipoteichoic acid becomes non-essential in Staphylococcus aureus cells lacking the ClpX chaperone,1107.18,Not reported,1,CC-BY,not applicable,0,0,1,Wellcome Trust,100289/Z/12/Z,,,,
27974636,PMC5198516,10.1124/mol.116.106054,American Society for Pharmacology & Experimental Therapeutics (ASPET),Molecular pharmacology,"0026-895X, 1521-0111",0,Myeloperoxide enhances etoposide and mitonxantrone mediated DNA damage: a target for myeloprotection in cancer chemotherapy,2903.484,None,1,cc-by,not applicable,0,Unknown,1,Bloodwise,12031,,,,
28351863,PMC5394920,10.1124/pr.116.013441,American Society for Pharmacology & Experimental Therapeutics (ASPET),Pharmacological reviews,"0031-6997, 1521-0081",0,Systems Chronotherapeutics,2888.75,Not reported,1,cc-by,not applicable,0,Unknown,1,European Union,305033,Cancer Research UK,C53561/A19933,,
28360334,PMC5443320,10.1124/jpet.116.239574,American Society for Pharmacology & Experimental Therapeutics (ASPET),The Journal of pharmacology and experimental therapeutics,"0022-3565, 1521-0103",0,A genomic DNA reporter screen identifies squalene synthase inhibitors which act cooperatively with statins to upregulate the low-density lipoprotein receptor,2882.53,,1,cc-by,not applicable,0,Unknown,1,British Heart Foundation,PG/10/54/28460,,RE/08/004,,
28877931,PMC5635517,10.1124/mol.117.109249,American Society for Pharmacology & Experimental Therapeutics (ASPET),Molecular pharmacology,"0026-895X, 1521-0111",0,Prostaglandin E2 Inhibits Histamine-Evoked Ca2+ Release in Human Aortic Smooth Muscle Cells through Hyperactive cAMP Signaling Junctions and Protein Kinase A.,2782.5,None,1,cc-by,not applicable,0,Unknown,1,MRC,,Wellcome Trust,,,
28798097,PMC5588548,10.1124/mol.117.109397,American Society for Pharmacology & Experimental Therapeutics (ASPET),Molecular pharmacology,"0026-895X, 1521-0111",0,Suramin inhibits osteoarthritic cartilage degradation by increasing extracellular levels of chondroprotective tissue inhibitor of metalloproteinases 3 (TIMP-3),2738.89,,1,cc-by,not applicable,0,Unknown,1,Arthritis Research UK,20887,,,,
27756789,PMC5193068,10.1124/dmd.116.073437,American Society for Pharmacology & Experimental Therapeutics (ASPET),Drug metabolism and disposition: the biological fate of chemicals,"0090-9556, 1521-009X",0,Application of Mice Humanised for Cytochrome P450 CYP2D6 to the Study of Tamoxifen Metabolism and Drug-Drug Interaction with Antidepressants,2428.24,None,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C4639/A10822,,,,
28646079,PMC5539585,10.1124/dmd.117.076612,American Society for Pharmacology & Experimental Therapeutics (ASPET),Drug metabolism and disposition: the biological fate of chemicals,"0090-9556, 1521-009X",0,Identification of flavin-containing monooxygenase 5 (FMO5) as a regulator of glucose homeostasis and a potential sensor of gut bacteria,2352.17,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,093469/Z/10/Z; 109685  D Llumigusin; Elizabeth Shephard,,  ,,
28029312,PMC5455424 ,10.1200/JCO.2016.69.8944,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,,0,Impact of a panel of 88 SNPs on the risk of breast cancer in high risk women: Results from two randomised tamoxifen prevention trials,4911.59,,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C569/A16891,0,0,0,0
28375714,PMC5455458,10.1200/jco.2016.70.0062,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Vasectomy and prostate cancer risk in the European Prospective Investigation into Cancer and Nutrition (EPIC),4835.2,,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C8221/A19170,,,,
28240969,PMC5455461,10.1200/jco.2016.69.9330,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Evidence of stage-shift in women diagnosed with ovarian cancer during Phase 2 of the UK Familial Ovarian Cancer Screening Study (UKFOCSS),4071.6,None,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,A6383 / A7749  Ian Jacobs / Usha Menon; Ian Jacobs / Usha Menon,,  ,,
28448241,Unknown,10.1200/jco.2016.69.4935,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Prediction of breast and prostate cancer risks in male BRCA1 and BRCA2 mutation carriers using Polygenic Risk Scores,4876.74,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,,,,,
28388291,Unknown,10.1200/jco.2016.71.3230,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,"Phase 1 Dose-Escalation Study of Pegylated Arginine Deiminase, Cisplatin, and Pemetrexed in Patients With Argininosuccinate Synthetase 1Â–Deficient Thoracic Cancers",4781.64,,0,Unknown,Unknown,0,0,0,Cancer Research UK,C16420/A18066,Cancer Research UK,C16420/A15583,0,0
,Unknown,10.1200/jco.2016.70.7794,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,The effect of comorbidity on prostate-cancer specific mortality: a prospective observational study,4706.62,,0,Unknown,Unknown,0,0,0,Cancer Research UK,C19198/A15339,0,0,0,0
28661758,Unknown,10.1200/jco.2016.71.7439,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Participant-reported symptoms and their impact on long-term adherence in the International Breast Cancer Intervention Study (IBIS-1),4659.76,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C42785/A17965,,,,
28945501,Unknown,10.1200/jco.2017.72.5465,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Associations Between Sexual Orientation and Overall and Site-Specific Diagnosis of Cancer: Evidence From Two National Patient Surveys in England.,4613.73,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C18081/A18180,,,,
28300506,Unknown,10.1200/jco.2016.69.0677,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Adding celecoxib with or without zoledronic acid for hormone-naÃ¯ve prostate cancer (STAMPEDE): long-term survival results from an adaptive multi-arm multi-stage platform randomised controlled trial,4036.66,None,0,Unknown,Unknown,0,0,0,Parkinsons UK,  the STAMPEDE trial,MRC,  the STAMPEDE trial,,
28240967,Unknown,10.1200/jco.2016.69.7391,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Multicentre Phase III Randomized Double-Blind Placebo-Controlled Trial of Pravastatin Added to First-Line Standard Chemotherapy in Small-Cell Lung Cancer (LUNGSTAR),3994.73,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,HCBW then HCFF  ,,  ,,
28686534,Unknown,10.1200/jco.2017.72.7578,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,A new model for estimating glomerular filtration rate in patients with cancer,3894.29,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,,Wellcome Trust,,,
28384078,Unknown,10.1200/jco.2016.70.9709,American Society of Clinical Oncology (ASCO),Journal of clinical oncology : official journal of the American Society of Clinical Oncology,"0732-183X, 1527-7755",0,Risk of Second Cancer in Hodgkin Lymphoma Survivors and Influence of Family History,3786,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,not listed,,,,
27528712,PMC5271173,10.1182/blood-2016-01-695692,American Society of Hematology,Blood,"0006-4971, 1528-0020",0,Germ line mutations in shelterin complex genes are associated with familial chronic lymphocytic leukemia,2279,None,1,Unknown,Unknown,0,Unknown,0,Bloodwise,LRF05001,Cancer Research UK,C1298/A8362,,
29140241,Unknown,10.4269/ajtmh.17-0365,American Society of Tropical Medicine and Hygiene,The American journal of tropical medicine and hygiene,"0002-9637, 1476-1645",0,Direct biomarkers of microbial translocation correlate with immune activation in adult Zambians with Environmental Enteropathy and Hepatosplenic Schistosomiasis,2324.14,,0,Unknown,cc-by,0,0,0,Wellcome Trust,87537,0,0,0,0
29031289,Unknown,10.4269/ajtmh.16-0961,American Society of Tropical Medicine and Hygiene,The American journal of tropical medicine and hygiene,"0002-9637, 1476-1645",0,"Histological Examination in Obtaining a Diagnosis in Patients with Lymphadenopathy in Lima, Peru",2309.46,Not reported,0,Unknown,cc-by,0,0,0,Wellcome Trust,097816/Z/11/A,,,,
29140232,Unknown,10.4269/ajtmh.17-0021,American Society of Tropical Medicine and Hygiene,The American journal of tropical medicine and hygiene,"0002-9637, 1476-1645",0,Country-Wide Surveillance of Molecular Markers of Antimalarial Drug Resistance in Senegal by Use of Positive Malaria Rapid Diagnostic Tests,1918.06,Not reported,0,Unknown,cc-by,0,0,0,Wellcome Trust,84289,,,,
28138054,PMC5392636,10.4269/ajtmh.16-0842,American Society of Tropical Medicine and Hygiene,The American journal of tropical medicine and hygiene,"0002-9637, 1476-1645",0,"Bites by the monocled cobra, Naja kaouthia, in Chittagone Division, Bangladesh: epidemiology, clinical features of envenoming and management of 70 identified cases",2487.48,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,052708/Z/97/Z,,,,
28500823,PMC5392618,10.4269/ajtmh.16-0730,American Society of Tropical Medicine and Hygiene,The American journal of tropical medicine and hygiene,"0002-9637, 1476-1645",0,"Aflatoxin exposure during pregnancy, maternal anemia and adverse birth outcomes",2407.51,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,108065/Z/15/Z,0,0,0,0
28114584,Unknown,10.1167/iovs.16-20523,Association for Research in Vision and Ophthalmology (ARVO),Investigative ophthalmology & visual science,"0146-0404, 1552-5783",0,BH4-Mediated Enhancement of Endothelial Nitric Oxide Synthase Activity Reduces Hyperoxia-Induced Endothelial Damage and Preserves Vascular Integrity in the Neonate,1847.52,,0,Unknown,cc-by,0,0,0,British Heart Foundation,PG/13/62/30414,,,,
27978549,PMC5172160,10.1167/16.15.14,Association for Research in Vision and Ophthalmology (ARVO),Journal of vision,1534-7362,1,Measurement of crosstalk in stereoscopic display systems used for vision research,1837.25,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,105624,,,,
28460376,PMC5412969,10.1167/17.5.1,Association for Research in Vision and Ophthalmology (ARVO),Journal of vision,1534-7362,1,EncodingÂ ofÂ rapidÂ time-varyingÂ informationÂ isÂ impairedÂ inÂ poorÂ readers,1717.46,,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT097387,,,,
27820953,PMC5102568,10.1167/iovs.16-19835,Association for Research in Vision and Ophthalmology (ARVO),Investigative ophthalmology & visual science,"0146-0404, 1552-5783",0,Six-Year Incidence of Blindness and Visual Impairment in Kenya. The Nakuru Eye Disease Cohort Study,1826.71,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,098481/Z/12/Z,,,,
27668130,PMC5032847,10.1167/tvst.5.5.6,Association for Research in Vision and Ophthalmology (ARVO),Translational vision science & technology,2164-2591,0,The Accuracy and Reliability of Crowdsource Annotations of Digital Retinal Images,1753.39,None,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,EPIC-Norfolk infrastructure and core functions are supported by grants from the Medical Research Council and Cancer Research UK  ,MRC,EPIC-Norfolk infrastructure and core functions are supported by grants from the Medical Research Council and Cancer Research UK  ,,
28245296,PMC5341622,10.1167/iovs.16-20894,Association for Research in Vision and Ophthalmology (ARVO),Investigative ophthalmology & visual science,"0146-0404, 1552-5783",0,Time outdoors at specific ages during early childhood and the risk of incident myopia,1521.17,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,097824/Z/11/B,,,,
28900576,PMC5588909,10.1167/tvst.6.5.3,Association for Research in Vision and Ophthalmology (ARVO),Translational vision science & technology,2164-2591,0,Comparison of Saccadic Vector Optokinetic Perimetry and Standard Automated Perimetry in glaucoma. Part I: threshold values and repeatability,1420.21,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,049574,,,,
27760272,PMC5072540,10.1167/iovs.16-19247,Association for Research in Vision and Ophthalmology (ARVO),Investigative ophthalmology & visual science,"0146-0404, 1552-5783",0,Conjunctival neutrophils predict progressive scarring in Ocular Mucous Membrane Pemphigoid,1225.73,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,DKAA RCHX 13723,,,,
Unknown,Unknown,10.2174/1573403X12666161014094738,Bentham Science Publishers Ltd.,Current Cardiology Reviews,1573-403X,0,Endoplasmic Reticulum Stress in Arterial Smooth Muscle Cells: A Novel Regulator of Vascular Disease,1175,None,0,Unknown,Unknown,0,Unknown,0,British Heart Foundation,RG/11/14/29056,,,,
28522730,PMC5457506,10.1530/joe-16-0501,BioScientifica,The Journal of endocrinology,"0022-0795, 1479-6805",0,"11?-HSD1 suppresses cardiac fibroblast CXCL2, CXCL5 and neutrophil recruitment to the heart post-MI",3245,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,091720/Z/10/Z,,,,
27390302,PMC5064771,10.1530/joe-15-0376,BioScientifica,The Journal of endocrinology,"0022-0795, 1479-6805",0,Early-life glucocorticoids programme behaviour and metabolism in adulthood 1 in zebrafish,3240,Not reported,1,cc-by,not applicable,0,Unknown,1,British Heart Foundation,BHF FS/09/053,,,,
28566439,PMC5510573,10.1530/eje-17-0124,BioScientifica,European journal of endocrinology,"0804-4643, 1479-683X",0,The sexually dimorphic role of androgens in human metabolic disease,1988.25,None,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,099909,,,,
27754854,PMC5118949,10.1530/erc-16-0095,BioScientifica,Endocrine-related cancer,"1351-0088, 1479-6821",0,Hyperglycaemia-induced resistance to Docetaxel is negated by metformin: a role for IGFBP-2,1740,None,1,cc-by,not applicable,0,Unknown,1,Cancer Research UK,C18281/A19169,,,,
27885053,PMC5184774,10.1530/joe-16-0578,BioScientifica,The Journal of endocrinology,"0022-0795, 1479-6805",0,11?-hydroxysteroid dehydrogenase-1 deficiency alters the gut microbiome response to western diet,1625,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT083184,,,,
28729468,PMC5527372,10.1530/ERC-17-0206,Bioscientifica,Endocrine-Related cancer,,0,A case of a metastatic SDHA mutated paraganglioma re-presenting 23 years after initial surgery. ,1625,None,1,CC-BY,not applicable,0,0,1,ERC,,NIHR,,British Heart Foundation,
27553202,PMC5148800,10.1530/jme-16-0128,BioScientifica,Journal of molecular endocrinology,"0952-5041, 1479-6813",0,Getting to the heart of local glucocorticoid regeneration: 11beta HSD1 in the myocardium,1620,Not reported,1,cc-by,not applicable,0,Unknown,1,British Heart Foundation,BHF FS/09/053,British Heart Foundation,BHF FS/12/30002,,
27647861,PMC5118938,10.1530/joe-16-0125,BioScientifica,The Journal of endocrinology,"0022-0795, 1479-6805",0,Metabolic dysfunction in female mice with disruption of 5?-reductase 1,1620,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,072217/Z/03/Z,,,,
28860310,PMC5594414,10.1136/bmj.j3394,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,Earmarking for Global Health: Onchocerciasis and Trust Funds at the World Bank,3600,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,106635/Z/14/Z,,,,
28860141,PMC5594419,10.1136/bmj.j3395,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,World Bank and the Global Financing Facility,3600,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,106635/Z/14/Z,,,,
28860109,PMC5594412,10.1136/bmj.j3397,BMJ,BMJ (Clinical research ed.),1756-1833,0,Health as Â“global public goodÂ”: Creating a market for pandemic risk,3600,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,106635/Z/14/Z,,,,
28860138,PMC5594415,10.1136/bmj.j3347,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,"Universal Health Coverage, Health System Strengthening and the World Bank",3600,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,106635/Z/14/Z,,,,
28246084,PMC5330195,10.1136/bmj.j813,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,"Resuscitation policy should focus on the patient, not the decision",3600,Not reported,1,cc-by,not applicable,0,Unknown,1,NIH,12/5001/55 and 15/15/09,Wellcome Trust,WT100577MA,,
28588963,PMC5321361,10.1136/bmjgh-2016-000108,BMJ,BMJ global health,2059-7908,0,"Once there is life, there is hope. Ebola survivors' experiences, behaviours and attitudes in Sierra Leone, 2015.",3600,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT10778/Z/15/Z,,,,
28939590,PMC5609092,10.1136/bmj.j3984,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,Trends for prevalence and incidence of resistant hypertension: population based cohort study in the UK 1995-2015,3600,Not reported,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,107340/z/15/z,,,,
28860129,PMC5594420,10.1136/bmj.j3339,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,Evolution of Health in the World Bank,3600,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,Wellcome Trust,106635/Z/14/Z,,,,
27965194,PMC5154976,10.1136/bmj.i6267,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,Sustained enjoyment of life and mortality at older ages: An analysis of the English Longitudinal Study of Ageing,3060,Institutional_Prepayment,1,cc-by-nc,Unknown,0,Unknown,0,British Heart Foundation,CH/2000001/11943  Andrew Steptoe,,  ,,
28077438,Unknown,10.1136/gutjnl-2016-311954,BMJ,Gut,"0017-5749, 1468-3288",0,Fibroblast drug scavenging increases intratumoural gemcitabine accumulation in murine pancreas cancer.,2645,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,C14303/A17197,,,,
28971879,PMC5750432,10.1136/bmjqs-2017-007005,BMJ,BMJ quality & safety,"2044-5415, 2044-5423",0,"Compassionate Care: Not easy, not free, not only nurses",2340,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,Wellcome Trust,104837/Z/14/Z,,,,
27902444,Unknown,10.1136/gutjnl-2016-312009,BMJ,Gut,"0017-5749, 1468-3288",0,Oncolytic reovirus as a combined antiviral and anti-tumour agent for the treatment of liver cancer,2340,None,0,Unknown,Unknown,0,0,0,Cancer Research UK,CRUK Clinical Fellowship,,,,
28495908,Unknown,10.1136/medhum-2017-011209,BMJ,Medical humanities,"1468-215X, 1473-4265",0,Towards cultural materialism in the medical humanities: the case of blood rejuvenation,2340,None,0,Unknown,Unknown,0,0,0,Wellcome Trust,WT/108342/Z/15/Z,,,,
28879036,PMC5569262,10.1136/bmjsem-2016-000203,BMJ,BMJ open sport & exercise medicine,2055-7647,1,Evaluation of determinants of walking fitness in patients attending cardiac rehabilitation,1800,None,1,cc-by-nc,Unknown,0,Unknown,0,British Heart Foundation,038/P&C/Core/2015/NACR,,,,
28821514,PMC5724111,10.1136/bmjopen-2016-015567,BMJ,BMJ Open,2044-6055,1,School staff perpetration of physical violence against students in Uganda: A multilevel analysis of risk factors,1620,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,Wellcome Trust,MR/L004321/1,Medical Research Council (MRC),,,
27647167,PMC5299098,10.1136/heartjnl-2016-310297,BMJ,Heart (British Cardiac Society),1468-201X,0,Aortic stenosis and CT calcium scoring: is it for everyone?,1989,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,British Heart Foundation,FS/14/78/31020,,,,
28986407,Unknown,10.1136/heartjnl-2017-311688,BMJ,Heart (British Cardiac Society),"1355-6037, 1468-201X",0,Ferumoxytol-enhanced Magnetic Resonance Imaging in Acute Myocarditis,1989,Not reported,0,Unknown,Unknown,0,0,0,"British Heart Foundation, Wellcome Trust",FS/12/83,British Heart Foundation,CH/09/002,Wellcome Trust,WT103782AIA
27913439,PMC5256121,10.1136/bjophthalmol-2016-309376,BMJ,The British journal of ophthalmology,"0007-1161, 1468-2079",0,Retinitis Pigmentosa-associated Cystoid Macular Oedema: Pathogenesis and Avenues of Intervention,1989,Institutional_Prepayment,1,cc-by-nc,Unknown,0,Unknown,0,Wellcome Trust,099173/Z/12/Z  Christiana Ruhrberg,,  ,,
28455368,PMC5530345,10.1136/bjsports-2016-097002,BMJ,British journal of sports medicine,"0306-3674, 1473-0480",0,Is it time to loosen the restrictions on athletes with cardiac disorders competing in sports,1989,Institutional_Prepayment,1,cc-by-nc,Unknown,0,Unknown,0,British Heart Foundation,  Pier Lambiase,,  ,,
29273656,Unknown,10.1136/bmjopen-2017-017929,BMJ,BMJ open,2044-6055,1,Pathways to diagnosis of a second primary cancer: protocol for a mixed methods systematic review,1377,Not reported,0,Unknown,Unknown,0,0,0,Cancer Research UK,C12357/A21326,,,,
27881518,PMC5178807,10.1136/bmjopen-2016-011646,BMJ,BMJ open,2044-6055,1,"Study protocol for a randomised, controlled trial of brief, habit-based, lifestyle advice for cancer survivors: Exploring behavioural outcomes for the Advancing Survivorship Cancer Outcomes Trial (ASCOT)",1377,Institutional_Prepayment,1,cc-by-nc,Unknown,0,Unknown,0,Cancer Research UK,C1418/A141  Dr Abi Fisher & Dr Rebecca Beeken Acting Co-PIs (original PI- Professor Jane Wardle),,  ,,
28851756,PMC5801647,10.1136/thoraxjnl-2017-210226,BMJ,Thorax,"0040-6376, 1468-3296",0,Metal worker's lung; spatial association with Mycobacterium avium,1755,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,Wellcome Trust,"096964/Z/11/Z, 097117/Z/11/Z",,,,
29084729,Unknown,10.1136/annrheumdis-2017-212141,BMJ,Annals of the rheumatic diseases,"0003-4967, 1468-2060",0,The development of a consensus core dataset in Juvenile Dermatomyositis for clinical use to inform research,1755,None,0,Unknown,Unknown,0,0,0,Arthritis Research UK,20417,,,,
28069618,PMC5223644,10.1136/bmjopen-2016-012818,BMJ,BMJ open,2044-6055,1,Adherence to guidelines for creatinine and potassium monitoring and discontinuation following renin-angiotensin system blockade: a UK general practice-based cohort study.,1215,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,Wellcome Trust,WT101143/Z/13/Z,,,,
27634411,PMC5529967,10.1136/heartjnl-2016-310278,BMJ,Heart,"1355-6037, 1468-201X",0,A 33 year-old man with atypical chest pain,1530,Not reported,1,cc-by-nc,Unknown,0,Unknown,0,British Heart Foundation,FS/14/78/31020,,,,
28765106,Unknown,10.1136/bmjspcare-2016-001301,BMJ,BMJ supportive & palliative care,"2045-435X, 2045-4368",0,The level of provision of specialist palliative care services in Scotland: an international benchmarking study,1445,Not reported,0,Unknown,Unknown,0,0,0,Wellcome Trust (WELLCOTR),103319/Z/13/Z,,,,
28331015,PMC5594422,10.1136/bmj.j909,BMJ,BMJ (Clinical research ed.),"0959-8138, 1756-1833",0,Association of clinically recorded alcohol consumption with the initial presentation of twelve cardiovascular diseases: a population-based cohort study using linked health records,3060,Institutional_Prepayment,1,cc-by,not applicable,0,Unknown,1,Wellcome Trust,WT 086091/Z/08/Z; 0938/30/Z/10/Z  ,MRC,G0902393/99558; MR/M006638/1  Harry Hemingway,,
