PMCID;PMID;DOI;Publisher;Journal title;ISSN;Article title;Cost (£) (inc VAT when charged);Fulltext in Europe PMC?;Early View? Yes/No;Date first published online (only where yes to early view);Accepted author manuscript?;Licence;Licence Source;Journal Type;COAF compliant?;Funder of research (1);Funder of research (2);Funder of research (3);Grant ID (1);Grant ID (2);Grant ID (3);
PMC4331283;25629523;10.1016/j.vaccine.2015.01.042;Elsevier;Vaccine;0264-410X, 1873-2518;The relative magnitude of transgene-specific adaptive immune responses induced by human and chimpanzee adenovirus vectors differs between laboratory animals and a target species;1259.45;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;104750/Z/14/Z;;
PMC4216463;25349449;10.1098/rstb.2013.0540;Royal Society Publishing;Philosophical Transactions of the Royal Society;0962-8436, 1471-2970;Mapping the route from naive pluripotency to lineage specification;1260;1;;;0;cc-by;epmc_xml;hybrid;1;0;0;0;0;0;0;
PMC4216464;25349450;10.1098/rstb.2013.0541;Royal Society Publishing;Philosophical Transactions of the Royal Society B;0962-8436, 1471-2970;The birth of embryonic pluripotency;1260;1;;;0;cc-by;epmc_xml;hybrid;1;0;0;0;0;0;0;
PMC4587319;25931509;10.1074/mcp.M114.047647;ASBMB;Molecular and Celluar Proeomics;1535-9476, 1535-9484;Architecture of a Host-Parasite Interface: Complex Targeting Mechanisms Revealed Through Proteomics;1260;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;090007/Z/09/Z;;
PMC4587315;25963834;10.1074/mcp.M114.044289;ASBMB;Molecular and Celluar Proeomics;1535-9476, 1535-9484;Global Proteomics Analysis of the Response to Starvation in C. elegans. ;1260;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;83524;97945;
PMC4275884;25487328;10.1098/rstb.2013.0376;Royal Society Publishing;Royal Society of London. Philosophical Transactions B. Biological Sciences;0962-8436, 1471-2970;A new era in palaeomicrobiology: prospects for ancient dental calculus as a long-term record of the human oral microbiome;1260;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;097829/Z/11/A;0;0;
PMC4265728;0;10.1016/j.ridd.2014.10.043;Elsevier;Research in Developmental Disabilities;0891-4222, 1873-3379;Preditors of participation of adolescents with cerebral palsy: a European multi-centre longitudinal study;1260.72;1;;;0;cc-by;publisher;hybrid;1;Wellcome Trust;0;0;86315;0;0;
PMC4376294;25658770;10.1016/j.addbeh.2015.01.026;Elsevier;Addictive Behaviors;0306-4603, 1873-6327;Does non-smoker identity following quitting predict long-term abstinence? Evidence from a population survey in England;1266.91;1;;;0;cc-by;epmc_xml;hybrid;1;Cancer Research UK;;;;;;
PMC4364621;25677405;10.1016/j.jneumeth.2015.01.032;Elsevier;Journal of Neuroscience Methods;0165-0270, 1872-678X;Parametric estimation of cross-frequency coupling;1266.912237;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;;;
PMC4317195;25282056;10.1016/j.cortex.2014.08.004;Elsevier;Cortex;0010-9452, 1973-8102;A dissociation between stopping and switching actions following a lesion of the pre-supplementary motor area;1268;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;98282;;
PMC4300400;25447146;10.1016/j.biochi.2014.10.015;Elsevier;Biochimie;0300-9084, 1638-6183;Comparative biochemical analysis of three members of theSchistosoma mansoniÂ TAL family: Differences in ion and drug binding properties;1275.52;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;Wellcome Trust;;WT 083931/Z/07/Z;WT 094317/Z/10/Z;;
PMC4271336;0;10.1186/s13041-014-0088-4;BioMed Central;Molecular Brain;1756-6606;Human post-mortem synapse proteome integrity screening f or proteomic studies of postsynaptic complexes;1278.9;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;WT077155;;;
PMC4410793;25556811;10.1016/j.neuropsychologia.2014.12.025;Elsevier;Neuropsychologia;0028-3932, 1873-3514;The impact of different aetiologies on the cognitive performance of frontal patients;1279.06;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;089231/A/09/Z;;;
PMC4573990;26424969;10.1155/2015/791847;Hindawi Publishing Corporation;Mediators of Inflammation;0962-9351, 1466-1861;Trachoma and Ocular Chlamydial Infection in the Era of Genomics;1279.1;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT079246/Z/06/Z;;;
PMC4263529;25264230;10.1016/j.neuroimage.2014.09.044;Elsevier;Neuroimage;1053-8119, 1095-9572;Disentangling in vivo the effects of iron content and atrophy on the ageing human brain;1279.59;1;;;0;cc-by;publisher;hybrid;1;Wellcome Trust;;;091593/Z/10/Z;;;
PMC4346275;25583383;10.1016/j.jneumeth.2015.01.003;Elsevier;Journal of Neuroscience Methods;0165-0270, 1872-678X;Active inference and oculomotor pursuit: The dynamic causal modelling of eye movements;1279.97;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;088130/Z/09/Z;;;
PMC4344222;25451639;10.1016/j.freeradbiomed.2014.10.575;Elsevier;Free Radical Biology and Medicine;0891-5849, 1873-4596;Regulation of iNOS function and cellular redox state by macrophage Gch1 reveals specific requirements for tetrahydrobiopterin in NRF2 activation;1281.41;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;Wellcome Trust;;;091504/Z/10/Z;090532/Z/09/Z;
PMC4543653;26139601;10.1074/jbc.m115.639237;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;Loss of LKB1 in pancreatic beta cells enhances glucose-stimulated insulin secretion despite profound mitochondrial defects;£1,281.64;1;;;0;cc-by;epmc_xml;hybrid;1;WT;;;098424/Z/12/Z, ;;;
PMC4349632;25573670;10.1016/j.neuroimage.2014.12.071;Elsevier;Neuroimage;1053-8119, 1095-9572;Arbitration between controlled and impulsive choice;1282;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;091593/Z/10/Z;;;
PMC4373032;25889461;10.1186/s13071-015-0782-9;Biomed Central ;Parasites and Vectors;1756-3305;A genetic analysis of Trichuris trichiura and Trichuris suis from Ecuador;1284;1;;;0;cc-by;epmc_xml;oa;1;WT;;;;;;
PMC4276868;25336647;10.1074/jbc.M114.610782;American Society for Biochemistry and Molecular Biology;Journal of Biological Chemistry;0021-9258, 1083-351X;Inter-domain Communication of Human Cystathionine ?-Synthase: structural basis of S-adenosyl-L-methionine activation;1286.35;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;092809/Z/10/Z;;
PMC4295935;25434736;10.1016/j.ypmed.2014.11.018;Elsevier;Preventive Medicine;0091-7435, 1096-0260;Mothers' perceived proximity to green space is associated with TV viewing time in children: the Growing Up in Scotland study;1287;1;;;0;cc-by;epmc_xml;hybrid;1;British Heart Foundation;MRC / ESRC;;RE/10/005/28296;ES/M003795/1;;
PMC4316651;0;10.1186/s13071-015-0656-1;BioMed Central;Parasites & Vectors;1756-3305;Extracellular Onchocerca-derived small RNAs in host nodules and blood;1289.1;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;095831/Z/11/Z;;;
PMC4197264;25303991;10.1186/s13071-014-0466-x;BioMed Central;Parasites & Vectors;1756-3305;The global distribution and transmission limits of lymphatic filariasis: past and present.;1289.1;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;098045/Z/11/Z;;;
PMC4270448;25315822;10.1016/j.jmb.2014.10.008;Elsevier;Journal of Molecular Biology;0022-2836, 1089-8638;GEN1 from a thermophilic fungus is functionally closely similar to non-eukaryotic junction-resolving enzymes.;1289.9;1;;;0;cc-by;publisher;hybrid;1;Cancer Research UK;;;;CRUK C28/4959;;
PMC4263873;25281741;10.1074/jbc.M114.590976;ASBMB;Journal of Biological Chemistry;0021-9258, 1083-351X;Identification of Small Molecule Inhibitors of Pre-mRNA Splicing;1290.32;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;073980/Z/03/Z;;
PMC4584935;26442106;10.3389/fgene.2015.00288;Frontiers;Frontiers in Genetics - Cancer Genetics;1664-8021;  Exome sequencing of a colorectal cancer family reveals shared mutation pattern and predisposition circuitry along tumor pathways ;1291.04;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;100715;;;
PMC4424433;0;10.1098/rstb.2014.0083;Royal Society;Philosophical Transactions B;0962-8436, 1471-2970;Antimicrobial resistance in humans, livestock and the wider environment;1296;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;095831/Z/11/Z;;;
PMC4305403;0;10.1098/rsif.2014.0882;Royal Society;Journal of the Royal Society Interface;1742-5689, 1742-5662;Collective sensing and collective responses in quorum sensing bacteria;1296;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;095831/Z/11/Z;;;
PMC4298201;25520354;10.1098/rspb.2014.1720;Royal Society;Proceedings of the Royal Society B;0962-8452, 1471-2954;Ablation of insulin-producing cells prevents obesity but not premature mortality caused by a high-sugar diet in Drosophila;1296;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;097815/Z/11/Z;;;
PMC4305174;25602077;10.1098/rstb.2014.0074;Royal Society;Philosophical Transactions of the Royal Society B;0962-8436, 1471-2970;The role and interaction of imprinted genes in human fetal growth;1296;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;MRC;;;;;
PMC4526967;26123578;10.2196/mhealth.3895;Journal of Medical Internet Research;Journal of Medical Internet Research;2291-5222;Identification of behaviour change techniques and engagement strategies to design a smartphone app to reduce alcohol consumption using a formal consensus method;1296.55;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;;;;;;
PMC4486676;26002719;10.1128/EC.00028-15;Cenveo Publisher;Eukaryotic Cell;1535-9778, 1535-9786;The Candida albicans Exocyst Subunit Sec6 Contributes to Cell Wall Integrity and Is a Determinant of Hyphal Branching;1297.94;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;MB004 RGB4377 RG1101;0;0;
PMC4073227;24840816;10.1016/j.bone.2014.05.008;Elsevier;Bone;8756-3282, 1873-2763;Birth weight is positively related to bone size in adolescents but inversely related to cortical bone mineral density: findings from a large prospective cohort study;1298.65;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;WT079960;;;
PMC4426358;25717150;10.1534/g3.115.017509;Genetics Society of America;G3: Genes, Genomes, Genetics;2160-1836;A novel electronic assessment strategy to support applied Drosophila genetics training on university courses;£1,299.14;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;
PMC4537945;26071543;10.1152/ajpheart.00233.2015;American Physiological Society;American Journal of Physiology-Heart & Circulatory Physiology;0363-6135, 1522-1539;Optical projection tomography permits efficient assessment of infarct volume in the murine heart;1299.79;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;0;0;WT091720;;;
PMC4424335;25778404;10.1074/jbc.M114.628750;ASBMB;Journal of Biological Chemistry;0021-9258, 1083-351X;The Early Metazoan Trichoplax adhaerens Possesses a Functional O-GlcNAc System. ;1300;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;77705;83481;
PMC4613321;26393574;10.3390/ijms160922509;MDPI;International Journal of Molecular Sciences ;1422-0067;Mitochondrial Optic Atrophy (OPA) 1 Processing Is Altered in Response to Neonatal Hypoxic-Ischemic Brain Injury;1300;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT094823;;;
PMC4410792;25433223;10.1016/j.neuropsychologia.2014.11.032;Elsevier;Neuropsychologia;0028-3932, 1873-3514;Williams syndrome: a surprising deficit in oromotor praxis in a population with proficient language production;1300.84;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;WT074414MA;;;
PMC4246079;25313401;10.1074/jbc.M114.608448;American Society for Biochemistry and Molecular Biology, Inc.;Journal of Biological Chemistry;0021-9258, 1083-351X;Structure and mechanism of the bifunctional CinA enzyme from Thermus thermophilus;£1,306.68;1;;;0;cc-by;epmc_xml;hybrid;1;;;;;;;
PMC4289914;25094018;10.1016/j.neuroimage.2014.07.051;Elsevier;NeuroImage;1053-8119, 1095-9572;Group-PCA for very large fMRI datasets;1308.17;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;98369;;
PMC4228191;25392710;10.1186/1743-7075-11-51;;Nutrition & metabolism;1743-7075;Protein energy malnutrition increases arginase activity in monocytes and macrophages;£1,314.60;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;089201/Z/09/Z;;;
PMC4404196;25887289;10.1186/s12866-015-0410-z;Biomed Central ;BMC Microbiology;1471-2180;An alternate route to phosphorylating DegU of Bacillus subtilis using acetyl phosphate.;1315.2;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;093714/Z/10/Z;;
PMC4329658;25886303;10.1186/s12888-015-0398-9;BioMed Central;BMC Psychiatry;1471-244X;The effects of the Omagh bomb on adolescent mental health: a school-based study;1315.8;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;06977 ;;;
PMC4263850;25336650;10.1074/jbc.R114.609198;ASBMB;Journal of Biological Chemistry;0021-9258, 1083-351X;O-GlcNAcase: promiscuous hexosaminidase or key regulator of O-GlcNAc signaling?;1317.68;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;087590/Z/08/Z;;
PMC4288001;25470184;10.1038/psp.2014.48;;CPT: pharmacometrics & systems pharmacology;2163-8306;Systems pharmacology of the NGF signalling through p75 and TrkA receptors;£1,320.00;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;WT/090433/B/09/Z;;;
PMC4295256;25492581;10.1186/1471-2474-15-418;BioMed Central;BMC Musculoskeletal Disorders;1471-2474;Pain medication management of musculoskeletal conditions at first presentation in primary care: analysis of routinely collected medical record data;1325;1;;;0;cc-by;epmc_xml;oa;1;ARUK ; ; ;18139; ; ;
PMC4261613;25477255;10.1186/s12875-014-0195-4;BioMed Central;BMC Family Practice;1471-2296;Repeated primary care consulations for non-specific physical symptoms in children in UK: a cohort study;1325;1;;;0;cc-by;epmc_xml;oa;1;ARUK;Wellcome; ;19634;83572; ;
PMC4490499;26110381;10.3390/ijms160613356;MDPI;International Journal of Molecular Sciences;1422-0067;Targeted siRNA screens identify ER-to-mitochondrial calcium exchange in autophagy and mitophagy responses in RPE1 cells;1333.32;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;MRC;;WT089625/Z/09/Z;;;
PMC4609759;26311185;10.1152/jn.00574.2014;American Physiological Society;Journal of Neurophysiology;0022-3077, 1522-1598;Adenosine-mediated modulation of ventral horn interneurons and spinal motoneurons in neonatal mice;1336.75;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;097831/z/11/z;;;
PMC4582806;25496810;10.1016/j.neuropsychologia.2014.12.004;Elsevier;Neuropsychologia;0028-3932, 1873-3514;Dissociating the semantic function of two neighbouring subregions in the left lateral anterior temporal lobe;1338.62;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;097720/Z/11/Z;;;
PMC4312355;25446180;10.1016/j.yjmcc.2014.11.012;Elsevier;Journal of Molecular and Cellular Cardiology;0022-2828, 1095-8584;cAMP-induced actin cytoskeleton remodelling inhibits MKL1-dependent expression of the chemotactic and pro-proliferative factor, CCN1;1339.76;1;;;0;cc-by;epmc_xml;hybrid;1;British Heart Foundation;;;PG/11/78/29113;;;
PMC4504022;25861831;10.1016/j.radonc.2015.03.023;Elsevier;Radiotherapy and Oncology;0167-8140, 1879-0887;30 day mortality in adult palliative radiotherapy â€“ A retrospective population based study of 14,972 treatment episodes;1340.38;1;;;0;cc-by;epmc_xml;hybrid;1;MRC;CRUK;0;MR/L01629X/1;C23434/A9805;C37059/A16369;
PMC4609338;26504789;10.1155/2015/238757;Hindawi;BioMed Research International;2314-6133, 2314-6141;Genomic & histopathological tissue biomarkers that predict radiotherapy response in localised prostate cancer;1340.4;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;;;0;;;
PMC4524185;25939831;10.1128/JB.00199-15;ASBMB;Journal of Bacteriology;0021-9193, 1098-5530;Intraspecies Competition in Serratia marcescens Is Mediated by Type VI-Secreted Rhs Effectors and a Conserved Effector-Associated Accessory Protein.;1347.94;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;104556/Z/14/Z;;
PMC4534766;25896391;10.1016/j.yjmcc.2015.04.011;Elsevier;Journal of Molecular and Cellular Cardiology;0022-2828, 1095-8584;Vascular biology of ageingâ€”implications in hypertension ;1349.15;1;;;0;cc-by;epmc_xml;hybrid;1;British Heart Foundation;;;RG/13/7/30099;;;
PMC4206489;25337829;10.1371/journal.pone.0111275;PLOS;PLOS ONE;1932-6203;Rapid Recycling of Ca2+ Between IP3-Sensitive Stores and Lysosomes;1350;1;;;0;cc-by;epmc_xml;oa;1;0;0;0;0;0;0;
PMC4202322;25169982;10.1093/gbe/evu183;Oxford University Press;Genome Biology and Evolution;1759-6653;Conserved temporal patterns of microRNA expression in Drosophila support a developmental hourglass model;£1,350.00;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;
PMC4202332;25364803;10.1093/gbe/evu196;Oxford University Press;Genome Biology and Evolution;1759-6653;Intron evolution in Saccharomycetaceae;£1,350;1;;;0;cc-by;epmc_xml;oa;1;;;;;;;
PMC4224341;25260585;10.1093/gbe/evu214;Oxford University Press;Genome Biology and Evolution;1759-6653;Extensive horizontal gene transfer during Staphylococcus aureus co-colonization in vivo;1350;1;;;0;cc-by;epmc_xml;oa;1;WT;;;;;;
PMC4303260;25611204;10.1371/journal.pcbi.1004003;PLOS;PLOS Computational Biology;1553-734X, 1553-7358;A Probabilistic Palimpsest Model of Visual Short-term Memory;1350;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;;;;
PMC4368544;25793302;10.1371/journal.pcbi.1004030;PLOS;PLOS Computational Biology;1553-734X, 1553-7358;Anticipation and Choice Heuristics in the Dynamic Consumption of Pain Relief;1350;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;098362/Z/12/Z;;;
PMC4607535;0;10.1093/gbe/evv179;Oxford University Press;Genome Biology and Evolution;1759-6653;Conserved cis-regulatory modules control robustness in Msx1 expression at single cell resolution;1350;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;WT 066790/E/02/Z;066745/Z/01/Z;0;
PMC4367890;25848938;10.1186/s12889-015-1609-5;BioMed Central;BMC Public Health;1471-2458;Socioeconomic indicators of health inequalities and female mortality: a nested cohort study within the United Kingdom Collaborative Trial of Ovarian Cancer Screening (UKCTOCS);1350.51;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;MRC;;;;;
PMC4410797;25490434;10.1016/j.visres.2014.11.012;Elsevier;Vision Research;0042-6989, 1878-5646;fMRI evidence for areas that process surface gloss in the human visual cortex;1350.78;1;;;0;cc-by;epmc_xml;hybrid;1;0;0;0;0;0;0;
PMC4319684;25512302;10.1016/j.ydbio.2014.12.004;Elsevier;Developmental Biology;0012-1606, 1095-564X;Maternal-zygotic knockout reveals a critical role of Cdx2 in the morula to blastocyst transition;1350.78;1;;;0;cc-by;epmc_xml;hybrid;1;0;0;0;0;0;0;
PMC4506206;25730262;10.1021/jm501994d;American Chemical Society;Journal of Medicinal Chemistry;0022-2623, 1520-4804;10-Iodo-11H-indolo[3,2-c]quinoline-6-carboxylic Acids Are Selective Inhibitors of DYRK1A;1351.48;1;;;0;cc-by;epmc_xml;hybrid;1;Wellcome Trust;;;;092809/Z/10/Z;;
PMC4271363;25490956;10.1186/s12859-014-0396-9;Biomed Central;BMC Bioinformatics;1471-2105;Pathomx: an interactive workflow-based tool for the analysis of metabolomic data;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;14844;0;0;
PMC4512038;26202794;10.1186/s12874-015-0041-y;BioMed Central;BMC Medical Research Methodology (OA);1471-2288;A randomised controlled trial comparing opt-in and opt-out home visits for tracing lost participants in a prospective birth cohort study;1351.5;1;;;0;cc-by;epmc_xml;oa;1;MRC;Wellcome Trust;;WT102215/Z/13/Z;;;
PMC4533938;26264041;10.1186/s12920-015-0112-2;BioMed Central;BMC Genomics;1755-8794;Association of SNPs in LCP1 and CTIF with altered hearing function in 11 year old children: Findings from the Avon Longitudinal Study of Parents and Children (ALSPAC) birth cohort and the G-EAR Consortium;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;MRC;;WT102432/Z/13/Z;;;
PMC4340639;25879810;10.1186/s12889-015-1501-3;BioMed Central;BMC Public Health;1471-2458;Increasing childrenâ€™s physical activity through a teaching-assistant led extracurricular intervention: process evaluation of the action 3:30 randomised feasibility trial;1351.5;1;;;0;cc-by;epmc_xml;oa;1;MRC;Wellcome Trust;ESRC;MR/J000191/1;;;
PMC4359571;25872500;10.1186/s13063-015-0610-8;BioMed Central;Trials;1745-6215;Physical ACtivity facilitation for Elders (PACE): study protocol for a randomised controlled trial;1351.5;1;;;0;cc-by;epmc_xml;oa;1;ESRC;Wellcome Trust;MRC;RES-590-28-0005;WT087640M;;
PMC4520210;26224062;10.1186/s12889-015-2069-7;BioMed Central;BMC Public Health;1471-2458;Socioeconomic factors and other sources of variation in the prevalence of genital chlamydia infections: A systematic review and meta-analysis;1351.5;1;;;0;cc-by;epmc_xml;oa;1;MRC;;;MR/KO232331/1;;;
PMC4339015;25886385;10.1186/s12889-015-1360-y;BioMed Central;International Journal of Behavioral Nutrition and Physical Activity;1471-2458;The World Health Organizationâ€™s Health Promoting Schools framework: a Cochrane systematic review and meta-analysis;1351.5;1;;;0;cc-by;epmc_xml;oa;1;ESRC;Wellcome Trust;MRC;MR/KO232331/1;;;
PMC4548899;26303219;10.1186/s13075-015-0735-x;BioMed Central;Arthritis Research & Therapy;1478-6354, 1478-6362;A systematic review of the relationship between subchondral bone features, pain and structural pathology in peripheral joint osteoarthritis.;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research UK;0;0;20154;0;0;
PMC4520081;26223536;10.1186/s13075-015-0692-4;BioMed Central;Arthritis Research & Therapy;1478-6354, 1478-6362;Association of HLA-DRB1 amino acid residues with giant cell arteritis: genetic association study, meta-analysis andgeo-epidemiological investigation;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;Starter Grant for Clinical Lecturers ;0;0;
PMC4351849;25872649;10.1186/s13063-015-0602-8;BioMed Central;Trials;1745-6215;Pain reduction with oral methotrexate in knee osteoarthritis, a pragmatic phase iii trial of treatment effectiveness (PROMOTE): study protocol for a randomized controlled trial;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research UK;0;0;Clinical Studies Grant 20186;0;0;
PMC4422040;25928877;10.1186/s12881-015-0154-5;BioMed Central;BMC Medical Genetics;1471-2350;Variability of systemic and oro-dental phenotype in two families with non-lethal Raine syndrome withÂ FAM20Cmutations;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;0;0;WT082448;0;0;
PMC4258283;0;10.1186/s13054-014-0606-x;Biomed Central ;Critical Care;1364-8535, 1466-609X;Predictive models for Kidney Disease: Improving Global Outcomes (KDIGO) Defined Acute Kidney Injury (AKI).;1351.5;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;0;0;This study was funded by a Flexibility and Sustainability Grant from University Hospitals Bristol NHS Foundation Trust, and BHF Grants CH/12/1/29419 & RG/13/6/29947.;0;0;
PMC4407427;25873189;10.1186/s13063-015-0669-2;Biomed Central ;Trials;1745-6215;Cardiac Rehabilitation versus Standard Care after Aortic Aneurysm Repair (Aneurysm CaRe): study protocol for a randomised controlled trial;1351.5;1;;;0;cc-by;epmc_xml;oa;1;BHF;;;PG/13/98/30490;;;
PMC4308925;25533381;10.1186/s13075-014-0509-x;BioMed Central;Arthritis Research and Therapy;1478-6354, 1478-6362;Antinociceptive effects of lacosamide on spinal neuronal and behavioural measures of pain in a rat model of osteoarthritis;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research UK;;;19444;;;
PMC4334406;25886506;10.1186/s12889-015-1477-z;BioMed Central;BMC Public Health;1471-2458;Assessing care providers' perceptions and beliefs about physical activity in infants and toddlers: baseline findings from the Baby NAP SACC study;1351.5;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation / Wellcome Trust;ESRC;;CEDAR grant number: RES-590-28-0002;ES/I901922/1;;
PMC4299571;25649323;10.1186/s12962-014-0028-2;BioMed Central;Cost Effectiveness and Resource Allocation;1478-7547;Cost-effectiveness and affordability of community mobilisation through women's groups and quality improvement in health facilities (MaiKhanda trial) in Malawi;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;085417MA/Z/08/Z;;;
PMC4490705;26141209;10.1186/s12889-015-1976-y;BioMed Central;BMC Public Health;1471-2458;Diurnal patterns of objectively measured physical activity and sedentary behaviour in older men;1351.5;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;;;PG09/024, PG/13/41/30304, RG/13/16/30528;;;
PMC4587651;26416081;10.1186/s12884-015-0661-6;BioMed Central;BMC Pregnancy and Childbirth;1471-2393;Examining inequalities in uptake of maternal health care and choice of provider in underserved areas of Mumbai: a mixed methods study;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;ESRC;;091561/Z/10/Z;ES/I033572/1;;
PMC4223846;25348492;10.1186/1471-2318-14-114;BioMed Central;BMC Genetics;1471-2318;How are falls and fear of falling associated with objectively measured physical activity in a cohort of community-dwelling older men?;1351.5;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation;;;RG/08/013/25942;;;
PMC4354753;25890187;10.1186/s13075-015-0539-z;BioMed Central;Arthritis Research and Therapy;1478-6354, 1478-6362;IgG anti-apolipoprotein A1 antibodies in patients with systemic lupus erythematosus are associated with disease activity, therapy and mortality: an observational study;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research UK;;;19423;;;
PMC4246452;25410740;10.1186/1471-2458-14-1187;BioMed Central;BMC Public Health;1471-2458;Inclusion of hazardous drinking does not improve the SCORE performance in men from Central and Eastern Europe: the findings from the HAPIEE cohorts;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Wellcome Trust;;;064947/Z/01/Z, 081081/Z/06/Z;;;
PMC4216339;25339243;10.1186/1471-2458-14-1096;BioMed Central;BMC Public Health;1471-2458;Knowledge of cervical cancer and attendance at cervical cancer screening: A cross-sectional survey of black women in London;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;;;;;;
PMC4242476;25392075;10.1186/1471-2458-14-1163;BioMed Central;BMC Public Health;1471-2458;"Prospective cohort study of the effectiveness of varenicline versus single form nicotine replacement therapy for smoking cessation in the ""real world""";1351.5;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;;;;;;
PMC4392477;25879697;10.1186/s13075-015-0545-1;BioMed Central;Arthritis Research and Therapy;1478-6354, 1478-6362;Takayasu arteritis in childhood: retrospective experience from a tertiary referral centre in the UK;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Arthritis Research UK;;;20164;;;
PMC4510888;26217527;10.1186/s40608-015-0042-8;BioMed Central;BMC Obesity;2052-9538;Television viewing time and risk of incident obesity and central obesity: The English Longitudinal Study of Ageing;1351.5;1;;;0;cc-by;epmc_xml;oa;1;British Heart Foundation / Cancer Research UK;;;RE/10/005/28296 for BHF and C1418/A141 for CRUK;;;
PMC4265482;25487996;10.1186/1471-2407-14-926;BioMed Central;BMC Cancer;1471-2407;The impact of a cancer diagnosis on weight change: findings from prospective, population-based cohorts in the UK and the US;1351.5;1;;;0;cc-by;epmc_xml;oa;1;Cancer Research UK;;;;;;
