"PMCID";"PMID";"DOI";"Publisher";"Journal title";"ISSN";"Article title";"Cost (£ incl VAT when charged)";"Fulltext in EPMC";"Ahead of Print?";"Author Manuscript?";"Licence in Europe PMC";"Licence on Publisher website";"Journal Type";"COAF compliant?";"Funder of research (1)";"Funder of research (2)";"Funder of research (3)";"Grant ID (1)";"Grant ID (2)";"Grant ID (3)";;
"PMC4676191";26457624;"10.1016/j.healthplace.2015.09.004";"Elsevier BV";"Health & place";"1353-8292, 1873-2054";"Healthy urban environments for children and young people: A systematic review of intervention studies";1407.22;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"ESRC";"Wellcome Trust";"MR/K023233/1";;;;
"PMC4889783";26922515;"10.1016/j.healthplace.2016.02.007";"Elsevier BV";"Health & place";"1353-8292, 1873-2054";"Walking groups in socioeconomically deprived communities: A qualitative study using photo elicitation.";1494.13;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"british-heart-foundation, cancer-research-uk, esrc, mrc, nihr, wellcome-trust,";0;0;"MR/K023187/1";;;;
;26974232;"10.1016/j.healthplace.2016.03.001";"Elsevier BV";"Health & place";"1353-8292, 1873-2054";"Gamification of active travel to school: A pilot evaluation of the Beat the Street physical activity intervention.";1616.77;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"british-heart-foundation, cancer-research-uk, esrc, mrc, nihr, wellcome-trust,";0;0;;;;;
;26922516;"10.1016/j.healthplace.2016.02.004";"Elsevier BV";"Health & place";"1353-8292, 1873-2054";"School grounds and physical activity: Associations at secondary schools, and over the transition from primary to secondary schools.";1497.15;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"british-heart-foundation, cancer-research-uk, esrc, mrc, nihr, wellcome-trust,";0;0;;;;;
"PMC5090052";27498399;"10.1016/j.heares.2016.07.017";"Elsevier BV";"Hearing research";"0378-5955, 1878-5891";"Vestibular-dependent inter-stimulus interval effects on sound evoked potentials of central origin.";£1,956.98;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
;27235812;"10.1016/j.yhbeh.2016.05.016";"Elsevier BV";"Hormones and behavior";"0018-506X, 1095-6867";"Comparison of clear and narrow outcomes on testosterone levels in social competition.";1955.81;0;1;"not applicable";"unknown";"unknown";"hybrid";0;"mrc, wellcome-trust,";0;0;;;;;
"PMC4504024";26047922;"10.1016/j.immuni.2015.05.010";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"Leukotriene B4-Neutrophil Elastase Axis Drives Neutrophil Reverse Transendothelial Cell Migration In Vivo.";3194.27;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"098291/Z/12/Z";98291;;;
"PMC4803914";26968426;"10.1016/j.immuni.2016.02.012";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"A regulatory feedback between plasmacytoid dendritic cellsÂ…";£3,445.23;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"090406/Z/09/Z";;;;
"PMC4846977";27067058;"10.1016/j.immuni.2016.03.003";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"Cystatin F Ensures Eosinophil Survival by Regulating Granule Biogenesis";3560.52;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"unknown";;;;
"PMC4658339";26588780;"10.1016/j.immuni.2015.10.012";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"Pulmonary Epithelial Cell-Derived Cytokine TGF-b1 Is a Critical Cofactor for Enhanced Innate Lymphoid Cell Function";£3,830.39;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"087618/Z/08/Z";;;;
"PMC4678289";26084025;"10.1016/j.immuni.2015.05.015";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"Artery tertiary lymphoid organs control aorta immunity and protect against atherosclerosis via vascular smooth muscle cell lymphotoxin ÃŽÂ² receptors";3901.81;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation (BHF)";"British Heart Foundation (BHF)";;104111;"PG/12/81/29897";"PG/06/083/21198";;
"PMC5040828";27566939;"10.1016/j.immuni.2016.07.022";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"Phosphoproteomic Analyses of Interleukin 2 Signaling Reveal Integrated JAK Kinase-Dependent and -Independent Networks in CD8+Â T Cells";3923.84;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4760122";26885856;"10.1016/j.immuni.2016.01.018";"Elsevier BV";"Immunity";"1074-7613, 1097-4180";"Glycogen Synthase Kinase 3 Inactivation Drives T-bet-Mediated Downregulation of Co-receptor PD-1 to Enhance CD8(+) Cytolytic T Cell Responses.";4117.2;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"wellcome,";0;0;"092627/Z/10/Z";"R01 AI081923";"AI081923";;
"PMC4731778";26688508;"10.1016/j.imbio.2015.11.013";"Elsevier BV";"Immunobiology";"0171-2985, 1878-3279";"Interleukin-33 promoting Th1 lymphocyte differentiation dependents on IL-12";1593.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Arthritis Research UK (ARC)";;;"unknown";;;;
"PMC4860717";26905930;"10.1016/j.imlet.2016.02.004";"Elsevier BV";"Immunology letters";"0165-2478, 1879-0542";"Non-cleavable talin rescues defect in the T-cell conjugation of T-cells deficient in the immune adaptor SKAP1.";2106.14;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"wellcome, CRUK";0;0;;;;;
"PMC4666899";26192376;"10.1016/j.meegid.2015.07.020";"Elsevier BV";"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases";"1567-1348, 1567-7257";"The incidence rate over 10 years of naturally occurring, cancer related mutations in the basal core promoter of hepatitis B virus";£1,665.78;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"WT072058MA";;;;
"PMC4760273";26803520;"10.1016/j.intimp.2016.01.003";"Elsevier BV";"International immunopharmacology";"1567-5769, 1878-1705";"The role of the Annexin-A1/FPR2 system in the regulation of mast cell degranulation provoked by compound 48/80 and in the inhibitory action of nedocromil.";2657.59;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;85903;;;;
"PMC4907315";27168056;"10.1016/j.intimp.2016.04.028";"Elsevier BV";"International immunopharmacology";"1567-5769, 1878-1705";"Pharmacological inhibition of PI3K class III enhances the production of pro- and anti-inflammatory cytokines in dendritic cells stimulated by TLR agonists.";£2,751.41;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC4722067";26215058;"10.1016/j.ijpara.2015.06.004";"Elsevier BV";"International journal for parasitology";"0020-7519, 1879-0135";"Leishmania major UDP-sugar pyrophosphorylase salvages galactose for glycoconjugate biosynthesis.";1855.91;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;101842;;;;
"PMC4776704";26688390;"10.1016/j.ijpara.2015.10.004";"Elsevier BV";"International journal for parasitology";"0020-7519, 1879-0135";"Novel O-linked methylated glycan antigens decorate secreted immunodominant glycoproteins from the intestinal nematode Heligmosomoides polygyrus";£2,054.84;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;106122;90281;"U54 GM062116";;
"PMC4900130";27156058;"10.1016/j.ijcard.2016.04.130";"Elsevier BV";"International journal of cardiology";"0167-5273, 1874-1754";"Telomere length, antioxidant status and incidence of ischaemic heart disease in type 2 diabetes";£2,326.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4917887";27240151;"10.1016/j.ijcard.2016.05.012";"Elsevier BV";"International journal of cardiology";"0167-5273, 1874-1754";"Effect of cold spells and their modifiers on cardiovascular disease events: Evidence from two prospective studies";£2,682.95;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4994770";27390994;"10.1016/j.ijcard.2016.06.249";"Elsevier BV";"International journal of cardiology";"0167-5273, 1874-1754";"Post-operative atrial fibrillation is associated with a pre-existing structural and electrical substrate in human right atrial myocardium";£2,968.31;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"FS/14/46/30907";;;;
"PMC5073997";27543698;"10.1016/j.ijcard.2016.07.252";"Elsevier BV";"International journal of cardiology";"0167-5273, 1874-1754";"Normal age-related changes in left ventricular function: Role of afterload and subendocardial dysfunction";£3,829.30;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;;;;;
"PMC4691930";26753174;"10.1016/j.ijcha.2015.06.009";"Elsevier BV";"International journal of cardiology. Heart & vasculature";"2352-9067";"Risk stratification in non-ST elevation acute coronary syndromes: risk scores, biomarkers and clinical judgment";1964.58;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"British Heart Foundation (BHF)";;;"PG/11/55/28999";;;;
"PMC5111480";27882341;"10.1016/j.ijcha.2016.03.005";"Elsevier BV";"International journal of cardiology. Heart & vasculature";"2352-9067";"Using MRI to predict future adverse cardiac remodelling in a male mouse model of myocardial infarction";£2,128.87;1;"not applicable";"unknown";"cc-by";"not applicable";"oa";1;"British Heart Foundation";;;;;;;
"PMC4970655";27252152;"10.1016/j.ijheh.2016.05.004";"Elsevier BV";"International journal of hygiene and environmental health";"1438-4639, 1618-131X";"Blood mercury levels and fish consumption in pregnancy: risks and benefits for birth outcomes in a prospective observational birth cohort";2059.72;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";;102215;"MC_PC_15018";;;
"PMC4899821";27062108;"10.1016/j.ijlp.2016.02.029";"Elsevier BV";"International journal of law and psychiatry";"0160-2527, 1873-6386";"Tensions between policy and practice: A qualitative analysis of decisions regarding compulsory admission to psychiatric hospital.";1492.4;1;"not applicable";0;"cc-by";"not applicable";"hybrid";1;"wellcome-trust, nihr";0;0;;;;;
"PMC4838670";27084641;"10.1016/j.ijrobp.2016.01.044";"Elsevier BV";"International journal of radiation oncology, biology, physics";"0360-3016, 1879-355X";"An Analysis of Plan Robustness for Esophageal Tumors: Comparing Volumetric Modulated Arc Therapy Plans and Spot Scanning Proton Planning";£2,108.18;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Cancer Research UK";"MRC";;16049;"MC_PC_12001/2";"C5255/A15935";;
"unknown";27026308;"10.1016/j.ijrobp.2015.12.379";"Elsevier BV";"International journal of radiation oncology, biology, physics";"0360-3016, 1879-355X";"Prospective study delivering simulataneous integrated high-dose tumor-boost (<70Gy) with image guided adaptive radiation therapy for radical treatment of localized muscle-invasive bladder cancer";1707.75;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"Cancer Research UK";;;"unknown";;;;
"PMC5063532";27766316;"10.1016/j.jacbts.2016.06.004";"Elsevier BV";"JACC. Basic to translational science";"2452-302X";"Unilateral carotid body resection in resistant hypertension: a safety and feasibility trial";2920.63;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"R01 AT008632";;;;
"PMC5056585";27639759;"10.1016/j.jcmg.2016.04.007";"Elsevier BV";"JACC. Cardiovascular imaging";"1936-878X, 1876-7591";"Thresholds for Arterial Wall Inflammation Quantified by 18F-Fluorodeoxyglucose Positron Emission Tomographic Imaging - Implications for Vascular Interventional Studies";2760.4;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"british-heart-foundation, nihr, wellcome-trust, fp7";;;;;;;
"PMC4708879";26684978;"10.1016/j.jcmg.2015.08.018";"Elsevier BV";"JACC. Cardiovascular imaging";"1936-878X, 1876-7591";"Endothelial cell tetrahydrobiopterin deficiency attenuates LPS-induced vascular dysfunction and hypotension";1905.28;1;"not applicable";0;"non-standard-licence";"unknown";"hybrid";0;"British Heart Foundation";"British Heart Foundation";;"FS/15/11/31233";"unknown";"NF-SI-0512-10005";;
"PMC4639392";26476505;"10.1016/j.jcmg.2015.08.007";"Elsevier BV";"JACC. Cardiovascular imaging";"1936-878X, 1876-7591";"Precursors of the hypertensive heart phenotype develop in normotensive adults: a high resolution 3D MRI study";£2,308.74;1;"not applicable";0;"non-standard-licence";"unknown";"hybrid";0;;;;"unknown";1115;"EP/K030523/1";;
"PMC5196018";28066827;"10.1016/j.jacep.2016.04.006";"Elsevier BV";"JACC. Clinical electrophysiology";"2405-500X, 2405-5018";"Optimised left ventricular endocardial stimulation is superior to optimised epicardial stimulation in ischemic patients with poor CRT response: a combined magnetic resonance imaging, electro-anatomical contact mapping and hemodynamic study to target endocardial lead placement.";£2,443.65;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC5076465";27807593;"10.1016/j.jacep.2016.03.007";"Elsevier BV";"JACC. Clinical electrophysiology";"2405-500X, 2405-5018";"Enhancement of Gap Junction Function During Acute Myocardial Infarction Modifies Healing and Reduces Late Ventricular Arrhythmia Susceptibility";£2,547.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"RG/10/11/28457";"FS/11/67/28954";;;
"unknown";25454393;"10.1016/j.jchf.2014.07.012";"Elsevier BV";"JACC. Heart failure";"2213-1779, 2213-1787";"An increased B-type natriuretic peptide in the absence of a cardiac abnormality identifies those whose left ventricular mass will increase over time";2191.38;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"British Heart Foundation";;;"unknown";;;;
"unknown";"unknown";"10.1016/j.jacep.2016.04.009";"Elsevier BV";"JACC: Clinical Electrophysiology";"2405-500X";"A cost effectiveness analysis of quadripolar versus bipolar left ventricular leads for cardiac resynchronization defibrillator therapy in a large multi-centre UK registry.";£2,443.46;0;1;"not applicable";"unknown";"unknown";"hybrid";0;"British Heart Foundation";;;;;;;
"PMC4679114";26544620;"10.1016/j.jad.2015.09.004";"Elsevier BV";"Journal of affective disorders";"0165-0327, 1573-2517";"A comparative cross-cultural study of the prevalence of late life depression in low and middle income countries";£970.70;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"GR066133";"MR/K021907/1";;;
"PMC4459713";25983304;"10.1016/j.jad.2015.04.021";"Elsevier BV";"Journal of affective disorders";"0165-0327, 1573-2517";"Verbal learning impairment in euthymic bipolar disorder: BDI v BDII";£1,934.91;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"102616/Z";"RP-PG-0108-10087";;;
"PMC4650986";26469300;"10.1016/j.jad.2015.09.039";"Elsevier BV";"Journal of affective disorders";"0165-0327, 1573-2517";"Are female children more vulnerable to the long-term effects of maternal depression during pregnancy?";1954.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";;102215;92731;"unknown";;
"PMC4595479";26301478;"10.1016/j.jad.2015.08.012";"Elsevier BV";"Journal of affective disorders";"0165-0327, 1573-2517";"Associations of maternal and paternal antenatal mood with offspring anxiety disorder at age 18 years";£1,989.14;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;102215;92731;"MC_PC_15018";;
"PMC4906149";27136417;"10.1016/j.jad.2016.04.048";"Elsevier BV";"Journal of affective disorders";"0165-0327, 1573-2517";"Gestational influenza and risk of hypomania in young adulthood: prospective birth cohort study";2470.7;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;102215;"MC_PC_15018";;;
"PMC5296237";27449555;"10.1016/j.jad.2016.06.065";"Elsevier BV";"Journal of affective disorders";"0165-0327, 1573-2517";"Daily longitudinal self-monitoring of mood variability in bipolar disorder and borderline personality disorder";£1,371.45;1;0;0;"cc-by";"unknown";"hybrid";1;"Wellcome Trust";"EPSRC";;;;;;
"PMC4803023";26778835;"10.1016/j.jaut.2015.12.004";"Elsevier BV";"Journal of autoimmunity";"0896-8411, 1095-9157";"Sonic Hedgehog regulates thymic epithelial cell differentiation";£2,104.80;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";"MRC/BBSRC";;"unknown";1212180;1342014;;
"PMC4871811";27036372;"10.1016/j.jaut.2016.03.009";"Elsevier BV";"Journal of autoimmunity";"0896-8411, 1095-9157";"Non-conventional forms of HLA-B27 are expressed in Spondyloarthritis joints and gut tissue";£2,814.90;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Arthritis Research UK";;;19611;;;;
"PMC4803021";26873648;"10.1016/j.jaut.2016.01.001";"Elsevier BV";"Journal of autoimmunity";"0896-8411, 1095-9157";"Intestinal CCL25 expression is increased in colitis and correlates with inflammatory activity";2829.09;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;"099907/Z/12/Z";"NF-SI-0512-10080";;;
"PMC4655867";26472305;"10.1016/j.jbiomech.2015.09.023";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"The influence of constitutive law choice used to characterise atherosclerotic tissue material properties on computing stress values in human carotid plaques.";2302.01;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"british-heart-foundation, Heart Research UK";0;0;"PG/11/74/29100";;;;
"PMC4655836";26429769;"10.1016/j.jbiomech.2015.09.002";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"The envelope of passive motion allowed by the capsular ligaments of the hip";£2,359.19;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"088844/Z/09/Z";"unknown";"EP/K027549/1";;
"PMC4655866";26472304;"10.1016/j.jbiomech.2015.09.037";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"A uni-extension study on the ultimate material strength and extreme extensibility of atherosclerotic tissue in human carotid plaques.";2382.04;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"british-heart-foundation, Heart Research UK, National Natural Science Foundation of China, and NIHR BRC";0;0;"PG/11/74/29100";;;;
"PMC5038162";27040388;"10.1016/j.jbiomech.2016.03.009";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"Study of cardiovascular function using a coupled left ventricle and systemic circulation model";2720.1;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation (BHF)";"British Heart Foundation (BHF)";;"EP/N014642/1";"PG/14/64/31043";"PG/11/2/28474";;
"PMC5038160";27059259;"10.1016/j.jbiomech.2016.03.036";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"Impact of different aortic valve calcification patterns on the outcome of transcatheter valve implantation: a finite element study";£2,740.98;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust/British Heart Foundation";;;;;;;
"PMC4894247";27048984;"10.1016/j.jbiomech.2016.03.035";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"The centre of rotation of the shoulder complex and the effect of normalisation";£2,759.77;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC5061069";27282961;"10.1016/j.jbiomech.2016.05.027";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"Physiological vortices in the sinuses of Valsalva: an in vitro approach for bio-prosthetic valves";£2,761.64;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation/Wellcome Trust";;;;;;;
"PMC5061070";27448497;"10.1016/j.jbiomech.2016.07.001";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"Control of a wrist joint motion simulator: a phantom study";£2,968.31;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;20556;;;;
"unknown";27395759;"10.1016/j.jbiomech.2016.06.021";"Elsevier BV";"Journal of biomechanics";"0021-9290, 1873-2380";"Can finite element models of ballooning procedures yield mechanical response of the cardiovascular site to overexpansion?";£2,517.51;0;0;"not applicable";"unknown";"unknown";"hybrid";0;"British Heart Foundation";"EPSRC";;;;;;
"PMC4922622";26776084;"10.1016/j.jclinepi.2016.01.005";"Elsevier BV";"Journal of clinical epidemiology";"0895-4356, 1878-5921";"Improved incidence estimates from linked versus stand-along electronic health records.";2008.11;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"G0902135";"NF-SI-0510-10090";"MR/K006584/1";;
"PMC5152936";27343981;"10.1016/j.jclinepi.2016.06.005";"Elsevier BV";"Journal of clinical epidemiology";"0895-4356, 1878-5921";"The reporting of studies using routinely collected health data was often insufficient.";2266.99;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4710576";26655269;"10.1016/j.jcv.2015.11.036";"Elsevier BV";"Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology";"1386-6532, 1873-5967";"Detection of influenza C virus but not influenza D virus in Scottish respiratory samples";£2,234.90;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;"095831/Z/11/Z";"BBS/E/D/20241864";"BB/J004324/1";;
"PMC4994427";27498250;"10.1016/j.jcv.2016.06.015";"Elsevier BV";"Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology";"1386-6532, 1873-5967";"A comparison of different human papillomavirus tests in PreservCyt versus SurePath in a referral population-PREDICTORS 4.";2735.28;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;;;;;
"PMC4896117";27330221;"10.1016/j.jcp.2015.12.038";"Elsevier BV";"Journal of computational physics";"0021-9991";"A Computational Method for the Coupled Solution of Reaction-Diffusion Equations on Evolving Domains and Manifolds: Application to a Model of Cell Migration and Chemotaxis";£1,425.48;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"EPSRC";"Cancer Research UK";;15672;;;;
"PMC5154339";27375092;"10.1016/j.jcf.2016.06.008";"Elsevier BV";"Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society";"1569-1993, 1873-5010";"IL-22 exacerbates weight loss in a murine model of chronic pulmonary Pseudomonas aeruginosa infection";2604.73;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust (WELLCOME)";;;;;;;
"PMC5104689";27427436;"10.1016/j.jdermsci.2016.06.008";"Elsevier BV";"Journal of dermatological science";"0923-1811, 1873-569X";"Galectin-6 is a novel skin anti-microbial peptide that is modulated by the skin barrier and microbiome";£2,215.89;1;"not applicable";0;"cc-by-nc-nd";"unknown";"hybrid";0;"Wellcome Trust";;;;;;;
"PMC4834630";27110036;"10.1016/j.jfluchem.2016.02.008";"Elsevier BV";"Journal of fluorine chemistry";"0022-1139";"A Bisphosphonate for 19F-Magnetic Resonance Imaging";£1,097.56;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4770870";26614692;"10.1016/j.jhealeco.2015.10.007";"Elsevier BV";"Journal of health economics";"0167-6296, 1879-1646";"Genetic Markers as Instrumental Variables";1367.28;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"MRC";"Wellcome Trust";"ESRC";102215;269874;"ES/H005803/1";;
"PMC4876170";26795831;"10.1016/j.jhep.2016.01.003";"Elsevier BV";"Journal of hepatology";"0168-8278, 1600-0641";"Multivariate metabotyping of plasma accurately predicts survival in decompensated cirrhosis";£2,512.23;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;90542;"MR/K010514/1";"MR/J006742/1";;
"PMC4783706";26826277;"10.1016/j.jim.2016.01.014";"Elsevier BV";"Journal of immunological methods";"0022-1759, 1872-7905";"T-cell libraries allow simple parallel generation of multiple peptide-specific human T-cell clones";2787.63;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";0;0;1247762;;;;
"PMC4859332";26966045;"10.1016/j.jim.2016.02.023";"Elsevier BV";"Journal of immunological methods";"0022-1759, 1872-7905";"Comparative genomics analysis of mononuclear phagocyte subsets confirms homology between lymphoid tissue-resident and dermal XCR1+ DCs in mouse and human and distinguishes them from Langerhans cells";£2,806.97;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4965358";27208416;"10.1016/j.jmr.2016.05.007";"Elsevier BV";"Journal of magnetic resonance (San Diego, Calif. : 1997)";"1090-7807, 1096-0856";"Diffusion-mediated nuclear spin phase decoherence in cylindrically porous materials";2526.14;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;;;;;
"PMC4838658";27030640;"10.1016/j.mimet.2016.03.015";"Elsevier BV";"Journal of microbiological methods";"0167-7012, 1872-8359";"Modification of the classical Lancefield assay of group A streptococcal killing to reduce inter donor variation";£2,759.77;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"G0800777";;;;
"PMC4640586";26341255;"10.1016/j.yjmcc.2015.08.017";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"The structural and functional effects of the Familial Hypertrophic Cardiomyopathy-linked cardiac troponin C mutation, L29Q";£692.29;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;37769;"FS/09/001/26329";"PG/12/52/29713";;
"PMC4915816";26546827;"10.1016/j.yjmcc.2015.10.026";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"The relative role of patient physiology and device optimisation in cardiac resynchronisation therapy: A computational modelling study";£717.22;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;99973;"PG/11/101/29212";"EP/M012492/1";;
"PMC4831045";26853943;"10.1016/j.yjmcc.2016.02.003";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"Probing the mechanism of cardiovascular drugs using a covalent levosimendan analog";£777.38;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;37769;"FS/09/001/26329";"PG/12/52/29713";;
"PMC5080448";27291063;"10.1016/j.yjmcc.2016.06.006";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"Tbx18 and the generation of a biological pacemaker. Are we there yet?";£966.95;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"MR/J010383/1";"PG/14/83/31128";"PG/14/46/30911";;
"PMC4945757";26578393;"10.1016/j.yjmcc.2015.11.005";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"Aging and the cardiac collagen matrix: Novel mediators of fibrotic remodelling.";£1,381.40;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;;;;"FS/12/57/29717";;;;
"PMC4727789";26625714;"10.1016/j.yjmcc.2015.11.024";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"The Hippo pathway mediates inhibition of vascular smooth muscle cell proliferation by cAMP";1481.23;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"PG/14/82/31126";;;;
"PMC4915860";26611884;"10.1016/j.yjmcc.2015.11.018";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"Uncertainty and variability in models of the cardiac action potential: Can we build trustworthy models?";£1,518.23;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"Wellcome Trust";;;101222;1366641;"NC/K001337/1";;
"PMC4796039";26827899;"10.1016/j.yjmcc.2016.01.026";"Elsevier BV";"Journal of molecular and cellular cardiology";"0022-2828, 1095-8584";"Young at heart: Regenerative potential linked to immature cardiac phenotypes";£1,522.96;1;"not applicable";"unknown";"cc-by";"not applicable";"hybrid";1;"British Heart Foundation";;;"FS/11/29/28759";"FS/13/18/30207";"PG/13/19/30059";;
