Nr.,Institution,Publikationsjahr,Kosten (incl. 19% VAT),Verlag,Journal,Artikel,E-ISSN,DOI,base_url,repo_id,Fakultät,Finanzgeber,Anmerkungen
61,Goettingen U,2014,"1198,34",PLOS,PLOS One,"Kienapfel, Kathrin; Link, Yvonne; König von Borstel, Uta (2014): Prevalence of different head-neck positions in horses shown at dressage competitions and their relation to conflict behaviour and performance marks. - PloS one; Vol. 9, No. 8, p. e103140-e103140. ",1932-6203,10.1371/journal.pone.0103140,http://resolver.sub.uni-goettingen.de/,10556,Agrarwiss.,DFG/SUB Fördermittel 2014,NA
62,Goettingen U,2014,"1198,35",PLOS,PLOS One,"Kallenberger, Stefan M; Schmidt, Constanze; Dechent, Peter; Forster, Clemens; von Steinbüchel, Nicole; Wüstenberg, Torsten; Strasburger, Hans (2014): Separating fusion from rivalry. - PloS one; Vol. 9, No. 7, e103037",1932-6203,10.1371/journal.pone.0103037,http://resolver.sub.uni-goettingen.de/,10559,UMG,DFG/UMG Fördermittel 2014,NA
63,Goettingen U,2014,"638,23",Omics Group,Oceanography,"Steudel, Bastian (2014): Microalgae in Ecology: Ecosystem Functioning Experiments - Oceanography: Open Access; Vol. 02, No. 02, 1000122",1042-8275,10.4172/2332-2632.1000122,http://resolver.sub.uni-goettingen.de/,10564,Biologie,DFG/SUB Fördermittel 2014,NA
64,Goettingen U,2014,"1059,52",MDPI,Remote sensing,"Getzin, Stephan; Nuske, Robert; Wiegand, Kerstin (2014): Using Unmanned Aerial Vehicles (UAV) to Quantify Spatial Gap Patterns in Forests - Remote Sensing; Vol. 6, No. 8, p. 6988-7004. ",2072-4292,10.3390/rs6086988,http://resolver.sub.uni-goettingen.de/,10566,Forstwiss.,DFG/SUB Fördermittel 2014,NA
65,Goettingen U,2014,"1285,20",IOP,New Journal of Physics,"Jungbauer, M; Hühn, S; Krisponeit, J-O; Moshnyaga, V (2014): Visible range colossal magnetorefractive effect in (La 1 ? y Pr y ) 2/3 Ca 1/3 MnO 3 films - New Journal of Physics; Vol. 16, No. 6, p. 063034",1367-2630,10.1088/1367-2630/16/6/063034,http://resolver.sub.uni-goettingen.de/,10565,Physik ,DFG/SUB Fördermittel 2014,NA
66,Goettingen U,2014,"488,79",Academic Journals,International Journal of Biodiversity and Conservation (IJBC),"Peque, Dennis P.; Hölscher, Dirk (2014): Rare tree species in nurseries across the Visayas, Philippines - International Journal of Biodiversity and Conservation; Vol. 6, No. 8, p. 589-599. ",2141-243X,10.5897/IJBC2014.0733,http://resolver.sub.uni-goettingen.de/,10961,Forstwiss.,DFG/SUB Fördermittel 2014,NA
67,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Neuroengineering,"Xu, Ren; Jiang, Ning; Vuckovic, Aleksandra; Hasan, Muhammad; Mrachacz-Kersting, Natalie; Allan, David; Fraser, Matthew; Nasseroleslami, Bahman; Conway, Bernie; Dremstrup, Kim; Farina, Dario (2014): Movement-related cortical potentials in paraplegic patients: abnormal patterns and considerations for BCI-rehabilitation. - Frontiers in neuroengineering; Vol. 7, 35",1662-6443,10.3389/fneng.2014.00035,http://resolver.sub.uni-goettingen.de/,10889,BCCN/UMG,DFG/UMG Fördermittel 2014,NA
68,Goettingen U,2014,"1141,57",e-Century Publishing Corporation,International Journal of Clinical and Experimental Pathology,"Martius, Gesa; Alwahsh, Salamah Mohammad; Rave-Fränk, Margret; Hess, Clemens Friedrich; Christiansen, Hans; Ramadori, Giuliano; Malik, Ihtzaz Ahmed (2014): Hepatic fat accumulation and regulation of FAT/CD36: an effect of hepatic irradiation. - International journal of clinical and experimental pathology; Vol. 7, No. 8, p. 5379-5392. ",1936-2625,NA,http://resolver.sub.uni-goettingen.de/,10890,UMG,DFG/UMG Fördermittel 2014,NA
69,Goettingen U,2014,"1214,20",PLOS,PLOS ONE,"Posnien, Nico; Zeng, Victor; Schwager, Evelyn E; Pechmann, Matthias; Hilbrant, Maarten; Keefe, Joseph D; Damen, Wim G M; Prpic, Nikola-Michael; McGregor, Alistair P; Extavour, Cassandra G (2014): A Comprehensive Reference Transcriptome Resource for the Common House Spider Parasteatoda tepidariorum. - PloS one; Vol. 9, No. 8, e104885",1932-6203,10.1371/journal.pone.0104885,http://resolver.sub.uni-goettingen.de/,10635,Biologie,DFG/SUB Fördermittel 2014,NA
70,Goettingen U,2014,"1214,20",PLOS,PLOS ONE,"Wessels, Stephan; Sharifi, Reza Ahmad; Luehmann, Liane Magdalena; Rueangsri, Sawichaya; Krause, Ina; Pach, Sabrina; Hoerstgen-Schwark, Gabriele; Knorr, Christoph (2014): Allelic variant in the anti-müllerian hormone gene leads to autosomal and temperature-dependent sex reversal in a selected nile tilapia line. - PloS one; Vol. 9, No. 8, e104795",1932-6203,10.1371/journal.pone.0104795,http://resolver.sub.uni-goettingen.de/,10784,Agrarwiss.,DFG/SUB Fördermittel 2014,NA
71,Goettingen U,2014,"1214,19",PLOS,PLOS ONE,"Hermann, Peter; Romero, Carlos; Schmidt, Christian; Reis, Clemens; Zerr, Inga (2014): CSF Biomarkers and Neuropsychological Profiles in Patients with Cerebral Small-Vessel Disease. - PloS one; Vol. 9, No. 8, e105000",1932-6203,10.1371/journal.pone.0105000,http://resolver.sub.uni-goettingen.de/,10786,UMG,DFG/UMG Fördermittel 2014,NA
72,Goettingen U,2014,"1214,19",PLOS,PLOS ONE,"Wehner, Katja; Scheu, Stefan; Maraun, Mark (2014): Resource availability as driving factor of the reproductive mode in soil microarthropods (acari, oribatida). - PloS one; Vol. 9, No. 8, e104243",1932-6203,10.1371/journal.pone.0104243,http://resolver.sub.uni-goettingen.de/,10631,Biologie,DFG/SUB Fördermittel 2014,NA
73,Goettingen U,2014,"1214,19",PLOS,PLOS ONE,"Alwahsh, Salamah Mohammad; Xu, Min; Schultze, Frank Christian; Wilting, Jörg; Mihm, Sabine; Raddatz, Dirk; Ramadori, Giuliano (2014): Combination of alcohol and fructose exacerbates metabolic imbalance in terms of hepatic damage, dyslipidemia, and insulin resistance in rats. - PloS one; Vol. 9, No. 8, e104220",1932-6203,10.1371/journal.pone.0104220,http://resolver.sub.uni-goettingen.de/,10788,UMG,DFG/UMG Fördermittel 2014,NA
74,Goettingen U,2014,"1214,20",PLOS,PLOS ONE,"Budde, Holger; Kolb, Susanne; Salinas Tejedor, Laura; Wulf, Gerald; Reichardt, Holger M.; Riggert, Joachim; Legler, Tobias J. (2014): Modified Extracorporeal Photopheresis with Cells from a Healthy Donor for Acute Graft-versus-Host Disease in a Mouse Model. - PloS one; Vol. 9, No. 8, e105896",1932-6203,10.1371/journal.pone.0105896,http://resolver.sub.uni-goettingen.de/,10790,UMG,DFG/UMG Fördermittel 2014,NA
75,Goettingen U,2014,"1214,19",PLOS,PLOS ONE,"Dehmel, Susanne; Löwel, Siegrid (2014): Cortico-cortical interactions influence binocularity of the primary visual cortex of adult mice. - PloS one; Vol. 9, No. 8, e105745",1932-6203,10.1371/journal.pone.0105745,http://resolver.sub.uni-goettingen.de/,10799,BCCN/Biologie,DFG/SUB Fördermittel 2014,NA
76,Goettingen U,2014,"916,30",Frontiers,Frontiers in Cellular Neuroscience,"Koch, Jan Christoph; Tönges, Lars; Michel, Uwe; Bähr, Mathias; Lingor, Paul (2014): Viral vector-mediated downregulation of RhoA increases survival and axonal regeneration of retinal ganglion cells - Frontiers in Cellular Neuroscience; Vol. 8, 273",1662-5102,10.3389/fncel.2014.00273,http://resolver.sub.uni-goettingen.de/,10963,UMG,DFG/UMG Fördermittel 2014,NA
77,Goettingen U,2014,"1523,20",Frontiers,Frontiers in Aging Neuroscience,"Tönges, Lars; Szegö, Éva M.; Hause, Patrizia; Saal, Kim-Ann; Tatenhorst, Lars; Koch, Jan Christoph; d`Hedouville, Zara; Dambeck, Vivian; Kügler, Sebastian; Dohm, Christoph P.; Bähr, Mathias; Lingor, Paul (2014): Alpha-synuclein mutations impair axonal regeneration in models of Parkinson's disease - Frontiers in Aging Neuroscience; Vol. 6, 239",1663-4365,10.3389/fnagi.2014.00239,http://resolver.sub.uni-goettingen.de/,10893,UMG,DFG/UMG Fördermittel 2014,NA
78,Goettingen U,2014,"684,25",Frontiers,Frontiers in Physiology. Cardiac Electophysiology,"Dura, Miroslav; Schröder-Schetelig, Johannes; Luther, Stefan; Lehnart, Stephan E. (2014): Toward panoramic in situ mapping of action potential propagation in transgenic hearts to investigate initiation and therapeutic control of arrhythmias - Frontiers in Physiology; Vol. 5, 337",1664-042X,10.3389/fphys.2014.00337,http://resolver.sub.uni-goettingen.de/,10964,UMG,DFG/UMG Fördermittel 2014,NA
79,Goettingen U,2014,"1356,59",Hindawi,BioMed Research International ,"Frickmann, Hagen; Masanta, Wycliffe Omurwa; Zautner, Andreas E. (2014): Emerging Rapid Resistance Testing Methods for Clinical Microbiology Laboratories and Their Potential Impact on Patient Management - BioMed Research International; Vol. 2014, 375681, p. 1-19. ",1110-7251,10.1155/2014/375681,http://resolver.sub.uni-goettingen.de/,10892,UMG,DFG/UMG Fördermittel 2014,NA
80,Goettingen U,2014,"1456,56",IOP,New Journal of Physics,"Filor, S.; Pruschke, T. (2014): Variational cluster approximation to the thermodynamics of quantum spin systems - New Journal of Physics; Vol. 16, No. 6, 063059",1367-2630,10.1088/1367-2630/16/6/063059,http://resolver.sub.uni-goettingen.de/,10888,Physik ,DFG/SUB Fördermittel 2014,NA
81,Goettingen U,2014,"1244,10",PLOS,PLOS ONE,"Dell, Anthony I.; Alford, Ross A.; Pearson, Richard G. (2014): Intermittent pool beds are permanent cyclic habitats with distinct wet, moist and dry phases. - PloS one; Vol. 9, No. 9, e108203",1932-6203,10.1371/journal.pone.0108203,http://resolver.sub.uni-goettingen.de/,10965,Biologie,DFG/SUB Fördermittel 2014,NA
82,Goettingen U,2014,"1244,09",PLOS,PLOS ONE,"Kowallick, Johannes T.; Lamata, Pablo; Hussain, Shazia T.; Kutty, Shelby; Steinmetz, Michael; Sohns, Jan M.; Fasshauer, Martin; Staab, Wieland; Unterberg-Buchwald, Christina; Bigalke, Boris; Lotz, Joachim; Hasenfuß, Gerd; Schuster, Andreas (2014): Quantification of left ventricular torsion and diastolic recoil using cardiovascular magnetic resonance myocardial feature tracking. - PloS one; Vol. 9, No. 10, e109164",1932-6203,10.1371/journal.pone.0109164,http://resolver.sub.uni-goettingen.de/,10994,UMG,DFG/UMG Fördermittel 2014,NA
83,Goettingen U,2014,"846,91",Omics Group,Journal of Child and Adoloscent Behaviour,"Kröner-Herwig, Birgit; Maas, Jennifer; Reckling, Philipp (2014): Self-Esteem in a German Population Sample of Children and Adolescents: Association with Demographic and Psychosocial Variables - Journal of Child & Adolescent Behavior; Vol. 2, 1000158",2375-4494,10.4172/2375-4494.1000158,http://resolver.sub.uni-goettingen.de/,11081,Psychologie,DFG/SUB Fördermittel 2014,NA
84,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Neuroscience. Neuropharmacology,"Günther, René; Saal, Kim-Ann; Suhr, Martin; Scheer, David; Koch, Jan Christoph; Bähr, Mathias; Lingor, Paul; Tönges, Lars (2014): The rho kinase inhibitor Y-27632 improves motor performance in male SOD1(G93A) mice. - Frontiers in neuroscience; Vol. 8, 304",1662-453X,10.3389/fnins.2014.00304,http://resolver.sub.uni-goettingen.de/,11029,UMG,DFG/UMG Fördermittel 2014,NA
85,Goettingen U,2014,"1303,87",Elsevier,Neuroimage: Clinical,"Weygandt, Martin; Hummel, Hannah-Maria; Schregel, Katharina; Ritter, Kerstin; Allefeld, Carsten; Dommes, Esther; Huppke, Peter; Haynes, John­Dylan; Wuerfel, Jens; Gärtner, Jutta (2014/2015): MRI-based diagnostic biomarkers for early onset pediatric multiple sclerosis - NeuroImage: Clinical; Vol. 7, p. 400-408. ",2213-1582,10.1016/j.nicl.2014.06.015,http://resolver.sub.uni-goettingen.de/,11538,UMG,DFG/UMG Fördermittel 2014,Advance article publ. online 2014. Final version publ. 2015
86,Goettingen U,2014,"676,71","WJG Press, Baishideng Publ. Group",World Journal of Hepatology,"Mechie, Nicolae-Catalin; Röver, Christian; Cameron, Silke; Amanzada, Ahmad (2014): Predictability of IL-28B-polymorphism on protease-inhibitor-based triple-therapy in chronic HCV-genotype-1 patients: A meta-analysis. - World journal of hepatology; Vol. 6, No. 10, p. 759-765. ",1948-5182,10.4254/wjh.v6.i10.759,http://resolver.sub.uni-goettingen.de/,11082,UMG,DFG/UMG Fördermittel 2014,NA
87,Goettingen U,2014,"1066,47",MDPI,Remote sensing,"Erasmi, Stefan; Rosenbauer, Ralph; Buchbach, Ralf; Busche, Thomas; Rutishauser, Susanne (2014): Evaluating the Quality and Accuracy of TanDEM-X Digital Elevation Models at Archaeological Sites in the Cilician Plain, Turkey - Remote Sensing; Vol. 6, No. 10, p. 9475-9493. ",2072-4292,10.3390/rs6109475,http://resolver.sub.uni-goettingen.de/,10996,Geowiss,DFG/SUB Fördermittel 2014,NA
88,Goettingen U,2014,"1403,96",Hindawi,Mediators of Inflammation,"Misdaq, Misbah; Ziegler, Sonia; Ahsen, Nicolas von; Oellerich, Michael; Asif, Abdul R. (2014/2015): Thiopurines Induce Oxidative Stress in T-Lymphocytes: A Proteomic Approach - Mediators of Inflammation; , 434825",1466-1861,10.1155/2015/434825,http://resolver.sub.uni-goettingen.de/,11226,UMG,DFG/UMG Fördermittel 2014,Advance article publ. online 2014. Final version publ. 2015
89,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Psychology. Language Sciences,"Bayer, Mareike; Schacht, Annekathrin (2014): Event-related brain responses to emotional words, pictures, and faces - a cross-domain comparison. - Frontiers in psychology; Vol. 5, 1106",1664-1078,10.3389/fpsyg.2014.01106,http://resolver.sub.uni-goettingen.de/,11031,"Linguistik/  Courant Forschungszentrum ""Textstrukturen"" ",DFG/SUB Fördermittel 2014,NA
90,Goettingen U,2014,"1421,96",MDPI,International Journal of Environmental Research and Public Health,"Nödler, Karsten; Tsakiri, Maria; Licha, Tobias (2014): The impact of different proportions of a treated effluent on the biotransformation of selected micro-contaminants in river water microcosms. - International journal of environmental research and public health; Vol. 11, No. 10, p. 10390-10405. ",1660-4601,10.3390/ijerph111010390,http://resolver.sub.uni-goettingen.de/,10995,Geowiss,DFG/SUB Fördermittel 2014,NA
91,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Neural Circuits ,"Dasgupta, Sakyasingha; Wörgötter, Florentin; Manoonpong, Poramate (2014): Neuromodulatory adaptive combination of correlation-based learning in cerebellum and reward-based learning in basal ganglia for goal-directed behavior control - Frontiers in Neural Circuits; Vol. 8, 126",1662-5110,10.3389/fncir.2014.00126,http://resolver.sub.uni-goettingen.de/,11028,BCCN,DFG/UMG Fördermittel 2014,NA
92,Goettingen U,2014,"1420,84",Hindawi,Mediators of Inflammation,"Khan, Niamat; Asif, Abdul R. (2014/2015): Transcriptional Regulators of Claudins in Epithelial Tight Junctions - Mediators of Inflammation; , 219843",1466-1861,10.1155/2015/219843,http://resolver.sub.uni-goettingen.de/,11393,UMG,DFG/SUB Fördermittel 2014,Advance article publ. online 2014. Final version publ. 2015
93,Goettingen U,2014,"1904,00",Frontiers,Frontiers in Behavioral Neuroscience,"Geurten, Bart R. H.; Jähde, Philipp; Corthals, Kristina; Göpfert, Martin C. (2014): Saccadic body turns in walking Drosophila - Frontiers in Behavioral Neuroscience; Vol. 8, 365",1662-5153,10.3389/fnbeh.2014.00365,http://resolver.sub.uni-goettingen.de/,11030,Biologie,DFG/SUB Fördermittel 2014,NA
94,Goettingen U,2014,"1278,77",PLOS,PLOS ONE,"Kiel, Steffen; Glodny, Johannes; Birgel, Daniel; Bulot, Luc G.; Campbell, Kathleen A.; Gaillard, Christian; Graziano, Roberto; Kaim, Andrzej; Laz?r, Iuliana; Sandy, Michael R.; Peckmann, Jörn (2014): The paleoecology, habitats, and stratigraphic range of the enigmatic cretaceous brachiopod peregrinella. - PloS one; Vol. 9, No. 10, e109260",1932-6203,10.1371/journal.pone.0109260,http://resolver.sub.uni-goettingen.de/,10991,Geowiss,DFG/UMG Fördermittel 2014,NA
95,Goettingen U,2014,"1278,75",PLOS,PLOS ONE,"Kikulwe, Enoch M.; Fischer, Elisabeth; Qaim, Matin (2014): Mobile money, smallholder farmers, and household welfare in kenya. - PloS one; Vol. 9, No. 10, e109804",1932-6203,10.1371/journal.pone.0109804,http://resolver.sub.uni-goettingen.de/,10993,Agrarwiss.,DFG/SUB Fördermittel 2014,NA
96,Goettingen U,2014,"1278,75",PLOS,PLOS ONE,"Stahl, Philipp; Ruppert, Volker; Schwarz, Ralph T.; Meyer, Thomas (2014): Trypanosoma cruzi Evades the Protective Role of Interferon-Gamma-Signaling in Parasite-Infected Cells. - PloS one; Vol. 9, No. 10, e110512",1932-6203,10.1371/journal.pone.0110512,http://resolver.sub.uni-goettingen.de/,11027,UMG,DFG/SUB Fördermittel 2014,NA
97,Goettingen U,2014,"1278,75",PLOS,PLOS ONE,"Gottschlich, Carsten; Schuhmacher, Dominic (2014): The Shortlist Method for Fast Computation of the Earth Mover's Distance and Finding Optimal Solutions to Transportation Problems. - PloS one; Vol. 9, No. 10, e110214",1932-6203,10.1371/journal.pone.0110214,http://resolver.sub.uni-goettingen.de/,10992,Mathematik,DFG/SUB Fördermittel 2014,NA
98,Goettingen U,2014,"1249,27",Copernicus,Geothermal Energy Science (GtES),"Reyer, D.; Philipp, S. L. (2014): Empirical relations of rock properties of outcrop and core samples from the Northwest German Basin for geothermal drilling - Geothermal Energy Science; Vol. 2, No. 1, p. 21-37. ",2195-478X,10.5194/gtes-2-21-2014,http://resolver.sub.uni-goettingen.de/,11130,Geowiss,"DFG/UMG Fördermittel 2014 (757,75 €)  / UGOE-Ergänzungsfonds (509,60 €)",NA
99,Goettingen U,2014,"1617,78",Copernicus,Hydrology and Earth System Sciences,"Oehlmann, S., Geyer, T., Licha, T., and Sauter, M.: Reducing the ambiguity of karst aquifer models by pattern matching of flow and transport on catchment scale, Hydrol. Earth Syst. Sci. Discuss., 11, 9281-9326, doi:10.5194/hessd-11-9281-2014, 2014. [Öffentl. begutachteter Artikel in Discussion Series]",1607-7938,10.5194/hess-19-893-2015,http://resolver.sub.uni-goettingen.de/,11650,Geowiss,UGOE-Ergänzungsfonds 2014,Nur Final Paper auf  GoeScholar archiviert.
100,Goettingen U,2014,"1267,35",Oxford Univ. Press,Nucleic Acids Research,"Wingender, Edgar; Schoeps, Torsten; Haubrock, Martin; Dönitz, Jürgen (2014): TFClass: a classification of human transcription factors and their rodent orthologs. - Nucleic acids research; …Manuscript gku 1064",1362-4962,10.1093/nar/gku1064,http://resolver.sub.uni-goettingen.de/,11134,UMG,UGOE-Ergänzungsfonds 2014,NA
101,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Psychology / Cognitive Science,"Hagmayer, York; Engelmann, Neele (2014): Causal beliefs about depression in different cultural groups - what do cognitive psychological theories of causal learning and reasoning predict? - Frontiers in Psychology; Vol. 5, 1303",1664-1078,10.3389/fpsyg.2014.01303,http://resolver.sub.uni-goettingen.de/,11131,Psychologie,UGOE-Ergänzungsfonds 2014,NA
102,Goettingen U,2014,"684,25",Frontiers,Frontiers in Human Neuroscience,"Schicktanz, Silke; Schweda, Mark; Ballenger, Jesse F.; Fox, Patrick J.; Halpern, Jodi; Kramer, Joel H.; Micco, Guy; Post, Stephen G.; Thompson, Charis; Knight, Robert T.; Jagust, William J. (2014): Before it is too late: professional responsibilities in late-onset Alzheimer's research and pre-symptomatic prediction - Frontiers in Human Neuroscience; Vol. 8, 921",1662-5161,10.3389/fnhum.2014.00921,http://resolver.sub.uni-goettingen.de/,11132,UMG,UGOE-Ergänzungsfonds 2014,NA
103,Goettingen U,2014,"1267,35",Oxford Univ. Press,Nucleic Acids Research,"Dönitz, Jürgen; Schmitt-Engel, Christian; Grossmann, Daniela; Gerischer, Lizzy; Tech, Maike; Schoppmeier, Michael; Klingler, Martin; Bucher, Gregor (2014): iBeetle-Base: a database for RNAi phenotypes in the red flour beetle Tribolium castaneum. - Nucleic acids research",1362-4962,10.1093/nar/gku1054,http://resolver.sub.uni-goettingen.de/,11085,Biologie,UGOE-Ergänzungsfonds 2014,NA
104,Goettingen U,2014,"1293,90",PLOS,PLOS ONE,"Trivers, Robert; Fink, Bernhard; Russell, Mark; McCarty, Kristofor; James, Bruce; Palestis, Brian G. (2014): Lower body symmetry and running performance in elite jamaican track and field athletes. - PloS one; Vol. 9, No. 11, e113106",1932-6203,10.1371/journal.pone.0113106,http://resolver.sub.uni-goettingen.de/,11137,Biologie/CRC Evolution of Social Behaviour,UGOE-Ergänzungsfonds 2014,NA
105,Goettingen U,2014,"1293,90",PLOS,PLOS ONE,"Klümper, Wilhelm; Qaim, Matin (2014): A meta-analysis of the impacts of genetically modified crops. - PloS one; Vol. 9, No. 11, e111629",1932-6203,10.1371/journal.pone.0111629,http://resolver.sub.uni-goettingen.de/,11179,Agrarwiss.,UGOE-Ergänzungsfonds 2014,NA
106,Goettingen U,2014,"1293,89",PLOS,PLOS ONE,"Glatthorn, Jonas; Beckschäfer, Philip (2014): Standardizing the protocol for hemispherical photographs: accuracy assessment of binarization algorithms. - PloS one; Vol. 9, No. 11, e111924",1932-6203,10.1371/journal.pone.0111924,http://resolver.sub.uni-goettingen.de/,11140,Forstwiss.,UGOE-Ergänzungsfonds 2014,NA
107,Goettingen U,2014,"684,25",Frontiers,Frontiers in Cellular Neuroscience,"Truckenbrodt, Sven; Rizzoli, Silvio O. (2014): Spontaneous vesicle recycling in the synaptic bouton - Frontiers in Cellular Neuroscience; Vol. 8, 409",1662-5102,10.3389/fncel.2014.00409,http://resolver.sub.uni-goettingen.de/,11225,UMG,UGOE-Ergänzungsfonds 2014,NA
108,Goettingen U,2014,"1142,40",Frontiers,Frontiers in Human Neuroscience,"Gevensleben, Holger; Albrecht, Björn; Lütcke, Henry; Auer, Tibor; Dewiputri, Wan Ilma; Schweizer, Renate; Moll, Gunther; Heinrich, Hartmut; Rothenberger, Aribert (2014): Neurofeedback of slow cortical potentials: neural mechanisms and feasibility of a placebo-controlled design in healthy adults. - Frontiers in human neuroscience, Vol. 8, p. 990",1662-5161,10.3389/fnhum.2014.00990,http://resolver.sub.uni-goettingen.de/,11462,UMG,UGOE-Ergänzungsfonds 2014,NA
109,Goettingen U,2014,"180,00",Pensoft Publisher,PhytoKeys,"Appelhans, Marc S.; Wagner, Warren L.; Wood, Kenneth R. (2014): Melicope balgooyi Appelhans, W.L. Wagner & K.R. Wood, a new species and new record in Melicope section Melicope (Rutaceae) for the Austral Islands. - PhytoKeys; , No. 39, p. 77-86. ",1314-2003,10.3897/phytokeys.39.7691,http://resolver.sub.uni-goettingen.de/,11162,Biologie,UGOE-Ergänzungsfonds 2014,NA
110,Goettingen U,2014,"557,41",Omics Group,ForestResearch: Open Access,"Lödige, Christina; Schall, Peter; Ammer, Christian (2014): How do Size and Resource Availability Control Aboveground Biomass Allocation of Tree Seedlings? - Forest Research: Open Access; Vol. 3, No. 3, 100123",2168-9776,10.4172/2168-9776.1000123,http://resolver.sub.uni-goettingen.de/,11161,Forstwiss.,UGOE-Ergänzungsfonds 2014,NA
111,Goettingen U,2014,"1295,57",PLOS,PLOS ONE,"von Saltzwedel, Helge; Maraun, Mark; Scheu, Stefan; Schaefer, Ina (2014): Evidence for frozen-niche variation in a cosmopolitan parthenogenetic soil mite species (acari, oribatida). - PloS one; Vol. 9, No. 11, e113268",1932-6203,10.1371/journal.pone.0113268,http://resolver.sub.uni-goettingen.de/,11138,Biologie,UGOE-Ergänzungsfonds 2014,NA
112,Goettingen U,2014,"1295,57",PLOS,PLOS ONE,"Villalonga-Olives, Ester; Kawachi, Ichiro; Almansa, Josué; Witte, Claudia; Lange, Benjamin; Kiese-Himmel, Christiane; von Steinbüchel, Nicole (2014): Pediatric health-related quality of life: a structural equation modeling approach. - PloS one; Vol. 9, No. 11, e113166",1932-6203,10.1371/journal.pone.0113166,http://resolver.sub.uni-goettingen.de/,11139,UMG,UGOE-Ergänzungsfonds 2014,NA
113,Goettingen U,2014,"1295,57",PLOS,PLOS ONE,"Barnes, Andrew D.; Emberson, Rowan M.; Krell, Frank-Thorsten; Didham, Raphael K. (2014): The Role of Species Traits in Mediating Functional Recovery during Matrix Restoration. - PloS one; Vol. 9, No. 12, p. e115385-e115385. ",1932-6203,10.1371/journal.pone.0115385,http://resolver.sub.uni-goettingen.de/,11394,Biologie,UGOE-Ergänzungsfonds 2014,NA
114,Goettingen U,2014,"1295,55",PLOS,PLOS ONE,"Seven, Jasmin; Polle, Andrea (2014): Subcellular nutrient element localization and enrichment in ecto- and arbuscular mycorrhizas of field-grown beech and ash trees indicate functional differences. - PloS one; Vol. 9, No. 12, e114672",1932-6203,10.1371/journal.pone.0114672,http://resolver.sub.uni-goettingen.de/,11224,Forstwiss.,UGOE-Ergänzungsfonds 2014,NA
115,Goettingen U,2015,"1802,85",Oxford Univ. Press,Nucleic Acids Research,"Sloan, Katherine E; Leisegang, Matthias S; Doebele, Carmen; Ramírez, Ana S; Simm, Stefan; Safferthal, Charlotta; Kretschmer, Jens; Schorge, Tobias; Markoutsa, Stavroula; Haag, Sara; Karas, Michael; Ebersberger, Ingo; Schleiff, Enrico; Watkins, Nicholas J; Bohnsack, Markus T (2014 accepted; First publ. Online 2015): The association of late-acting snoRNPs with human pre-ribosomal complexes requires the RNA helicase DDX21. - Nucleic acids research, Vol. 43, Nr. 1, p. 553-64",1362-4962,10.1093/nar/gku1291,http://resolver.sub.uni-goettingen.de/,11460,UMG,UGOE-Ergänzungsfonds 2014,2014 accepted; First publ. Online 2015
116,Goettingen U,2014,"2353,01","WJG Press, Baishideng Publ. Group",World Journal of Gastroenterology,"Alwahsh, Salamah Mohammad; Xu, Min; Seyhan, Hatice Ali; Ahmad, Shakil; Mihm, Sabine; Ramadori, Giuliano; Schultze, Frank Christian (2014): Diet high in fructose leads to an overexpression of lipocalin-2 in rat fatty liver. - World journal of gastroenterology : WJG; Vol. 20, No. 7, p. 1807-1821.",2219-2840,10.3748/wjg.v20.i7.1807,http://resolver.sub.uni-goettingen.de/,10409,UMG,UGOE-Ergänzungsfonds 2014,NA
117,Goettingen U,2014,"2856,00",Nature Publ. Group,Cell Death & Disease,"Schulz, R; Streller, F; Scheel, A H; Rüschoff, J; Reinert, M-C; Dobbelstein, M; Marchenko, N D; Moll, U M (2014): HER2/ErbB2 activates HSF1 and thereby controls HSP90 clients including MIF in HER2-overexpressing breast cancer - Cell Death and Disease; Vol. 5, No. 1, e980 ",2041-4889,10.1038/cddis.2013.508,http://resolver.sub.uni-goettingen.de/,9556,UMG,UGOE-Ergänzungsfonds 2014,NA
118,Goettingen U,2014,"4120,80",Elsevier,Lancet Global Health,"Vollmer, Sebastian; Harttgen, Kenneth; Subramanyam, Malavika A; Finlay, Jocelyn; Klasen, Stephan; Subramanian, S V (2014): Association between economic growth and early childhood undernutrition: evidence from 121 Demographic and Health Surveys from 36 low-income and middle-income countries - The Lancet Global Health; Vol. 2, No. 4, p. 225-234. ",2214-109X,10.1016/S2214-109X(14)70025-7,http://resolver.sub.uni-goettingen.de/,10064,Wirtschaftswiss.,UGOE-Ergänzungsfonds 2014,NA
119,Goettingen U,2014,"2856,00",Nature Publ. Group,Cell Death & Disease,"Koch, J. C.; Tönges, L.; Barski, E.; Michel, U.; Bähr, M.; Lingor, P. (2014): ROCK2 is a major regulator of axonal degeneration, neuronal death and axonal regeneration in the CNS - Cell Death and Disease; Vol. 5, No. 5, e1225",2041-4889,10.1038/cddis.2014.191,http://resolver.sub.uni-goettingen.de/,10116,UMG,UGOE-Ergänzungsfonds 2014,NA
