"Lfd. Nr.","Journal","Verlag","Jahr","Artikel","DOI","BaseURL","RecordID","Fakultät","E-ISSN","Kosten (incl. 19% Steuer)","Anmerkung"
80,"Microbial Cell Factories","BioMed Central",2013,"1815183032106589 (Heiko Liesegang) Fermentation stage-dependent adaptations of Bacillus licheniformis during enzyme production","10.1186/1475-2859-12-120","http://goedoc.uni-goettingen.de/goescholar",10051,"Biologie","1749-8090","1247,12","Ergänzungsfonds 2013"
81,"Molecules","MDPI, Basel",2013,"Seidel, Lars; Hoyermann, Karlheinz; Mauß, Fabian; Nothdurft, Jörg; Zeuch, Thomas (2013-01-01): Pressure Dependent Product Formation in the Photochemically Initiated Allyl + Allyl Reaction - Molecules; Vol. 18, No. 11, p. 13608-13622.","10.3390/molecules181113608","http://goedoc.uni-goettingen.de/goescholar",9485,"Chemie","1420-3049","1741,6","DFG-Fördermittel 2013"
82,"New Journal of Physics","IOP",2013,"Bovino, S.; Schleicher, D. R. G.; Schober, J. (2013): Turbulent magnetic field amplification from the smallest to the largest magnetic Prandtl numbers - New Journal of Physics; Vol. 15, No. 1, 013055","10.1088/1367-2630/15/1/013055","http://goedoc.uni-goettingen.de/goescholar",8703,"Physik","1367-2630","1055,23","DFG-Fördermittel 2013"
83,"New Journal of Physics","IOP",2013,"Schleicher, Dominik R G; Schober, Jennifer; Federrath, Christoph; Bovino, Stefano; Schmidt, Wolfram (2013): The small-scale dynamo: breaking universality at high Mach numbers - New Journal of Physics; Vol. 15, No. 2, 023017","10.1088/1367-2630/15/2/023017","http://goedoc.uni-goettingen.de/goescholar",8720,"Physik","1367-2630","1001,39","DFG-Fördermittel 2013"
84,"New Journal of Physics","IOP",2013," Urban, A; Malindretos, J; Klein-Wiele, J-H; Simon, P; Rizzi, A (2013-01-01): Ga-polar GaN nanocolumn arrays with semipolar faceted tips - New Journal of Physics; Vol. 15, No. 5, 053045","10.1088/1367-2630/15/5/053045","http://goedoc.uni-goettingen.de/goescholar",9122,"Physik","1367-2630","1178,1","DFG-Fördermittel 2013"
85,"New Journal of Physics","IOP",2013,"Nolting, Jens-Friedrich; Köster, Sarah (2013-04-26): Influence of microfluidic shear on keratin networks in living cells - New Journal of Physics; Vol. 15, No. 4, 045025","10.1088/1367-2630/15/4/045025","http://goedoc.uni-goettingen.de/goescholar",9304,"Physik","1367-2630","1094,09","DFG-Fördermittel 2013"
86,"New Journal of Physics","IOP",2013,"Simon, M; Guo, J; Papazoglou, S; Scholand-Engler, H; Erdmann, C; Melchert, U; Bonsanto, M; Braun, J; Petersen, D; Sack, I; Wuerfel, J (2013): Non-invasive characterization of intracranial tumors by magnetic resonance elastography - New Journal of Physics; Vol. 15, No. 8, p. 1-15.","10.1088/1367-2630/15/8/085024","http://goedoc.uni-goettingen.de/goescholar",9522,"Physik","1367-2630","1321,13","DFG-Fördermittel 2013"
87,"New Journal of Physics","IOP",2013,"New Journal of Physics / NJP/475824/PAP Author:Dr Malte Scherff et al / Interplay of cross-plane polaronic transport and resistive switching in Pt-Pr 0.67 Ca 0.33 MnO 3 -Pt heterostructures'","10.1088/1367-2630/15/10/103008","http://goedoc.uni-goettingen.de/goescholar",9560,"Physik","1367-2630","1338,93","Ergänzungsfonds 2013"
88,"New Journal of Physics","IOP",2013,"Gegenwart, P.: Experimental quantification of entanglement through heat capacity","10.1088/1367-2630/15/11/113001","http://goedoc.uni-goettingen.de/goescholar",9559,"Physik","1367-2630","1338,93","Ergänzungsfonds 2013"
89,"Nucleic acids research","Oxford University Press",2013,"Al Ait, L.; Yamak, Z.; Morgenstern, B. (2013): DIALIGN at GOBICS--multiple sequence alignment using various sources of external information - Nucleic acids research: Web Server issue; Vol. 41, p. W3-W7.","10.1093/nar/gkt283","http://goedoc.uni-goettingen.de/goescholar",9134,"Biologie","1362-4962","1267,35","DFG-Fördermittel 2013"
90,"OncoTarget","Impact Journals LLC",2013,"Kaulfuß, Silke; Seemann, Henning; Kampe, Rovena; Meyer, Julia; Dressel, Ralf; König, Britta; Scharf, Jens-Gerd; Burfeind, Peter (2013): Blockade of the PDGFR family together with SRC leads to diminished proliferation of colorectal cancer cells - Oncotarget; Vol. 4, p. 1037-1049.","10.18632/oncotarget.1085","http://goedoc.uni-goettingen.de/goescholar",9173,"UMG","1949-2553","1617,25","DFG-Fördermittel 2013"
91,"Philosophy, Ethics, and Humanities in Medicine","BioMed Central",2013,"1457028111643882 Honeymoon, medical treatment or big business? An analysis of the meanings of the term""reproductive tourism"" in German and Israeli public media discourses","10.1186/1747-5341-8-9","http://goedoc.uni-goettingen.de/goescholar",9418,"UMG","1747-5341","1151,92","Ergänzungsfonds 2013"
92,"Philosophy, Ethics, and Humanities in Medicine","BioMed Central",2013,"2106117166429915 An ethnomethodological approach to examine exploitation in the context of capacity, trust and experience of commercial surrogacy in India","10.1186/1747-5341-8-10","http://goedoc.uni-goettingen.de/goescholar",9336,"UMG","1747-5341","1228,08","Ergänzungsfonds 2013"
93,"Plant Methods","BioMed Central",2013,"1062538907970273 Wax ester profiling of seed oil by nano-electrospray ionization tandem mass spectrometry","10.1186/1746-4811-9-24","http://goedoc.uni-goettingen.de/goescholar",9338,"Biologie","1746-4811","1270,92","Ergänzungsfonds 2013"
94,"PLOS  Biology","PLOS",2013,"Ahmed, Yasar Luqman; Gerke, Jennifer; Park, Hee-Soo; Bayram, Özgür; Neumann, Piotr; Ni, Min; Dickmanns, Achim; Kim, Sun Chang; Yu, Jae-Hyuk; Braus, Gerhard H.; Ficner, Ralf (2013): The Velvet Family of Fungal Regulators Contains a DNA-Binding Domain Structurally Similar to NF-?B - PLoS Biology; Vol. 11, No. 12, e1001750","10.1371/journal.pbio.1001750","http://goedoc.uni-goettingen.de/goescholar",9579,"Biologie","1545-7885","2521,37","Ergänzungsfonds 2013"
95,"PLOS  ONE","PLOS",2013,"Heinrichs, J.: Molecular phylogeny of the leafy liverwort Lejeunea (Porellales): Evidence for a Neotropical origin uneven distribution of sexual systems and insufficient taxonomy","10.1371/journal.pone.0082547","http://goedoc.uni-goettingen.de/goescholar",9572,"Biologie","1932-6203","1173,74","Kostenteilung für 1173,74 € (702,74 € =DFG-Fördermittel 2013 + 471,00 €=SUB) #DFG-Mittel ausgeschöpft."
96,"PLOS  ONE","PLOS",2013,"Amanzada, Ahmad; Kopp, Waltraut; Spengler, Ulrich; Ramadori, Giuliano; Mihm, Sabine (2013): Interferon-?4 (IFNL4) Transcript Expression in Human Liver Tissue Samples - PLoS ONE; Vol. 8, No. 12, e84026","10.1371/journal.pone.0084026","http://goedoc.uni-goettingen.de/goescholar",9755,"UMG","1932-6203","1173,75","Ergänzungsfonds 2013"
97,"PLoS Genetics","Public Library of Science",2013,"Braus,G.:  Christmann, Martin; Schmaler, Tilo; Gordon, Colin; Huang, Xiaohua; Bayram, Özgür; Schinke, Josua; Stumpf, Sina; Dubiel, Wolfgang; Braus, Gerhard H. (2013-01-01): Control of Multicellular Development by the Physically Interacting Deneddylases DEN1/DenA and COP9 Signalosome - PLoS Genetics; Vol. 9, No. 2, e1003275  …","10.1371/journal.pgen.1003275","http://goedoc.uni-goettingen.de/goescholar",8558,"Biologie","1932-6203","1804,94","DFG-Fördermittel 2013"
98,"PLoS Genetics","Public Library of Science",2013,"Li, Jianwei; Lehmann, Sabrina; Weißbecker, Bernhard; Ojeda Naharros, Irene; Schütz, Stefan; Joop, Gerrit; Wimmer, Ernst A. (2013-01-01): Odoriferous Defensive Stink Gland Transcriptome to Identify Novel Genes Necessary for Quinone Synthesis in the Red Flour Beetle, Tribolium castaneum - PLOS Genetics; Vol. 9, No. 7, e1003596","10.1371/journal.pgen.1003596","http://goedoc.uni-goettingen.de/goescholar",9138,"Biologie","1932-6203","1860,23","DFG-Fördermittel 2013"
99,"PLoS One","Public Library of Science",2013,"Batáry, Péter; Sutcliffe, Laura; Dormann, Carsten F.; Tscharntke, Teja (2013-01-01): Organic Farming Favours Insect-Pollinated over Non-Insect Pollinated Forbs in Meadows and Wheat Fields - PLoS ONE; Vol. 8, No. 1, e54818","10.1371/journal.pone.0054818","http://goedoc.uni-goettingen.de/goescholar",8521,"Agrarwiss.","1932-6203","1105,31","DFG-Fördermittel 2013"
100,"PLoS One","Public Library of Science",2013,"Alkhedir, Hussein; Karlovsky, Petr; Vidal, Stefan (2013-01-01): Relationship between Water Soluble Carbohydrate Content, Aphid Endosymbionts and Clonal Performance of Sitobion avenae on Cocksfoot Cultivars - PLoS ONE; Vol. 8, No. 1, e54327","10.1371/journal.pone.0054327","http://goedoc.uni-goettingen.de/goescholar",8519,"Agrarwiss.","1932-6203","1105,31","DFG-Fördermittel 2013"
101,"PLoS One","Public Library of Science",2013,"Daghela Bisseleua, Hervé Bertin; Fotio, Daniel; Yede; Missoup, Alain Didier; Vidal, Stefan (2013-01-01): Shade Tree Diversity, Cocoa Pest Damage, Yield Compensating Inputs and Farmers' Net Returns in West Africa - PLoS ONE; Vol. 8, No. 3, e56115","10.1371/journal.pone.0056115","http://goedoc.uni-goettingen.de/goescholar",8673,"Agrarwiss.","1932-6203","1114,34","DFG-Fördermittel 2013"
102,"PLoS One","Public Library of Science",2013,"Klatt, Björn K.; Burmeister, Carina; Westphal, Catrin; Tscharntke, Teja; von Fragstein, Maximillian (2013-08-20): Flower Volatiles, Crop Varieties and Bee Responses - PLoS ONE; Vol. 8, No. 8, e72724","10.1371/journal.pone.0072724","http://goedoc.uni-goettingen.de/goescholar",9228,"Agrarwiss.","1932-6203","1212,09","DFG-Fördermittel 2013"
103,"PloS One","Public Library of Science",2013,"Erbe, Malena; Gredler, Birgit; Seefried, Franz Reinhold; Bapst, Beat; Simianer, Henner (2013): A Function Accounting for Training Set Size and Marker Density to Model the Average Accuracy of Genomic Prediction - PLoS ONE; Vol. 8, No. 12, e81046","10.1371/journal.pone.0081046","http://goedoc.uni-goettingen.de/goescholar",9531,"Agrarwiss.","1932-6203","1192,12","DFG-Fördermittel 2013"
104,"PLoS One","Public Library of Science",2013,"Büsse, Sebastian; Genet, Cécile; Hörnschemeyer, Thomas (2013-01-01): Homologization of the Flight Musculature of Zygoptera (Insecta: Odonata) and Neoptera (Insecta) - PLoS ONE; Vol. 8, No. 2, e55787","10.1371/journal.pone.0055787","http://goedoc.uni-goettingen.de/goescholar",8554,"Biologie","1932-6203","1113,3","DFG-Fördermittel 2013"
105,"PLoS One","Public Library of Science",2013,"Schülke, Oliver; Wenzel, Svenja; Ostner, Julia (2013): Paternal Relatedness Predicts the Strength of Social Bonds among Female Rhesus Macaques - PLoS ONE; Vol. 8, No. 3, e59789","10.1371/journal.pone.0059789","http://goedoc.uni-goettingen.de/goescholar",8740,"Biologie","1932-6203","1119,25","DFG-Fördermittel 2013"
106,"PLoS One","Public Library of Science",2013,"Zhang, Gang; Beati, Hamze; Nilsson, Jakob; Wodarz, Andreas (2013): The Drosophila Microtubule-Associated Protein Mars Stabilizes Mitotic Spindles by Crosslinking Microtubules through Its N-Terminal Region - PLoS ONE; Vol. 8, No. 4, e60596","10.1371/journal.pone.0060596","http://goedoc.uni-goettingen.de/goescholar",9128,"Biologie","1932-6203","1111,51","DFG-Fördermittel 2013"
107,"PLoS One","Public Library of Science",2013,"Müller, Maren Stella; Scheu, Stefan; Jousset, Alexandre (2013-06-26): Protozoa Drive the Dynamics of Culturable Biocontrol Bacterial Communities - PLoS ONE; Vol. 8, No. 6, e66200","10.1371/journal.pone.0066200","http://goedoc.uni-goettingen.de/goescholar",9141,"Biologie","1932-6203","1114,85","DFG-Fördermittel 2013"
108,"PloS One","Public Library of Science",2013,"Caballero Ortiz, Silvia; Trienens, Monika; Rohlfs, Marko (2013-08-30): Induced Fungal Resistance to Insect Grazing: Reciprocal Fitness Consequences and Fungal Gene Expression in the Drosophila-Aspergillus Model System - PLoS ONE; Vol. 8, No. 8, e74951","10.1371/journal.pone.0074951","http://goedoc.uni-goettingen.de/goescholar",9296,"Biologie","1932-6203","1186,39","DFG-Fördermittel 2013"
109,"PLoS One","Public Library of Science",2013,"Gunka, Katrin; Stannek, Lorena; Care, Rachel A.; Commichau, Fabian M. (2013): Selection-Driven Accumulation of Suppressor Mutants in Bacillus subtilis: The Apparent High Mutation Frequency of the Cryptic gudB Gene and the Rapid Clonal Expansion of gudB+ Suppressors Are Due to Growth under Selection - PLoS ONE; Vol. 8, No. 6, e66120","10.1371/journal.pone.0066120","http://goedoc.uni-goettingen.de/goescholar",9123,"Biologie","1932-6203","1046,51","DFG-Fördermittel 2013"
110,"PloS One","Public Library of Science",2013,"Schneider, David; Baronsky, Thilo; Pietuch, Anna; Rother, Jan; Oelkers, Marieelen; Fichtner, Dagmar; Wedlich, Doris; Janshoff, Andreas (2013-01-01): Tension Monitoring during Epithelial-to-Mesenchymal Transition Links the Switch of Phenotype to Expression of Moesin and Cadherins in NMuMG Cells - PLoS ONE; Vol. 8, No. 12, e80068","10.1371/journal.pone.0080068","http://goedoc.uni-goettingen.de/goescholar",9505,"Chemie","1932-6203","1074,02","DFG-Fördermittel 2013"
111,"PLoS One","Public Library of Science",2013,"Danielsen, Lara; Lohaus, Gertrud; Sirrenberg, Anke; Karlovsky, Petr; Bastien, Catherine; Pilate, Gilles; Polle, Andrea (2013-03-13): Ectomycorrhizal Colonization and Diversity in Relation to Tree Biomass and Nutrition in a Plantation of Transgenic Poplars with Modified Lignin Biosynthesis - PLoS ONE; Vol. 8, No. 3, e59207","10.1371/journal.pone.0059207","http://goedoc.uni-goettingen.de/goescholar",8719,"Forstwiss.","1932-6203","1105,99","DFG-Fördermittel 2013"
112,"PLoS One","Public Library of Science",2013,"Bai, Hua; Euring, Dejuan; Volmer, Katharina; Janz, Dennis; Polle, Andrea (2013-08-19): The Nitrate Transporter (NRT) Gene Family in Poplar - PLOS ONE; Vol. 8, No. 8, e72126","10.1371/journal.pone.0072126","http://goedoc.uni-goettingen.de/goescholar",9221,"Forstwiss.","1932-6203","1106,24","DFG-Fördermittel 2013"
113,"PloS One","Public Library of Science",2013,"de Blécourt, Marleen; Brumme, Rainer; Xu, Jianchu; Corre, Marife D.; Veldkamp, Edzo (2013): Soil Carbon Stocks Decrease following Conversion of Secondary Forests to Rubber (Hevea brasiliensis) Plantations - PLoS ONE; Vol. 8, No. 7, e69357","10.1371/journal.pone.0069357","http://goedoc.uni-goettingen.de/goescholar",9623,"Forstwiss.","1932-6203","1011,88","DFG-Fördermittel 2013"
114,"PloS One","Public Library of Science",2013,"Schaap,I.; Otero,M.: Propranolol restricts the mobility of single EGF-receptors on the cell surface before their internalization.","10.1371/journal.pone.0083086","http://goedoc.uni-goettingen.de/goescholar",9568,"Physik","1932-6203","1173,74","DFG-Fördermittel 2013"
115,"PLoS One","Public Library of Science",2013,"Biswas S, Sharma S, Saroha A, Bhakuni DS, Malhotra R, et al. (2013) Identification of Novel Autoantigen in the Synovial Fluid of Rheumatoid Arthritis Patients Using an Immunoproteomics Approach. PLoS ONE 8(2): e56246.","10.1371/journal.pone.0056246","http://goedoc.uni-goettingen.de/goescholar",8662,"UMG","1932-6203","1114,67","DFG-Fördermittel 2013"
116,"PLoS One","Public Library of Science",2013,"Weber-Krüger, Mark; Gröschel, Klaus; Mende, Meinhard; Seegers, Joachim; Lahno, Rosine; Haase, Beatrice; Niehaus, Cord-Friedrich; Edelmann, Frank; Hasenfuß, Gerd; Wachter, Rolf; Stahrenberg, Raoul (2013): Excessive Supraventricular Ectopic Activity Is Indicative of Paroxysmal Atrial Fibrillation in Patients with Cerebral Ischemia - PLoS ONE; Vol. 8, No. 6, e67602","10.1371/journal.pone.0067602","http://goedoc.uni-goettingen.de/goescholar",9133,"UMG","1932-6203",1239,"DFG-Fördermittel 2013"
117,"PLoS One","Public Library of Science",2013,"Buchmaier, Bettina S.; Bibi, Asima; Müller, Gerhard A.; Dihazi, Gry H.; Eltoweissy, Marwa; Kruegel, Jenny; Dihazi, Hassan (2013-06-26): Renal Cells Express Different Forms of Vimentin: The Independent Expression Alteration of these Forms is Important in Cell Resistance to Osmotic Stress and Apoptosis - PLOS ONE; Vol. 8, No. 7, e68301","10.1371/journal.pone.0068301","http://goedoc.uni-goettingen.de/goescholar",9139,"UMG","1932-6203","1091,21","DFG-Fördermittel 2013"
118,"PLoS One","Public Library of Science",2013,"Dönitz, Jürgen; Grossmann, Daniela; Schild, Inga; Schmitt-Engel, Christian; Bradler, Sven; Prpic, Nikola-Michael; Bucher, Gregor (2013-07-30): TrOn: An Anatomical Ontology for the Beetle Tribolium castaneum - PLoS ONE; Vol. 8, No. 7, e70695","10.1371/journal.pone.0070695","http://goedoc.uni-goettingen.de/goescholar",9209,"UMG","1932-6203","1242,66","DFG-Fördermittel 2013"
119,"PLoS One","Public Library of Science",2013,"Kari, Vijayalakshmi; Karpiuk, Oleksandra; Tieg, Bettina; Kriegs, Malte; Dikomey, Ekkehard; Krebber, Heike; Begus-Nahrmann, Yvonne; Johnsen, Steven A. (2013-05-22): A Subset of Histone H2B Genes Produces Polyadenylated mRNAs under a Variety of Cellular Conditions","10.1371/journal.pone.0063745","http://goedoc.uni-goettingen.de/goescholar",9111,"UMG","1932-6203","1051,81","DFG-Fördermittel 2013"
120,"PloS One","Public Library of Science",2013,"Tareen, A. Malik; Lüder, Carsten G. K.; Zautner, Andreas E.; Gro?, Uwe; Heimesaat, Markus M.; Bereswill, Stefan; Lugert, Raimond (2013): The Campylobacter jejuni Cj0268c Protein Is Required for Adhesion and Invasion In Vitro - PLoS ONE; Vol. 8, No. 11, e81069","10.1371/journal.pone.0081069","http://goedoc.uni-goettingen.de/goescholar",9509,"UMG","1932-6203","1192,12","DFG-Fördermittel 2013"
121,"PLoS One","Public Library of Science",2013,"Vollmer, Sebastian; Holzmann, Hajo; Ketterer, Florian; Klasen, Stephan; Canning, David (2013): The Emergence of Three Human Development Clubs - PLoS ONE; Vol. 8, No. 3, e57624","10.1371/journal.pone.0057624","http://goedoc.uni-goettingen.de/goescholar",8700,"Wirtschaftswiss.","1932-6203","1121,5","DFG-Fördermittel 2013"
122,"PloS One","Public Library of Science",2013,"Harttgen, Kenneth; Kowal, Paul; Strulik, Holger; Chatterji, Somnath; Vollmer, Sebastian (2013-10-29): Patterns of Frailty in Older Adults: Comparing Results from Higher and Lower Income Countries Using the Survey of Health, Ageing and Retirement in Europe (SHARE) and the Study on Global AGEing and Adult Health (SAGE) - PLoS ONE; Vol. 8, No. 10, e75847","10.1371/journal.pone.0075847","http://goedoc.uni-goettingen.de/goescholar",9438,"Wirtschaftswiss.","1932-6203","1186,4","DFG-Fördermittel 2013"
123,"Retrovirology","BioMed Central",2013,"4225799268385180  Platelet activation suppresses HIV-1 infection of T cells","10.1186/1742-4690-10-48","http://goedoc.uni-goettingen.de/goescholar",9038,"Biologie/DPZ","1742-4690","1299,48","Ergänzungsfonds 2013"
124,"SpringerPlus","Springer Open",2013,"Richter, Christin; Taufiq, Ahmad; Hodges, Keith; Ostner, Julia; Schülke, Oliver (2013): Ecology of an endemic primate species (Macaca siberu) on Siberut Island, Indonesia - SpringerPlus; Vol. 2, No. 1, p. 1-26. Springer","10.1186/2193-1801-2-137","http://goedoc.uni-goettingen.de/goescholar",10427,"Biologie","2193-1801","809,2","Ergänzungsfonds 2013"
125,"Substance Abuse Treatment, Prevention, and Policy","BioMed Central",2013,"5217431396975580 Attachment style, anxiety coping, and personality-styles in withdrawn alcohol addicted inpatients","10.1186/1747-597X-8-1","http://goedoc.uni-goettingen.de/goescholar",8903,"UMG","1747-597X","1223,32","Ergänzungsfonds 2013"
126,"Sustainibility. Special Issue: Sustainability in Education: a Critical Reappraisal of Practice and Purpose","MDPI, Basel",2013,"Koch, Sebastian; Barkmann, Jan; Strack, Micha; Sundawati, Leti; Bögeholz, Susanne (2013-01-01): Knowledge of Indonesian University Students on the Sustainable Management of Natural Resources - Sustainability; Vol. 5, No. 4, p. 1443-1460.","10.3390/su5041443","http://goedoc.uni-goettingen.de/goescholar",8763,"Biologie","1443-1460","779,95","DFG-Fördermittel 2013"
