"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"","",1464,USD,"","",2014-11-18,"","University of Glasgow",Autophagy,"","","","Informa UK Limited",2014,"",0,"","Mitochondrial damage contributes to <italic>Pseudomonas aeruginosa</italic> activation of the inflammasome and is downregulated by autophagy "
"","",1654,USD,"","",2014-11-19,"","University of Glasgow",Autophagy,"","","","Informa UK Limited",2014,"",0,"","Ubiquitination and proteasomal degradation of ATG12 regulates its proapoptotic activity"
"","",1989,"","","",2014-11-19,"","University of Glasgow","Journal of Epidemiology & Community Health","","","","BMJ publishing group",2014,"",0,"","How Do Systematic Reviews Incorporate Risk of Bias Assessments into the Synthesis of Evidence? A Methodological Study"
"","",478.81,"","","",2014-11-19,"","University of Glasgow","Social Science & Medicine","","","","Elsevier BV",2014,"",0,"","Developing empirically supported theories of change for housing investment and health "
"","",910.08,EUR,"","",2014-11-24,"","University of Glasgow","Frontiers in Cardiac Electrophysiology","","","","Frontiers Media SA",2014,"",0,"","“Optically gated beating-heart imaging”"
"","",1361.75,"","","",2014-11-25,"","University of Glasgow",Tetrahedron,"","","","Elsevier BV",2014,"",0,"","Synthesis and reactivity of 4-oxo-5-trimethylsilanyl derived a-amino acids"
"","",1609.2,"","","",2014-11-25,"","University of Glasgow","Culture Health and Sexuality","","","","Informa UK Limited",2014,"",0,"","The structural influence of family and parenting on young people’s sexual and reproductive health in rural Northern Tanzania."
"","",1450,"","","",2014-11-26,"","University of Glasgow","Lab on a chip","","","","Royal Society of Chemistry (RSC)",2014,"",0,"","Dynamic Acoustic Field Activated Cell Sorting"
"","",1500,"","","",2014-11-26,"","University of Glasgow","Journal of Phychology","","","",Wiley-Blackwell,2014,"",0,"","Coralline algae (rhodophyta) in a changing world: integrating ecological, physiological, and geochemical responses to global change"
"","",1342.54,CHF,"","",2014-11-27,"","University of Glasgow",Sensors,"","","","MDPI AG",2014,"",0,"","Penetration Characteristics of Air, Carbon Dioxide and Helium Transverse Sonic Jets in Mach 5 Cross Flow"
"","",1500,"","","",2014-12-01,"","University of Glasgow","Journal of Fish Diseases","","","",Wiley-Blackwell,2014,"",0,"","Serum Enolase: a Non-Destructive Biomarker of White Skeletal Myopathy During Pancreas Disease (PD) in Atlantic salmon (salmo salar)."
"","",2100,"","","",2014-12-02,"","University of Glasgow","Plant and Cell Physiology","","","","Oxford University Press (OUP)",2014,"",0,"","Plant Flavoprotein Photoreceptors"
"","",1036.8,USD,"","",2014-12-04,"","University of Glasgow","PLOS ONE","","","","Public Library of Science (PLoS)",2014,"",0,"","Seriological evidence for non-lethal exposures of Mongolian wild birds to highly pathogenic avian inf"
"","",2496.53,"","","",2014-12-04,"","University of Glasgow","Applied Energy","","","","Elsevier BV",2014,"",0,"","Rankine Cycle efficiency gain using Thermoelectric Heat Pumps"
"","",3072,"","","",2014-12-09,"","University of Glasgow","Inorganic Chemistry","","","","American Chemical Society (ACS)",2014,"",0,"","Field-Induced Slow Relaxation in a Monometallic Mn(III) Single-Molecule Magnet"
"","",1361.75,EUR,"","",2014-12-10,"","University of Glasgow","Journal of Economic Dynamics and Control ","","","","Elsevier BV",2014,"",0,"","Monetary and Fiscal Policy under Deep Habits"
"","",1867.37,"","","",2014-12-17,"","University of Glasgow","International Journal of Drug Policy","","","","Elsevier BV",2014,"",0,"","Transformation and time-out: the role of alcohol in identity construction among Scottish women in early midlife "
"","",1036.8,"","","",2014-12-17,"","University of Glasgow","PLOS One","","","","Public Library of Science (PLoS)",2014,"",0,"","The economic impact of malignant catarrhal fever on pastoralist livelihoods "
"","",1470,"","","",2014-12-22,"","University of Glasgow","PLOS Pathogens","","","","Public Library of Science (PLoS)",2014,"",0,"","IL-33-mediated protection against experimental cerebral malaria is linked to induction of Type 2 innate lymphoid cells, M2 macrophages and regulatory T cells"
"","",1740,"","","",2014-12-24,"","University of Glasgow","Chemical Communication","","","","Royal Society of Chemistry (RSC)",2014,"",1,""," "
"","",1831.18,EUR,"","",2014-08-26,"","University of Glasgow","Blackwood’s Edinburgh Magazine Scottish Medicine and Literary Culture, 1726-1832","","","",Rodopi,2014,"",0,"","Phrenological Controversy and the Medical Imagination: ‘A Modern Pythagorean’"
3840,1974.82,1974.82,USD,"","",2014-09-24,"","University of Glasgow","Vector-borne and zoonotic diseases","","","",Liebert,2014,"",0,"","High prevalence of Rickettsia africae variants in Ambylomma variegtum ticks"
"","",1500,"","","",2014-10-07,0014-2980,"University of Glasgow","European Journal of Immunology","CC BY","","",Wiley-Blackwell,2014,"Journal Article/Review",0,2014,"Signal Regulatory Protein alpha (SIRPa) regulates the homeostasis of CD103+CD11b+ DCs in the intestinal lamina propria"
"","",1200,"","","",2014-08-26,"","University of Glasgow","Before Blackwood's: Scottish Journalism in the Age of Enlightenment (Pickering & Chatto, forthcoming in February 2015).","","","","Pickering & Chatto",2014,"Book chapter",0,2015,"Medical Discourse and Ideology in the Edinburgh Review: A Chaldean Exemplar'"
4382.7,3462.38,3462.38,EUR,"","",2014-10-24,0960-9822,"University of Glasgow","Current Biology","CC BY","","","Elsevier BV",2014,"Journal Article/Review",0,"","Prefrontal control over motor cortex cycles at beta-frequency during movement inhibition"
"","",1726.5,"","","",2014-10-28,"","University of Glasgow","","","","","Public Library of Science (PLoS)",2014,"Journal Article/Review",0,"","Knowledge, Attitudes and Practices about Rabies Prevention and Control: A Community Survey in Tanzan"
"","",1190,"","","",2014-11-14,"","University of Glasgow","ESC Heart Failure","","","","European Society of Cardiology",2014,"",0,"","Palliative care needs in patients hospitalized with heart failure (PCHF) study: rationale and design"
"","",2065.74,"","","",2014-11-27,0031-1820,"University of Glasgow",Parasitology,"","","",Cambridge,2014,"Journal Article/Review",0,"","Multitrait indices to predict worm length and number in sheep with natural, mixed predominantly Teladorsagia circumcincta infection"
"","",971.04,"","","",2014-12-11,0167-9473,"University of Glasgow","Computational Statistics and Data Analysis","","","","Elsevier BV",2014,"Journal Article/Review",0,2014,"Anatomical curve identification"
"","",1500,"","","",2014-12-18,2326-5191,"University of Glasgow","Arthritis & Rheumatology","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","The parasitic worm product, ES-62 targets MyD88-dependent effector mechanisms to suppress ANA production and proteinuria in MRL/Lpr mice"
"","",2100,"","","",2014-12-19,0264-6021,"University of Glasgow","Biochemical Journal","","","","Portland Press Ltd.",2014,"Journal Article/Review",0,"","Comparative structural analysis of the caspase family with other clan CD cysteine peptidases."
"","",486.7,"","",2014-01-17,2013-06-27,1568-4156,"Imperial College London","International journal of integrated care","CC BY",PMC3807631,24167455,"Igitur Publishing",2014,"Journal Article/Review",0,2013,"Integrated care pilot in North West London: a mixed methods evaluation"
"","",406.74,"","",2014-06-18,2013-08-06,1568-4156,"Imperial College London","International journal of integrated care","CC BY",PMC3817952,24198737,"International Federation of Integrated Care",2014,"Journal Article/Review",0,2013,"Multidisciplinary integration in the context of integrated care – results from the North West London Integrated Care Pilot"
"","",406.74,"","",2014-06-18,2014-05-13,1568-4156,"Imperial College London","International journal of integrated care","CC BY",PMC4059210,24987321,"International Federation of Integrated Care",2014,"Journal Article/Review",0,2014,"Assessing patients’ experience of integrated care: a survey of patient views in the North West London Integrated Care Pilot"
"","",1974.5,"","",2014-11-04,2014-09-25,1365-3008,"Imperial College London","Oryx - the International Journal of Conservation","","","","Cambridge University Press (CUP)",2014,"Journal Article/Review",0,"","Using local ecological knowledge to assess the status of the Chinese giant salamander (<i>Andrias davidianus</i>) in Guizhou Province, China"
"","",1500,"","",2014-10-21,2014-10-13,0013-0133,"Imperial College London","The Economic Journal","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","Evaluating a decade of mobile termination rate regulation"
"","",1800,"","",2014-12-11,2014-10-14,0016-7649,"Imperial College London","Journal of the Geological Society ","","","","Geological Society of London",2014,"Journal Article/Review",0,"","An experimental assessment of the ignition of forest fuels by the thermal pulse generated by the Cretaceous-Paleogene impact at Chicxulub"
"","",1974.32,"","",2014-11-19,2014-10-21,1860-7179,"Imperial College London",ChemMedChem,"","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","Hitting a moving drug target: fragment screening against the Plasmodium falciparum myoA motor complex"
"","",1872,"","",2014-11-20,2014-11-10,1364-5021,"Imperial College London","Proceedings of the Royal Society A","","","","The Royal Society",2014,"Journal Article/Review",0,"","Intrinsic Multiscale Analysis: A Multivariate EMD Framework"
"","",3780,"","",2014-12-11,2014-11-17,2041-1723,"Imperial College London","Nature Communications","","","","Springer Nature",2014,"Journal Article/Review",0,"","Dip-pen patterning of poly(9,9-dioctylfluorene) chain-conformation-based nano-photonic elements"
"","",2241.24,"","",2014-12-17,2014-12-01,1542-4766,"Imperial College London","Journal of the European Economic Association","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","UNBUNDLING THE INCUMBENT: EVIDENCE FROM UK BROADBAND"
"","",2241.24,"","",2014-12-17,2014-12-04,0308-0501,"Imperial College London","Fire and Materials","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","Experimental study on the burning behavior of Pinus halepensis needles using small-scale fire calorimetry of live, aged and dead samples"
"","",1788.9,"","",2014-12-11,2014-12-05,1756-994X,"Imperial College London","Genome Medicine","","","","Springer Nature",2014,"Journal Article/Review",0,"","Bayesian models for syndrome- and gene-specific probabilities of novel variant pathogenicity"
"","",1068,"","",2014-01-31,2014-01-20,2045-2322,"Lancaster University","Scientific Reports","","","","Springer Nature",2014,"",0,2014,"Ultrasonic force microscopy for nanomechanical characterization of early and late-stage amyloid-B peptide aggregation"
"","",1622.21,"","",2014-04-01,2014-02-19,0375-9601,"Lancaster University","Physics Letters A","","","","Elsevier BV",2014,"",0,2014,"On the entropy of radiation reaction"
"","",2240.82,"","",2014-04-01,2014-02-04,0022-2291,"Lancaster University","Journal of Low Temperature Physics (Springer)","","","","Springer Open Choice",2014,"",0,2014,"Orbital damping of the oscillating superfluid 3He interface at low temperatures"
"","",2171.97,"","",2014-04-09,"",0022-2291,"Lancaster University","Journal of Low Temperature Physics (Springer)","","","","Springer Open Choice",2014,"",0,2014,"A Quasiparticle Detector for Imaging Quantum Turbulence in Superfluid 3He-B"
"","",2904.17,"","",2014-05-08,2013-04-23,0370-1573,"Lancaster University","Physics Reports","","","","Elsevier BV",2014,"",1,2014,"Discerning non-autonomous dynamics"
"","",830.79,"","",2014-05-15,2013-05-09,1932-6203,"Lancaster University","PLOS One","","","","Public Library of Science (PLoS)",2014,"",0,2014,"The budding yeast amphiphysin complex is required for contractile actin ring (CAR) assembly and post-contraction GEF-independent accumulation of Rho1-GTP. "
"","",1004.37,"","",2014-05-12,2014-01-13,1098-0121,"Lancaster University","Physical Review B - American Physical Society","","","","APS Journals",2014,"",0,2014,"Stability of flow and the transition to turbulence around a quartz tuning fork in superfluid 4He at very low temperatures"
"","",3780,"","",2014-05-16,2014-04-09,2041-1723,"Lancaster University","Nature Communications","","","","Springer Nature",2014,"",0,2014,"Glassy states and superrelaxation in populations of coupled phase oscillators"
"","",1343.76,"","",2014-05-21,2014-05-16,0003-6951,"Lancaster University","Applied Physics Letters (American Institute of Physics)","","","","AIP Publishing",2014,"",0,2014,"Excess noise in GaAs and AlGaAs avalanche photodiodes with GaSb absorption regions – composite structures grown using Interfacial Misfit Arrays."
"","",1006.65,"","",2014-05-23,2013-07-01,1539-3755,"Lancaster University","Physical Review E","","","","American Physical Society (APS)",2014,"",0,2014,"Dynamical inference: Where phase synchronization and generalized synchronization meet"
"","",1213.25,"","",2014-06-24,2014-06-02,0193-1857,"Lancaster University","AJP - Gastrointestinal and Liver Physiology","","","","American Physiological Society",2014,"",0,2014,"Cannabinoid-induced autophagy regulates suppressor of cytokine signaling-3 in intestinal epithelium"
"","",1002,"","",2014-06-24,2014-03-21,1931-7573,"Lancaster University","Nanoscale Research Letters","","","","Springer Nature",2014,"",0,2014,"Graphitic platform for self-catalyzed InAs nanowires growth by molecular beam epitaxy"
"","",1785,"","",2014-08-08,2014-05-20,0048-9697,"Lancaster University","Science of the Total Environment","","","","Elsevier BV",2014,"",0,2014,"Phosphate oxygen isotopes within aquatic ecosystems"
"","",960,"","",2014-09-10,2014-08-05,1932-6203,"Lancaster University","PLOS One","","","","PLOS One",2014,"",0,2014,"Surface enhanced Raman spectroscopy of the endothelial cell membrane"
"","",2100,"","",2014-09-11,2013-10-28,1468-2702,"Lancaster University","Journal of Economic Geography","","","","Oxford University Press (OUP)",2014,"",0,2014,"Transnational corporations shaping institutional change: the case of English law firms in Germany"
"","",1049.18,"","",2014-09-12,2014-08-27,1539-3755,"Lancaster University","Physical Review E","","","","American Physical Society (APS)",2014,"",0,2014,"Generalized chronotaxic systems: time-dependent oscillatory dynamics"
"","",1750,"","",2014-09-30,2014-09-03,0304-3800,"Lancaster University","ecological modelling","","","","Elsevier BV",2014,"",1,2014,"What we see now: event-persistence and the predictability of hydro-eco-geomorphological systems "
"","",852.32,"","",2014-11-13,2014-10-29,2158-3226,"Lancaster University","AIP Advances","","","","AIP Publishing",2014,"",0,2014,"PHOTOLUMINESCENCE STUDIES OF INDIVIDUAL AND FEW GASB/GAAS QUANTUM RINGS"
"","",800,"","",2014-12-01,2014-09-11,1951-6401,"Lancaster University","European Physical Journal - Special Topics","","","","EDP Sciences",2014,"",0,2014,"A Tutorial on Time-Evolving Dynamical Bayesian Inference"
"","",850,"","",2014-12-09,2014-08-05,1680-7316,"Lancaster University","Atmospheric Chemistry and Physics","","","","European Geosciences Union",2014,"",0,2014,"Airborne determination of the temporo-spatial distribution of volatile organic compounds, nitrogen oxides and ozone across Greater London, UK"
"","",950,"","",2014-12-09,2014-05-08,1662-5161,"Lancaster University","Frontiers in Human Neuroscience","","","","Frontiers Media SA",2014,"",0,2014,"How do selective attentional processes contribute to maintenance and recall in children's working memory capacity?"
"","",1296,"","",2015-01-15,2014-12-09,1471-2954,"Lancaster University","Proceedings of the Royal Society, Series B","","","","The Royal Society",2014,"",0,2014,"Macronutrients mediate the functional relationship between Drosophila and Wolbachia"
"","",210.42,"","",2014-04-30,2013-03-28,1943-0655,"Lancaster University","IEEE Photonics Journal","","","",|EEE,2014,"",0,2013,"A Simple Transfer-Function-Based Approach for Estimating Material Parameters from Terahertz Time-Domain Data"
"","",600,"","",2014-03-17,2013-06-13,2052-4986,"Lancaster University","Transactions of the London Mathematical Society","","","","London Mathematical Society",2014,"",0,2014,"A weak- topological dichotomy with applications in operator theory"
"","",485.89,"","",2014-05-16,2014-05-15,0258-5200,"Lancaster University","South African Journal of Industrial Psychology","","","","AOSIS open journals",2014,"",0,2014,"Stable personal attributes and a resilient approach to work and career"
"","",1446,"","",2014-07-04,2013-03-21,1756-3305,"Lancaster University","Parasites and Vectors","","","","Springer Nature",2014,"",0,2014,"Colonisation resistance in the sand fly gut: Leishmania protects Lutzomyia longipalpis from bacterial infection"
"","",480,"","","",2014-08-14,0963-9470,"Lancaster University","Language and Literature (SAGE)","","","","SAGE Publications",2014,"",0,2014,"Pragmatic failure, mind style and characterization in fiction about autism"
"","",2280,"","","",2014-09-18,0030-364X,"Lancaster University","Operations Research (INFORMS)","","","","INFORMS Open",2014,"",0,2014,"Generalized Restless Bandits and the Knapsack problem for perishable inventories"
"","",3000,"","",2014-10-28,2014-07-25,0007-1250,"Lancaster University","British Journal of Psychiatry","","","","British Journal of Psychiatry",2014,"",0,2014,"Recovery focused cognitive behavioural therapy for individuals with recent onset bipolar disorder: A randomised controlled pilot trial"
"","",1698.6,"","",2014-10-10,2014-09-29,1740-5912,"Lancaster University","Critical Discourse Studies","","","","Informa UK Limited",2014,"",0,2014,"Love you guys (no homo)': how gamers and fans play with sexuality, gender, and Minecraft on YouTube"
"","",1125,"","",2014-03-18,"",0094-8276,"Lancaster University","Geophysical Research Letters","","","",Wiley-Blackwell,2014,"",0,2014,"First optical observations of energetic electron precipitation at 4278 Å caused by a powerful VLF transmitter"
"","",1500,"","",2014-09-03,2013-12-02,0038-0261,"Lancaster University","Sociological Review","","","",Wiley-Blackwell,2014,"",0,2014,"Mainstreaming domestic and gender-based violence into sociology and the criminology of violence"
"","",1500,"","",2014-05-28,2013-12-19,1097-0258,"Lancaster University","Statistics in Medicine","","","",Wiley-Blackwell,2014,"",0,2014,"Bayesian methods for the design and interpretation of clinical trials in very rare diseases"
"","",1500,"","",2014-04-15,2014-02-11,1365-2125,"Lancaster University","British Journal of Clinical Pharmacology","","","",Wiley-Blackwell,2014,"",0,2014,"Bridging the gap: a review of dose-investigations in paediatric investigation plans"
"","",1500,"","",2014-09-11,2014-04-29,1097-0258,"Lancaster University","Statistics in Medicine","","","",Wiley-Blackwell,2014,"",0,2014,"Optimising the data combination rule for seamless Phase II/III clinical trials"
"","",1500,"","",2014-05-12,2013-10-28,1365-2486,"Lancaster University","Global Change Biology","","","",Wiley-Blackwell,2014,"",0,2014,"A large-scale field assessment of carbon stocks in human-modified tropical forests"
"","",1500,"","",2014-05-12,2014-05-12,1097-0258,"Lancaster University","Statistics in Medicine","","","",Wiley-Blackwell,2014,"",0,2014,"Flexible Sequential Designs for Multi-Arm Clinical Trials"
"","",1875,"","",2014-05-29,2014-01-13,2169-9402,"Lancaster University","Journal of Geophysical Research: Space Physics","","","",Wiley-Blackwell,2014,"",0,2014,"Electron number density, temperature and energy density at GEO and links to the solar wind: a simple predictive capability"
"","",1125,"","",2014-08-01,2014-03-19,1944-8007,"Lancaster University","Geophysical Research Letters","","","",Wiley-Blackwell,2014,"",0,2014,"First modulation of high-frequency polar mesospheric summer echoes by radio heating of the ionosphere"
"","",1875,"","",2014-07-15,2014-03-28,2169-9402,"Lancaster University","Journal of Geophysical Research (JGR)","","","",Wiley-Blackwell,2014,"",0,2014,"The influence of IMF clock angle timescales on the morphology of ionospheric convection"
"","",1875,"","",2014-08-01,2014-05-14,2169-9402,"Lancaster University","Journal of Geophysical Research (JGR) Space Physics","","","",Wiley-Blackwell,2014,"",0,2014,"Geomagnetic lunar and solar variations during the last 100 years"
"","",1500,"","",2014-09-12,2014-06-17,1540-4781,"Lancaster University","Modern Language Journal","","","",Wiley-Blackwell,2014,"",0,2014,"Learning and retaining specialized vocabulary from textbook reading: comparison of learning outcomes through L1 and L2"
"","",874,"","",2014-07-08,2014-07-03,2045-7758,"Lancaster University","Ecology & Evolution","","","",Wiley-Blackwell,2014,"",0,2014,"Honey bee nutrition is linked to landscape composition"
"","",1500,"","",2014-08-01,2014-07-25,1545-7249,"Lancaster University","TESOL quarterly","","","",Wiley-Blackwell,2014,"",0,2014,"The Interaction of Motivation self-regulatory strategies, and autonomous learning behavior in different learner groups"
"","",1500,"","",2014-09-11,2014-08-07,1545-7249,"Lancaster University","TESOL quarterly","","","",Wiley-Blackwell,2014,"",0,2014,"The Role of Task and Listener Characteristics in Second Language Listening"
"","",1125,"","",2015-01-13,2014-09-03,1944-8007,"Lancaster University","Geophysical Research Letters (GRL), American Geophysical Union","","","",Wiley-Blackwell,2014,"",0,2014,"North-south asymmetry of the high-latitude thermospheric density: IMF BY effect"
"","",777,"","","",2014-01-05,"","University of Leicester","Ecology and Evolution","","","",WILEY-BLACKWELL,2014,"",0,"","Flow regime mediates plasticity in the expression of stickleback nesting glue genes"
"","",997.88,"","","",2014-01-07,"","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Effects of nitric oxide on neuromuscular properties of developing zebrafish embryos"
"","",988.8,"","","",2014-01-07,"","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Immune stimulation reduces sleep and memory ability in Drosophila melanogaster"
"","",1596.06,"","","",2014-01-08,"","University of Leicester","Journal of Rural Studies","","","",ELSEVIER,2014,"",0,"","Narratives of transition/non-transition towards low carbon futures within English rural communities"
"","",2196.68,"","","",2014-01-09,"","University of Leicester","Analytical Chemistry","","","","AMERICAN CHEMICAL SOCIETY",2014,"",0,"","Qualitative and quantitative characterisation of plasma proteins when incorporating travelling wave ion mobility into a liquid-chromatography mass spectrometry workflow"
"","",701.09,"","","",2014-01-15,"","University of Leicester","Proceedings of the National Academy of Sciences ","","","","NATIONAL ACADEMY OF SCIENCES",2014,"",0,"","Male contraception via simultaneous knockout of ?1A-adrenoceptors and P2X1-purinoceptors in mice "
"","",1750,"","","",2014-01-15,"","University of Leicester","Biochemical Journal","","","","PORTLAND PRESS",2014,"",0,"","Microtubule association of EML proteins and the EML4-ALK variant 3 oncoprotein require an N-terminal trimerization domain"
"","",1344.58,"","","",2014-01-17,"","University of Leicester","FEBS Letters","","","",ELSEVIER,2014,"",0,""," A simple method for the determination of reduction potentials in heme proteins"
"","",1344.57,"","","",2014-01-17,"","University of Leicester","FEBS Letters","","","",ELSEVIER,2014,"",0,""," A simple method for the determination of reduction potentials in heme proteins"
"","",2100,"","","",2014-01-21,"","University of Leicester","Human Molecular Genetics","","","","OXFORD UNIVERSITY PRESS",2014,"",0,"","Copy number variation of the neuronal glucose transporter gene SLC2A3 and age of onset in Huntington’s disease"
"","",1125,"","","",2014-01-22,"","University of Leicester","Geophysical Research Letters","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","Dynamic auroral storms on Saturn as observed by the Hubble Space Telescope"
"","",1680,"","","",2014-01-23,"","University of Leicester","Proceedings of the Royal Society B","","","","ROYAL SOCIETY",2014,"",0,"","Methylation and worker reproduction in the bumblebee (Bombus terrestris)"
"","",693,"","","",2014-01-23,"","University of Leicester","Computational Astrophysics and Cosmology","","","",SPRINGER,2014,"",0,"","A fast multipole method for stellar dynamics"
"","",904.55,"","","",2014-01-31,"","University of Leicester","Journal of Huntington's Disease","","","","IOS PRESS",2014,"",0,"","?-Defensin Genomic Copy Number Does Not Influence the Age of Onset in Huntington's Disease"
"","",1920,"","","",2014-01-31,"","University of Leicester","Journal of Interpersonal Violence","","","","SAGE Publications",2014,"",0,"","Re-thinking Hate Crime: Fresh Challenges for Policy and Practice"
"","",2914.07,"","","",2014-02-06,"","University of Leicester","Journal of Organic Chemistry","","","","AMERICAN CHEMICAL SOCIETY",2014,"",0,"","Combined Experimental and Computational Investigations of Rhodium and Ruthenium Catalysed C-H Functionalisation of Pyrazoles with Alkynes."
"","",1351.5,"","","",2014-02-17,"","University of Leicester","BMC Genomics ","","","","BIOMED CENTRAL",2014,"",0,"","Insect immune specificity in a host-parasite model"
"","",1944,"","","",2014-02-20,"","University of Leicester","Continuity and Change","","","","CAMBRIDGE JOURNALS",2014,"",1,"","Material lives of the poor inside and outside the workhouse and the strategic use of the workhouse over the life-cycle, c. 1785-1834 [Provisional title]"
"","",1680,"","","",2014-02-20,"","University of Leicester","Journal of Instrumentation","","","","INSTITUTE OF PHYSICS",2014,"",0,"","Energy response of AlGaAs soft X-ray photon counting detectors"
"","",596.7,"","","",2014-02-25,"","University of Leicester","Emerging Themes in Epidemiology","","","","BIOMED CENTRAL",2014,"",0,"","Returning findings within longitudinal cohort studies: the 1958 Birth Cohort as an exemplar"
"","",596.7,"","","",2014-02-25,"","University of Leicester","Emerging Themes in Epidemiology","","","","BIOMED CENTRAL",2014,"",0,"","Returning findings within longitudinal cohort studies: the 1958 Birth Cohort as an exemplar"
"","",970.8,"","","",2014-03-04,"","University of Leicester","PLOS ONE","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Genetic factors regulating lung vasculature and immune cell functions associate with resistance to pneumococcal infection"
"","",1196,"","","",2014-03-06,"","University of Leicester","Antimicrobial Agents and Chemotherapy","","","","AMERICAN SOCIETY FOR MICROBIOLOGY",2014,"",0,"","Antimicrobial Treatment Improves Mycobacterial Survival in Nonpermissive Growth Conditions"
"","",2597.56,"","","",2014-03-10,"","University of Leicester","Human Mutation","","","",WILEY-BLACKWELL,2014,"",0,"","Gene conversion violates the stepwise mutation model for microsatellites in Y-chromosomal palindromic repeats"
"","",2121.74,"","","",2014-03-11,"","University of Leicester","Mineralium Deposita","","","",SPRINGER,2014,"",0,"","Precious and base metal geochemistry and mineralogy of the Grasvally norite-pyroxenite-anorthosite member, northern Bushveld Complex, South Africa"
"","",1656.04,"","","",2014-03-12,"","University of Leicester","PLOS Genetics","","","","PUBLIC LIBRARY OF SCIENCE",2014,"",0,"","Whole exome re-sequencing implicates CCDC38 and cilia structure and function in resistance to smoking related airflow obstruction"
"","",3013,"","","",2014-03-14,"","University of Leicester","Molecular Cell","","","","CELL PRESS",2014,"",0,"","Class I HDACs Share a Common Mechanism of Regulation by Inositol Phosphates"
"","",2100,"","","",2014-03-20,"","University of Leicester","Human Molecular Genetics","","","","OXFORD UNIVERSITY PRESS",2014,"",0,"","Abnormal Retinal Development Associated with FRMD7 Mutations"
"","",1875,"","","",2014-03-25,"","University of Leicester","Journal of geophysical research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","Planetary period oscillations in Saturn’s magnetosphere: Comparison of magnetic oscillations and SKR modulations in the post-equinox interval"
"","",1800,"","","",2014-03-27,"","University of Leicester","Biochemical Society Transactions","","","","PORTLAND PRESS",2014,"",0,"","Structural investigation of the RNA binding properties of STAR proteins"
"","",1200,"","","",2014-03-31,"","University of Leicester","Journal of Cell Science","","","","COMPANY OF BIOLOGISTS",2014,"",0,"","Multisite phosphorylation of C-Nap1 releases it from Cep135 to trigger centrosome disjunction"
"","",1200,"","","",2014-03-31,"","University of Leicester","Journal of Cell Science","","","","COMPANY OF BIOLOGISTS",2014,"",0,"","Multisite phosphorylation of C-Nap1 releases it from Cep135 to trigger centrosome disjunction"
"","",3558.78,"","","",2014-03-31,"","University of Leicester","Current Biology","","","",ELSEVIER,2014,"",0,"","The logic of circadian organisation in Drosophila"
"","",963.5,"","","",2014-04-04,"","University of Leicester","Frontiers in Virology","","","",FRONTIERS,2014,"",0,"","Clostridium difficile phages: still difficult?"
"","",1500,"","","",2014-04-10,"","University of Leicester","Journal of Thrombosis and Haemostasis","","","",WILEY-BLACKWELL,2014,"",0,"","Amplification of human platelet activation by surface pannexin-1 channels"
"","",2034,"","","",2014-04-11,"","University of Leicester","Medical History","","","","CAMBRIDGE JOURNALS",2014,"",0,"","Making modern migraine medieval: men of science, Hildegard of Bingen and the life of a retrospective diagnosis"
"","",1920,"","","",2014-04-14,"","University of Leicester","Journal of the Royal Society of Medicine","","","","SAGE Publications",2014,"",0,"","The friends and family test: a qualitative study of concerns that influence the willingness of English National Health Service staff to recommend their organisation"
"","",1155.6,"","","",2014-04-24,"","University of Leicester","Journal of Neuroscience","","","","SOCIETY FOR NEUROSCIENCE",2014,"",0,"","Motor inhibition affects the speed but not accuracy of aimed limb movements in an insect"
"","",963,"","","",2014-04-24,"","University of Leicester","Journal of Neuroscience","","","","SOCIETY FOR NEUROSCIENCE",2014,"",0,"","Motor inhibition affects the speed but not accuracy of aimed limb movements in an insect"
"","",1442.89,"","","",2014-04-25,"","University of Leicester","Nano Letters","","","","AMERICAN CHEMICAL SOCIETY",2014,"",0,"","Preparation of Ultrathin Nanowires Using Superfluid Helium Droplets"
"","",1875,"","","",2014-04-25,"","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","MESSENGER Observations of Large Dayside Flux Transfer Events: Do They Drive Mercury’s Substorm Cycle?"
"","",1875,"","","",2014-04-28,"","University of Leicester","Journal of Geophysical Research","","","","AMERICAN GEOPHYSICAL UNION",2014,"",0,"","The magnitudes of the Birkeland currents observed by AMPERE and their role in solar wind - magnetosphere - ionosphere coupling"
