"Year","Institution - Abbrv","Instsitution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","APC in NOK"
2016,"NMBU","Norwegian University of Life Sciences","Prevalence of and risk factors for increased serum levels of allergen-specific IgE in a population of Norwegian dogs","Acta Vet. Scand.","1751-0147",1,"10.1186/s13028-014-0081-z",15000.00
2016,"NMBU","Norwegian University of Life Sciences","A KCNJ10 mutation previously identified in the Russell group of terriers also occurs in Smooth-Haired Fox Terriers with hereditary... ","Acta Vet. Scand.","1751-0147",1,"10.1186/s13028-015-0115-1",15000.00
2016,"NMBU","Norwegian University of Life Sciences","The gut bacterium Bacteroides thetaiotaomicron influences the virulence potential of the Enterohemorrhagic Escherichia coli O103:H25 ","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0118140",13125.00
2016,"NMBU","Norwegian University of Life Sciences","Commensal E. coli Stx2 lysogens produce high levels of phages after spontaneous prophage induction","Front. Cell. Inf.Microbiol.","2235-2988",1,"10.3389/fcimb.2015.00005",14750.00
2016,"NMBU","Norwegian University of Life Sciences","A Polyprotein-Expressing Salmonid Alphavirus Replicon Induces Modest Protection in Atlantic Salmon (Salmo Salar) Against Infectious…","Viruses","1999-4915",1,"10.3390/v7010252",14740.00
2016,"NMBU","Norwegian University of Life Sciences","Piscine orthoreovirus (PRV) replicates in Atlantic salmon (Salmo salar L.) erythrocytes ex vivo","BMC Veterinary Research","1746-6148",2,"10.1186/s13567-015-0154-7",15000.00
2016,"NMBU","Norwegian University of Life Sciences","Mechanism behind Resistance against the Organophosphate Azamethiphos in Salmon Lice (Lepeophtheirus salmonis) ","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0124220",12850.00
2016,"NMBU","Norwegian University of Life Sciences","Identification and Molecular Characterization of Two Acetylcholinesterases from the Salmon Louse, Lepeophtheirus salmonis ","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0125362",12850.00
2016,"NMBU","Norwegian University of Life Sciences","Piscine orthoreovirus (PRV) in red and melanised foci in white muscle of Atlantic salmon (Salmo salar)","BMC Veterinary Research","1746-6148",2,"10.1186/s13567-015-0244-6",15000.00
2016,"NMBU","Norwegian University of Life Sciences","The cellular prion protein: a player in immunological quiescence","Front. Immunol.","1664-3224",1,"10.3389/fimmu.2015.00450",15000.00
2016,"NMBU","Norwegian University of Life Sciences","Hematological shift in goat kids naturally devoid of prion protein","Front. Cell. Dev. Biol.","2296-634X",0,"10.3389/fcell.2015.00044",15000.00
2016,"NMBU","Norwegian University of Life Sciences","High-Throughput Biochemical Fingerprinting of Saccharomyces cerevisiae by Fourier Transform Infrared Spectroscopy","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0118052",12940.00
2016,"NMBU","Norwegian University of Life Sciences","A Multiscale Vibrational Spectroscopic Approach for Identification and Biochemical Characterization of Pollen","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0137899",13880.00
2016,"NMBU","Norwegian University of Life Sciences","Does Rearing Laying Hens in Aviaries Adversely Affect Long-Term Welfare following Transfer to Furnished Cages?","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0107357",10400.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0085543 ",8200.00
2015,"NMBU","Norwegian University of Life Sciences","Post doc.","Frontiers in Genetics","1664-8021",1,"10.3389/fgene.2013.00216",8000.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","*Ecosphere","2150-8925",1,"10.1890/ES13-00228.1",9300.00
2015,"NMBU","Norwegian University of Life Sciences","Stipendiat","AIP Advances","2158-3226",1,"http://dx.doi.org/10.1063/1.483",8600.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","Scientific Reports","2045-2322",1,"10.1038/srep02820
",8700.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0095417",10100.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","Forests","1999-4907",1,"10.3390/f5030384",4300.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0094571
",10100.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","Molecules","1420-3049",1,"10.3390/molecules19033804",15000.00
2015,"NMBU","Norwegian University of Life Sciences","Stipendiat","Forests","1999-4907",1,"10.3390/f5020234",4380.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","BMC Microbiology","1471-2180",1,"10.1186/1471-2180-14-101",13603.00
2015,"NMBU","Norwegian University of Life Sciences","Post doc.","PLoS Comp. Biology","1553-7358",2,"10.1371/journal.pcbi.1003137
",8400.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","PLoS Comp. Biology","1553-7358",2,"10.1371/journal.pcbi.1003386",8400.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","Gastroent. Res. and Prac.","1687-630X",1,"10.1155/2014/803185 ",11250.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","Remote Sensing","2072-4292",1,"10.3390/rs6054582",9990.00
2015,"NMBU","Norwegian University of Life Sciences","Forsker","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0102479",10330.00
2015,"NMBU","Norwegian University of Life Sciences","Førsteamn.","BMC Veterinary Research","1746-6148 ",2,"10.1186/s12917-014-0212-9",15000.00
2015,"NMBU","Norwegian University of Life Sciences","Stipendiat","Parasites & Vectors","1756-3305",1,"10.1186/1756-3305-7-391",12630.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","Remote Sensing","2072-4292 ",1,"10.3390/rs61010152",10400.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","Frontiers in Endocrinol.","1664-2392",1,"10.3389/fendo.2014.00203",10800.00
2015,"NMBU","Norwegian University of Life Sciences","Stipendiat","*Ecosphere","2150-8925",1,"10.1890/ES14-00156.1",14500.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","Molecules","1420-3049",1,"10.3390/molecules191220664",15000.00
2015,"NMBU","Norwegian University of Life Sciences","Professor","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0115001",15000.00
2016,"NTNU","Norwegian University of Science and Technology","Familial aggregation of anxiety and depression in the community","BMC Public Health","1471-2458",1,"10.1186/s12889-015-1431-0",14121.00
2016,"NTNU","Norwegian University of Science and Technology","Analysis of polyphenols and cyclic compounds in plants using derivatization techniques in combination with GC-MS-based metabolite profiling","Molecules","1420-3049",1,"10.3390/molecules20023431",13800.00
2016,"NTNU","Norwegian University of Science and Technology","Evidence for a general stiffening motor control pattern in neck pain","BMC Musculoskeletal Disorders","1471-2474",1,"10.1186/s12891-015-0517-2",15990.00
2016,"NTNU","Norwegian University of Science and Technology","Real-time Noise Removal for Line-scanning Hyperspectral Devices Using a Minimum Noise Fraction-Based Approach","Sensors","1424-8220",1,"10.3390/s150203362",15560.18
2016,"NTNU","Norwegian University of Science and Technology","Sintered nickel powder wicks for flat vertical heat pipes","Energies","1996-1073",1,"10.3390/en8042337",10042.00
2016,"NTNU","Norwegian University of Science and Technology","Cytosolic phospholipase A2 modulates TLR2 signaling…","PLoS One","1932-6203",1,"10.1371/journal.pone.0119088",13760.13
2016,"NTNU","Norwegian University of Science and Technology","Observations of PW activity in the MLT during SSW events using a chain of SuperDARN","Atmospheric Chemistry and Physics","1680-7316",1,"10.5194/acp-15-4997-2015",4432.00
2016,"NTNU","Norwegian University of Science and Technology","Figurative language processing in atypical populations: The ASD perspective","Frontiers in Human Neuroscience","1662-5161",1,"10.3389/fnhum.2015.00024",8729.55
2016,"NTNU","Norwegian University of Science and Technology","Video feedback compared to treatment as usual in families with parent-infant interaction problems","Child and Adolescent Psychiatry and Mental Health","1753-2000",1,"10.1186/s13034-015-0036-9",13817.70
2016,"NTNU","Norwegian University of Science and Technology","Gamma oscillations as a neural signature of shifting times in narrative language","PLoS One","1932-6203",1,"10.1371/journal.pone.0121146",10873.71
2016,"NTNU","Norwegian University of Science and Technology","Mixed Views About Radical Life Extension","Etikk i praksis","1890-4009",1,"10.5324/eip.v9i1.1829",4000.00
2016,"NTNU","Norwegian University of Science and Technology","Global Sustainability Accounting - Developing EXIOBASE for multi-regional footprint analysis","Sustainability","2071-1050",1,"10.3390/su7010138",7344.26
2016,"NTNU","Norwegian University of Science and Technology","Endoparasite infection has both short- and long-term negative effects on reproductive success of female house sparrows, as revealed by faecal parasitic egg counts","PLoS One","1932-6203",1,"10.1371/journal.pone.0125773",10873.71
2016,"NTNU","Norwegian University of Science and Technology","Single cell contocal Raman spectroscopy of human osteoarthritic…","International Journal of Molecular Sciences","1422-0067",1,"10.3390/ijms16059341",13128.00
2016,"NTNU","Norwegian University of Science and Technology","Nonlinear optical microscopy of early stage (ICRS Grade-l)","Biomedical Optics express","2156-7085",1,"10.1364/BOE.6.001895",11083.00
2016,"NTNU","Norwegian University of Science and Technology","Epidemiology and outcome of Staphylococcus aureus bloodstream infection and sepsis in a Norwegian county 1996-2011","BMC Infectious Diseases","1471-2334",1,"10.1186/s12879-015-0849-4",15494.55
2016,"NTNU","Norwegian University of Science and Technology","Fluxome study of Pseudomonas fluorescens reveals major reorganisation of carbon flux through central metabolic pathways in response to inactivation of the anti-sigma factor MucA","BMC Systems Biology","1752-0509",1,"10.1186/s12918-015-0148-0",16017.00
2016,"NTNU","Norwegian University of Science and Technology","Cortical morphometry and IQ in VLBW children without cerebral palsy born in 2003-2007","NeuroImage: Clinical","2213-1582",1,"10.1016/j.nicl.2015.04.004",11549.04
2016,"NTNU","Norwegian University of Science and Technology","A review of Norwegian Gymnometriocnemus (Diptera: Chironomidae) including the description of two new species and a new name for Gymnometriocnemus volitans (Goetghebuer) sensu Brundin","ZooKeys","1313-2989",1,"10.3897/zookeys.508.9874",2564.82
2016,"NTNU","Norwegian University of Science and Technology","Implementing a care pathway for elderly patients","BMC Health Services Research","1472-6963",2,"10.1186/s12913-015-0751-1",15959.00
2016,"NTNU","Norwegian University of Science and Technology","Cost-effectiveness analysis of interventions for migraine…","Journal of headache and pain","1129-2369",1,"10.1186/s10194-015-0496-6",11116.20
2016,"NTNU","Norwegian University of Science and Technology","Anthropogenic flank attack on polar bears","Frontiers in Ecology and Evolution","2296-701X",1,"10.3389/fevo.2015.00016",6200.16
2016,"NTNU","Norwegian University of Science and Technology","Psychotic and schizotypal symptoms in non-psychotic patients with obsessive-compulsive disorder","BMC Psychiatry","1471-244X",1,"10.1186/s12888-015-0502-1",16202.04
2016,"NTNU","Norwegian University of Science and Technology","Tromboelastography: variability and relation to conventional coagulation test in non-bleeding intensive care unit patients","BMC Anesthesiology","1471-2253",1,"10.1186/s12871-015-0011-2",15870.00
2016,"NTNU","Norwegian University of Science and Technology","Socioeconomic inequalities in mortality and repeated measurement of explanatory risk factors…","PLoS One","1932-6203",1,"10.1371/journal.pone.0124690",10170.09
2016,"NTNU","Norwegian University of Science and Technology","The epidemiology of primary headache disorders in Zambia","The Journal of Headache and Pain","1129-2377",1,"10.1186/s10194-015-0515-7",13519.00
2016,"NTNU","Norwegian University of Science and Technology","Presence of antiGAD in a non-diabetic population of adults","BMJ Open Diabetes Research & Care","2052-4897",1,"10.1136/bmjdrc-2014-000076",19516.00
2016,"NTNU","Norwegian University of Science and Technology","Novel imaging technologies for characterization of microbial extracellular polysaccharides","Frontiers in Microbiology","1664-302X",1,"10.3389/fmicb.2015.00525",8206.46
2016,"NTNU","Norwegian University of Science and Technology","The Design of Simple Bacterial Microarrays: Development towards Immobilizing Single Living Bacteria ","PLoS One","1932-6203",1,"10.1371/journal.pone.0128162",10662.03
2016,"NTNU","Norwegian University of Science and Technology","Benzodiazepine use in COPD: Evidence from Norway","The International Journal of Chronic Obstructive Pulmonary Disease","1178-2005",1,"10.2147/COPD.S83107",6817.35
2016,"NTNU","Norwegian University of Science and Technology","Self-reported childhood difficulties, adult multimorbidity and allostatic load","PLoS One","1932-6203",1,"10.1371/journal.pone.0130591",10561.00
2016,"NTNU","Norwegian University of Science and Technology","Biotransformation and oxidative stress responses in captive Nile crocodile (Crocodylus niloticus) exposed to organic contaminants from the natural environment in South Africa","Plos One","1932-6203",1,"10.1371/journal.pone.0130002",13184.57
2016,"NTNU","Norwegian University of Science and Technology","Self- and proxy reports of Quality of life amoong adolescents living in residential care","Health and Quality of Life Outcomes","1477-7525",1,"10.1186/s12955-015-0280-y",16164.73
2016,"NTNU","Norwegian University of Science and Technology","A Metacognitive Perspective on Mindfulness: An Empirical Investigation","BMC Psychology","2050-7283",1,"10.1186/s40359-015-0081-4",17634.14
2016,"NTNU","Norwegian University of Science and Technology","Perinatal probiotic supplementation in the prevention of allergy related disease","BMC Dermatology","1471-5945",1,"10.1186/s12895-015-0030-1",17052.39
2016,"NTNU","Norwegian University of Science and Technology","Discrepancies in assessing home care workers´working conditions …","BMC Health Services Research","1472-6963",2,"10.1186/s12913-015-0945-6",21216.56
2016,"NTNU","Norwegian University of Science and Technology","The long-term effects of being bullied or a bully in adolescence on externalizing and internalizing mental health problems in adulthood","Child and Adolescent Psychiatry and Mental Health","1753-2000",1,"10.1186/s13034-015-0075-2",16469.03
2016,"NTNU","Norwegian University of Science and Technology","Associations between parental chronic pain and self-esteem,…","BMC Public Health","1471-2458",1,"10.1186/s12889-015-2164-9",18171.00
2016,"NTNU","Norwegian University of Science and Technology","Previous experiences and emotional baggage as barriers to lifestyle change","BMC Family Practice","1471-2296",1,"10.1186/s12875-015-0292-z",16760.00
2016,"NTNU","Norwegian University of Science and Technology","A high-density EEG study of differences between three speeds of simulated forward motion from optic flow in adult participants","Frontiers in Systems Neuroscience","1662-5137",1,"10.3389/fnsys.2015.00146",19360.00
2016,"NTNU","Norwegian University of Science and Technology","Inter-rater Reliability of a National Acute Stroke Register","BMC Research Notes","1756-0500",1,"10.1186/s13104-015-1556-3",9765.40
2016,"NTNU","Norwegian University of Science and Technology","The proportion of CD16+CD14dim monocytes increases with tumor cell load in bone marrow of patients with multiple myeloma","Immunity, Inflammation and Disease","2050-4527",1,"10.1002/iid3.53",11467.85
2016,"NTNU","Norwegian University of Science and Technology","Change in pain, disability and nfluence of fear-avoidance in a work-focused intervention","BMC Musculoskeletal Disorders","1471-2474",1,"10.1186/s12891-015-0553-y",15595.25
2016,"NTNU","Norwegian University of Science and Technology","Evaluating PAI-1 as a biomarker for stress in diving","Physiological Reports","2051-817X ",1,"10.14814/phy2.12437",12520.00
2016,"NTNU","Norwegian University of Science and Technology","Cultural activity participation and associations with self-perceived health, life-satisfaction and mental health. The Young HUNT Study, Norway","BMC Public Health","1471-2458",1,"10.1186/s12889-015-1873-4",17050.00
2016,"NTNU","Norwegian University of Science and Technology","Headache as a predictor for dementia: The HUNT Study","Journal of headache and pain","1129-2369",1,"10.1186/s10194-015-0573-x",14648.40
2016,"NTNU","Norwegian University of Science and Technology","Benzoic acid-inducible gene expression in mycobacteria","Plos One","1932-6203",1,"10.1371/journal.pone.0134544",11049.21
2016,"NTNU","Norwegian University of Science and Technology","S100B and NSE serum concentrations after simulated diving...","Physiological reports","2051-817X",1,"10.14814/phy2.12546",10516.80
2016,"NTNU","Norwegian University of Science and Technology","First Trimester Urine and Serum Metabolomics for Prediction of Preeclampsia and Gestational Hypertension","International Journal of Molecular Sciences","1422-0067",1,"10.3390/ijms160921520",13898.70
2016,"NTNU","Norwegian University of Science and Technology","Osteogenic differentiation of human mesenchymal stem cells in mineralized alginate matrices","Plos One","1932-6203",1,"10.1371/journal.pone.0120374",10159.00
2016,"NTNU","Norwegian University of Science and Technology","Exploring Genetic Divergence in a Species-Rich Insect Genus","Plos One","1932-6203",1,"10.1371/journal.pone.0138993",10947.15
2016,"NTNU","Norwegian University of Science and Technology","RNA motif discovery: a computational overview","Biology Direct","1745-6150",1,"10.1186/s13062-015-0090-5",22040.50
2016,"NTNU","Norwegian University of Science and Technology","Light trapping in horizontally aligned silicon microwire solar cells","Optics Express","1094-4087",2,"10.1364/OE.23.0A1463",16021.69
2016,"NTNU","Norwegian University of Science and Technology","Church Attendance and Religious Experience","SAGE Open","2158-2440",1,"10.1177/2158244015612876",1696.00
2016,"NTNU","Norwegian University of Science and Technology","Expression of CCL20 and its corresponding receptor CCR6 is enhanced in active inflammatory bowel disease, and TLR3 mediates CCL20 expression in colonic epithelial cells","Plos One","1932-6203",1,"10.1371/journal.pone.0141710",10935.41
2016,"NTNU","Norwegian University of Science and Technology","Iterative sub-network component analysis enables reconstruction of large scale...  ","BMC Bioinformatics","1471-2105",2,"10.1186/s12859-015-0768-9",17665.00
2016,"NTNU","Norwegian University of Science and Technology","Trade liberalization, social policies and health","Globalization and Health","1744-8603",1,"10.1186/s12992-015-0126-8",18034.00
2016,"NTNU","Norwegian University of Science and Technology","Mitochondrial respiration in insulin-producing b-cells","Plos One","1932-6203",1,"10.1371/journal.pone.0138558",11467.85
2016,"NTNU","Norwegian University of Science and Technology","Seeing a mycobacterium-infected cell in nanoscale 3D","Plos One","1932-6203",1,"10.1371/journal.pone.0134644",10994.81
2016,"NTNU","Norwegian University of Science and Technology","Genetic and non-genetic factors associated with constipation in cancer patients receiving opioids","Clinical and Translational Gastroenterology","2155-384X",1,"10.1038/ctg.2015.19",7519.00
2016,"NTNU","Norwegian University of Science and Technology","Activin A inhibits BMP-signaling by binding ACVR2A and ACVR2B","Cell Communication and Signaling","1478-811X",1,"10.1186/s12964-015-0104-z",18670.00
2016,"NTNU","Norwegian University of Science and Technology","Wavelength and orientation dependent capture of light by diatom frustule nanostructures","Scientific Reports","2045-2322",1,"10.1038/srep17403",10725.81
2016,"NTNU","Norwegian University of Science and Technology","Mechanical instability of monocrystalline and polycrystalline methane hydrates","Nature Communications","2041-1723",2,"10.1038/ncomms9743",33000.00
2016,"NTNU","Norwegian University of Science and Technology","Improving real-time inflow forecasting into hydropower reservoirs through a complementary modelling framework","Hydrology and Earth System Sciences","1027-5606",2,"10.5194/hess-19-3695-2015",9579.67
2016,"NTNU","Norwegian University of Science and Technology","Extreme low temperature tolerance in woody plants","Frontiers in plant science","1664-462X",1,"10.3389/fpls.2015.00884",15235.04
2016,"NTNU","Norwegian University of Science and Technology","PDL1 expression on plasma and dendritic cells in myeloma bone marrow suggests benefit of targeted anti PD1-PDL1 therapy ","Plos One","1932-6203",1,"10.1371/journal.pone.0139867",11045.00
2016,"NTNU","Norwegian University of Science and Technology","Energy landscape of alginate-epimerase interactions assessed by optical tweezers and atomic force microscopy ","Plos One","1932-6203",1,"10.1371/journal.pone.0141237",10909.00
2016,"NTNU","Norwegian University of Science and Technology","World checklist of hornworts and liverworts","PhytoKeys","1314-2003",1,"10.3897/phytokeys.59.6261",23237.50
2016,"NTNU","Norwegian University of Science and Technology","The impact of an eHealth portal on health care professionals' interaction with patients: Qualitative study","Journal of Medical Internet Research","1438-8871",2,"10.2196/jmir.4950",15553.00
2016,"NTNU","Norwegian University of Science and Technology","Past and recent abuse is associated with early cessation of breastfeeding","BMJ Open","2044-6055",1,"10.1136/bmjopen-2015-009240",18037.49
2016,"NTNU","Norwegian University of Science and Technology","Temperature measurement in trauma patients: is the ear the key to the core?","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine","1757-7241",1,"10.1186/s13049-015-0178-z",18756.75
2016,"NTNU","Norwegian University of Science and Technology","Sick-listed persons’ experiences with taking part in an in-patient occupational rehabilitation program based on Acceptance and Commitment Therapy: a qualitative focus group interview study","BMC Health Services Research","1472-6963",2,"10.1186/s12913-015-1190-8",18393.59
2016,"NTNU","Norwegian University of Science and Technology","The burden attributable to headache disorders in India: estimates from a community-based study in Karnataka State","The Journal of Headache and Pain ","1129-2377",1,"10.1186/s10194-015-0574-9",14508.00
2016,"NTNU","Norwegian University of Science and Technology","Headache disorders and public ill-health in India: Prevalence estimates in Karnataka State","The Journal of Headache and Pain ","1129-2377",1,"10.1186/s10194-015-0549-x",14508.00
2016,"NTNU","Norwegian University of Science and Technology","No evidence for activity adjustment in response to increased density in Daphnia magna ","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0144759",13003.96
2016,"NTNU","Norwegian University of Science and Technology","Reconstruction of temporal activity of microRNAs from gene expression data in breast cancer cell line","BMC Genomics","1471-2164",1,"10.1186/s12864-015-2260-3",18573.60
2016,"NTNU","Norwegian University of Science and Technology","Prevalence of fatigue in patients 3 months after stroke and association with early motor activity: A prospective study comparing stroke patients with a matched general population cohort","BMC Neurology ","1471-2377",1,"10.1186/s12883-015-0438-6",17710.00
2016,"NTNU","Norwegian University of Science and Technology","Marine Vessel and Power Plant System Simulator","IEEE Access","2169-3536",1,"10.1109/ACCESS.2015.2496122",15240.38
2016,"NTNU","Norwegian University of Science and Technology","The Impact of Feet Callosities, Arm Posture, and Usage of Electrolyte Wipes on Body Composition by Bioelectrical Impedance Analysis in Morbidly Obese Adults","Obesity Facts","1662-4025",1,"10.1159/000442033",9000.58
2016,"NTNU","Norwegian University of Science and Technology","Dispersion of polarization coupling, localized and collective plasmon modes in a metallic photonic crystal mapped by Mueller Matrix Ellipsometry ","Optics Express","1094-4087",2,"10.1364/OE.23.022800",15554.34
2016,"NTNU","Norwegian University of Science and Technology","Human breast milk miRNA, maternal probiotic supplementation and atopic dermatitis in offspring","PLoS One","1932-6203",1,"10.1371/journal.pone.0143496",11676.96
2016,"NTNU","Norwegian University of Science and Technology","Discovery of Drug Synergies in Gastric Cancer Cells Predicted by Logical Modeling","PLoS Computational Biology ","1553-7358",1,"10.1371/journal.pcbi.1004426",18393.00
2016,"NTNU","Norwegian University of Science and Technology","Deaf and hearing high-school students’ expectations for the role of educational sign-language interpreter","Society, Health & Vulnerability","2002-1518",1,"10.3402/shv.v6.28969",14317.35
2016,"NTNU","Norwegian University of Science and Technology","Do gender differences in audio-visual benefit and visual influence...","Frontiers in Psychology","1664-1078",1,"10.3389/fpsyg.2015.01014",14260.00
2015,"NTNU","Norwegian University of Science and Technology","Bone morphog","Blood cancer jo","2044-5385",1,"10.1038/bcj.2014.16",16000.00
2015,"NTNU","Norwegian University of Science and Technology","Metabolomic","PLoS One","1932-6203",1,"10.1371/journal.pone.009",8250.00
2015,"NTNU","Norwegian University of Science and Technology","Variations in le","BMC Health Se","1472-6963",2,"10.1186/1472-6963-14-10",13042.00
2015,"NTNU","Norwegian University of Science and Technology","Naturalistic acFrontiers","Frontiers in Psy","1664-1078",1,"10.3389/fpsyg.2014.00329",7962.00
2015,"NTNU","Norwegian University of Science and Technology","Field-depende","AIP Advances","2158-3226",1,"10.1063/1.4869311",8062.00
2015,"NTNU","Norwegian University of Science and Technology","Actigraphic As","Plos One","1932-6203",1,"10.1371/journal.pone.008",8145.00
2015,"NTNU","Norwegian University of Science and Technology","Screening hyp","Biomedical Op","2156-7085",1,"10.1364/BOE.5.001290",4550.00
2015,"NTNU","Norwegian University of Science and Technology","Fracture NetwFrontiers","in Ph","2296-424X",1,"10.3389/fphy.2014.00021",10587.00
2015,"NTNU","Norwegian University of Science and Technology","Yoga for Child","Frontiers in Psy","1664-0640",1,"10.3389/fpsyt.2014.00035",7927.00
2015,"NTNU","Norwegian University of Science and Technology","System Trainin","Jorunal of Neu","1743-0003",1,"10.1186/1743-0003-11-75",13003.00
2015,"NTNU","Norwegian University of Science and Technology","Rapid steady s","New Journal of","1367-2630",1,"10.1088/1367-2630/16/6/",11943.00
2015,"NTNU","Norwegian University of Science and Technology","Substance useJournal","Journal of pain","1178-7090",1,"10.2147/JPR.S67819",11234.00
2015,"NTNU","Norwegian University of Science and Technology","Decrease in usPlos","PLoSOne","1932-6203",1,"10.1371/journal.pone.010",8075.00
2015,"NTNU","Norwegian University of Science and Technology","A two-year pe","Child and Adol","1753-2000",1,"10.1186/1753-2000-8-10",11347.00
2015,"NTNU","Norwegian University of Science and Technology","Exploring Stud","The Turkish on","1303-6521",1,,2866.00
2015,"NTNU","Norwegian University of Science and Technology","Modulation of","Plos One","1932-6203",1,"10.1371/journal.pone.010",8292.00
2015,"NTNU","Norwegian University of Science and Technology","Fraud in popu","The Journal of","1129-2377",1,"10.1186/1129-2377-15-37",11704.00
2015,"NTNU","Norwegian University of Science and Technology","Insular Artef","Internet Archa","1363-5387",1,"10.11141/ia.38.2",8730.00
2015,"NTNU","Norwegian University of Science and Technology","Web-based co","Journal of Mul","1178-2390",1,"10.2147/JMDH.S70470",11330.00
2015,"NTNU","Norwegian University of Science and Technology","Silicon-core gl","Scientific Repo","2045-2322",1,"10.1038/srep06283",9167.00
2015,"NTNU","Norwegian University of Science and Technology","Norwegian tra","Scandinavian Journal","1757-7241",1,"10.1186/s13049-014-0064",13288.00
2015,"NTNU","Norwegian University of Science and Technology","Is the rate of m","Plos One","1932-6203",1,"10.1371/journal.pone.010",8594.00
2015,"NTNU","Norwegian University of Science and Technology","Occupational","Plos One","1932-6203",1,"10.1371/journal.pone.010",8340.00
2015,"NTNU","Norwegian University of Science and Technology","can inequ","PlosOne","1932-6203",1,"10.1371/journal.pone.011",8689.00
2015,"NTNU","Norwegian University of Science and Technology","HaraMechanisms,","BMC Neurolog","1471-2377",1,"10.1186/s12883-014-0201",13833.00
2015,"NTNU","Norwegian University of Science and Technology","Comparative","GPlos One","1932-6203",1,"10.1371/journal.pone.011",8822.00
2015,"NTNU","Norwegian University of Science and Technology","Local dynamic","Frontiers in Ph","2296-424X",1,"10.3389/fphy.2014.00066",11249.00
2015,"NTNU","Norwegian University of Science and Technology","Contact-media","Cancer Nanote","1868-6958",1,"10.1186/s12645-014-0008",8643.00
2015,"NTNU","Norwegian University of Science and Technology","Contrasting pa","PLoSOne","1932-6203",1,"10.1371/journal.pone.010",9281.00
2015,"NTNU","Norwegian University of Science and Technology","When DNA ba","ZooKeys","1313-2970",1,"10.3897/zookeys.463.7964",4710.00
2015,"NTNU","Norwegian University of Science and Technology","Finding Gene","BMC Bioinform","1471-2105",2,"10.1186/s12859-014-0386",14072.00
2015,"NTNU","Norwegian University of Science and Technology","GIncidental findBMC","Ear nose","1472-6815",1,"10.1186/1472-6815-14-13",14072.00
2015,"NTNU","Norwegian University of Science and Technology","As naturalistic","Frontiers in Psy","1664-1078",1,"10.3389/fpsyg.2014.01510",8328.00
2015,"NTNU","Norwegian University of Science and Technology","Adult physical","BMC Pregnanc","1471-2393",1,"10.1186/1471-2393-14-31",15927.00
2015,"NTNU","Norwegian University of Science and Technology","MFunctional Ro","Plos One","1932-6203",1,"10.1371/journal.pone.010",8602.00
2015,"NTNU","Norwegian University of Science and Technology","Metabolite ch","Frontiers in Pla","1664-462X",1,"10.3389/fpls.2014.00706",6767.00
2015,"NTNU","Norwegian University of Science and Technology","Bulk fabricatio","Applied physic","2166-532X",1,"10.1063/1.4902140",17174.00
2015,"NTNU","Norwegian University of Science and Technology","Sensitivity of l","The Cryospher","1994-0416",1,"10.5194/tc-8-1589-2014 ",9998.00
2016,"NTNU HIST","Norwegian University of Science and Technology","Effect of a multifaceted educational program for care staff concerning fecal incontinence in nursing home patients: study protocol of a cluster randomized trial.","Trials 2015 ;Volum 16.(1), Biomed Central lim.","1745-6215",1,"10.1186/s13063-015-0595-3",16724.00
2016,"NTNU HIST","Norwegian University of Science and Technology","Feasibility, acceptability, and adherence of two educational programs for care staff concerning nursing home patients' fecal incontinence: A pilot study preceding a cluster-randomized controlled trial","Implementation Science 2015 ;Volum 10.(1) Suppl. 72 s. - , Biomed Central lim","1748-5908",1,"10.1186/s13012-015-0263-8",17197.00
2016,"NTNU HIST","Norwegian University of Science and Technology","Implementation of Free Text Format Nursing Diagnoses at a University Hospital`s Medical Department. Exploring Nurses and Nursing Students`Experiences on Use and Usefulness. A Qualitative Study.","Nursing Research and Practice 2015, Hindawi publ.corp. ","2090-1429",1,"10.1155/2015/179275",6260.00
