institution;period;doi;is_hybrid;journal_full_title
Medical University of Vienna;2016;10.1007/s10354-016-0461-2;TRUE;Wiener Medizinische Wochenschrift
TU Wien (TUW);2016;10.1007/s00707-016-1645-y;TRUE;Acta Mechanica
Medical University of Vienna;2016;10.1007/s00192-016-3033-5;TRUE;International Urogynecology Journal
Austrian Science Fund (FWF);2016;10.1007/s00531-016-1335-y;TRUE;International Journal of Earth Sciences
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00226-016-0830-4;TRUE;Wood Science and Technology
Medical University of Vienna;2016;10.1007/s00129-016-3883-4;TRUE;Der Gynäkologe
Paris Lodron University of Salzburg;2016;10.1007/s00767-016-0328-x;TRUE;Grundwasser
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00340-016-6430-z;TRUE;Applied Physics B
Austrian Science Fund (FWF);2016;10.1007/s10825-016-0828-z;TRUE;Journal of Computational Electronics
TU Wien (TUW);2016;10.1007/s00371-016-1257-5;TRUE;The Visual Computer
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11128-016-1348-2;TRUE;Quantum Information Processing
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11104-016-2930-1;TRUE;Plant and Soil
TU Wien (TUW);2016;10.1007/s10270-016-0528-y;TRUE;Software & Systems Modeling
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00053-016-0090-7;TRUE;coloproctology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10353-016-0421-5;TRUE;European Surgery
Austrian Science Fund (FWF);2016;10.1007/s12104-016-9685-8;TRUE;Biomolecular NMR Assignments
Austrian Science Fund (FWF);2016;10.1007/s00153-016-0489-4;TRUE;Archive for Mathematical Logic
Institute of Science and Technology (IST Austria);2016;10.1007/s11005-016-0847-5;TRUE;Letters in Mathematical Physics
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10750-016-2781-z;TRUE;Hydrobiologia
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s10980-016-0396-4;TRUE;Landscape Ecology
Medical University of Graz;2016;10.1007/s00508-016-1004-y;TRUE;Wiener klinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00113-016-0174-4;TRUE;Der Unfallchirurg
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11560-016-0054-5;TRUE;Der Nephrologe
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00064-016-0446-8;TRUE;Operative Orthopädie und Traumatologie
Medical University of Vienna;2016;10.1007/s00345-016-1848-9;TRUE;World Journal of Urology
Vienna University of Economics and Business (WU);2016;10.1007/s11573-016-0823-7;TRUE;Journal of Business Economics
Montanuniversität Leoben;2016;10.1007/s00501-016-0482-6;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Medical University of Vienna;2016;10.1007/s00063-016-0177-5;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Austrian Science Fund (FWF);2016;10.1007/s00125-016-3968-6;TRUE;Diabetologia
University of Vienna;2016;10.1007/s00204-016-1726-7;TRUE;Archives of Toxicology
TU Wien (TUW);2016;10.1007/s00253-016-7550-4;TRUE;Applied Microbiology and Biotechnology
Austrian Science Fund (FWF);2016;10.1007/s00360-016-0995-z;TRUE;Journal of Comparative Physiology B
Austrian Science Fund (FWF);2016;10.1007/s11738-016-2150-6;TRUE;Acta Physiologiae Plantarum
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00138-016-0763-9;TRUE;Machine Vision and Applications
Medical University of Graz;2016;10.1007/s00739-016-0318-x;TRUE;psychopraxis. neuropraxis
Medical University of Vienna;2016;10.1007/s12688-016-0066-2;TRUE;rheuma plus
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11440-016-0458-4;TRUE;Acta Geotechnica
FH St. Pölten - University of Applied Sciences;2016;10.1007/s11416-016-0273-3;TRUE;Journal of Computer Virology and Hacking Techniques
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00740-016-0116-3;TRUE;Wiener klinisches Magazin
Medical University of Graz;2016;10.1007/s00717-016-0301-1;TRUE;Spektrum der Augenheilkunde
Medical University of Vienna;2016;10.1007/s00167-016-4167-1;TRUE;Knee Surgery, Sports Traumatology, Arthroscopy
University of Vienna;2016;10.1007/s13235-016-0191-5;TRUE;Dynamic Games and Applications
Austrian Science Fund (FWF);2016;10.1007/s10750-016-2791-x;TRUE;Hydrobiologia
Medical University of Vienna;2016;10.1007/s11547-016-0644-3;TRUE;La radiologia medica
TU Wien (TUW);2016;10.1007/s00391-016-1068-3;TRUE;Zeitschrift für Gerontologie und Geriatrie
FH St. Pölten - University of Applied Sciences;2016;10.1007/s00142-016-0068-z;TRUE;Arthroskopie
Austrian Science Fund (FWF);2016;10.1007/s10817-016-9373-5;TRUE;Journal of Automated Reasoning
Austrian Science Fund (FWF);2016;10.3758/s13415-016-0433-4;TRUE;Cognitive, Affective, & Behavioral Neuroscience
Johannes Kepler University Linz;2016;10.1007/s10726-016-9485-7;TRUE;Group Decision and Negotiation
Graz University of Technology;2016;10.1007/s00605-016-0929-6;TRUE;Monatshefte für Mathematik
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11242-016-0716-9;TRUE;Transport in Porous Media
Austrian Science Fund (FWF);2016;10.1007/s00360-016-0994-0;TRUE;Journal of Comparative Physiology B
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10198-016-0797-y;TRUE;The European Journal of Health Economics
Austrian Science Fund (FWF);2016;10.1007/s00436-016-5097-z;TRUE;Parasitology Research
Graz University of Technology;2016;10.1007/s00502-016-0406-x;TRUE;e & i Elektrotechnik und Informationstechnik
Austrian Science Fund (FWF);2016;10.1007/s11302-016-9516-5;TRUE;Purinergic Signalling
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00605-016-0931-z;TRUE;Monatshefte für Mathematik
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00259-016-3395-4;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00259-016-3396-3;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
University of Vienna;2016;10.1007/s00211-016-0809-y;TRUE;Numerische Mathematik
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00259-016-3423-4;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
University of Vienna;2016;10.1007/s11005-016-0846-6;TRUE;Letters in Mathematical Physics
University of Klagenfurt;2016;10.1007/s10531-016-1132-8;TRUE;Biodiversity and Conservation
Austrian Science Fund (FWF);2016;10.1007/s11664-016-4584-4;TRUE;Journal of Electronic Materials
TU Wien (TUW);2016;10.1007/s00253-016-7620-7;TRUE;Applied Microbiology and Biotechnology
TU Wien (TUW);2016;10.1007/s00707-016-1651-0;TRUE;Acta Mechanica
Medical University of Graz;2016;10.1007/s00393-016-0083-5;TRUE;Zeitschrift für Rheumatologie
Paracelsus Medical University;2016;10.1007/s00132-016-3269-2;TRUE;Der Orthopäde
University of Vienna;2016;10.1007/s10531-016-1129-3;TRUE;Biodiversity and Conservation
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10997-016-9351-7;TRUE;Journal of Management & Governance
Austrian Science Fund (FWF);2016;10.1007/s00285-016-1027-z;TRUE;Journal of Mathematical Biology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10980-016-0389-3;TRUE;Landscape Ecology
Vienna University of Economics and Business (WU);2016;10.1007/s11573-016-0822-8;TRUE;Journal of Business Economics
Austrian Science Fund (FWF);2016;10.1007/s00415-016-8150-z;TRUE;Journal of Neurology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s10750-016-2789-4;TRUE;Hydrobiologia
Graz University of Technology;2016;10.1007/s00502-016-0407-9;TRUE;e & i Elektrotechnik und Informationstechnik
Austrian Science Fund (FWF);2016;10.1007/s00122-016-2727-x;TRUE;Theoretical and Applied Genetics
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10750-016-2836-1;TRUE;Hydrobiologia
TU Wien (TUW);2016;10.1007/s11118-016-9564-z;TRUE;Potential Analysis
University of Vienna;2016;10.1007/s10531-016-1128-4;TRUE;Biodiversity and Conservation
Institute of Science and Technology (IST Austria);2016;10.1007/s00454-016-9794-2;TRUE;Discrete & Computational Geometry
Austrian Science Fund (FWF);2016;10.3758/s13414-016-1112-9;TRUE;Attention, Perception, & Psychophysics
Danube Universtity Krems University for Continuing Education;2016;10.1007/s00064-016-0448-6;TRUE;Operative Orthopädie und Traumatologie
Institute of Science and Technology (IST Austria);2016;10.1007/s11040-016-9209-x;TRUE;Mathematical Physics, Analysis and Geometry
Austrian Science Fund (FWF);2016;10.1007/s00605-016-0917-x;TRUE;Monatshefte für Mathematik
University of Vienna;2016;10.1007/s00222-016-0667-3;TRUE;Inventiones mathematicae
Austrian Science Fund (FWF);2016;10.1007/s10822-016-9913-4;TRUE;Journal of Computer-Aided Molecular Design
TU Wien (TUW);2016;10.1007/s00107-016-1058-6;TRUE;European Journal of Wood and Wood Products
Medical University of Graz;2016;10.1007/s40262-016-0413-4;TRUE;Clinical Pharmacokinetics
University of Innsbruck and Medical University of Innsbruck;2016;10.1140/epjd/e2016-70106-9;TRUE;The European Physical Journal D
Medical University of Vienna;2016;10.1007/s00330-016-4403-6;TRUE;European Radiology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00484-016-1188-x;TRUE;International Journal of Biometeorology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00330-016-4412-5;TRUE;European Radiology
University of Vienna;2016;10.1007/s00497-016-0283-9;TRUE;Plant Reproduction
Johannes Kepler University Linz;2016;10.1007/s10687-016-0256-2;TRUE;Extremes
Austrian Science Fund (FWF);2016;10.1007/s00220-016-2665-0;TRUE;Communications in Mathematical Physics
Johannes Kepler University Linz;2016;10.1007/s10008-016-3257-9;TRUE;Journal of Solid State Electrochemistry
Austrian Science Fund (FWF);2016;10.1007/s00190-016-0919-4;TRUE;Journal of Geodesy
Austrian Science Fund (FWF);2016;10.1007/s11205-016-1371-9;TRUE;Social Indicators Research
Paris Lodron University of Salzburg;2016;10.1007/s10971-016-4090-4;TRUE;Journal of Sol-Gel Science and Technology
Austrian Science Fund (FWF);2016;10.1007/s00208-016-1435-9;TRUE;Mathematische Annalen
Medical University of Graz;2016;10.1007/s11095-016-1960-y;TRUE;Pharmaceutical Research
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s13595-016-0562-5;TRUE;Annals of Forest Science
Medical University of Graz;2016;10.1007/s10456-016-9513-x;TRUE;Angiogenesis
Austrian Science Fund (FWF);2016;10.1007/s11160-016-9437-y;TRUE;Reviews in Fish Biology and Fisheries
Austrian Science Fund (FWF);2016;10.1007/s13311-016-0447-1;TRUE;Neurotherapeutics
Vienna University of Economics and Business (WU);2016;10.1007/s11266-016-9739-7;TRUE;VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations
Paris Lodron University of Salzburg;2016;10.1007/s12152-016-9266-7;TRUE;Neuroethics
Graz University of Technology;2016;10.1208/s12248-016-9938-6;TRUE;The AAPS Journal
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s13594-016-0295-0;TRUE;Dairy Science & Technology
Medical University of Vienna;2016;10.1007/s00330-016-4451-y;TRUE;European Radiology
University of Graz;2016;10.1007/s10878-016-0035-7;TRUE;Journal of Combinatorial Optimization
Austrian Science Fund (FWF);2016;10.1007/s10750-016-2845-0;TRUE;Hydrobiologia
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11430-015-0192-1;TRUE;Science China Earth Sciences
Austrian Science Fund (FWF);2016;10.1007/s10773-016-3068-x;TRUE;International Journal of Theoretical Physics
Institute of Science and Technology (IST Austria);2016;10.1007/s11005-016-0860-8;TRUE;Letters in Mathematical Physics
Medical University of Graz;2016;10.1007/s00428-016-1970-5;TRUE;Virchows Archiv
Austrian Science Fund (FWF);2016;10.1007/s40571-016-0119-2;TRUE;Computational Particle Mechanics
Austrian Science Fund (FWF);2016;10.1007/s00500-016-2215-x;TRUE;Soft Computing
Medical University of Vienna;2016;10.1007/s10875-016-0306-1;TRUE;Journal of Clinical Immunology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00276-016-1706-x;TRUE;Surgical and Radiologic Anatomy
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11104-016-2948-4;TRUE;Plant and Soil
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11136-016-1316-4;TRUE;Quality of Life Research
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s40901-016-0028-1;TRUE;Indian Journal of International Law
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s10570-016-0987-x;TRUE;Cellulose
Medical University of Vienna;2016;10.1007/s00464-016-4871-4;TRUE;Surgical Endoscopy
University of Klagenfurt;2016;10.1007/s10100-016-0446-7;TRUE;Central European Journal of Operations Research
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00253-016-7674-6;TRUE;Applied Microbiology and Biotechnology
Austrian Science Fund (FWF);2016;10.1007/s00216-016-9717-3;TRUE;Analytical and Bioanalytical Chemistry
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00710-016-0447-1;TRUE;Mineralogy and Petrology
Paris Lodron University of Salzburg;2016;10.1007/s10886-016-0717-8;TRUE;Journal of Chemical Ecology
Montanuniversität Leoben;2016;10.1007/s11837-016-1992-0;TRUE;JOM
Austrian Science Fund (FWF);2016;10.3758/s13423-016-1095-5;TRUE;Psychonomic Bulletin & Review
Austrian Science Fund (FWF);2016;10.1007/s10750-016-2872-x;TRUE;Hydrobiologia
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00429-016-1258-1;TRUE;Brain Structure and Function
Medical University of Vienna;2016;10.1007/s11136-016-1349-8;TRUE;Quality of Life Research
University of Vienna;2016;10.1007/s00291-016-0454-y;TRUE;OR Spectrum
University of Klagenfurt;2016;10.1007/s40211-016-0180-3;TRUE;neuropsychiatrie
Medical University of Vienna;2016;10.1007/s00063-016-0174-8;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Graz University of Technology;2016;10.1007/s00501-016-0474-6;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Paracelsus Medical University;2016;10.1007/s00482-016-0116-7;TRUE;Der Schmerz
University of Vienna;2016;10.1007/s13762-016-1026-z;TRUE;International Journal of Environmental Science and Technology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00063-016-0175-7;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Medical University of Graz;2016;10.1007/s00112-016-0113-z;TRUE;Monatsschrift Kinderheilkunde
Medical University of Vienna;2016;10.1007/s00508-016-1032-7;TRUE;Wiener klinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00508-016-1023-8;TRUE;Wiener klinische Wochenschrift
TU Wien (TUW);2016;10.1007/s10295-016-1796-9;TRUE;Journal of Industrial Microbiology & Biotechnology
Johannes Kepler University Linz;2016;10.1007/s41464-016-0012-9;TRUE;Schmalenbach Business Review
Montanuniversität Leoben;2016;10.1007/s00501-016-0501-7;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Graz University of Technology;2016;10.1007/s00501-016-0504-4;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Medical University of Graz;2016;10.1007/s10354-016-0466-x;TRUE;Wiener Medizinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00608-016-0371-y;TRUE;Pädiatrie & Pädologie
Medical University of Vienna;2016;10.1007/s10049-016-0185-2;TRUE;Notfall +  Rettungsmedizin
University of Graz;2016;10.1007/s41464-016-0011-x;TRUE;Schmalenbach Business Review
Medical University of Graz;2016;10.1007/s00508-016-1010-0;TRUE;Wiener klinische Wochenschrift
Paracelsus Medical University;2016;10.1007/s12254-016-0267-3;TRUE;memo - Magazine of European Medical Oncology
Montanuniversität Leoben;2016;10.1007/s00501-016-0494-2;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Paracelsus Medical University;2016;10.1007/s00066-016-1004-x;TRUE;Strahlentherapie und Onkologie
University of Innsbruck and Medical University of Innsbruck;2016;10.1365/s40702-016-0237-6;TRUE;HMD Praxis der Wirtschaftsinformatik
Paracelsus Medical University;2016;10.1007/s12254-016-0268-2;TRUE;memo - Magazine of European Medical Oncology
Medical University of Vienna;2016;10.1007/s12254-016-0270-8;TRUE;memo - Magazine of European Medical Oncology
Medical University of Graz;2016;10.1007/s00508-016-1024-7;TRUE;Wiener klinische Wochenschrift
Montanuniversität Leoben;2016;10.1007/s00501-016-0509-z;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Graz University of Technology;2016;10.1007/s00501-016-0476-4;TRUE;BHM Berg- und Hüttenmännische Monatshefte
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00740-016-0117-2;TRUE;Wiener klinisches Magazin
Medical University of Graz;2016;10.1007/s00772-016-0146-6;TRUE;Gefässchirurgie
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00729-016-0070-y;TRUE;Psychotherapie Forum
Medical University of Vienna;2016;10.1007/s00063-016-0176-6;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Medical University of Vienna;2016;10.1007/s40211-016-0185-y;TRUE;neuropsychiatrie
Paracelsus Medical University;2016;10.1007/s00608-016-0380-x;TRUE;Pädiatrie & Pädologie
TU Wien (TUW);2016;10.1007/s00501-016-0506-2;TRUE;BHM Berg- und Hüttenmännische Monatshefte
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00508-016-1007-8;TRUE;Wiener klinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00717-016-0296-7;TRUE;Spektrum der Augenheilkunde
University of Applied Sciences Upper Austria;2016;10.1007/s12398-016-0173-8;TRUE;Zeitschrift für Energiewirtschaft
TU Wien (TUW);2016;10.1007/s10455-016-9514-4;TRUE;Annals of Global Analysis and Geometry
Johannes Kepler University Linz;2016;10.1007/s35834-016-0154-3;TRUE;Zeitschrift für Bildungsforschung
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s12254-016-0269-1;TRUE;memo - Magazine of European Medical Oncology
Medical University of Vienna;2016;10.1007/s10354-016-0469-7;TRUE;Wiener Medizinische Wochenschrift
Medical University of Graz;2016;10.1007/s00608-016-0374-8;TRUE;Pädiatrie & Pädologie
Medical University of Vienna;2016;10.1007/s00059-016-4450-4;TRUE;Herz
University of Vienna;2016;10.1007/s11692-016-9372-9;TRUE;Evolutionary Biology
Medical University of Vienna;2016;10.1007/s00508-016-1045-2;TRUE;Wiener klinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00739-016-0330-1;TRUE;psychopraxis. neuropraxis
Danube Universtity Krems University for Continuing Education;2016;10.1007/s00729-016-0073-8;TRUE;Psychotherapie Forum
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00267-016-0720-4;TRUE;Environmental Management
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00740-016-0124-3;TRUE;Wiener klinisches Magazin
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10815-016-0769-2;TRUE;Journal of Assisted Reproduction and Genetics
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11249-016-0719-2;TRUE;Tribology Letters
Medical University of Vienna;2016;10.1007/s00063-016-0182-8;TRUE;Medizinische Klinik - Intensivmedizin und Notfallmedizin
Paracelsus Medical University;2016;10.1007/s00508-016-1019-4;TRUE;Wiener klinische Wochenschrift
Paracelsus Medical University;2016;10.1007/s40263-016-0371-2;TRUE;CNS Drugs
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00432-016-2198-0;TRUE;Journal of Cancer Research and Clinical Oncology
TU Wien (TUW);2016;10.1007/s00216-016-9711-9;TRUE;Analytical and Bioanalytical Chemistry
Austrian Science Fund (FWF);2016;10.1007/s10750-016-2896-2;TRUE;Hydrobiologia
Paracelsus Medical University;2016;10.1007/s00232-016-9913-2;TRUE;The Journal of Membrane Biology
Austrian Science Fund (FWF);2016;10.1007/s00248-016-0818-5;TRUE;Microbial Ecology
Austrian Science Fund (FWF);2016;10.1007/s10071-016-1017-y;TRUE;Animal Cognition
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00421-016-3444-5;TRUE;European Journal of Applied Physiology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0323-6;TRUE;Österreichische Wasser- und Abfallwirtschaft
Graz University of Technology;2016;10.1007/s00506-016-0324-5;TRUE;Österreichische Wasser- und Abfallwirtschaft
Medical University of Vienna;2016;10.1007/s11812-016-0077-x;TRUE;Wiener klinische Wochenschrift Education
Medical University of Vienna;2016;10.1007/s12253-016-0084-3;TRUE;Pathology & Oncology Research
Graz University of Technology;2016;10.1007/s10444-016-9472-1;TRUE;Advances in Computational Mathematics
Paracelsus Medical University;2016;10.1007/s00264-016-3249-5;TRUE;International Orthopaedics
TU Wien (TUW);2016;10.1007/s11004-016-9646-x;TRUE;Mathematical Geosciences
Austrian Science Fund (FWF);2016;10.1007/s10817-016-9383-3;TRUE;Journal of Automated Reasoning
Institute of Science and Technology (IST Austria);2016;10.1007/s00026-016-0325-x;TRUE;Annals of Combinatorics
FH Salzburg - University of Applied Sciences;2016;10.1007/s00450-016-0310-y;TRUE;Computer Science - Research and Development
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00269-016-0828-3;TRUE;Physics and Chemistry of Minerals
Austrian Science Fund (FWF);2016;10.1007/s10543-016-0626-9;TRUE;BIT Numerical Mathematics
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0322-7;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0326-3;TRUE;Österreichische Wasser- und Abfallwirtschaft
University of Vienna;2016;10.1007/s00211-016-0823-0;TRUE;Numerische Mathematik
Medical University of Vienna;2016;10.1245/s10434-016-5338-5;TRUE;Annals of Surgical Oncology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00132-016-3293-2;TRUE;Der Orthopäde
Medical University of Graz;2016;10.1007/s00403-016-1672-5;TRUE;Archives of Dermatological Research
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00506-016-0325-4;TRUE;Österreichische Wasser- und Abfallwirtschaft
Medical University of Vienna;2016;10.1007/s00259-016-3451-0;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
Medical University of Vienna;2016;10.1007/s00262-016-1860-3;TRUE;Cancer Immunology, Immunotherapy
Graz University of Technology;2016;10.1007/s13218-016-0442-z;TRUE;KI - Künstliche Intelligenz
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s00107-016-1087-1;TRUE;European Journal of Wood and Wood Products
Johannes Kepler University Linz;2016;10.1007/s11012-016-0496-x;TRUE;Meccanica
University of Vienna;2016;10.1007/s00204-016-1795-7;TRUE;Archives of Toxicology
Danube Universtity Krems University for Continuing Education;2016;10.1007/s10796-016-9673-7;TRUE;Information Systems Frontiers
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s11113-016-9405-1;TRUE;Population Research and Policy Review
Medical University of Vienna;2016;10.1007/s00508-016-1033-6;TRUE;Wiener klinische Wochenschrift
Austrian Science Fund (FWF);2016;10.3758/s13420-016-0235-0;TRUE;Learning & Behavior
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s35834-016-0155-2;TRUE;Zeitschrift für Bildungsforschung
Montanuniversität Leoben;2016;10.1007/s00501-016-0512-4;TRUE;BHM Berg- und Hüttenmännische Monatshefte
TU Wien (TUW);2016;10.1007/s00506-016-0327-2;TRUE;Österreichische Wasser- und Abfallwirtschaft
Medical University of Vienna;2016;10.1007/s10354-016-0487-5;TRUE;Wiener Medizinische Wochenschrift
Johannes Kepler University Linz;2016;10.1007/s00339-016-0258-6;TRUE;Applied Physics A
Austrian Science Fund (FWF);2016;10.1007/s00531-016-1367-3;TRUE;International Journal of Earth Sciences
University of Vienna;2016;10.1007/s10806-016-9627-6;TRUE;Journal of Agricultural and Environmental Ethics
Austrian Science Fund (FWF);2016;10.1007/s00355-016-0982-z;TRUE;Social Choice and Welfare
University of Graz;2016;10.1007/s10304-016-0072-4;TRUE;Gynäkologische Endokrinologie
Medical University of Vienna;2016;10.1007/s10354-016-0486-6;TRUE;Wiener Medizinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00330-016-4480-6;TRUE;European Radiology
TU Wien (TUW);2016;10.1007/s00506-016-0332-5;TRUE;Österreichische Wasser- und Abfallwirtschaft
Austrian Science Fund (FWF);2016;10.1007/s00220-016-2693-9;TRUE;Communications in Mathematical Physics
Medical University of Vienna;2016;10.1007/s00508-016-1036-3;TRUE;Wiener klinische Wochenschrift
Austrian Science Fund (FWF);2016;10.1007/s11069-016-2476-9;TRUE;Natural Hazards
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s11104-016-2993-z;TRUE;Plant and Soil
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s11750-016-0429-9;TRUE;TOP
Paracelsus Medical University;2016;10.1007/s00380-016-0868-0;TRUE;Heart and Vessels
University of Vienna;2016;10.1007/s11614-016-0210-1;TRUE;Österreichische Zeitschrift für Soziologie
Austrian Science Fund (FWF);2016;10.1007/s10479-016-2220-6;TRUE;Annals of Operations Research
International Institute for Applied Systems Analysis (IIASA);2016;10.1007/s10584-016-1729-7;TRUE;Climatic Change
Medical University of Graz;2016;10.1007/s10354-016-0478-6;TRUE;Wiener Medizinische Wochenschrift
Medical University of Graz;2016;10.1007/s00415-016-8218-9;TRUE;Journal of Neurology
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s10113-016-1009-0;TRUE;Regional Environmental Change
University of Veterinary Medicine Vienna;2016;10.1007/s00704-016-1861-3;TRUE;Theoretical and Applied Climatology
Medical University of Vienna;2016;10.1007/s00508-016-1037-2;TRUE;Wiener klinische Wochenschrift
Medical University of Vienna;2016;10.1007/s00270-016-1406-2;TRUE;CardioVascular and Interventional Radiology
Johannes Kepler University Linz;2016;10.1007/s10257-016-0324-9;TRUE;Information Systems and e-Business Management
University of Graz;2016;10.1007/s00191-016-0468-2;TRUE;Journal of Evolutionary Economics
Medical University of Graz;2016;10.1007/s00406-016-0707-4;TRUE;European Archives of Psychiatry and Clinical Neuroscience
Medical University of Vienna;2016;10.1007/s10856-016-5737-y;TRUE;Journal of Materials Science: Materials in Medicine
University of Klagenfurt;2016;10.1007/s11042-016-3661-2;TRUE;Multimedia Tools and Applications
Medical University of Vienna;2016;10.1007/s10585-016-9813-y;TRUE;Clinical & Experimental Metastasis
University of Vienna;2016;10.1007/s00204-016-1801-0;TRUE;Archives of Toxicology
Austrian Science Fund (FWF);2016;10.1007/s00253-016-7363-5;TRUE;Applied Microbiology and Biotechnology
University of Vienna;2016;10.1007/s11614-016-0196-8;TRUE;Österreichische Zeitschrift für Soziologie
University of Vienna;2016;10.1007/s11614-016-0195-9;TRUE;Österreichische Zeitschrift für Soziologie
University of Innsbruck and Medical University of Innsbruck;2016;10.1140/epjd/e2016-70136-3;TRUE;The European Physical Journal D
University of Vienna;2016;10.1007/s11614-016-0193-y;TRUE;Österreichische Zeitschrift für Soziologie
Medical University of Graz;2016;10.1007/s10389-016-0744-5;TRUE;Journal of Public Health
University of Vienna;2016;10.1007/s00706-016-1812-9;TRUE;Monatshefte für Chemie - Chemical Monthly
Austrian Science Fund (FWF);2016;10.1007/s12685-016-0169-7;TRUE;Water History
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10902-016-9783-4;TRUE;Journal of Happiness Studies
Medical University of Vienna;2016;10.1007/s10049-016-0217-y;TRUE;Notfall +  Rettungsmedizin
Paris Lodron University of Salzburg;2016;10.1007/s12662-016-0414-3;TRUE;Sportwissenschaft
