"institution","Publisher","ISSN","APC (€)","DOI","Year","is_hybrid"
"University of Helsinki","MDPI","2079-6382",2720.35,"10.3390/antibiotics12091369",2023,NA
"University of Helsinki","MDPI","1660-4601",2259.16,"10.3390/ijerph20065079",2023,NA
"University of Helsinki","MDPI","1424-2818",1029.73,"10.3390/d15060785",2023,NA
"University of Helsinki","MDPI","2227-9067",2285.56,"10.3390/children10121919",2023,NA
"University of Helsinki","MDPI","1999-4923",2448.12,"10.3390/pharmaceutics15092326",2023,NA
"University of Helsinki","MDPI","2227-7102",1281.69,"10.3390/educsci13050431",2023,NA
"University of Helsinki","MDPI","2077-0383",2386.95,"10.3390/jcm12134263",2023,NA
"University of Helsinki","MDPI","2227-9067",1661.42,"10.3390/children10010107",2023,NA
"University of Helsinki","MDPI","1660-4601",2249.76,"10.3390/ijerph20043366",2023,NA
"University of Helsinki","MDPI","1660-4601",2360.5,"10.3390/ijerph20217020",2023,NA
"University of Helsinki","MDPI","2079-6382",2766.7,"10.3390/antibiotics13010031",2023,NA
"University of Helsinki","MDPI","2072-6694",2396.43,"10.3390/cancers15143571",2023,NA
"University of Helsinki","MDPI","2076-2607",2518.15,"10.3390/microorganisms11122901",2023,NA
"University of Helsinki","MDPI","2227-9032",1319.61,"10.3390/healthcare11101382",2023,NA
"University of Helsinki","MDPI","2072-6694",2765.7,"10.3390/cancers16010135",2023,NA
"University of Helsinki","MDPI","2072-4292",2274.24,"10.3390/rs15020382",2023,NA
"University of Helsinki","MDPI","2227-9059",2471.04,"10.3390/biomedicines12010027",2023,NA
"University of Helsinki","MDPI","2075-163X",803.26,"10.3390/min13030436",2023,NA
"University of Helsinki","MDPI","2227-9067",2257.19,"10.3390/children10101645",2023,NA
"University of Helsinki","MDPI","1999-4915",1555.08,"10.3390/v15020307",2023,NA
"University of Helsinki","MDPI","2227-7102",1259.86,"10.3390/educsci13020196",2023,NA
"University of Helsinki","MDPI","2076-2615",1632.62,"10.3390/ani13050937",2023,NA
"University of Helsinki","MDPI","2073-445X",2038.87,"10.3390/land12061233",2023,NA
"University of Helsinki","MDPI","2223-7747",2259.8,"10.3390/plants12183313",2023,NA
"University of Helsinki","MDPI","2409-9279",1473.82,"10.3390/mps6040061",2023,NA
"University of Helsinki","MDPI","1422-0067",2294.57,"10.3390/ijms24098279",2023,NA
"University of Helsinki","MDPI","2227-9067",608.22,"10.3390/children10020381",2023,NA
"University of Helsinki","MDPI","1999-4915",2157.27,"10.3390/v15020431",2023,NA
"University of Helsinki","MDPI","2227-9059",2464.71,"10.3390/biomedicines11112885",2023,NA
"University of Helsinki","MDPI","2227-9091",1290.39,"10.3390/risks11070130",2023,NA
"University of Helsinki","MDPI","2218-273X",2111,"10.3390/biom13050761",2023,NA
"University of Helsinki","MDPI","2218-273X",2539.34,"10.3390/biom13091428",2023,NA
"University of Helsinki","MDPI","1999-4907",1832.99,"10.3390/f14030642",2023,NA
"University of Helsinki","MDPI","2673-9259",910.41,"10.3390/jal3010008",2023,NA
"University of Helsinki","MDPI","2571-9408",1313.04,"10.3390/heritage6080311",2023,NA
"University of Helsinki","MDPI","2076-3417",2157.52,"10.3390/app13179516",2023,NA
"University of Helsinki","MDPI","2227-7102",1318.22,"10.3390/educsci13090956",2023,NA
"University of Helsinki","MDPI","2077-0383",2359.4,"10.3390/jcm12082827",2023,NA
"University of Helsinki","MDPI","2076-2615",1865.53,"10.3390/ani13223455",2023,NA
"University of Helsinki","MDPI","1660-4601",1517.35,"10.3390/ijerph20054193",2023,NA
"University of Helsinki","MDPI","1422-0067",2317.19,"10.3390/ijms24119504",2023,NA
"University of Helsinki","MDPI","2075-4426",1842.28,"10.3390/jpm13071067",2023,NA
"University of Helsinki","MDPI","1999-4923",1500.88,"10.3390/pharmaceutics15122663",2023,NA
"University of Helsinki","MDPI","2072-6694",2427.98,"10.3390/cancers15153871",2023,NA
"University of Helsinki","MDPI","2073-4441",2363.04,"10.3390/w15213734",2023,NA
"University of Helsinki","MDPI","2073-4425",1348.79,"10.3390/genes14112101",2023,NA
"University of Helsinki","MDPI","2218-273X",2546.26,"10.3390/biom13091367",2023,NA
"University of Helsinki","MDPI","1660-4601",2316.89,"10.3390/ijerph20126158",2023,NA
"University of Helsinki","MDPI","1420-3049",2533.49,"10.3390/molecules28155866",2023,NA
"University of Helsinki","MDPI","2072-6694",2738.17,"10.3390/cancers15225308",2023,NA
"University of Helsinki","MDPI","2227-9067",1835.65,"10.3390/children10050788",2023,NA
"University of Helsinki","MDPI","2227-7102",1307.37,"10.3390/educsci13080775",2023,NA
"University of Helsinki","MDPI","2076-3417",2169.03,"10.3390/app131810145",2023,NA
"University of Helsinki","MDPI","2227-7102",1318.83,"10.3390/educsci13090880",2023,NA
"University of Helsinki","MDPI","2072-4292",2317.19,"10.3390/rs15112877",2023,NA
"University of Helsinki","MDPI","2306-7381",1425.41,"10.3390/vetsci10040271",2023,NA
"University of Helsinki","MDPI","2072-6643",1837.44,"10.3390/nu16010018",2023,NA
"University of Helsinki","MDPI","2077-1444",1283.1,"10.3390/rel14040431",2023,NA
"University of Helsinki","MDPI","1424-2818",1867.68,"10.3390/d15080909",2023,NA
"University of Helsinki","MDPI","2227-7102",1265.13,"10.3390/educsci13030290",2023,NA
"University of Helsinki","MDPI","2077-0383",2359.4,"10.3390/jcm12082842",2023,NA
"University of Helsinki","MDPI","1660-4601",2267.53,"10.3390/ijerph20064850",2023,NA
"University of Helsinki","MDPI","2072-6694",2719.86,"10.3390/cancers15174246",2023,NA
"University of Helsinki","MDPI","1999-4915",1372.8,"10.3390/v15122431",2023,NA
"University of Helsinki","MDPI","1420-3049",2105.64,"10.3390/molecules28083611",2023,NA
"University of Helsinki","MDPI","2076-2607",1100.86,"10.3390/microorganisms11020355",2023,NA
"University of Helsinki","MDPI","2071-1050",1830.99,"10.3390/su15097514",2023,NA
"University of Helsinki","MDPI","2077-1444",1313.04,"10.3390/rel14081069",2023,NA
"University of Helsinki","MDPI","2304-6767",1476.86,"10.3390/dj11070170",2023,NA
"University of Helsinki","MDPI","2073-4425",2180.75,"10.3390/genes14040869",2023,NA
"University of Helsinki","MDPI","1422-0067",2247.15,"10.3390/ijms24033025",2023,NA
"University of Helsinki","MDPI","2076-2607",1996.42,"10.3390/microorganisms11040973",2023,NA
"University of Helsinki","MDPI","2304-8158",1815.81,"10.3390/foods12071530",2023,NA
"University of Helsinki","MDPI","2304-8158",2734.87,"10.3390/foods12183360",2023,NA
"University of Helsinki","MDPI","2079-6382",1613.33,"10.3390/antibiotics12020264",2023,NA
"University of Helsinki","MDPI","1422-0067",2268.66,"10.3390/ijms24076753",2023,NA
"University of Helsinki","MDPI","1422-0067",2008.14,"10.3390/ijms24065183",2023,NA
"University of Helsinki","MDPI","1422-0067",2299.94,"10.3390/ijms242115629",2023,NA
"University of Helsinki","MDPI","2304-6767",1508.89,"10.3390/dj11090212",2023,NA
"University of Helsinki","MDPI","2304-6767",1520.64,"10.3390/dj11120289",2023,NA
"University of Helsinki","MDPI","1422-0067",2272.21,"10.3390/ijms24076300",2023,NA
"University of Helsinki","MDPI","2227-7102",1312.38,"10.3390/educsci13101043",2023,NA
"University of Helsinki","MDPI","2077-0383",2479.6,"10.3390/jcm13020522",2023,NA
"University of Helsinki","MDPI","2073-4425",1817.77,"10.3390/genes14040794",2023,NA
"University of Helsinki","MDPI","1999-4907",1613.68,"10.3390/f14091822",2023,NA
"University of Helsinki","MDPI","2077-0383",2367.07,"10.3390/jcm12051822",2023,NA
"University of Helsinki","MDPI","1424-8247",1696.14,"10.3390/ph16040554",2023,NA
"University of Helsinki","MDPI","1422-0067",2730.6,"10.3390/ijms241814218",2023,NA
"University of Helsinki","MDPI","2072-6694",2427.98,"10.3390/cancers15153838",2023,NA
"University of Helsinki","MDPI","2073-4409",2221.93,"10.3390/cells12111487",2023,NA
"University of Helsinki","MDPI","2414-4088",827.09,"10.3390/mti7100094",2023,NA
"University of Helsinki","MDPI","2072-6643",1591.3,"10.3390/nu15132922",2023,NA
"University of Helsinki","MDPI","2227-7102",1307.29,"10.3390/educsci13121177",2023,NA
"University of Helsinki","MDPI","2072-6694",2375.3,"10.3390/cancers15092604",2023,NA
"University of Helsinki","MDPI","2227-7102",1290.39,"10.3390/educsci13070686",2023,NA
"University of Helsinki","MDPI","2077-0383",1348.79,"10.3390/jcm12227129",2023,NA
"University of Helsinki","MDPI","2075-4418",1641.87,"10.3390/diagnostics13081489",2023,NA
"University of Helsinki","MDPI","2309-608X",1699.82,"10.3390/jof9020246",2023,NA
"University of Helsinki","MDPI","2076-2615",1689,"10.3390/ani13152517",2023,NA
"University of Helsinki","MDPI","2072-6694",2339.75,"10.3390/cancers15041297",2023,NA
"University of Helsinki","MDPI","2077-1444",1313.39,"10.3390/rel14080988",2023,NA
"University of Helsinki","MDPI","2304-8158",2199.59,"10.3390/foods12061262",2023,NA
"University of Helsinki","Microbiology Society","2057-5858",2520,"10.1099/mgen.0.001056",2023,NA
"University of Helsinki","MIT Press","2472-1751",2059.07,"10.1162/netn_a_00326",2023,NA
"University of Helsinki","NIOM","1896-494X",1635,"10.13075/ijomeh.1896.02263",2023,NA
"University of Helsinki","OPG","2770-0208",1346.66,"10.1364/OPTCON.483779",2023,NA
"University of Helsinki","Oxford University Press","2051-1434",2150,"10.1093/conphys/coac086",2023,NA
"University of Helsinki","Oxford University Press","2474-9842",2310,"10.1093/bjsopen/zrad016",2023,NA
"University of Helsinki","Oxford University Press","1464-360X",2596,"10.1093/eurpub/ckac159",2023,NA
"University of Helsinki","Oxford University Press","1537-1719",3006.97,"10.1093/molbev/msad192",2023,NA
"University of Helsinki","Oxford University Press","2474-9842",2310,"10.1093/bjsopen/zrad050",2023,NA
"University of Helsinki","Oxford University Press","1362-4962",3383,"10.1093/nar/gkad199",2023,NA
"University of Helsinki","Oxford University Press","1362-4962",3412.56,"10.1093/nar/gkad792",2023,NA
"University of Helsinki","Oxford University Press","1362-4962",3383,"10.1093/nar/gkad001",2023,NA
"University of Helsinki","Oxford University Press","2632-1297",3064,"10.1093/braincomms/fcac295",2023,NA
"University of Helsinki","Oxford University Press","1101-1262",2553,"10.1093/eurpub/ckad176",2023,NA
"University of Helsinki","Oxford University Press","1362-4962",3383,"10.1093/nar/gkad390",2023,NA
"University of Helsinki","Oxford University Press","1537-1719",3035,"10.1093/molbev/msad183",2023,NA
"University of Helsinki","Oxford University Press","1759-6653",2400,"10.1093/gbe/evac175",2023,NA
"University of Helsinki","Oxford University Press","1464-360X",2553,"10.1093/eurpub/ckad117",2023,NA
"University of Helsinki","Oxford University Press","1464-360X",2553,"10.1093/eurpub/ckad149",2023,NA
"University of Helsinki","PeerJ","2167-8359",1485.67,"10.7717/peerj.16516",2023,NA
"University of Helsinki","Pensoft","1314-2488",950,"10.3897/neobiota.88.108283",2023,NA
"University of Helsinki","PLOS","1932-6203",1818.22,"10.1371/journal.pone.0290953",2023,NA
"University of Helsinki","PLOS","1932-6203",1592.1,"10.1371/journal.pone.0253472",2023,NA
"University of Helsinki","PLOS","1932-6203",1834.19,"10.1371/journal.pone.0292361",2023,NA
"University of Helsinki","PLOS","1932-6203",1764.05,"10.1371/journal.pone.0294415",2023,NA
"University of Helsinki","PLOS","1932-6203",1673,"10.1371/journal.pone.0278245",2023,NA
"University of Helsinki","PLOS","1932-6203",1766.68,"10.1371/journal.pone.0295047",2023,NA
"University of Helsinki","PLOS","1932-6203",1844,"10.1371/journal.pone.0292365",2023,NA
"University of Helsinki","Royal Society","2054-5703",1366.19,"10.1098/rsos.221104",2023,NA
"University of Helsinki","SAGE","1756-2864",1728.39,"10.1177/17562864231186091",2023,NA
"University of Helsinki","SAGE","1799-7267",843.28,"10.1177/14574969231176111",2023,NA
"University of Helsinki","SAGE","2632-3524",1161.58,"10.1177/26323524231212513",2023,NA
"University of Helsinki","SAGE","1934-578X",1503.59,"10.1177/1934578X231207263",2023,NA
"University of Helsinki","SAGE","1799-7267",853.44,"10.1177/14574969231181232",2023,NA
"University of Helsinki","SAGE","2053-9517",1166.51,"10.1177/20539517231164113",2023,NA
"University of Helsinki","Science and Education Publishing","2333-1240",484.7,"10.12691/jfnr-11-2-1",2023,NA
"University of Helsinki","SNF","1654-661X",2265,"10.29219/fnr.v67.8997",2023,NA
"University of Helsinki","Society for Neuroscience","2373-2822",3132,"10.1523/ENEURO.0149-23.2023",2023,NA
"University of Helsinki","Society for Neuroscience","2373-2822",2606.39,"10.1523/ENEURO.0097-22.2023",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-33152-9",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-023-41073-4",2023,NA
"University of Helsinki","Springer Nature","2731-4243",1625,"10.1038/s44185-023-00026-2",2023,NA
"University of Helsinki","Springer Nature","2052-4463",1945,"10.1038/s41597-023-02169-0",2023,NA
"University of Helsinki","Springer Nature","2730-6151",2145,"10.1038/s43705-023-00272-2",2023,NA
"University of Helsinki","Springer Nature","2041-1723",2439.68,"10.1038/s41467-022-31533-8",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-023-39746-1",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2245,"10.1038/s41598-023-44950-6",2023,NA
"University of Helsinki","Springer Nature","2092-6413",3445,"10.1038/s12276-023-00967-5",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-023-41219-4",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-29215-6",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2190,"10.1038/s41598-023-50791-0",2023,NA
"University of Helsinki","Springer Nature","2662-9984",854,"10.1007/s43621-023-00163-5",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2000,"10.1038/s41598-023-27850-7",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2245,"10.1038/s41598-023-39220-4",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2245,"10.1038/s41598-023-42102-4",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-022-32711-4",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2245,"10.1038/s41598-023-49032-1",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-023-44051-y",2023,NA
"University of Helsinki","Springer Nature","2045-2322",1945,"10.1038/s41598-022-26497-0",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-023-37290-6",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-27866-z",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-28798-4",2023,NA
"University of Helsinki","Springer Nature","2198-9788",2245,"10.1007/s40801-023-00381-3",2023,NA
"University of Helsinki","Springer Nature","2399-3642",3145,"10.1038/s42003-023-05147-9",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2190,"10.1038/s41598-023-42233-8",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2245,"10.1038/S41598-023-43666-X",2023,NA
"University of Helsinki","Springer Nature","2041-1723",3500,"10.1038/s41467-023-44004-5",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-33291-z",2023,NA
"University of Helsinki","Springer Nature","2052-4463",1945,"10.1038/s41597-023-01966-x",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2090,"10.1038/s41598-023-36697-x",2023,NA
"University of Helsinki","Springer Nature","2730-664X",2845,"10.1038/s43856-023-00417-3",2023,NA
"University of Helsinki","Springer Nature","2730-664X",2845,"10.1038/s43856-023-00418-2",2023,NA
"University of Helsinki","Springer Nature","2052-4463",2069.18,"10.1038/s41597-023-02576-3",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-30090-4",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2245,"10.1038/s41598-023-42978-2",2023,NA
"University of Helsinki","Springer Nature","2661-8001",1895,"10.1038/s42949-023-00127-8",2023,NA
"University of Helsinki","Springer Nature","2374-4677",2945,"10.1038/s41523-023-00546-x",2023,NA
"University of Helsinki","Springer Nature","2045-2322",2145,"10.1038/s41598-023-27581-9",2023,NA
"University of Helsinki","Springer Nature","2662-4435",2645,"10.1038/s43247-023-00719-3",2023,NA
"University of Helsinki","SpringerOpen","2214-594X",981.5,"10.1186/s40878-023-00341-4",2023,NA
"University of Helsinki","SpringerOpen","2050-7445",1381,"10.1186/s40494-023-01022-2",2023,NA
"University of Helsinki","SpringerOpen","2191-219X",2086.5,"10.1186/S13550-023-01045-7",2023,NA
"University of Helsinki","Taylor & Francis","1949-0984",2895,"10.1080/19490976.2023.2229944",2023,NA
"University of Helsinki","Taylor & Francis","2162-402X",2895,"10.1080/2162402X.2023.2241710",2023,NA
"University of Helsinki","Taylor & Francis","1949-0984",3170,"10.1080/19490976.2023.2295445",2023,NA
"University of Helsinki","Taylor & Francis","2639-5916",1090,"10.1080/26395916.2023.2222185",2023,NA
"University of Helsinki","Taylor & Francis","1502-7724",1116.5,"10.1080/02813432.2023.2255062",2023,NA
"University of Helsinki","Taylor & Francis","0281-3432",1595,"10.1080/02813432.2023.2283188",2023,NA
"University of Helsinki","Taylor & Francis","2331-186X",1090,"10.1080/2331186X.2023.2196896",2023,NA
"University of Helsinki","Taylor & Francis","2164-4527",1615,"10.1080/02673843.2023.2273385",2023,NA
"University of Helsinki","Taylor & Francis","1651-2006",2180,"10.1080/14017431.2022.2161621",2023,NA
"University of Helsinki","Taylor & Francis","1748-2631",1595,"10.1080/17482631.2023.2202972",2023,NA
"University of Helsinki","Taylor & Francis","1087-2981",2050,"10.1080/10872981.2023.2176734",2023,NA
"University of Helsinki","Taylor & Francis","2331-186X",1450,"10.1080/2331186X.2023.2263624",2023,NA
"University of Helsinki","Taylor & Francis","1360-2241",3190,"10.1080/01436597.2022.2153031",2023,NA
"University of Helsinki","Taylor & Francis","1743-8942",2415,"10.1080/0167482X.2023.2210750",2023,NA
"University of Helsinki","Taylor & Francis","1651-2006",2180,"10.1080/14017431.2023.2215490",2023,NA
"University of Helsinki","Taylor & Francis","1553-4529",1885,"10.1080/15534510.2023.2279662",2023,NA
"University of Helsinki","Ubiquity Press","2059-481X",517.24,"10.5334/johd.101",2023,NA
"University of Helsinki","Ubiquity Press","2514-8362",518.98,"10.5334/jcaa.135",2023,NA
"University of Helsinki","Ubiquity Press","2057-4991",912,"10.5334/cstp.556",2023,NA
"University of Helsinki","Wiley","2045-7634",3080,"10.1002/cam4.6002",2023,NA
"University of Helsinki","Wiley","1651-2227",3400,"10.1111/apa.16621",2023,NA
"University of Helsinki","Wiley","1939-1676",1314,"10.1111/jvim.16719",2023,NA
