institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2021,1833.1914893617022,10.3390/ijerph182111158,Routes of Administration of Illicit Drugs among Young Swiss Men: Their Prevalence and Associated Socio Demographic Characteristics and Adverse Outcomes,2021-10-25,International Journal of Environmental Research and Public Health,MDPI,FALSE,NA,NA,1981.68,1.081,109635 - 10415 - 25.10.2021,33AC-0_208286,148493,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2771.6928769657725,10.7554/eLife.71473,Disturbed retinoid metabolism upon loss of rlbp1a impairs cone function and leads to subretinal lipid deposits and photoreceptor degeneration in the zebrafish retina ,2021-10-25,eLife,eLife Sciences,FALSE,NA,NA,2996.2,1.081,109627 - 10821 - 25.10.2021,31AC-0_208283,173083,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2897.6318223866792,10.5194/acp-21-15725-2021,Adsorption and desorption equilibria from statistical thermodynamics and rates from transition-state theory,2021-10-25,Atmospheric Chemistry and Physics,Copernicus Publications,FALSE,NA,NA,3132.34,1.081,109624 - 10754 - 25.10.2021,20AC-1_208274,188662,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2725.504162812211,10.3389/fpsyg.2021.750491,Developmental trajectories of letter and speech sound integration during reading acquisition,2021-10-25,Frontiers Psychology ,Frontiers Media SA,FALSE,NA,NA,2946.27,1.081,109629 - 10239 - 25.10.2021,32AC-0_208276,141201,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1700.277520814061,10.2196/33144,Contribution of the co.LAB Framework to the Collaborative Design of Serious Games: Mixed-Methods Validation Study,2021-10-22,Dominique Jaccard,JMIR Serious Games,FALSE,NA,NA,1838,1.081,109610 - 12329 - 22.10.2021,40AC-0_208268,187275,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2789.36170212766,10.7554/elife.73111,B cell subpopulations show distinct patterns in their IgH repertoire metrics,2021-10-22,eLife,eLife Sciences Publications Ltd,FALSE,NA,NA,3015.3,1.081,109609 - 10821 - 22.10.2021,PZAC-3_208269,161147,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,3695.5966697502313,10.1103/physrevx.11.041046,Emerging dissipative phases in a superradiant quantum gas with tunable decay,2021-10-22,PHYSICAL REVIEW X,,FALSE,NA,NA,3994.94,1.081,109612 - 11931 - 22.10.2021,20AC-1_208271,"175329, 182650, 185902",SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,539.2599444958372,10.5334/irsp.555,"Keep Calm and Learn Multilevel Linear Modeling: A Three-Step Procedure Using SPSS, Stata, R, and Mplus",2021-10-19,International Review of Social Psychology,ADRIPS & Ubiquity Press,FALSE,2397-8570,NA,582.94,1.081,109553 - 12799 - 19.10.2021,PZAC-1_208258,185979,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1434.6716003700278,10.3390/jof7100861,A New Double-Stranded RNA Mycovirus in Cryphonectria naterciae Is Able to Cross the Species Barrier and Is Deleterious to a New Host,2021-10-19,Journal of Fungi,,FALSE,2309-608X,http://doi.org/10.3390/jof7100861,1550.88,1.081,109545 - 10415 - 19.10.2021,IZAC-0_208259,180651,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1952.5439407955596,10.1371/journal.pgph.0000008,Estimating the mortality burden of large scale mining projects – Evidence from a prospective mortality surveillance study in Tanzania,2021-10-19,PLOS Global Public Health Kindly,PLOS,FALSE,NA,NA,2110.7,1.081,109542 - 10850 - 19.10.2021,40AC-0_208256,194003,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2654.5420906567992,10.1128/Spectrum.00495-21,Multidrug Resistance Dynamics in Salmonella in Food-Animals in the United States: An Analysis of Genomes from Public Databases,2021-10-19,Microbiology Spectrum,Microbiology Spectrum ,TRUE,NA,NA,2869.56,1.081,109543 - 11679 - 19.10.2021,40AC-0_208260,180179,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,4885.670675300647,10.1038/s41467-021-24357-5,Reward biases spontaneous neural reactivation during sleep,2021-10-19,Nature Communication,,FALSE,NA,NA,5281.41,1.081,109558 - 10859 - 19.10.2021,51AC-0_206124,151575,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2565.1239592969473,10.7554/eLife.70871,Regulation of human mTOR complexes by DEPTOR,2021-10-19,eLife,eLife Sciences Publications,FALSE,NA,NA,2772.899,1.081,P007517,NA,"179323, 177084",Chronoshub
Swiss National Science Foundation (SNSF),2021,1546.922294172063,10.3390/ijms221910787,Cellular and Molecular Targets of Nucleotide-Tagged Trithiolato-Bridged Arene Ruthenium Complexes in the Protozoan Parasites Toxoplasma gondii and Trypanosoma brucei,2021-10-19,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1672.223,1.081,1396419,NA,"173718, 184662",Chronoshub
Swiss National Science Foundation (SNSF),2021,1324.2183163737282,10.1136/bmjopen-2020-047296,Sustainability of a school-based health intervention for prevention of non-communicable diseases in marginalised communities: protocol for a mixed methods cohort study,2021-10-19,BMJ Open,BMJ Publishing Group,FALSE,NA,NA,1431.48,1.081,APC600251142,NA,192651,Chronoshub
Swiss National Science Foundation (SNSF),2021,1073.2081406105458,10.5194/amt-14-6469-2021,Impact of 3D radiative transfer on airborne NO2 imaging remote sensing over cities with buildings,2021-10-19,Atmospheric Measurement Techniques,Copernicus GmbH,FALSE,NA,NA,1160.138,1.081,AMT-PUC-2021-372,NA,172533,Chronoshub
Swiss National Science Foundation (SNSF),2021,1765.6244218316376,10.1136/bmjopen-2021-051433,Study protocol: the ear–nose–throat (ENT) prospective international cohort of patients with primary ciliary dyskinesia (EPIC-PCD),2021-10-19,BMJ Open,BMJ Publishing Group,FALSE,NA,NA,1908.64,1.081,APC600252808,NA,185923,Chronoshub
Swiss National Science Foundation (SNSF),2021,1592.8871415356152,10.5194/cp-17-2055-2021,Seasonal climate signals preserved in biochemical varves: insights from novel high-resolution sediment scanning techniques,2021-10-19,Climate of the Past,Copernicus GmbH,FALSE,NA,NA,1721.911,1.081,CP-PUC-2021-145,NA,172586,Chronoshub
Swiss National Science Foundation (SNSF),2021,2716.594819611471,10.3389/fnbeh.2021.684647,Rapid sequential implication of the human medial temporal lobe in memory encoding and recognition,2021-10-19,Frontiers in Behavioral Neuroscience,Frontiers Media,FALSE,NA,NA,2936.639,1.081,2021-0386498-4,NA,175472,Chronoshub
Swiss National Science Foundation (SNSF),2021,2716.594819611471,10.3389/fpubh.2021.692884,Sexual minority orientation is associated with greater psychological impact due to the COVID-19 crisis—evidence from a longitudinal cohort study of young Swiss men,2021-10-19,Frontiers in Public Health,Frontiers Media,FALSE,NA,NA,2936.639,1.081,2021-0393971-4,NA,177519,Chronoshub
Swiss National Science Foundation (SNSF),2021,1846.889916743756,10.1364/OE.434652,Accurate detection of spherical objects in a complex background,2021-10-19,Optics Express,Optical Society of America,FALSE,NA,NA,1996.488,1.081,1579113,NA,"153050, 184839",Chronoshub
Swiss National Science Foundation (SNSF),2021,2626.920444033303,10.1161/JAHA.121.021800,Association of Diabetes With Atrial Fibrillation Phenotype and Cardiac and Neurological Comorbidities: Insights From the Swiss-AF Study,2021-10-19,Journal of the American Heart Association,Wiley,FALSE,NA,NA,2839.701,1.081,8684306,NA,"148474, 177520, 176178",Chronoshub
Swiss National Science Foundation (SNSF),2021,3270.5337650323777,10.1126/sciadv.abj8121,"Attosecond interferometry of shape resonances in the recoil frame of CF4",2021-10-19,Science Advances,American Association for the Advancement of Science,FALSE,NA,NA,3535.447,1.081,APC600258172,NA,172946,Chronoshub
Swiss National Science Foundation (SNSF),2021,1749.6716003700278,10.3389/fbinf.2021.757291,Singularity containers improve reproducibility and ease of use in computational image analysis workflows,2021-10-19,Frontiers in Bioinformatics,Frontiers Media,FALSE,NA,NA,1891.395,1.081,2021-0454442-3,NA,191347,Chronoshub
Swiss National Science Foundation (SNSF),2021,2789.36170212766,10.1371/journal.pmed.1003421,"Efficacy and safety of dolutegravir plus emtricitabine versus standard ART for the maintenance of HIV-1 suppression: 48-week results of the factorial, randomized, non-inferiority SIMPL’HIV trial",2021-10-18,PLOS Medicine,,FALSE,1549-1676,http://doi.org/10.1371/journal.pmed.1003421,3015.3,1.081,109526 - 10850 - 18.10.2021,33AC-0_208226,166819,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1275.263644773358,10.3390/healthcare9091204,"Beliefs about Polypharmacy among Home-Dwelling Older Adults Living with Multiple Chronic Conditions, Informal Caregivers and Healthcare Professionals: A Qualitative Study",2021-10-15,Healthcare,MDPI St. Alban-Anlage 66 4052 Basel Switzerland,FALSE,2227-9032,http://doi.org/10.3390/healthcare9091204,1378.56,1.081,109520 - 10288 - 15.10.2021,40AC-0_207973,183434,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1594.0795559666976,10.3390/cells10081882,Tissue-Resident T Cells in Chronic Relapsing–Remitting Intestinal Disorders,2021-10-15,Cells,,FALSE,2073-4409,http://doi.org/10.3390/cells10081882,1723.2,1.081,109518 - 10670 - 15.10.2021,31AC-0_207992,189277,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1605.235892691952,10.5194/cp-17-2031-2021,Statistical characteristics of extreme daily precipitation during 1501 BCE–1849 CE in the Community Earth System Model,2021-10-15,Climate of the Past,,FALSE,1814-9332,http://doi.org/10.5194/cp-17-2031-2021,1735.26,1.081,109521 - 10754 - 15.10.2021,20AC-1_207963,172745,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1909.694727104533,10.1136/bmjopen-2021-053845,Cognitive-bias modification intervention to improve physical activity in patients following a rehabilitation programme: protocol for the randomised controlled IMPACT trial,2021-10-15,BMJ open,,FALSE,NA,NA,2064.38,1.081,109523 - 10815 - 15.10.2021,PZAC-1_207979,180040,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2291.4893617021276,10.3390/ijerph182111015,"“It is like we are living in a different world”: Health inequity in communities surrounding industrial mining sites in Burkina Faso, Mozambique and Tanzania",2021-10-15,International Journal of Environmental Research and Public Health,MDPI,FALSE,NA,NA,2477.1,1.081,109522 - 10415 - 15.10.2021,40AC-0_207966,194003,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2758.3903792784463,10.3389/fcell.2021.729444,"WW, PH and C-Terminal Domains Cooperate to Direct the Subcellular Localizations of PLEKHA5, PLEKHA6 and PLEKHA7",2021-10-15,Frontiers in Cell and Developmental Biology,,FALSE,2296-634X,http://doi.org/10.3389/fcell.2021.729444,2981.82,1.081,109517 - 10239 - 15.10.2021,31AC-0_207112,"200681, 172809",SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,4975.9481961147085,10.1038/s41467-021-25326-8,Epigenetic control of melanoma cell invasiveness by the stem cell factor SALL4,2021-10-15,Nature Communications,,FALSE,2041-1723,http://doi.org/10.1038/s41467-021-25326-8,5379,1.081,109519 - 10674 - 15.10.2021,31AC-0_208063,192075,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1548.2516188714155,10.1186/s12873-020-00397-w,Health care providers’ perception of the frequent emergency department user issue and of targeted case management interventions: a cross-sectional national survey in Switzerland,2021-10-14,BMC Emergency Medicine,,FALSE,1471-227X,http://doi.org/10.1186/s12873-020-00397-w,1673.66,1.081,109489 - 11075 - 14.10.2021,40AC-0_207858,167341,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1776.5864939870492,10.3389/fpain.2021.714469,"Effects of the Mere Presence of a Dog on Pain Perception and Placebo Analgesia-A Randomized Controlled Trial”, by Cora Wagner",2021-10-14,Frontiers in Pain Research-Pharmacological Treatment of Pain,,FALSE,NA,NA,1920.49,1.081,109501 - 10239 - 14.10.2021,PZAC-1_207937,174082,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2758.3903792784463,10.3389/fmicb.2021.633396,The Sputum Microbiome in Pulmonary Tuberculosis and Its Association With Disease Manifestations: A Cross-Sectional Study,2021-10-14,Frontiers in Microbiology,,FALSE,1664-302X,http://doi.org/10.3389/fmicb.2021.633396,2981.82,1.081,109488 - 10565 - 14.10.2021,31AC-0_207859,188888,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1034.0240518038854,10.1186/s13550-021-00809-3,Preselection of robust radiomic features does not improve outcome modelling in non-small cell lung cancer based on clinical routine FDG-PET imaging,2021-10-13,EJNMMI Research,,FALSE,2191-219X,http://doi.org/10.1186/s13550-021-00809-3,1117.78,1.081,109455 - 10752 - 13.10.2021,31AC-0_207233,173303,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1205.8649398704904,10.5194/tc-15-4625-2021,Local-scale variability of seasonal mean and extreme values of in situ snow depth and snowfall measurements,2021-10-13,The Cryosphere,,FALSE,1994-0424,http://doi.org/10.5194/tc-15-4625-2021,1303.54,1.081,109458 - 10754 - 13.10.2021,20AC-1_207423,175920,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1145.3561517113785,10.1057/s41599-021-00913-8,"Comparing personal and social optimism biases: Magnitude, overlap, modifiability, and links with social identification",2021-10-13,Humanities and Social Sciences Communications,,FALSE,NA,NA,1238.13,1.081,109464 - 10859 - 13.10.2021,PPAC-1_207529,"150492, 183709",SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1334.458834412581,10.1186/s13617-021-00108-5,"Integrating hazard, exposure, vulnerability and resilience for risk and emergency management in a volcanic context:  the ADVISE model",2021-10-13,Journal of Applied Volcanology,Springer Nature,FALSE,NA,NA,1442.55,1.081,109465 - 10752 - 13.10.2021,IZAC-0_207545,"129997, 181030",SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1753.4875115633672,10.3390/cancers13194983,Mir‑21 Suppression Promotes Mouse Hepatocarcinogenesis,2021-10-13,Cancers,MDPI,FALSE,NA,NA,1895.52,1.081,109471 - 10415 - 13.10.2021,CRAC-3_207521,"200530, 160717, 172862",SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2000,10.1002/ece3.7877,Life‐history responses of a freshwater rotifer to copper pollution,2021-10-13,Ecology and Evolution,John Wiley & Sons Ltd. ,FALSE,2045-7758,http://doi.org/10.1002/ece3.v11.16,2162,1.081,109462 - 10674 - 13.10.2021,31AC-0_207527,182286,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2227.9833487511564,10.1042/BST20201136,Transcriptional control of ribosome biogenesis in yeast: links to growth and stress signals,2021-10-13,Biochemical Society Transactions,Portland Press,TRUE,1470-8752,http://doi.org/10.1042/BST20201136,2408.45,1.081,109460 - 10815 - 13.10.2021,31AC-0_207327,189383,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2437.5578168362626,10.1016/j.xcrp.2021.100567,Anchoring single platinum atoms onto nickel nanoparticles affords highly selective catalysts for lignin conversion,2021-10-13,Cell Reports Physical Science,Elsevier,FALSE,NA,NA,2635,1.081,109457 - 10179 - 13.10.2021,20AC-1_207328,200344,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2706.7530064754856,10.3389/fpls.2021.720462,Comparative Transcriptome Analysis of Wheat Lines in the Field Reveals Multiple Essential Biochemical Pathways Suppressed by Obligate Pathogens,2021-10-13,Frontiers in Plant Science,,FALSE,1664-462X,http://doi.org/10.3389/fpls.2021.720462,2926,1.081,109459 - 10674 - 13.10.2021,31AC-0_207326,163325,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2758.3903792784463,10.3389/feart.2021.713175,Modelling Settling-Driven Gravitational Instabilities at the Base of Volcanic Clouds Using the Lattice Boltzmann Method,2021-10-13,Frontiers in Earth Science-Volcanology,Frontiers Media SA,FALSE,NA,NA,2981.82,1.081,109454 - 10239 - 13.10.2021,20AC-1_207544,169463,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2758.3903792784463,10.3389/feart.2021.757742,"A new inclusive Volcanic Risk Ranking, Part 2: Application to Latin America",2021-10-13,Frontiers in Earth Science-Geohazards and Georisks,Frontiers Media SA,FALSE,NA,NA,2981.82,1.081,109456 - 10239 - 13.10.2021,20AC-1_207324,188757,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2758.3903792784463,10.3389/fnagi.2021.704362,Age-related differences in resting-state EEG and allocentric spatial working memory performance,2021-10-13,Frontiers in Aging Neuroscience,Frontiers Media SA,FALSE,NA,NA,2981.82,1.081,109467 - 10239 - 13.10.2021,10AC--_207518,165481,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2758.3903792784463,10.3389/fimmu.2021.723393,Trained Immunity Confers Prolonged Protection From Listeriosis,2021-10-13,Frontiers in Immunology,,FALSE,1664-3224,http://doi.org/10.3389/fimmu.2021.723393,2981.82,1.081,109469 - 10239 - 13.10.2021,31AC-0_207524,173123,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2809.3617021276596,10.1016/j.isci.2021.103182,Modeling tooth enamel in FEA comparisons of skulls: comparing common simplifications with biologically realistic models,2021-10-13,iScience,,FALSE,NA,http://doi.org/10.1016/j.isci.2021.103182,3036.92,1.081,109461 - 10822 - 13.10.2021,31AC-0_207422,179401,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,3457.6873265494914,10.1093/nar/gkaa852,Mechanisms coordinating ribosomal protein gene transcription in response to stress,2021-10-13,Nucleic Acids Research,,FALSE,1362-4962,http://doi.org/10.1093/nar/gkaa852,3737.76,1.081,109468 - 10849 - 13.10.2021,31AC-0_207523,189383,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,4410.7308048103605,10.1172/JCI151800,A randomized controlled trial of GLP-1 receptor agonist dulaglutide in primary polydipsia,2021-10-13,Journal of Clinical Investigation,,TRUE,NA,NA,4768,1.081,109463 - 10675 - 13.10.2021,32AC-0_207415,162608,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,1457.9195189639224,10.1371/journal.pone.0253888,The longitudinal role of early family risks and early social-emotional problems for friendship quality in preadolescence—A regression model,2021-10-11,PLOS ONE,Public Library of Science (PLoS),FALSE,NA,NA,1576.011,1.081,PAB321545,NA,166003,Chronoshub
Swiss National Science Foundation (SNSF),2021,2104.2534690101756,10.1016/j.wace.2021.100348,A global perspective on the sub-seasonal clustering of precipitation extremes,2021-10-11,Weather and Climate Extremes,Elsevier,FALSE,NA,NA,2274.698,1.081,OAD0000147113,NA,178751,Chronoshub
Swiss National Science Foundation (SNSF),2021,2561.209065679926,10.1038/s41524-021-00577-7,High energy barriers for edge dislocation motion in body-centered cubic high entropy alloys,2021-10-11,npj Computational Materials,Nature Publishing Group,FALSE,NA,NA,2768.667,1.081,2676274434,NA,181987,Chronoshub
Swiss National Science Foundation (SNSF),2021,4854.509713228493,10.1038/s41467-021-24788-0,Pancreatic Ppy-expressing γ-cells display mixed phenotypic traits and adaptive plasticity to engage insulin production,2021-10-11,Nature Communications,Nature Publishing Group,FALSE,NA,NA,5247.725,1.081,2676274203,NA,192496,Chronoshub
Swiss National Science Foundation (SNSF),2021,1388.0518038852913,10.5194/tc-15-3539-2021,"Dynamic crack propagation in weak snowpack layers: insights from high-resolution, high-speed photography",2021-10-11,The Cryosphere Discussions,Copernicus Publications,FALSE,NA,NA,1500.484,1.081,TC-PUC-2021-273,NA,169424,Chronoshub
Swiss National Science Foundation (SNSF),2021,2591.7890841813137,10.1016/j.isci.2021.102872,Assessing joint commitment as a process in great apes,2021-10-11,iScience,Elsevier,FALSE,NA,NA,2801.724,1.081,OAD0000146678,NA,166331,Chronoshub
Swiss National Science Foundation (SNSF),2021,4831.194264569843,10.1016/j.celrep.2021.109554,Functional harmonics reveal multi-dimensional basis functions underlying cortical organization,2021-10-11,Cell Reports,Elsevier,FALSE,NA,NA,5222.521,1.081,OAD0000148574,NA,170873,Chronoshub
Swiss National Science Foundation (SNSF),2021,1384.9426456984274,10.1016/j.heliyon.2021.e07880,"Living benthic foraminifera from cold-water coral ecosystems in the eastern Alboran Sea, Western Mediterranean",2021-10-11,Heliyon,Elsevier,FALSE,NA,NA,1497.123,1.081,OAD0000149464,NA,153125,Chronoshub
Swiss National Science Foundation (SNSF),2021,4831.194264569843,10.1016/j.celrep.2021.109633,"Not4 and Not5 modulate translation elongation by Rps7A ubiquitination, Rli1 moonlighting, and condensates that exclude eIF5A",2021-10-11,Cell Reports,Elsevier,FALSE,NA,NA,5222.521,1.081,OAD0000149468,NA,172999,Chronoshub
Swiss National Science Foundation (SNSF),2021,1480.1110083256244,10.3390/ijms22179502,RNA granules in the mitochondria and their organization under mitochondrial stresses,2021-10-11,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1600,1.081,1350793,NA,179421,Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fimmu.2021.727508,Extracellular Matrix-induced GM-CSF and Hypoxia Promote Immune Control of Mycobacterium tuberculosis in Human In Vitro Granulomas,2021-10-11,Frontiers in Immunology,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0425814-3,NA,197838,Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fpsyg.2021.705937,Proof of Concept: A Brief Psycho-Educational Training Program to Increase the Use of Positive Emotion Regulation Strategies in Individuals with Autism Spectrum Disorder,2021-10-11,Frontiers in Psychology,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0405749-3,NA,"154937, 176722",Chronoshub
Swiss National Science Foundation (SNSF),2021,1480.1110083256244,10.3390/genes12101479,MYO5A Frameshift Variant in a Miniature Dachshund with Coat Color Dilution and Neurological Defects Resembling Human Griscelli Syndrome Type 1,2021-10-11,Genes,MDPI,FALSE,NA,NA,1600,1.081,1375648,NA,200354,Chronoshub
Swiss National Science Foundation (SNSF),2021,1295.0971322849214,10.3390/genes12101481,"Trends in the Application of \\""Omics\\"" to Ecotoxicology and Stress Ecolog",2021-10-11,Genes,MDPI,FALSE,NA,NA,1400,1.081,1345968,NA,176234,Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fphys.2021.734111,"High-Intensity Interval Training for Heart Failure Patients With Preserved Ejection Fraction (HIT-HF)-Rational and Design of a Prospective, Randomized, Controlled Trial",2021-10-11,Frontiers in Physiology,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0431730-3,NA,185217,Chronoshub
Swiss National Science Foundation (SNSF),2021,1811.063829787234,10.1038/s41598-021-98271-7,In vivo analysis of onset and progression of retinal degeneration in the Nr2e3 rd7\/rd7 mouse model of enhanced S-cone sensitivity syndrome,2021-10-11,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1957.76,1.081,2676275935,NA,169237,Chronoshub
Swiss National Science Foundation (SNSF),2021,1480.1110083256244,10.3390/ijms221910434,Placental expression of bile acid transporters in intrahepatic cholestasis of pregnancy,2021-10-11,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1600,1.081,1358843,NA,"149958, 185544",Chronoshub
Swiss National Science Foundation (SNSF),2021,2871.9842738205366,10.1038/s42003-021-02584-2,Cleaner fish are sensitive to what their partners can and cannot see,2021-10-11,Communications Biology,Springer Nature,FALSE,NA,NA,3104.615,1.081,2676272421,NA,173334,Chronoshub
Swiss National Science Foundation (SNSF),2021,5027.058279370953,10.1038/s41467-021-25466-x,Wdr1 and coﬁlin are necessary mediators of immune-cell-speciﬁc apoptosis triggered by Tecﬁdera,2021-10-11,Communications Medicine,Springer Nature,FALSE,NA,NA,5434.25,1.081,Reimbursement 2676266112,NA,185898,Chronoshub
Swiss National Science Foundation (SNSF),2021,1838.7955596669751,10.5194/nhess-21-2949-2021,A climatology of sub-seasonal temporal clustering of extreme precipitation in Switzerland and its links to extreme discharge,2021-10-11,Natural Hazards and Earth System Science,Copernicus GmbH,FALSE,NA,NA,1987.738,1.081,NHESS-PUC-2021-207,NA,178751,Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fpsyg.2021.722881,Worry and positive episodes in the daily lives of individuals with generalized anxiety disorder: An ecological momentary assessment study,2021-10-11,Frontiers in Psychology,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0421328-3,NA,"163702, 190083",Chronoshub
Swiss National Science Foundation (SNSF),2021,1811.063829787234,10.1038/s41598-021-99289-7,Possible vertebral brucellosis infection in a Neanderthal,2021-10-11,Scientific Reports,Nature Publishing Group,FALSE,NA,NA,1957.76,1.081,2676275728,NA,"156299, 176319",Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fmars.2021.720603,"Bycatch estimates from a Pacific tuna longline fishery provide a baseline for understanding the long-term benefits of a large, blue water marine sanctuary",2021-10-11,Frontiers in Marine Science,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0419116-3,NA,184044,Chronoshub
Swiss National Science Foundation (SNSF),2021,1480.1110083256244,10.3390/cells10102733,Steatosis alters the activity of hepatocyte membrane transport-ers in obese rats,2021-10-11,Cells,MDPI,FALSE,NA,NA,1600,1.081,1403925,NA,126030,Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fcell.2021.731964,Dictyostelium Dynamin Superfamily GTPases Implicated in Vesicle Trafficking and Host-Pathogen Interactions,2021-10-11,Frontiers in Cell and Developmental Biology,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0429912-4,NA,175557,Chronoshub
Swiss National Science Foundation (SNSF),2021,1736.0499537465312,10.1002/ece3.8192,Evolutionary and plastic variation in larval growth and digestion reveal the complex underpinnings of size and age at maturation in dung beetles,2021-10-11,Ecology and Evolution,Wiley,FALSE,NA,NA,1876.67,1.081,8426682,NA,"184003, 199257",Chronoshub
Swiss National Science Foundation (SNSF),2021,880.0416281221093,10.3389/fsufs.2021.700990,'''''''''''''''Now the forest is over'''''''''''''''': transforming the commons and remaking gender in Cambodia''''''''''''''''s uplands,2021-10-11,Frontiers in Sustainbale Food Systems,Frontiers Media,FALSE,NA,NA,951.325,1.081,2021-0401510-4,NA,177591,Chronoshub
Swiss National Science Foundation (SNSF),2021,2306.6355226642,10.3389/fcvm.2021.750926,Plasma Hydrogen Sulfide is Positively Associated with Post-Operative Survival in Patients Undergoing Surgical Revascularization,2021-10-11,Frontiers in Cardiovascular Medicine,Frontiers Media,FALSE,NA,NA,2493.473,1.081,2021-0448050-3,NA,185927,Chronoshub
Swiss National Science Foundation (SNSF),2021,2732.7604070305274,10.3389/fnins.2021.658353,Visual but not auditory feedback induces after-effects following adaptation to virtual prisms,2021-10-11,Frontiers in Neuroscience,Frontiers Media,FALSE,NA,NA,2954.114,1.081,2021-0362391-5,NA,"184702, 175472",Chronoshub
Swiss National Science Foundation (SNSF),2021,845.7663274745606,10.1556/2006.2021.00073,Changes in substance use and other reinforcing behaviours during the COVID-19 crisis in a general population cohort study of young Swiss men,2021-10-11,Journal of Behavioral Addictions,Akadémiai Kiadó,FALSE,NA,NA,914.2734,1.081,60300725,NA,"148493, 177519",Chronoshub
Swiss National Science Foundation (SNSF),2021,4917.576318223867,10.2139/ssrn.3812428,SARS-CoV-2 antibody seroprevalence and associated risk factors in an urban district in Cameroon,2021-10-06,Nature Communications,,FALSE,NA,NA,5315.9,1.081,109378 - 10859 - 06.10.2021,PPAC-3_207337,202660,SNSF-OA-Grants
Swiss National Science Foundation (SNSF),2021,2344.671600370028,10.7554/eLife.68903,Circadian Regulation of Vertebrate Cone Photoreceptor Function,2021-10-04,eLife,eLife Sciences,FALSE,NA,NA,2534.59,1.081,109351 - 10821 - 04.10.2021,31AC-0_207304,173083,SNSF-OA-Grants
