Institution name;APC Payment Year;Date of Submission;Date of Acceptance;DOI;DOI URL;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN(s);Journal ISSN print;Journal ISSN electronic;journal_issn_l ;Article License;agreement
University of Basel;2024;02.09.2024;19.11.2024;10.1177/13524585241305966;https://doi.org/10.1177/13524585241305966;TRUE;Hybrid;Sage Publications;Multiple Sclerosis Journal;1477-0970;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;19.06.2024;22.11.2024;10.1177/23259582241307694;https://doi.org/10.1177/23259582241307694;FALSE;Gold;Sage Publications;Journal of the International Association of Providers of AIDS Care;2325-9582;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;23.08.2023;25.10.2024;10.1177/00420980241308111;https://doi.org/10.1177/00420980241308111;TRUE;Hybrid;Sage Publications;Urban Studies;1360-063X;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;18.07.2024;04.11.2024;10.1177/07255136241308885;https://doi.org/10.1177/07255136241308885;TRUE;Hybrid;Sage Publications;Thesis Eleven;1461-7455;;;;CC BY 4.0;Switzerland2023
University of Basel;2024;08.11.2024;15.12.2024;10.1177/23969873241311152;https://doi.org/10.1177/23969873241311152;TRUE;Hybrid;Sage Publications;European Stroke Journal;2396-9881;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;26.03.2024;05.04.2024;10.1177/00027162241248998;https://doi.org/10.1177/00027162241248998;TRUE;Hybrid;Sage Publications;ANNALS of the American Academy of Political and Social Science, The;1552-3349;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;07.08.2023;25.04.2024;10.1177/13621688241254311;https://doi.org/10.1177/13621688241254311;TRUE;Hybrid;Sage Publications;Language Teaching Research;1477-0954;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;10.04.2023;14.04.2024;10.1177/13607804241259279;https://doi.org/10.1177/13607804241259279;TRUE;Hybrid;Sage Publications;Sociological Research Online;1360-7804;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;22.03.2024;28.05.2024;10.1177/02646196241261635;https://doi.org/10.1177/02646196241261635;TRUE;Hybrid;Sage Publications;British Journal of Visual Impairment;1744-5809;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;20.10.2023;18.03.2024;10.1177/09719458241262118;https://doi.org/10.1177/09719458241262118;TRUE;Hybrid;Sage Publications;Medieval History Journal;0973-0753;;;;CC BY-NC 4.0;Switzerland2023
University of Fribourg;2024;18.04.2024;13.06.2024;10.1177/0308518X241265598;https://doi.org/10.1177/0308518X241265598;TRUE;Hybrid;Sage Publications;Environment and Planning A;1472-3409;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;04.11.2022;12.06.2024;10.1177/14648849241266719;https://doi.org/10.1177/14648849241266719;TRUE;Hybrid;Sage Publications;Journalism;1741-3001;;;;CC BY-NC 4.0;Switzerland2023
University of Fribourg;2024;29.08.2023;27.06.2024;10.1177/13621688241270803;https://doi.org/10.1177/13621688241270803;TRUE;Hybrid;Sage Publications;Language Teaching Research;1477-0954;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;18.10.2023;28.06.2024;10.1177/14749041241272504;https://doi.org/10.1177/14749041241272504;TRUE;Hybrid;Sage Publications;European Educational Research Journal;1474-9041;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;05.02.2024;12.08.2024;10.1177/23522798241278284;https://doi.org/10.1177/23522798241278284;TRUE;Hybrid;Sage Publications;Journal of Social Studies Research;0885-985X;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;10.08.2024;12.08.2024;10.1177/0308518X241280007;https://doi.org/10.1177/0308518X241280007;TRUE;Hybrid;Sage Publications;Environment and Planning A;1472-3409;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;13.12.2023;01.08.2024;10.1177/02698811241278873;https://doi.org/10.1177/02698811241278873;TRUE;Hybrid;Sage Publications;Journal of Psychopharmacology;1461-7285;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;08.02.2024;06.08.2024;10.1177/26349825241283838;https://doi.org/10.1177/26349825241283838;TRUE;Hybrid;Sage Publications;Environment and Planning F;2634-9825;;;;CC BY 4.0;Switzerland2023
University of Fribourg;2024;05.06.2024;11.10.2024;10.1177/14648849241299773;https://doi.org/10.1177/14648849241299773;TRUE;Hybrid;Sage Publications;Journalism;1741-3001;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;23.11.2022;02.11.2023;10.1177/14651165241226721;https://doi.org/10.1177/14651165241226721;TRUE;Hybrid;Sage Publications;European Union Politics;1741-2757;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;02.01.2024;03.01.2024;10.1177/14634996241227272;https://doi.org/10.1177/14634996241227272;TRUE;Hybrid;Sage Publications;Anthropological Theory;1741-2641;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;28.12.2023;12.01.2024;10.1177/10806032241230254;https://doi.org/10.1177/10806032241230254;TRUE;Hybrid;Sage Publications;Wilderness & Environmental Medicine;1545-1534;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;04.10.2023;23.01.2024;10.1177/1023263X241231486;https://doi.org/10.1177/1023263X241231486;TRUE;Hybrid;Sage Publications;Maastricht Journal of European and Comparative Law;2399-5548;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;26.12.2023;23.01.2024;10.1177/10806032241231554;https://doi.org/10.1177/10806032241231554;TRUE;Hybrid;Sage Publications;Wilderness & Environmental Medicine;1545-1534;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;16.10.2023;26.01.2024;10.1177/13591053241233509;https://doi.org/10.1177/13591053241233509;TRUE;Hybrid;Sage Publications;Journal of Health Psychology;1461-7277;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;20.01.2024;20.01.2024;10.1177/09754253241230636;https://doi.org/10.1177/09754253241230636;TRUE;Hybrid;Sage Publications;Environment and Urbanization Asia;0976-3546;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;13.04.2023;24.01.2024;10.1177/0192513X241236563;https://doi.org/10.1177/0192513X241236563;TRUE;Hybrid;Sage Publications;Journal of Family Issues;1552-5481;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;12.10.2023;05.02.2024;10.1177/01461672241235388;https://doi.org/10.1177/01461672241235388;TRUE;Hybrid;Sage Publications;Personality and Social Psychology Bulletin;1552-7433;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;07.01.2024;13.02.2024;10.1177/10781552241237441;https://doi.org/10.1177/10781552241237441;TRUE;Hybrid;Sage Publications;Journal of Oncology Pharmacy Practice;1477-092X;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;17.08.2023;16.02.2024;10.1177/00238309241237473;https://doi.org/10.1177/00238309241237473;TRUE;Hybrid;Sage Publications;Language and Speech;1756-6053;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;09.06.2023;16.02.2024;10.1177/13591053241237569;https://doi.org/10.1177/13591053241237569;TRUE;Hybrid;Sage Publications;Journal of Health Psychology;1461-7277;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;27.02.2023;21.02.2024;10.1177/17579759241238009;https://doi.org/10.1177/17579759241238009;TRUE;Hybrid;Sage Publications;Global Health Promotion;1756-3976;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;24.02.2024;01.03.2024;10.1177/10806032241240448;https://doi.org/10.1177/10806032241240448;TRUE;Hybrid;Sage Publications;Wilderness & Environmental Medicine;1545-1534;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;02.02.2023;25.02.2024;10.1177/14680181241246935;https://doi.org/10.1177/14680181241246935;TRUE;Hybrid;Sage Publications;Global Social Policy;1741-2803;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;07.07.2023;25.03.2024;10.1177/00323217241247674;https://doi.org/10.1177/00323217241247674;TRUE;Hybrid;Sage Publications;Political Studies;1467-9248;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;06.10.2023;18.04.2024;10.1177/13623613241253015;https://doi.org/10.1177/13623613241253015;TRUE;Hybrid;Sage Publications;Autism;1461-7005;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;01.11.2022;29.02.2024;10.1177/00223433241252554;https://doi.org/10.1177/00223433241252554;TRUE;Hybrid;Sage Publications;Journal of Peace Research;1460-3578;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;23.10.2023;03.05.2024;10.1177/14749041241257282;https://doi.org/10.1177/14749041241257282;TRUE;Hybrid;Sage Publications;European Educational Research Journal;1474-9041;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;04.04.2023;18.04.2024;10.1177/14614448241252593;https://doi.org/10.1177/14614448241252593;TRUE;Hybrid;Sage Publications;New Media & Society;1461-7315;;;;CC BY-NC 4.0;Switzerland2023
University of Geneva;2024;03.04.2024;16.05.2024;10.1177/19322968241260037;https://doi.org/10.1177/19322968241260037;TRUE;Hybrid;Sage Publications;Journal of Diabetes Science and Technology;1932-2968;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;03.06.2024;03.06.2024;10.1177/02610183241262733;https://doi.org/10.1177/02610183241262733;TRUE;Hybrid;Sage Publications;Critical Social Policy;1461-703X;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;13.12.2023;09.06.2024;10.1177/14747049241263995;https://doi.org/10.1177/14747049241263995;FALSE;Gold;Sage Publications;Evolutionary Psychology;1474-7049;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;03.04.2023;12.07.2024;10.1177/08902070241272247;https://doi.org/10.1177/08902070241272247;TRUE;Hybrid;Sage Publications;European Journal of Personality;1099-0984;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;02.07.2024;15.07.2024;10.1177/15910199241273974;https://doi.org/10.1177/15910199241273974;TRUE;Hybrid;Sage Publications;Interventional Neuroradiology;2385-2011;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;26.04.2024;15.08.2024;10.1177/10781552241280723;https://doi.org/10.1177/10781552241280723;TRUE;Hybrid;Sage Publications;Journal of Oncology Pharmacy Practice;1477-092X;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;20.11.2023;18.08.2024;10.1177/14730952241281671;https://doi.org/10.1177/14730952241281671;TRUE;Hybrid;Sage Publications;Planning Theory;1741-3052;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;30.01.2024;14.08.2024;10.1177/13623613241281029;https://doi.org/10.1177/13623613241281029;TRUE;Hybrid;Sage Publications;Autism;1461-7005;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;07.09.2024;08.09.2024;10.1177/20416695241286413;https://doi.org/10.1177/20416695241286413;FALSE;Gold;Sage Publications;i-Perception;2041-6695;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;04.01.2024;10.08.2024;10.1177/00323292241283293;https://doi.org/10.1177/00323292241283293;TRUE;Hybrid;Sage Publications;Politics & Society;1552-7514;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;09.04.2024;28.08.2024;10.1177/09637214241287171;https://doi.org/10.1177/09637214241287171;TRUE;Hybrid;Sage Publications;Current Directions in Psychological Science;1467-8721;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;24.04.2023;17.09.2024;10.1177/14604582241291789;https://doi.org/10.1177/14604582241291789;FALSE;Gold;Sage Publications;Health Informatics Journal;1741-2811;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;05.12.2023;01.07.2024;10.1177/07067437241293979;https://doi.org/10.1177/07067437241293979;TRUE;Hybrid;Sage Publications;Canadian Journal of Psychiatry;1497-0015;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;31.01.2024;13.09.2024;10.1177/17470218241299918;https://doi.org/10.1177/17470218241299918;TRUE;Hybrid;Sage Publications;Quarterly Journal of Experimental Psychology;1747-0226;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;12.10.2023;04.11.2024;10.1177/17540739241303506;https://doi.org/10.1177/17540739241303506;TRUE;Hybrid;Sage Publications;Emotion Review;1754-0747;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;27.03.2023;11.11.2024;10.1177/02656590241308793;https://doi.org/10.1177/02656590241308793;TRUE;Hybrid;Sage Publications;Child Language Teaching and Therapy;1477-0865;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;15.09.2022;13.12.2024;10.1177/07417136241310882;https://doi.org/10.1177/07417136241310882;TRUE;Hybrid;Sage Publications;Adult Education Quarterly;1552-3047;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;24.06.2024;17.12.2024;10.1177/09567976241311923;https://doi.org/10.1177/09567976241311923;TRUE;Hybrid;Sage Publications;Psychological Science;1467-9280;;;;CC BY 4.0;Switzerland2023
University of Geneva;2024;05.12.2023;10.09.2024;10.1177/17470218241311415;https://doi.org/10.1177/17470218241311415;TRUE;Hybrid;Sage Publications;Quarterly Journal of Experimental Psychology;1747-0226;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;18.05.2022;18.12.2023;10.1177/13540661241226473;https://doi.org/10.1177/13540661241226473;TRUE;Hybrid;Sage Publications;European Journal of International Relations;1460-3713;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;18.04.2023;03.01.2024;10.1177/09731741241228359;https://doi.org/10.1177/09731741241228359;TRUE;Hybrid;Sage Publications;Journal of South Asian Development;0973-1733;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;07.10.2022;03.11.2023;10.1177/09589287241229304;https://doi.org/10.1177/09589287241229304;TRUE;Hybrid;Sage Publications;Journal of European Social Policy;1461-7269;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;23.08.2022;16.01.2024;10.1177/03091333241229919;https://doi.org/10.1177/03091333241229919;TRUE;Hybrid;Sage Publications;Progress in Physical Geography;1477-0296;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;22.05.2023;12.12.2023;10.1177/01634437241229170;https://doi.org/10.1177/01634437241229170;TRUE;Hybrid;Sage Publications;Media, Culture & Society;1460-3675;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;25.07.2023;12.01.2024;10.1177/02654075241231302;https://doi.org/10.1177/02654075241231302;TRUE;Hybrid;Sage Publications;Journal of Social and Personal Relationships;1460-3608;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;30.09.2023;28.01.2024;10.1177/10690727241232439;https://doi.org/10.1177/10690727241232439;TRUE;Hybrid;Sage Publications;Journal of Career Assessment;1552-4590;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;16.05.2023;26.01.2024;10.1177/02697580241232436;https://doi.org/10.1177/02697580241232436;TRUE;Hybrid;Sage Publications;International Review of Victimology;2047-9433;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;13.11.2023;29.01.2024;10.1177/00207640241232321;https://doi.org/10.1177/00207640241232321;TRUE;Hybrid;Sage Publications;International Journal of Social Psychiatry;1741-2854;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;11.10.2023;02.02.2024;10.1177/10690727241234929;https://doi.org/10.1177/10690727241234929;TRUE;Hybrid;Sage Publications;Journal of Career Assessment;1552-4590;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;12.06.2023;14.02.2024;10.1177/17499755241237014;https://doi.org/10.1177/17499755241237014;TRUE;Hybrid;Sage Publications;Cultural Sociology;1749-9763;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;12.10.2023;21.02.2024;10.1177/18632521241238149;https://doi.org/10.1177/18632521241238149;FALSE;Gold;Sage Publications;Journal of Childrens Orthopaedics;1863-2548;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;05.08.2022;01.03.2024;10.1177/00420980241240951;https://doi.org/10.1177/00420980241240951;TRUE;Hybrid;Sage Publications;Urban Studies;1360-063X;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;21.10.2022;21.02.2024;10.1177/26349825241241522;https://doi.org/10.1177/26349825241241522;TRUE;Hybrid;Sage Publications;Environment and Planning F;2634-9825;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;07.11.2023;28.02.2024;10.1177/17562864241239755;https://doi.org/10.1177/17562864241239755;FALSE;Gold;Sage Publications;Therapeutic Advances in Neurological Disorders;1756-2864;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;01.01.2024;23.01.2024;10.1177/10439862241245890;https://doi.org/10.1177/10439862241245890;TRUE;Hybrid;Sage Publications;Journal of Contemporary Criminal Justice;1552-5406;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;20.03.2024;20.03.2024;10.1177/10439862241245820;https://doi.org/10.1177/10439862241245820;TRUE;Hybrid;Sage Publications;Journal of Contemporary Criminal Justice;1552-5406;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;08.05.2023;17.03.2024;10.1177/08948453241246720;https://doi.org/10.1177/08948453241246720;TRUE;Hybrid;Sage Publications;Journal of Career Development;1556-0856;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;11.11.2023;25.03.2024;10.1177/02666669241248149;https://doi.org/10.1177/02666669241248149;TRUE;Hybrid;Sage Publications;Information Development;1741-6469;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;28.12.2023;05.04.2024;10.1177/00302228241248683;https://doi.org/10.1177/00302228241248683;TRUE;Hybrid;Sage Publications;OMEGA - Journal of Death and Dying;1541-3764;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;11.06.2023;11.04.2024;10.1177/00323217241251700;https://doi.org/10.1177/00323217241251700;TRUE;Hybrid;Sage Publications;Political Studies;1467-9248;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;19.12.2023;13.05.2024;10.1177/21676968241258270;https://doi.org/10.1177/21676968241258270;TRUE;Hybrid;Sage Publications;Emerging Adulthood;2167-6984;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;10.04.2023;25.04.2024;10.1177/00938548241257604;https://doi.org/10.1177/00938548241257604;TRUE;Hybrid;Sage Publications;Criminal Justice and Behavior;1552-3594;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;14.11.2023;10.01.2024;10.1177/23259671241261103;https://doi.org/10.1177/23259671241261103;FALSE;Gold;Sage Publications;Orthopaedic Journal of Sports Medicine;2325-9671;;;;CC BY-NC-ND 4.0;Switzerland2023
University of Lausanne;2024;04.10.2023;16.05.2024;10.1177/10731911241259560;https://doi.org/10.1177/10731911241259560;TRUE;Hybrid;Sage Publications;Assessment;1552-3489;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;22.11.2023;31.05.2024;10.1177/02654075241263239;https://doi.org/10.1177/02654075241263239;TRUE;Hybrid;Sage Publications;Journal of Social and Personal Relationships;1460-3608;;;;CC BY-NC 4.0;Switzerland2023
University of Lausanne;2024;29.02.2024;06.06.2024;10.1177/10126902241264316;https://doi.org/10.1177/10126902241264316;TRUE;Hybrid;Sage Publications;International Review for the Sociology of Sport;1461-7218;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;04.03.2024;07.07.2024;10.1177/09596801241268144;https://doi.org/10.1177/09596801241268144;TRUE;Hybrid;Sage Publications;European Journal of Industrial Relations;1461-7129;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;08.06.2024;19.07.2024;10.1177/0308275X241269582;https://doi.org/10.1177/0308275X241269582;TRUE;Hybrid;Sage Publications;Critique of Anthropology;1460-3721;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;19.06.2024;19.07.2024;10.1177/0308275X241269650;https://doi.org/10.1177/0308275X241269650;TRUE;Hybrid;Sage Publications;Critique of Anthropology;1460-3721;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;27.11.2023;28.05.2024;10.1177/00104140241271166;https://doi.org/10.1177/00104140241271166;TRUE;Hybrid;Sage Publications;Comparative Political Studies;1552-3829;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;22.04.2024;13.07.2024;10.1177/20563051241274658;https://doi.org/10.1177/20563051241274658;FALSE;Gold;Sage Publications;Social Media and Society;2056-3051;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;28.02.2022;02.08.2024;10.1177/01622439241276262;https://doi.org/10.1177/01622439241276262;TRUE;Hybrid;Sage Publications;Science, Technology & Human Values;1552-8251;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;19.02.2024;07.08.2024;10.1177/23821205241277334;https://doi.org/10.1177/23821205241277334;FALSE;Gold;Sage Publications;Journal of Medical Education and Curricular Development;2382-1205;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;31.10.2023;22.07.2024;10.1177/00380385241275852;https://doi.org/10.1177/00380385241275852;TRUE;Hybrid;Sage Publications;Sociology;1469-8684;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;15.05.2023;10.08.2024;10.1177/20416695241278562;https://doi.org/10.1177/20416695241278562;FALSE;Gold;Sage Publications;i-Perception;2041-6695;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;08.05.2024;01.08.2024;10.1177/13657127241278069;https://doi.org/10.1177/13657127241278069;TRUE;Hybrid;Sage Publications;International Journal of Evidence & Proof, The;1740-5572;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;11.02.2023;15.06.2024;10.1177/00076503241271255;https://doi.org/10.1177/00076503241271255;TRUE;Hybrid;Sage Publications;Business & Society;1552-4205;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;15.05.2024;18.08.2024;10.1177/13591053241284197;https://doi.org/10.1177/13591053241284197;TRUE;Hybrid;Sage Publications;Journal of Health Psychology;1461-7277;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;03.04.2024;02.09.2024;10.1177/11786329241284400;https://doi.org/10.1177/11786329241284400;FALSE;Gold;Sage Publications;Health Services Insights;1178-6329;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;22.03.2024;07.09.2024;10.1177/10690727241287533;https://doi.org/10.1177/10690727241287533;TRUE;Hybrid;Sage Publications;Journal of Career Assessment;1552-4590;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;27.06.2024;10.09.2024;10.1177/10690727241287534;https://doi.org/10.1177/10690727241287534;TRUE;Hybrid;Sage Publications;Journal of Career Assessment;1552-4590;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;15.07.2024;05.09.2024;10.1177/10384162241286227;https://doi.org/10.1177/10384162241286227;TRUE;Hybrid;Sage Publications;Australian Journal of Career Development;2200-6974;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;29.12.2023;12.09.2024;10.1177/10690727241289126;https://doi.org/10.1177/10690727241289126;TRUE;Hybrid;Sage Publications;Journal of Career Assessment;1552-4590;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;30.11.2022;21.08.2024;10.1177/00420980241289846;https://doi.org/10.1177/00420980241289846;TRUE;Hybrid;Sage Publications;Urban Studies;1360-063X;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;31.03.2024;11.09.2024;10.1177/10901981241294230;https://doi.org/10.1177/10901981241294230;TRUE;Hybrid;Sage Publications;Health Education & Behavior;1552-6127;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;16.05.2024;10.10.2024;10.1177/10690727241296089;https://doi.org/10.1177/10690727241296089;TRUE;Hybrid;Sage Publications;Journal of Career Assessment;1552-4590;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;08.05.2024;22.10.2024;10.1177/20501579241298271;https://doi.org/10.1177/20501579241298271;TRUE;Hybrid;Sage Publications;Mobile Media & Communication;2050-1587;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;04.09.2023;28.10.2024;10.1177/0308275X241299327;https://doi.org/10.1177/0308275X241299327;TRUE;Hybrid;Sage Publications;Critique of Anthropology;1460-3721;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;08.03.2024;26.09.2024;10.1177/00332941241291030;https://doi.org/10.1177/00332941241291030;TRUE;Hybrid;Sage Publications;Psychological Reports;1558-691X;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;02.05.2024;22.10.2024;10.1177/1179173X241304271;https://doi.org/10.1177/1179173X241304271;FALSE;Gold;Sage Publications;Tobacco Use Insights;1179-173X;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;25.04.2024;14.11.2024;10.1177/08862605241303958;https://doi.org/10.1177/08862605241303958;TRUE;Hybrid;Sage Publications;Journal of Interpersonal Violence;1552-6518;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;14.11.2022;28.08.2024;10.1177/03063127241303720;https://doi.org/10.1177/03063127241303720;TRUE;Hybrid;Sage Publications;Social Studies of Science;1460-3659;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;20.11.2024;24.11.2024;10.1177/01455613241305987;https://doi.org/10.1177/01455613241305987;FALSE;Gold;Sage Publications;ENT Journal;1942-7522;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;15.05.2024;24.11.2024;10.1177/17585732241306369;https://doi.org/10.1177/17585732241306369;TRUE;Hybrid;Sage Publications;Shoulder & Elbow;1758-5740;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;28.06.2023;21.11.2024;10.1177/01492063241305577;https://doi.org/10.1177/01492063241305577;TRUE;Hybrid;Sage Publications;Journal of Management;1557-1211;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;10.05.2024;26.11.2024;10.1177/03000605241306866;https://doi.org/10.1177/03000605241306866;FALSE;Gold;Sage Publications;Journal of International Medical Research;1473-2300;;;;CC BY 4.0;Switzerland2023
University of Lausanne;2024;25.11.2024;01.12.2024;10.1177/01455613241307534;https://doi.org/10.1177/01455613241307534;FALSE;Gold;Sage Publications;ENT Journal;1942-7522;;;;CC BY 4.0;Switzerland2023
University of Lucerne;2024;16.08.2022;03.01.2024;10.1177/13634607241228113;https://doi.org/10.1177/13634607241228113;TRUE;Hybrid;Sage Publications;Sexualities;1461-7382;;;;CC BY 4.0;Switzerland2023
University of Lucerne;2024;05.09.2022;15.02.2024;10.1177/10564926241239546;https://doi.org/10.1177/10564926241239546;TRUE;Hybrid;Sage Publications;Journal of Management Inquiry;1552-6542;;;;CC BY-NC 4.0;Switzerland2023
University of Lucerne;2024;09.03.2024;09.03.2024;10.1177/02627280241241545;https://doi.org/10.1177/02627280241241545;TRUE;Hybrid;Sage Publications;South Asia Research;1741-3141;;;;CC BY 4.0;Switzerland2023
University of Lucerne;2024;10.10.2023;08.04.2024;10.1177/11786329241249282;https://doi.org/10.1177/11786329241249282;FALSE;Gold;Sage Publications;Health Services Insights;1178-6329;;;;CC BY 4.0;Switzerland2023
University of Lucerne;2024;08.02.2021;10.05.2024;10.1177/09526951241261837;https://doi.org/10.1177/09526951241261837;TRUE;Hybrid;Sage Publications;History of the Human Sciences;1461-720X;;;;CC BY-NC 4.0;Switzerland2023
University of Lucerne;2024;10.10.2023;18.06.2024;10.1177/20539517241266432;https://doi.org/10.1177/20539517241266432;FALSE;Gold;Sage Publications;Big Data & Society;2053-9517;;;;CC BY-NC 4.0;Switzerland2023
University of Lucerne;2024;07.06.2023;25.05.2024;10.1177/01650254241265596;https://doi.org/10.1177/01650254241265596;TRUE;Hybrid;Sage Publications;International Journal of Behavioral Development;1464-0651;;;;CC BY 4.0;Switzerland2023
University of Lucerne;2024;15.02.2023;10.06.2024;10.1177/00104140241271123;https://doi.org/10.1177/00104140241271123;TRUE;Hybrid;Sage Publications;Comparative Political Studies;1552-3829;;;;CC BY 4.0;Switzerland2023
University of Lucerne;2024;29.02.2024;22.06.2024;10.1177/23779608241271677;https://doi.org/10.1177/23779608241271677;FALSE;Gold;Sage Publications;SAGE Open Nursing;2377-9608;;;;CC BY 4.0;Switzerland2023
