"period","Institution - Abbrv","institution","ArticleTitle","JournalTitle","ISSN","NSD Level","DOI","euro"
2016,"NTNU","Norwegian University of Science and Technology","A review of Norwegian Gymnometriocnemus (Diptera: Chironomidae) including the description of two new species and a new name for Gymnometriocnemus volitans (Goetghebuer) sensu Brundin","ZooKeys","1313-2989",1,"10.3897/zookeys.508.9874",276.23
2016,"NTNU","Norwegian University of Science and Technology","Implementing a care pathway for elderly patients","BMC Health Services Research","1472-6963",2,"10.1186/s12913-015-0751-1",1718.78
2016,"NTNU","Norwegian University of Science and Technology","Cost-effectiveness analysis of interventions for migraine…","Journal of headache and pain","1129-2369",1,"10.1186/s10194-015-0496-6",1197.21
2016,"NTNU","Norwegian University of Science and Technology","Anthropogenic flank attack on polar bears","Frontiers in Ecology and Evolution","2296-701X",1,"10.3389/fevo.2015.00016",667.76
2016,"NTNU","Norwegian University of Science and Technology","Psychotic and schizotypal symptoms in non-psychotic patients with obsessive-compulsive disorder","BMC Psychiatry","1471-244X",1,"10.1186/s12888-015-0502-1",1744.96
2016,"NTNU","Norwegian University of Science and Technology","Tromboelastography: variability and relation to conventional coagulation test in non-bleeding intensive care unit patients","BMC Anesthesiology","1471-2253",1,"10.1186/s12871-015-0011-2",1709.2
2016,"NTNU","Norwegian University of Science and Technology","Socioeconomic inequalities in mortality and repeated measurement of explanatory risk factors…","PLoS One","1932-6203",1,"10.1371/journal.pone.0124690",1095.32
2016,"NTNU","Norwegian University of Science and Technology","The epidemiology of primary headache disorders in Zambia","The Journal of Headache and Pain","1129-2377",1,"10.1186/s10194-015-0515-7",1456.0
2016,"NTNU","Norwegian University of Science and Technology","Presence of antiGAD in a non-diabetic population of adults","BMJ Open Diabetes Research & Care","2052-4897",1,"10.1136/bmjdrc-2014-000076",2101.87
2016,"NTNU","Norwegian University of Science and Technology","Novel imaging technologies for characterization of microbial extracellular polysaccharides","Frontiers in Microbiology","1664-302X",1,"10.3389/fmicb.2015.00525",883.84
2016,"NTNU","Norwegian University of Science and Technology","The Design of Simple Bacterial Microarrays: Development towards Immobilizing Single Living Bacteria ","PLoS One","1932-6203",1,"10.1371/journal.pone.0128162",1148.3
2016,"NTNU","Norwegian University of Science and Technology","Benzodiazepine use in COPD: Evidence from Norway","The International Journal of Chronic Obstructive Pulmonary Disease","1178-2005",1,"10.2147/COPD.S83107",734.23
2016,"NTNU","Norwegian University of Science and Technology","Self-reported childhood difficulties, adult multimorbidity and allostatic load","PLoS One","1932-6203",1,"10.1371/journal.pone.0130591",1137.42
2016,"NTNU","Norwegian University of Science and Technology","Biotransformation and oxidative stress responses in captive Nile crocodile (Crocodylus niloticus) exposed to organic contaminants from the natural environment in South Africa","Plos One","1932-6203",1,"10.1371/journal.pone.0130002",1419.98
2016,"NTNU","Norwegian University of Science and Technology","Self- and proxy reports of Quality of life amoong adolescents living in residential care","Health and Quality of Life Outcomes","1477-7525",1,"10.1186/s12955-015-0280-y",1740.94
2016,"NTNU","Norwegian University of Science and Technology","A Metacognitive Perspective on Mindfulness: An Empirical Investigation","BMC Psychology","2050-7283",1,"10.1186/s40359-015-0081-4",1899.2
2016,"NTNU","Norwegian University of Science and Technology","Perinatal probiotic supplementation in the prevention of allergy related disease","BMC Dermatology","1471-5945",1,"10.1186/s12895-015-0030-1",1836.54
2016,"NTNU","Norwegian University of Science and Technology","Discrepancies in assessing home care workers´working conditions …","BMC Health Services Research","1472-6963",2,"10.1186/s12913-015-0945-6",2285.02
2016,"NTNU","Norwegian University of Science and Technology","The long-term effects of being bullied or a bully in adolescence on externalizing and internalizing mental health problems in adulthood","Child and Adolescent Psychiatry and Mental Health","1753-2000",1,"10.1186/s13034-015-0075-2",1773.71
2016,"NTNU","Norwegian University of Science and Technology","Associations between parental chronic pain and self-esteem,…","BMC Public Health","1471-2458",1,"10.1186/s12889-015-2164-9",1957.02
2016,"NTNU","Norwegian University of Science and Technology","Previous experiences and emotional baggage as barriers to lifestyle change","BMC Family Practice","1471-2296",1,"10.1186/s12875-015-0292-z",1805.05
2016,"NTNU","Norwegian University of Science and Technology","A high-density EEG study of differences between three speeds of simulated forward motion from optic flow in adult participants","Frontiers in Systems Neuroscience","1662-5137",1,"10.3389/fnsys.2015.00146",2085.07
2016,"NTNU","Norwegian University of Science and Technology","Inter-rater Reliability of a National Acute Stroke Register","BMC Research Notes","1756-0500",1,"10.1186/s13104-015-1556-3",1051.73
2016,"NTNU","Norwegian University of Science and Technology","The proportion of CD16+CD14dim monocytes increases with tumor cell load in bone marrow of patients with multiple myeloma","Immunity, Inflammation and Disease","2050-4527",1,"10.1002/iid3.53",1235.09
2016,"NTNU","Norwegian University of Science and Technology","Change in pain, disability and nfluence of fear-avoidance in a work-focused intervention","BMC Musculoskeletal Disorders","1471-2474",1,"10.1186/s12891-015-0553-y",1679.61
2016,"NTNU","Norwegian University of Science and Technology","Evaluating PAI-1 as a biomarker for stress in diving","Physiological Reports","2051-817X ",1,"10.14814/phy2.12437",1348.4
2016,"NTNU","Norwegian University of Science and Technology","Cultural activity participation and associations with self-perceived health, life-satisfaction and mental health. The Young HUNT Study, Norway","BMC Public Health","1471-2458",1,"10.1186/s12889-015-1873-4",1836.29
2016,"NTNU","Norwegian University of Science and Technology","Headache as a predictor for dementia: The HUNT Study","Journal of headache and pain","1129-2369",1,"10.1186/s10194-015-0573-x",1577.63
2016,"NTNU","Norwegian University of Science and Technology","Benzoic acid-inducible gene expression in mycobacteria","Plos One","1932-6203",1,"10.1371/journal.pone.0134544",1190.0
2016,"NTNU","Norwegian University of Science and Technology","S100B and NSE serum concentrations after simulated diving...","Physiological reports","2051-817X",1,"10.14814/phy2.12546",1132.66
2016,"NTNU","Norwegian University of Science and Technology","First Trimester Urine and Serum Metabolomics for Prediction of Preeclampsia and Gestational Hypertension","International Journal of Molecular Sciences","1422-0067",1,"10.3390/ijms160921520",1496.89
2016,"NTNU","Norwegian University of Science and Technology","Osteogenic differentiation of human mesenchymal stem cells in mineralized alginate matrices","Plos One","1932-6203",1,"10.1371/journal.pone.0120374",1094.12
2016,"NTNU","Norwegian University of Science and Technology","Exploring Genetic Divergence in a Species-Rich Insect Genus","Plos One","1932-6203",1,"10.1371/journal.pone.0138993",1179.01
2016,"NTNU","Norwegian University of Science and Technology","RNA motif discovery: a computational overview","Biology Direct","1745-6150",1,"10.1186/s13062-015-0090-5",2373.76
2016,"NTNU","Norwegian University of Science and Technology","Light trapping in horizontally aligned silicon microwire solar cells","Optics Express","1094-4087",2,"10.1364/OE.23.0A1463",1725.54
2016,"NTNU","Norwegian University of Science and Technology","Church Attendance and Religious Experience","SAGE Open","2158-2440",1,"10.1177/2158244015612876",182.66
2016,"NTNU","Norwegian University of Science and Technology","Expression of CCL20 and its corresponding receptor CCR6 is enhanced in active inflammatory bowel disease, and TLR3 mediates CCL20 expression in colonic epithelial cells","Plos One","1932-6203",1,"10.1371/journal.pone.0141710",1177.74
2016,"NTNU","Norwegian University of Science and Technology","Iterative sub-network component analysis enables reconstruction of large scale...  ","BMC Bioinformatics","1471-2105",2,"10.1186/s12859-015-0768-9",1902.52
2016,"NTNU","Norwegian University of Science and Technology","Trade liberalization, social policies and health","Globalization and Health","1744-8603",1,"10.1186/s12992-015-0126-8",1942.26
2016,"NTNU","Norwegian University of Science and Technology","Mitochondrial respiration in insulin-producing b-cells","Plos One","1932-6203",1,"10.1371/journal.pone.0138558",1235.09
2016,"NTNU","Norwegian University of Science and Technology","Seeing a mycobacterium-infected cell in nanoscale 3D","Plos One","1932-6203",1,"10.1371/journal.pone.0134644",1184.14
2016,"NTNU","Norwegian University of Science and Technology","Genetic and non-genetic factors associated with constipation in cancer patients receiving opioids","Clinical and Translational Gastroenterology","2155-384X",1,"10.1038/ctg.2015.19",809.8
2016,"NTNU","Norwegian University of Science and Technology","Activin A inhibits BMP-signaling by binding ACVR2A and ACVR2B","Cell Communication and Signaling","1478-811X",1,"10.1186/s12964-015-0104-z",2010.76
2016,"NTNU","Norwegian University of Science and Technology","Wavelength and orientation dependent capture of light by diatom frustule nanostructures","Scientific Reports","2045-2322",1,"10.1038/srep17403",1155.17
2016,"NTNU","Norwegian University of Science and Technology","Mechanical instability of monocrystalline and polycrystalline methane hydrates","Nature Communications","2041-1723",2,"10.1038/ncomms9743",3554.1
2016,"NTNU","Norwegian University of Science and Technology","Improving real-time inflow forecasting into hydropower reservoirs through a complementary modelling framework","Hydrology and Earth System Sciences","1027-5606",2,"10.5194/hess-19-3695-2015",1031.73
2016,"NTNU","Norwegian University of Science and Technology","Extreme low temperature tolerance in woody plants","Frontiers in plant science","1664-462X",1,"10.3389/fpls.2015.00884",1640.81
2016,"NTNU","Norwegian University of Science and Technology","PDL1 expression on plasma and dendritic cells in myeloma bone marrow suggests benefit of targeted anti PD1-PDL1 therapy ","Plos One","1932-6203",1,"10.1371/journal.pone.0139867",1189.55
2016,"NTNU","Norwegian University of Science and Technology","Energy landscape of alginate-epimerase interactions assessed by optical tweezers and atomic force microscopy ","Plos One","1932-6203",1,"10.1371/journal.pone.0141237",1174.9
2016,"NTNU","Norwegian University of Science and Technology","World checklist of hornworts and liverworts","PhytoKeys","1314-2003",1,"10.3897/phytokeys.59.6261",2502.68
2016,"NTNU","Norwegian University of Science and Technology","The impact of an eHealth portal on health care professionals' interaction with patients: Qualitative study","Journal of Medical Internet Research","1438-8871",2,"10.2196/jmir.4950",1675.06
2016,"NTNU","Norwegian University of Science and Technology","Past and recent abuse is associated with early cessation of breastfeeding","BMJ Open","2044-6055",1,"10.1136/bmjopen-2015-009240",1942.64
2016,"NTNU","Norwegian University of Science and Technology","Temperature measurement in trauma patients: is the ear the key to the core?","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine","1757-7241",1,"10.1186/s13049-015-0178-z",2020.1
2016,"NTNU","Norwegian University of Science and Technology","Sick-listed persons’ experiences with taking part in an in-patient occupational rehabilitation program based on Acceptance and Commitment Therapy: a qualitative focus group interview study","BMC Health Services Research","1472-6963",2,"10.1186/s12913-015-1190-8",1980.99
2016,"NTNU","Norwegian University of Science and Technology","The burden attributable to headache disorders in India: estimates from a community-based study in Karnataka State","The Journal of Headache and Pain ","1129-2377",1,"10.1186/s10194-015-0574-9",1562.51
2016,"NTNU","Norwegian University of Science and Technology","Headache disorders and public ill-health in India: Prevalence estimates in Karnataka State","The Journal of Headache and Pain ","1129-2377",1,"10.1186/s10194-015-0549-x",1562.51
2016,"NTNU","Norwegian University of Science and Technology","No evidence for activity adjustment in response to increased density in Daphnia magna ","PLoS ONE","1932-6203",1,"10.1371/journal.pone.0144759",1400.53
2016,"NTNU","Norwegian University of Science and Technology","Reconstruction of temporal activity of microRNAs from gene expression data in breast cancer cell line","BMC Genomics","1471-2164",1,"10.1186/s12864-015-2260-3",2000.38
2016,"NTNU","Norwegian University of Science and Technology","Prevalence of fatigue in patients 3 months after stroke and association with early motor activity: A prospective study comparing stroke patients with a matched general population cohort","BMC Neurology ","1471-2377",1,"10.1186/s12883-015-0438-6",1907.37
2016,"NTNU","Norwegian University of Science and Technology","Marine Vessel and Power Plant System Simulator","IEEE Access","2169-3536",1,"10.1109/ACCESS.2015.2496122",1641.39
2016,"NTNU","Norwegian University of Science and Technology","The Impact of Feet Callosities, Arm Posture, and Usage of Electrolyte Wipes on Body Composition by Bioelectrical Impedance Analysis in Morbidly Obese Adults","Obesity Facts","1662-4025",1,"10.1159/000442033",969.36
2016,"NTNU","Norwegian University of Science and Technology","Dispersion of polarization coupling, localized and collective plasmon modes in a metallic photonic crystal mapped by Mueller Matrix Ellipsometry ","Optics Express","1094-4087",2,"10.1364/OE.23.022800",1675.2
2016,"NTNU","Norwegian University of Science and Technology","Human breast milk miRNA, maternal probiotic supplementation and atopic dermatitis in offspring","PLoS One","1932-6203",1,"10.1371/journal.pone.0143496",1257.61
2016,"NTNU","Norwegian University of Science and Technology","Discovery of Drug Synergies in Gastric Cancer Cells Predicted by Logical Modeling","PLoS Computational Biology ","1553-7358",1,"10.1371/journal.pcbi.1004426",1980.93
2016,"NTNU","Norwegian University of Science and Technology","Deaf and hearing high-school students’ expectations for the role of educational sign-language interpreter","Society, Health & Vulnerability","2002-1518",1,"10.3402/shv.v6.28969",1541.98
2016,"NTNU","Norwegian University of Science and Technology","Do gender differences in audio-visual benefit and visual influence...","Frontiers in Psychology","1664-1078",1,"10.3389/fpsyg.2015.01014",1535.8
2015,"NTNU","Norwegian University of Science and Technology","Bone morphog","Blood cancer jo","2044-5385",1,"10.1038/bcj.2014.16",1790.4
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","Variations in le","BMC Health Se","1472-6963",2,"10.1186/1472-6963-14-10",1459.4
2015,"NTNU","Norwegian University of Science and Technology","Naturalistic acFrontiers","Frontiers in Psy","1664-1078",1,"10.3389/fpsyg.2014.00329",890.95
2015,"NTNU","Norwegian University of Science and Technology","Field-depende","AIP Advances","2158-3226",1,"10.1063/1.4869311",902.14
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","Screening hyp","Biomedical Op","2156-7085",1,"10.1364/BOE.5.001290",509.14
2015,"NTNU","Norwegian University of Science and Technology","Fracture NetwFrontiers","in Ph","2296-424X",1,"10.3389/fphy.2014.00021",1184.69
2015,"NTNU","Norwegian University of Science and Technology","Yoga for Child","Frontiers in Psy","1664-0640",1,"10.3389/fpsyt.2014.00035",887.03
2015,"NTNU","Norwegian University of Science and Technology","System Trainin","Jorunal of Neu","1743-0003",1,"10.1186/1743-0003-11-75",1455.04
2015,"NTNU","Norwegian University of Science and Technology","Rapid steady s","New Journal of","1367-2630",1,"10.1088/1367-2630/16/6/065004",1336.42
2015,"NTNU","Norwegian University of Science and Technology","Substance useJournal","Journal of pain","1178-7090",1,"10.2147/JPR.S67819",1257.08
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","A two-year pe","Child and Adol","1753-2000",1,"10.1186/1753-2000-8-10",1269.73
"","","","","","","","",""
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","Fraud in popu","The Journal of","1129-2377",1,"10.1186/1129-2377-15-37",1309.68
2015,"NTNU","Norwegian University of Science and Technology","Insular Artef","Internet Archa","1363-5387",1,"10.11141/ia.38.2",976.89
2015,"NTNU","Norwegian University of Science and Technology","Web-based co","Journal of Mul","1178-2390",1,"10.2147/JMDH.S70470",1267.83
2015,"NTNU","Norwegian University of Science and Technology","Silicon-core gl","Scientific Repo","2045-2322",1,"10.1038/srep06283",1025.79
2015,"NTNU","Norwegian University of Science and Technology","Norwegian tra","Scandinavian Journal","1757-7241",1,"10.1186/s13049-014-0064-0",1486.93
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","HaraMechanisms,","BMC Neurolog","1471-2377",1,"10.1186/s12883-014-0201-4",1547.91
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","Local dynamic","Frontiers in Ph","2296-424X",1,"10.3389/fphy.2014.00066",1258.76
2015,"NTNU","Norwegian University of Science and Technology","Contact-media","Cancer Nanote","1868-6958",1,"10.1186/s12645-014-0008-4",967.15
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","When DNA ba","ZooKeys","1313-2970",1,"10.3897/zookeys.463.7964",527.05
2015,"NTNU","Norwegian University of Science and Technology","Finding Gene","BMC Bioinform","1471-2105",2,"10.1186/s12859-014-0386-y",1574.66
2015,"NTNU","Norwegian University of Science and Technology","GIncidental findBMC","Ear nose","1472-6815",1,"10.1186/1472-6815-14-13",1574.66
2015,"NTNU","Norwegian University of Science and Technology","As naturalistic","Frontiers in Psy","1664-1078",1,"10.3389/fpsyg.2014.01510",931.9
2015,"NTNU","Norwegian University of Science and Technology","Adult physical","BMC Pregnanc","1471-2393",1,"10.1186/1471-2393-14-31",1782.23
"","","","","","","","",""
2015,"NTNU","Norwegian University of Science and Technology","Metabolite ch","Frontiers in Pla","1664-462X",1,"10.3389/fpls.2014.00706",757.23
2015,"NTNU","Norwegian University of Science and Technology","Bulk fabricatio","Applied physic","2166-532X",1,"10.1063/1.4902140",1921.77
2015,"NTNU","Norwegian University of Science and Technology","Sensitivity of l","The Cryospher","1994-0416",1,"10.5194/tc-8-1589-2014 ",1118.78
2016,"NTNU HIST","Norwegian University of Science and Technology","Effect of a multifaceted educational program for care staff concerning fecal incontinence in nursing home patients: study protocol of a cluster randomized trial.","Trials 2015 ;Volum 16.(1), Biomed Central lim.","1745-6215",1,"10.1186/s13063-015-0595-3",1801.17
2016,"NTNU HIST","Norwegian University of Science and Technology","Feasibility, acceptability, and adherence of two educational programs for care staff concerning nursing home patients' fecal incontinence: A pilot study preceding a cluster-randomized controlled trial","Implementation Science 2015 ;Volum 10.(1) Suppl. 72 s. - , Biomed Central lim","1748-5908",1,"10.1186/s13012-015-0263-8",1852.12
2016,"NTNU HIST","Norwegian University of Science and Technology","Implementation of Free Text Format Nursing Diagnoses at a University Hospital`s Medical Department. Exploring Nurses and Nursing Students`Experiences on Use and Usefulness. A Qualitative Study.","Nursing Research and Practice 2015, Hindawi publ.corp. ","2090-1429",1,"10.1155/2015/179275",674.2
2016,"NTNU HIST","Norwegian University of Science and Technology","The significance of communities of practice: Norwegian nursing students' experience of clinical placement in Bangladesh.","Nursing Open 2015 ;Volum 2.(1) s. 36-46, Wiley subscr.serv","2054-1058",1,"10.1002/nop2.15",1194.18
2016,"OUS","Oslo University Hospital","Effect of Previous Chemotherapy on the Quality of Cryopreserved Human Ovarian Tissue In Vitro","PLoS One","1932-6203",1,"10.1371/journal.pone.0133985",1216.79
2016,"OUS","Oslo University Hospital","Perinatal Asphyxia May Influence the Level of Beta-Amyloid (1-42) in Cerebrospinal Fluid: An Experimental Study on Newborn Pigs","PLoS One","1932-6203",1,"10.1371/journal.pone.0140966",1176.73
2016,"OUS","Oslo University Hospital","Prognostic factors and treatment results of high-grade osteosarcoma in norway: a scope beyond the classical patient","Sarcoma","1369-1643",1,"10.1155/2015/516843",687.99
2016,"OUS","Oslo University Hospital","Clinical Epidemiology of Low-Grade and Dedifferentiated Osteosarcoma in Norway during 1975 and 2009","Sarcoma","1369-1643",1,"10.1155/2015/917679",742.16
2016,"OUS","Oslo University Hospital","Exome sequencing of bilateral testicular germ cell tumors suggests independent development lineages","Neoplasia","1476-5586",1,"10.1016/j.neo.2014.12.005",1579.42
2016,"OUS","Oslo University Hospital","The chemical chaperone sodium 4-phenylbutyrate improves the secretion of the protein CA267T mutant in CHO-K1 cells trough the GRASP55 pathway","Cell Biosci","2045-3701",1,"10.1186/s13578-015-0048-4",1720.62
2016,"OUS","Oslo University Hospital","Geldanamycin Enhances Retrograde Transport of Shiga Toxin in HEp-2 Cells","PLoS One","1932-6203",1,"10.1371/journal.pone.0129214",1084.97
2016,"OUS","Oslo University Hospital","The MYCN-HMGA2-CDKN2A pathway in non-small cell lung carcinoma-differences in histological subtypes","BMC Cancer","1471-2407",1,"10.1186/s12885-016-2104-9",1576.84
2016,"OUS","Oslo University Hospital","MRI with intrathecal MRI gadolinium contrast medium administration: a possible method to assess glymphatic function in human brain","Acta Radiol Open","2058-4601",1,"10.1177/2058460115609635",819.38
2016,"OUS","Oslo University Hospital","No effects of a 12-week supervised exercise therapy program on gait in patients with mild to moderate osteoarthritis: a secondary analysis of a randomized trial","J Negat Results Biomed","1477-5751",1,"10.1186/s12952-015-0023-y",1008.93
2016,"OUS","Oslo University Hospital","Automated amplicon design suitable for analysis of DNA variants by melting techniques","BMC Res Notes","1756-0500",1,"10.1186/s13104-015-1624-8",890.79
2016,"OUS","Oslo University Hospital","Hypoxia biomarkers in squamous cell carcinoma of the uterine cervix","BMC Cancer","1471-2407",1,"10.1186/s12885-015-1828-2",1764.02
2016,"OUS","Oslo University Hospital","Cured of primary bone cancer, but at what cost: a qualitative study of functional impairment and lost opportunities","Sarcoma","1369-1643",1,"10.1155/2015/484196",717.71
2016,"OUS","Oslo University Hospital","Cellular localization of CIP2A determines its prognostic impact in superficial spreading and nodular melanoma","Cancer Med","2045-7634",1,"10.1002/cam4.425",1657.18
2016,"OUS","Oslo University Hospital","The DnaA Protein Is Not the Limiting Factor for Initiation of Replication in Escherichia coli","PLoS Genetics","1553-7404",2,"10.1371/journal.pgen.1005276",1835.64
2016,"OUS","Oslo University Hospital","Cancer patients' participation in population-based health surveys: findings from the HUNT studies","BMC Res Notes","1756-0500",1,"10.1186/s13104-015-1635-5",999.56
2016,"OUS","Oslo University Hospital","Alcohol consumption, endogenous estrogen and mammographic density among premenopausal women","Breast Cancer Res","1465-542X",1,"10.1186/s13058-015-0620-1",2104.03
2016,"OUS","Oslo University Hospital","The Inner Membrane Protein PilG Interacts with DNA and the Secretin PilQ in Transformation","PLoS One","1932-6203",1,"10.1371/journal.pone.0134954",1184.92
2016,"OUS","Oslo University Hospital","Early effects of low dose bevacizumab treatment assessed by magnetic resonance imaging","BMC Cancer","1471-2407",1,"10.1186/s12885-015-1918-1",1590.41
2016,"OUS","Oslo University Hospital","Sick-leave and help seeking among rescue workers after the terror attacks in Norway, 2011","Int J Emerg Med","1865-1380",1,"10.1186/s12245-015-0081-4",1044.47
2016,"OUS","Oslo University Hospital","Identification of Metastasis-Associated Metabolic Profiles of Tumors by (1)H-HR-MAS-MRS","Neoplasia","1476-5586",1,"10.1016/j.neo.2015.10.001",1970.16
2016,"OUS","Oslo University Hospital","Effect of Systematic Follow-Up by General Practitioners after Deliberate Self-Poisoning: A Randomised Controlled Trial","PLoS One","1932-6203",1,"10.1371/journal.pone.0143934",1848.78
2016,"OUS","Oslo University Hospital","Structured follow-up by general practitioners after deliberate self-poisoning: a randomised controlled trial","BMC Psychiatry","1471-244X",1,"10.1186/s12888-015-0635-2",1257.94
2016,"OUS","Oslo University Hospital","Measurements of carotid intima media thickness in non-invasive high-frequency ultrasound images: the effect of dynamic range setting","Cardiovasc Ultrasound","1476-7120",1,"10.1186/1476-7120-13-5",1740.22
2016,"OUS","Oslo University Hospital","Time's up - staff's management of mealtimes on inpatient eating disorder units","J Eat Disord","1098-108X",2,"10.1186/s40337-015-0052-4",1344.31
2016,"OUS","Oslo University Hospital","Markers of thrombin generation are associated with myocardial necrosis and left ventricular impairment in patients with ST-elevation myocardial infarction","Thromb J","1477-9560",1,"10.1186/s12959-015-0061-1",1379.21
2016,"OUS","Oslo University Hospital","Dynamic Escherichia coli SeqA complexes organize the newly replicated DNA at a considerable distance from the replisome","Nucleic Acids Res","1362-4962",2,"10.1093/nar/gkv146",2725.13
2016,"OUS","Oslo University Hospital","Ten modifiers of BRCA1 penetrance validated in a Norwegian series","Hered Cancer Clin Pract","1897-4287",1,"10.1186/s13053-015-0035-0",1575.65
2016,"OUS","Oslo University Hospital","The Influence of the Autoimmunity-Associated Ancestral HLA Haplotype AH8.1 on the Human Gut Microbiota: A Cross-Sectional Study","PLoS One","1932-6203",1,"10.1371/journal.pone.0133804",1197.84
2016,"OUS","Oslo University Hospital","Simultaneous measurement of passage through the restriction point and MCM loading in single cells","Nucleic Acids Res","1362-4962",2,"10.1093/nar/gkv744",2044.04
2016,"OUS","Oslo University Hospital","Pseudoperipheral palsy: a case of subcortical infarction imitating peripheral neuropathy","BMC Neurol","1471-2377",1,"10.1186/s12883-015-0409-y",1594.82
2016,"OUS","Oslo University Hospital","Aortic Stiffness and Cardiovascular Risk in Women with Previous Gestational Diabetes Mellitus","PLoS One","1932-6203",1,"10.1371/journal.pone.0136892",1253.41
2016,"OUS","Oslo University Hospital","Favorable outcomes in locally advanced and node positive prostate cancer patients treated with combined pelvic IMRT and androgen deprivation therapy","Radiat Oncol","1748-717X",1,"10.1186/s13014-015-0540-3",1615.39
2016,"OUS","Oslo University Hospital","Translocational renal cell carcinoma (t(6;11)(p21;q12) with transcription factor EB (TFEB) amplification and an integrated precision approach: a case report","J Med Case Rep","1752-1947",1,"10.1186/s13256-015-0749-7",971.02
2016,"OUS","Oslo University Hospital","Slug-dependent upregulation of L1CAM is responsible for the increased invasion potential of pancreatic cancer cells following long-term 5-FU treatment","PLoS One","1932-6203",1,"10.1371/journal.pone.0123684",1129.45
2016,"OUS","Oslo University Hospital","Knockdown of NAT12/NAA30 reduces tumorigenic features of glioblastoma-initiating cells","Mol Cancer","1476-4598",1,"10.1186/s12943-015-0432-z",1617.76
2016,"OUS","Oslo University Hospital","Personality Disorder and Changes in Affect Consciousness: A 3-Year Follow-Up Study of Patients with Avoidant and Borderline Personality Disorder","PLoS One","1932-6203",1,"10.1371/journal.pone.0145625",1253.3
2016,"OUS","Oslo University Hospital","Tension gastrothorax: acute life-threatening manifestation of late onset congenital diaphragmatic hernia (CDH) in children","Scand J Trauma Resusc Emerg Med","1757-7241",1,"10.1186/s13049-015-0129-8",1518.25
2016,"OUS","Oslo University Hospital","The Sub-Cellular Localization of WRAP53 Has Prognostic Impact in Breast Cancer","PLoS One","1932-6203",1,"10.1371/journal.pone.0139965",1222.83
2016,"OUS","Oslo University Hospital","Intertumor heterogeneity in vascularity and invasiveness of artificial melanoma brain metastases","J Exp Clin Cancer Res","1756-9966",1,"10.1186/s13046-015-0264-0",1597.94
2016,"OUS","Oslo University Hospital","The impact of environmental factors in pre-hospital thermistor-based tympanic temperature measurement: a pilot field study","Scand J Trauma Resusc Emerg Med","1757-7241",1,"10.1186/s13049-015-0148-5",1889.17
2016,"OUS","Oslo University Hospital","Parent ratings of executive function in young preschool children with symptoms of attention-deficit/-hyperactivity disorder","Behav Brain Funct","1744-9081",1,"10.1186/s12993-015-0060-1",2103.7
2016,"OUS","Oslo University Hospital","Exposure and posttraumatic stress symptoms among first responders working in proximity to the terror sites in Norway on July 22, 2011 - a cross-sectional study","Scand J Trauma Resusc Emerg Med","1757-7241",1,"10.1186/s13049-015-0104-4",1415.93
2016,"OUS","Oslo University Hospital","Cell-penetrating peptides: possibilities and challenges for drug delivery in vitro and in vivo","Molecules","1420-3049",1,"10.3390/molecules200713313",1657.93
2016,"OUS","Oslo University Hospital","Effects of early pregnancy BMI, mid-gestational weight gain, glucose and lipid levels in pregnancy on offspring's birth weight and subcutaneous fat: a population-based cohort study","BMC Pregnancy Childbirth","1471-2393",1,"10.1186/s12884-015-0512-5",1469.89
2016,"OUS","Oslo University Hospital","Neuropsychological assessment in adolescents with anorexia nervosa - exploring the relationship between self-report and performance-based testing","J Eat Disord","1098-108X",2,"10.1186/s40337-015-0062-2",1429.72
2016,"OUS","Oslo University Hospital","Early weaning in idiopathic scoliosis","Scoliosis","1748-7161",1,"10.1186/s13013-015-0059-2",1430.36
2016,"OUS","Oslo University Hospital","CSPP-L Associates with the Desmosome of Polarized Epithelial Cells and Is Required for Normal Spheroid Formation","PLoS One","1932-6203",1,"10.1371/journal.pone.0134789",1201.29
2016,"OUS","Oslo University Hospital","Targeting lung cancer through inhibition of checkpoint kinases","Front Genet","1664-8021",1,"10.3389/fgene.2015.00070",907.48
2016,"OUS","Oslo University Hospital","Syndecan-3 and TFPI colocalize on the surface of endothelial-, smooth muscle-, and cancer cells","PLoS One","1932-6203",1,"10.1371/journal.pone.0117404",1604.73
"","","","","","","","",""
"","","","","","","","",""
2016,"OUS","Oslo University Hospital","Occipital condyle fracture and lower cranial nerve palsy after blunt head trauma - a literature review and case report","J Trauma Manag Outcomes","1752-2897",1,"10.1186/s13032-015-0024-3",1579.64
2016,"OUS","Oslo University Hospital","Soluble T-cell receptors produced in human cells for targeted delivery","PLoS One","1932-6203",1,"10.1371/journal.pone.0119559",1128.48
2016,"OUS","Oslo University Hospital","BayesPI-BAR: a new biophysical model for characterization of regulatory sequence variations","Nucleic Acids Res","1362-4962",2,"10.1093/nar/gkv733",2097.78
